symbol,start_date,end_date,digit_type,mad,target
KRW-ALGO,2025-01-01-00:00,2024-12-31-00:00,first,0.010269350803037982,TA
KRW-ALGO,2025-01-01-00:00,2024-12-31-00:00,second,0.004951304985234444,TA
KRW-ALGO,2024-12-31-00:00,2024-12-30-00:00,first,0.005653335260452802,TA
KRW-ALGO,2024-12-31-00:00,2024-12-30-00:00,second,0.0077426410984977765,TA
KRW-ALGO,2024-12-30-00:00,2024-12-29-00:00,first,0.008893689427376597,TA
KRW-ALGO,2024-12-30-00:00,2024-12-29-00:00,second,0.011720459519571864,TA
KRW-ALGO,2024-12-29-00:00,2024-12-28-00:00,first,0.010757462508352793,TA
KRW-ALGO,2024-12-29-00:00,2024-12-28-00:00,second,0.008166512670258993,TA
KRW-ALGO,2024-12-28-00:00,2024-12-27-00:00,first,0.006173615050604195,TA
KRW-ALGO,2024-12-28-00:00,2024-12-27-00:00,second,0.006436908226007956,TA
KRW-ALGO,2024-12-27-00:00,2024-12-26-00:00,first,0.006947938698828992,TA
KRW-ALGO,2024-12-27-00:00,2024-12-26-00:00,second,0.008871804639412293,TA
KRW-ALGO,2024-12-26-00:00,2024-12-25-00:00,first,0.003986668593786132,TA
KRW-ALGO,2024-12-26-00:00,2024-12-25-00:00,second,0.004839142173379512,TA
KRW-ALGO,2024-12-25-00:00,2024-12-24-00:00,first,0.006149881130899819,TA
KRW-ALGO,2024-12-25-00:00,2024-12-24-00:00,second,0.005207191827914369,TA
KRW-ALGO,2024-12-24-00:00,2024-12-23-00:00,first,0.00647071534253876,TA
KRW-ALGO,2024-12-24-00:00,2024-12-23-00:00,second,0.006100014734058216,TA
KRW-ALGO,2024-12-23-00:00,2024-12-22-00:00,first,0.007861943395630571,TA
KRW-ALGO,2024-12-23-00:00,2024-12-22-00:00,second,0.004832867925631382,TA
KRW-ALGO,2024-12-22-00:00,2024-12-21-00:00,first,0.0056979386988289926,TA
KRW-ALGO,2024-12-22-00:00,2024-12-21-00:00,second,0.007051676208913127,TA
KRW-ALGO,2024-12-21-00:00,2024-12-20-00:00,first,0.00588805660436943,TA
KRW-ALGO,2024-12-21-00:00,2024-12-20-00:00,second,0.005714142173379511,TA
KRW-ALGO,2024-12-20-00:00,2024-12-19-00:00,first,0.009506948383937525,TA
KRW-ALGO,2024-12-20-00:00,2024-12-19-00:00,second,0.0044228975102356795,TA
KRW-ALGO,2024-12-19-00:00,2024-12-18-00:00,first,0.008197938698828988,TA
KRW-ALGO,2024-12-19-00:00,2024-12-18-00:00,second,0.004966698733761332,TA
KRW-ALGO,2024-12-18-00:00,2024-12-17-00:00,first,0.004133338151132002,TA
KRW-ALGO,2024-12-18-00:00,2024-12-17-00:00,second,0.005781732425609931,TA
KRW-ALGO,2024-12-17-00:00,2024-12-16-00:00,first,0.005244841176576533,TA
KRW-ALGO,2024-12-17-00:00,2024-12-16-00:00,second,0.004979379888167677,TA
KRW-ALGO,2024-12-16-00:00,2024-12-15-00:00,first,0.008566628032940853,TA
KRW-ALGO,2024-12-16-00:00,2024-12-15-00:00,second,0.009112738748474769,TA
