symbol,start_date,end_date,digit_type,mad,target
KRW-PEPE,2025-01-01-00:00,2024-12-31-00:00,first,0.00972740933452688,TA
KRW-PEPE,2025-01-01-00:00,2024-12-31-00:00,second,0.00650524507437107,TA
KRW-PEPE,2024-12-31-00:00,2024-12-30-00:00,first,0.012445276728963901,TA
KRW-PEPE,2024-12-31-00:00,2024-12-30-00:00,second,0.005273125938940297,TA
KRW-PEPE,2024-12-30-00:00,2024-12-29-00:00,first,0.005653460251927943,TA
KRW-PEPE,2024-12-30-00:00,2024-12-29-00:00,second,0.009412376407811483,TA
KRW-PEPE,2024-12-29-00:00,2024-12-28-00:00,first,0.0049237400420793324,TA
KRW-PEPE,2024-12-29-00:00,2024-12-28-00:00,second,0.007886720566268542,TA
KRW-PEPE,2024-12-28-00:00,2024-12-27-00:00,first,0.004646104195684692,TA
KRW-PEPE,2024-12-28-00:00,2024-12-27-00:00,second,0.006272644471801811,TA
KRW-PEPE,2024-12-27-00:00,2024-12-26-00:00,first,0.00744293756476098,TA
KRW-PEPE,2024-12-27-00:00,2024-12-26-00:00,second,0.006896568652332717,TA
KRW-PEPE,2024-12-26-00:00,2024-12-25-00:00,first,0.007570551530808335,TA
KRW-PEPE,2024-12-26-00:00,2024-12-25-00:00,second,0.007027809598815655,TA
KRW-PEPE,2024-12-25-00:00,2024-12-24-00:00,first,0.007918613916536175,TA
KRW-PEPE,2024-12-25-00:00,2024-12-24-00:00,second,0.004388748149769532,TA
KRW-PEPE,2024-12-24-00:00,2024-12-23-00:00,first,0.005669288511700186,TA
KRW-PEPE,2024-12-24-00:00,2024-12-23-00:00,second,0.005539195016772284,TA
KRW-PEPE,2024-12-23-00:00,2024-12-22-00:00,first,0.007190440711202599,TA
KRW-PEPE,2024-12-23-00:00,2024-12-22-00:00,second,0.0028898981269970593,TA
KRW-PEPE,2024-12-22-00:00,2024-12-21-00:00,first,0.010733214464233152,TA
KRW-PEPE,2024-12-22-00:00,2024-12-21-00:00,second,0.005697346823207186,TA
KRW-PEPE,2024-12-21-00:00,2024-12-20-00:00,first,0.013777228174088909,TA
KRW-PEPE,2024-12-21-00:00,2024-12-20-00:00,second,0.00768741722831795,TA
KRW-PEPE,2024-12-20-00:00,2024-12-19-00:00,first,0.006889721173408351,TA
