symbol,start_date,end_date,digit_type,mad,target
CVCUSDT,2021-01-01-00:00,2021-01-02-00:00,first,0.008703757681545795,TA
CVCUSDT,2021-01-01-00:00,2021-01-02-00:00,second,0.010184195779164507,TA
CVCUSDT,2021-01-02-00:00,2021-01-03-00:00,first,0.011268843443956495,TA
CVCUSDT,2021-01-02-00:00,2021-01-03-00:00,second,0.008252644740256693,TA
CVCUSDT,2021-01-03-00:00,2021-01-04-00:00,first,0.009566053317164829,TA
CVCUSDT,2021-01-03-00:00,2021-01-04-00:00,second,0.009333826085329237,TA
CVCUSDT,2021-01-04-00:00,2021-01-05-00:00,first,0.01086146038761935,TA
CVCUSDT,2021-01-04-00:00,2021-01-05-00:00,second,0.00814250159026479,TA
CVCUSDT,2021-01-05-00:00,2021-01-06-00:00,first,0.008584962553934265,TA
CVCUSDT,2021-01-05-00:00,2021-01-06-00:00,second,0.00763949133516578,TA
CVCUSDT,2021-01-06-00:00,2021-01-07-00:00,first,0.010553355018269959,TA
CVCUSDT,2021-01-06-00:00,2021-01-07-00:00,second,0.008264118062181731,TA
CVCUSDT,2021-01-07-00:00,2021-01-08-00:00,first,0.004353660725016107,TA
CVCUSDT,2021-01-07-00:00,2021-01-08-00:00,second,0.005009864728610194,TA
CVCUSDT,2021-01-08-00:00,2021-01-09-00:00,first,0.006963431576047989,TA
CVCUSDT,2021-01-08-00:00,2021-01-09-00:00,second,0.004913474464141069,TA
CVCUSDT,2021-01-09-00:00,2021-01-10-00:00,first,0.008252308720262556,TA
CVCUSDT,2021-01-09-00:00,2021-01-10-00:00,second,0.009139276508898436,TA
CVCUSDT,2021-01-10-00:00,2021-01-11-00:00,first,0.007014948204828681,TA
CVCUSDT,2021-01-10-00:00,2021-01-11-00:00,second,0.007457510039802971,TA
CVCUSDT,2021-01-11-00:00,2021-01-12-00:00,first,0.007249317547720997,TA
CVCUSDT,2021-01-11-00:00,2021-01-12-00:00,second,0.006501033313850542,TA
CVCUSDT,2021-01-12-00:00,2021-01-13-00:00,first,0.007830927704999966,TA
CVCUSDT,2021-01-12-00:00,2021-01-13-00:00,second,0.0056375441793902956,TA
CVCUSDT,2021-01-13-00:00,2021-01-14-00:00,first,0.005078327952591924,TA
CVCUSDT,2021-01-13-00:00,2021-01-14-00:00,second,0.006679836152810027,TA
