symbol,start_date,end_date,digit_type,mad,target
TRXUSDT,2021-01-01-00:00,2021-01-02-00:00,first,0.010410182695122979,TA
TRXUSDT,2021-01-01-00:00,2021-01-02-00:00,second,0.007834476557093526,TA
TRXUSDT,2021-01-02-00:00,2021-01-03-00:00,first,0.008272380482702957,TA
TRXUSDT,2021-01-02-00:00,2021-01-03-00:00,second,0.006035533769618613,TA
TRXUSDT,2021-01-03-00:00,2021-01-04-00:00,first,0.007242706832629651,TA
TRXUSDT,2021-01-03-00:00,2021-01-04-00:00,second,0.009238510422502236,TA
TRXUSDT,2021-01-04-00:00,2021-01-05-00:00,first,0.01807630137222655,TA
TRXUSDT,2021-01-04-00:00,2021-01-05-00:00,second,0.004822749037459587,TA
TRXUSDT,2021-01-05-00:00,2021-01-06-00:00,first,0.008260998921056957,TA
TRXUSDT,2021-01-05-00:00,2021-01-06-00:00,second,0.009280190575886424,TA
TRXUSDT,2021-01-06-00:00,2021-01-07-00:00,first,0.010278260568024757,TA
TRXUSDT,2021-01-06-00:00,2021-01-07-00:00,second,0.0060385521303717386,TA
TRXUSDT,2021-01-07-00:00,2021-01-08-00:00,first,0.018275116262090628,TA
TRXUSDT,2021-01-07-00:00,2021-01-08-00:00,second,0.007893737352703503,TA
TRXUSDT,2021-01-08-00:00,2021-01-09-00:00,first,0.015811817110191008,TA
TRXUSDT,2021-01-08-00:00,2021-01-09-00:00,second,0.006154716188802168,TA
TRXUSDT,2021-01-09-00:00,2021-01-10-00:00,first,0.00902228258177603,TA
TRXUSDT,2021-01-09-00:00,2021-01-10-00:00,second,0.007376680172213828,TA
TRXUSDT,2021-01-10-00:00,2021-01-11-00:00,first,0.018351769898796697,TA
TRXUSDT,2021-01-10-00:00,2021-01-11-00:00,second,0.008098534889430898,TA
TRXUSDT,2021-01-11-00:00,2021-01-12-00:00,first,0.019497502119886836,TA
TRXUSDT,2021-01-11-00:00,2021-01-12-00:00,second,0.0056619950404887525,TA
TRXUSDT,2021-01-12-00:00,2021-01-13-00:00,first,0.008635661668787537,TA
TRXUSDT,2021-01-12-00:00,2021-01-13-00:00,second,0.00666771286564444,TA
TRXUSDT,2021-01-13-00:00,2021-01-14-00:00,first,0.013328946333010443,TA
TRXUSDT,2021-01-13-00:00,2021-01-14-00:00,second,0.005866575920198784,TA
TRXUSDT,2021-01-14-00:00,2021-01-15-00:00,first,0.011015737912931792,TA
TRXUSDT,2021-01-14-00:00,2021-01-15-00:00,second,0.004928226726543019,TA
TRXUSDT,2021-01-15-00:00,2021-01-16-00:00,first,0.005412618343107434,TA
TRXUSDT,2021-01-15-00:00,2021-01-16-00:00,second,0.010338506753042013,TA
TRXUSDT,2021-01-16-00:00,2021-01-17-00:00,first,0.008155509184428133,TA
TRXUSDT,2021-01-16-00:00,2021-01-17-00:00,second,0.006560480345000126,TA
TRXUSDT,2021-01-17-00:00,2021-01-18-00:00,first,0.017305231898867006,TA
TRXUSDT,2021-01-17-00:00,2021-01-18-00:00,second,0.006095703043446273,TA
TRXUSDT,2021-01-18-00:00,2021-01-19-00:00,first,0.010404544984033686,TA
TRXUSDT,2021-01-18-00:00,2021-01-19-00:00,second,0.005778460262397175,TA
TRXUSDT,2021-01-19-00:00,2021-01-20-00:00,first,0.009594537165271512,TA
TRXUSDT,2021-01-19-00:00,2021-01-20-00:00,second,0.006302643845669385,TA
TRXUSDT,2021-01-20-00:00,2021-01-21-00:00,first,0.010553096228916063,TA
TRXUSDT,2021-01-20-00:00,2021-01-21-00:00,second,0.005510841934599891,TA
TRXUSDT,2021-01-21-00:00,2021-01-22-00:00,first,0.00743739855964279,TA
TRXUSDT,2021-01-21-00:00,2021-01-22-00:00,second,0.005170367843834371,TA
TRXUSDT,2021-01-22-00:00,2021-01-23-00:00,first,0.016875865910464374,TA
TRXUSDT,2021-01-22-00:00,2021-01-23-00:00,second,0.00880731548825332,TA
TRXUSDT,2021-01-23-00:00,2021-01-24-00:00,first,0.006924493230645357,TA
TRXUSDT,2021-01-23-00:00,2021-01-24-00:00,second,0.004171391623539947,TA
TRXUSDT,2021-01-24-00:00,2021-01-25-00:00,first,0.004483528245064456,TA
TRXUSDT,2021-01-24-00:00,2021-01-25-00:00,second,0.00758574182646501,TA
TRXUSDT,2021-01-25-00:00,2021-01-26-00:00,first,0.009430853890798547,TA
TRXUSDT,2021-01-25-00:00,2021-01-26-00:00,second,0.00684867871482576,TA
TRXUSDT,2021-01-26-00:00,2021-01-27-00:00,first,0.012997028660693997,TA
TRXUSDT,2021-01-26-00:00,2021-01-27-00:00,second,0.006757109182852041,TA
TRXUSDT,2021-01-27-00:00,2021-01-28-00:00,first,0.010024219586513563,TA
TRXUSDT,2021-01-27-00:00,2021-01-28-00:00,second,0.003923422746110465,TA
TRXUSDT,2021-01-28-00:00,2021-01-29-00:00,first,0.007359205435998114,TA
TRXUSDT,2021-01-28-00:00,2021-01-29-00:00,second,0.00622609659909374,TA
TRXUSDT,2021-01-29-00:00,2021-01-30-00:00,first,0.007517226060681543,TA
TRXUSDT,2021-01-29-00:00,2021-01-30-00:00,second,0.005968887418113407,TA
TRXUSDT,2021-01-30-00:00,2021-01-31-00:00,first,0.011807918498510872,TA
TRXUSDT,2021-01-30-00:00,2021-01-31-00:00,second,0.009896430908193253,TA
TRXUSDT,2021-01-31-00:00,2021-02-01-00:00,first,0.014737982497277171,TA
TRXUSDT,2021-01-31-00:00,2021-02-01-00:00,second,0.009177856949583521,TA
TRXUSDT,2021-02-01-00:00,2021-02-02-00:00,first,0.005408811613095913,TA
TRXUSDT,2021-02-01-00:00,2021-02-02-00:00,second,0.008326096692467236,TA
TRXUSDT,2021-02-02-00:00,2021-02-03-00:00,first,0.014121126918589537,TA
TRXUSDT,2021-02-02-00:00,2021-02-03-00:00,second,0.00566938295088331,TA
TRXUSDT,2021-02-03-00:00,2021-02-04-00:00,first,0.009672413856076763,TA
TRXUSDT,2021-02-03-00:00,2021-02-04-00:00,second,0.006270976555941088,TA
TRXUSDT,2021-02-04-00:00,2021-02-05-00:00,first,0.007296777207622864,TA
TRXUSDT,2021-02-04-00:00,2021-02-05-00:00,second,0.007358753215252774,TA
TRXUSDT,2021-02-05-00:00,2021-02-06-00:00,first,0.007556797271763011,TA
TRXUSDT,2021-02-05-00:00,2021-02-06-00:00,second,0.005753343453733799,TA
TRXUSDT,2021-02-06-00:00,2021-02-07-00:00,first,0.009621627360120002,TA
TRXUSDT,2021-02-06-00:00,2021-02-07-00:00,second,0.006862921959379825,TA
TRXUSDT,2021-02-07-00:00,2021-02-08-00:00,first,0.006752135669950946,TA
TRXUSDT,2021-02-07-00:00,2021-02-08-00:00,second,0.008897928922790427,TA
TRXUSDT,2021-02-08-00:00,2021-02-09-00:00,first,0.004180763105510168,TA
TRXUSDT,2021-02-08-00:00,2021-02-09-00:00,second,0.004830080844052774,TA
TRXUSDT,2021-02-09-00:00,2021-02-10-00:00,first,0.01457810595281572,TA
