symbol,start_date,end_date,digit_type,mad,target
XECUSDT,2021-09-03-00:00,2021-09-04-00:00,first,0.02129352408244025,TA
XECUSDT,2021-09-03-00:00,2021-09-04-00:00,second,0.010950493708354273,TA
XECUSDT,2021-09-04-00:00,2021-09-05-00:00,first,0.015950582542432902,TA
XECUSDT,2021-09-04-00:00,2021-09-05-00:00,second,0.0042305914766428004,TA
XECUSDT,2021-09-05-00:00,2021-09-06-00:00,first,0.009119414465022797,TA
XECUSDT,2021-09-05-00:00,2021-09-06-00:00,second,0.005698028732585944,TA
XECUSDT,2021-09-06-00:00,2021-09-07-00:00,first,0.017652598033613458,TA
XECUSDT,2021-09-06-00:00,2021-09-07-00:00,second,0.006049969565756509,TA
XECUSDT,2021-09-07-00:00,2021-09-08-00:00,first,0.017353956056910105,TA
XECUSDT,2021-09-07-00:00,2021-09-08-00:00,second,0.007004213131792054,TA
XECUSDT,2021-09-08-00:00,2021-09-09-00:00,first,0.01106600155791349,TA
XECUSDT,2021-09-08-00:00,2021-09-09-00:00,second,0.006224852269612609,TA
XECUSDT,2021-09-09-00:00,2021-09-10-00:00,first,0.014066740110756901,TA
XECUSDT,2021-09-09-00:00,2021-09-10-00:00,second,0.006419172266458469,TA
XECUSDT,2021-09-10-00:00,2021-09-11-00:00,first,0.015349175426175274,TA
XECUSDT,2021-09-10-00:00,2021-09-11-00:00,second,0.006419230367680717,TA
XECUSDT,2021-09-11-00:00,2021-09-12-00:00,first,0.018269453612301086,TA
XECUSDT,2021-09-11-00:00,2021-09-12-00:00,second,0.00518487404438019,TA
XECUSDT,2021-09-12-00:00,2021-09-13-00:00,first,0.015194961531503364,TA
XECUSDT,2021-09-12-00:00,2021-09-13-00:00,second,0.006943168779568805,TA
XECUSDT,2021-09-13-00:00,2021-09-14-00:00,first,0.008620846072036371,TA
XECUSDT,2021-09-13-00:00,2021-09-14-00:00,second,0.0064063643909193346,TA
XECUSDT,2021-09-14-00:00,2021-09-15-00:00,first,0.009165171176868872,TA
XECUSDT,2021-09-14-00:00,2021-09-15-00:00,second,0.009756705945760414,TA
XECUSDT,2021-09-15-00:00,2021-09-16-00:00,first,0.019612777669156124,TA
XECUSDT,2021-09-15-00:00,2021-09-16-00:00,second,0.007195301119143118,TA
XECUSDT,2021-09-16-00:00,2021-09-17-00:00,first,0.018741881108957293,TA
XECUSDT,2021-09-16-00:00,2021-09-17-00:00,second,0.005892135958938516,TA
XECUSDT,2021-09-17-00:00,2021-09-18-00:00,first,0.00992079218779842,TA
XECUSDT,2021-09-17-00:00,2021-09-18-00:00,second,0.008116643072946768,TA
XECUSDT,2021-09-18-00:00,2021-09-19-00:00,first,0.01839451497421084,TA
XECUSDT,2021-09-18-00:00,2021-09-19-00:00,second,0.004432526581823117,TA
XECUSDT,2021-09-19-00:00,2021-09-20-00:00,first,0.010453269142076779,TA
XECUSDT,2021-09-19-00:00,2021-09-20-00:00,second,0.0072161652232537715,TA
XECUSDT,2021-09-20-00:00,2021-09-21-00:00,first,0.010262812105594748,TA
XECUSDT,2021-09-20-00:00,2021-09-21-00:00,second,0.0068181312442366065,TA
XECUSDT,2021-09-21-00:00,2021-09-22-00:00,first,0.017816597740925828,TA
XECUSDT,2021-09-21-00:00,2021-09-22-00:00,second,0.007661801201815699,TA
XECUSDT,2021-09-22-00:00,2021-09-23-00:00,first,0.014423892058143808,TA
XECUSDT,2021-09-22-00:00,2021-09-23-00:00,second,0.0049899684746624266,TA
XECUSDT,2021-09-23-00:00,2021-09-24-00:00,first,0.013715567245998934,TA
XECUSDT,2021-09-23-00:00,2021-09-24-00:00,second,0.006127965354412529,TA
XECUSDT,2021-09-24-00:00,2021-09-25-00:00,first,0.009165171176868865,TA
XECUSDT,2021-09-24-00:00,2021-09-25-00:00,second,0.009570690467324696,TA
XECUSDT,2021-09-25-00:00,2021-09-26-00:00,first,0.010574207341135596,TA
XECUSDT,2021-09-25-00:00,2021-09-26-00:00,second,0.004839388664376064,TA
XECUSDT,2021-09-26-00:00,2021-09-27-00:00,first,0.008355163358106694,TA
XECUSDT,2021-09-26-00:00,2021-09-27-00:00,second,0.00596726802949242,TA
XECUSDT,2021-09-27-00:00,2021-09-28-00:00,first,0.013697423579976421,TA
XECUSDT,2021-09-27-00:00,2021-09-28-00:00,second,0.007123160322265114,TA
XECUSDT,2021-09-28-00:00,2021-09-29-00:00,first,0.0063783122060348495,TA
XECUSDT,2021-09-28-00:00,2021-09-29-00:00,second,0.008298644812902775,TA
XECUSDT,2021-09-29-00:00,2021-09-30-00:00,first,0.010207545034193239,TA
XECUSDT,2021-09-29-00:00,2021-09-30-00:00,second,0.008951673258377917,TA
XECUSDT,2021-09-30-00:00,2021-10-01-00:00,first,0.008448488511341957,TA
XECUSDT,2021-09-30-00:00,2021-10-01-00:00,second,0.009002974245727418,TA
XECUSDT,2021-10-01-00:00,2021-10-02-00:00,first,0.012264897532737074,TA
XECUSDT,2021-10-01-00:00,2021-10-02-00:00,second,0.004831811179191292,TA
XECUSDT,2021-10-02-00:00,2021-10-03-00:00,first,0.018086087184867018,TA
XECUSDT,2021-10-02-00:00,2021-10-03-00:00,second,0.007087069377665086,TA
XECUSDT,2021-10-03-00:00,2021-10-04-00:00,first,0.014539167607413096,TA
XECUSDT,2021-10-03-00:00,2021-10-04-00:00,second,0.005504362375770108,TA
XECUSDT,2021-10-04-00:00,2021-10-05-00:00,first,0.015282307602109666,TA
XECUSDT,2021-10-04-00:00,2021-10-05-00:00,second,0.0052455610183204035,TA
XECUSDT,2021-10-05-00:00,2021-10-06-00:00,first,0.007855439248466354,TA
XECUSDT,2021-10-05-00:00,2021-10-06-00:00,second,0.005133869072758704,TA
XECUSDT,2021-10-06-00:00,2021-10-07-00:00,first,0.010607483036748697,TA
XECUSDT,2021-10-06-00:00,2021-10-07-00:00,second,0.007434248813625774,TA
XECUSDT,2021-10-07-00:00,2021-10-08-00:00,first,0.020268571593246392,TA
XECUSDT,2021-10-07-00:00,2021-10-08-00:00,second,0.008597599303500108,TA
XECUSDT,2021-10-08-00:00,2021-10-09-00:00,first,0.01924346113837565,TA
XECUSDT,2021-10-08-00:00,2021-10-09-00:00,second,0.004365955321702311,TA
XECUSDT,2021-10-09-00:00,2021-10-10-00:00,first,0.013401476806865577,TA
XECUSDT,2021-10-09-00:00,2021-10-10-00:00,second,0.005738689993109452,TA
XECUSDT,2021-10-10-00:00,2021-10-11-00:00,first,0.017662383846253918,TA
XECUSDT,2021-10-10-00:00,2021-10-11-00:00,second,0.008028782529432739,TA
XECUSDT,2021-10-11-00:00,2021-10-12-00:00,first,0.006453493693247596,TA
XECUSDT,2021-10-11-00:00,2021-10-12-00:00,second,0.0058701434921870615,TA
XECUSDT,2021-10-12-00:00,2021-10-13-00:00,first,0.016842590214851273,TA
XECUSDT,2021-10-12-00:00,2021-10-13-00:00,second,0.006842867187164726,TA
XECUSDT,2021-10-13-00:00,2021-10-14-00:00,first,0.0071758390085640495,TA
XECUSDT,2021-10-13-00:00,2021-10-14-00:00,second,0.00889511927380192,TA
XECUSDT,2021-10-14-00:00,2021-10-15-00:00,first,0.013190180900768532,TA
XECUSDT,2021-10-14-00:00,2021-10-15-00:00,second,0.005123829887423205,TA
XECUSDT,2021-10-15-00:00,2021-10-16-00:00,first,0.0059050454255641545,TA
XECUSDT,2021-10-15-00:00,2021-10-16-00:00,second,0.005625904841837367,TA
XECUSDT,2021-10-16-00:00,2021-10-17-00:00,first,0.012249449070307073,TA
XECUSDT,2021-10-16-00:00,2021-10-17-00:00,second,0.00954555750973584,TA
XECUSDT,2021-10-17-00:00,2021-10-18-00:00,first,0.010100240357540804,TA
XECUSDT,2021-10-17-00:00,2021-10-18-00:00,second,0.006413011013544047,TA
XECUSDT,2021-10-18-00:00,2021-10-19-00:00,first,0.015097829648256591,TA
XECUSDT,2021-10-18-00:00,2021-10-19-00:00,second,0.005290026113873589,TA
XECUSDT,2021-10-19-00:00,2021-10-20-00:00,first,0.011314379889635144,TA
XECUSDT,2021-10-19-00:00,2021-10-20-00:00,second,0.007327505102945381,TA
XECUSDT,2021-10-20-00:00,2021-10-21-00:00,first,0.019497502119886836,TA
XECUSDT,2021-10-20-00:00,2021-10-21-00:00,second,0.0058245099441267935,TA
XECUSDT,2021-10-21-00:00,2021-10-22-00:00,first,0.013841851662007867,TA
XECUSDT,2021-10-21-00:00,2021-10-22-00:00,second,0.007476256688475511,TA
XECUSDT,2021-10-22-00:00,2021-10-23-00:00,first,0.009860219879201187,TA
XECUSDT,2021-10-22-00:00,2021-10-23-00:00,second,0.005431358245070699,TA
XECUSDT,2021-10-23-00:00,2021-10-24-00:00,first,0.00820661211322432,TA
XECUSDT,2021-10-23-00:00,2021-10-24-00:00,second,0.006105351544743509,TA
XECUSDT,2021-10-24-00:00,2021-10-25-00:00,first,0.005259560165089434,TA
XECUSDT,2021-10-24-00:00,2021-10-25-00:00,second,0.004357139946022793,TA
XECUSDT,2021-10-25-00:00,2021-10-26-00:00,first,0.012684794141338655,TA
XECUSDT,2021-10-25-00:00,2021-10-26-00:00,second,0.00578095098412212,TA
XECUSDT,2021-10-26-00:00,2021-10-27-00:00,first,0.013020518543666612,TA
