symbol,start_date,end_date,digit_type,mad,target
KRW-AXS,2022-01-01-00:00,2021-12-31-00:00,first,0.014661790524073792,TA
KRW-AXS,2022-01-01-00:00,2021-12-31-00:00,second,0.019898009202418705,TA
KRW-AXS,2021-12-31-00:00,2021-12-30-00:00,first,0.009850215571694122,TA
KRW-AXS,2021-12-31-00:00,2021-12-30-00:00,second,0.014980267299392424,TA
KRW-AXS,2021-12-30-00:00,2021-12-29-00:00,first,0.007306387840075009,TA
KRW-AXS,2021-12-30-00:00,2021-12-29-00:00,second,0.011393500336090667,TA
KRW-AXS,2021-12-29-00:00,2021-12-28-00:00,first,0.008514884891874028,TA
KRW-AXS,2021-12-29-00:00,2021-12-28-00:00,second,0.012644816973580619,TA
KRW-AXS,2021-12-28-00:00,2021-12-27-00:00,first,0.013584648894263677,TA
KRW-AXS,2021-12-28-00:00,2021-12-27-00:00,second,0.010881990240937027,TA
KRW-AXS,2021-12-27-00:00,2021-12-26-00:00,first,0.007298859004444243,TA
KRW-AXS,2021-12-27-00:00,2021-12-26-00:00,second,0.011484478108607775,TA
KRW-AXS,2021-12-26-00:00,2021-12-25-00:00,first,0.007698018934203358,TA
KRW-AXS,2021-12-26-00:00,2021-12-25-00:00,second,0.005678758441068558,TA
KRW-AXS,2021-12-25-00:00,2021-12-24-00:00,first,0.007820707370287857,TA
KRW-AXS,2021-12-25-00:00,2021-12-24-00:00,second,0.012889286361527997,TA
KRW-AXS,2021-12-24-00:00,2021-12-23-00:00,first,0.008693970444860736,TA
KRW-AXS,2021-12-24-00:00,2021-12-23-00:00,second,0.011603853287879443,TA
KRW-AXS,2021-12-23-00:00,2021-12-22-00:00,first,0.005340281717270859,TA
KRW-AXS,2021-12-23-00:00,2021-12-22-00:00,second,0.010054000339947921,TA
KRW-AXS,2021-12-22-00:00,2021-12-21-00:00,first,0.010798451332138501,TA
KRW-AXS,2021-12-22-00:00,2021-12-21-00:00,second,0.012379779455681033,TA
KRW-AXS,2021-12-21-00:00,2021-12-20-00:00,first,0.007478732085849627,TA
KRW-AXS,2021-12-21-00:00,2021-12-20-00:00,second,0.01018313660239543,TA
KRW-AXS,2021-12-20-00:00,2021-12-19-00:00,first,0.008543674451262778,TA
KRW-AXS,2021-12-20-00:00,2021-12-19-00:00,second,0.010272644471801812,TA
KRW-AXS,2021-12-19-00:00,2021-12-18-00:00,first,0.007805005951866682,TA
KRW-AXS,2021-12-19-00:00,2021-12-18-00:00,second,0.01856467586908537,TA
KRW-AXS,2021-12-18-00:00,2021-12-17-00:00,first,0.006022932483189288,TA
KRW-AXS,2021-12-18-00:00,2021-12-17-00:00,second,0.010672897510235677,TA
KRW-AXS,2021-12-17-00:00,2021-12-16-00:00,first,0.008060481085518403,TA
KRW-AXS,2021-12-17-00:00,2021-12-16-00:00,second,0.011665493741395316,TA
KRW-AXS,2021-12-16-00:00,2021-12-15-00:00,first,0.005260669436348778,TA
KRW-AXS,2021-12-16-00:00,2021-12-15-00:00,second,0.008910968228420118,TA
KRW-AXS,2021-12-15-00:00,2021-12-14-00:00,first,0.00806800992114918,TA
KRW-AXS,2021-12-15-00:00,2021-12-14-00:00,second,0.00647408379153606,TA
KRW-AXS,2021-12-14-00:00,2021-12-13-00:00,first,0.008580242119985308,TA
KRW-AXS,2021-12-14-00:00,2021-12-13-00:00,second,0.009561693944150927,TA
KRW-AXS,2021-12-13-00:00,2021-12-12-00:00,first,0.005664483341943266,TA
KRW-AXS,2021-12-13-00:00,2021-12-12-00:00,second,0.011396849864398451,TA
KRW-AXS,2021-12-12-00:00,2021-12-11-00:00,first,0.00930853568552483,TA
KRW-AXS,2021-12-12-00:00,2021-12-11-00:00,second,0.012851420872307562,TA
KRW-AXS,2021-12-11-00:00,2021-12-10-00:00,first,0.009014290532084388,TA
KRW-AXS,2021-12-11-00:00,2021-12-10-00:00,second,0.009189002739717646,TA
KRW-AXS,2021-12-10-00:00,2021-12-09-00:00,first,0.008663495217944281,TA
KRW-AXS,2021-12-10-00:00,2021-12-09-00:00,second,0.006889567573593729,TA
KRW-AXS,2021-12-09-00:00,2021-12-08-00:00,first,0.007124175594466702,TA
KRW-AXS,2021-12-09-00:00,2021-12-08-00:00,second,0.00862489932291494,TA
KRW-AXS,2021-12-08-00:00,2021-12-07-00:00,first,0.005542582434277444,TA
KRW-AXS,2021-12-08-00:00,2021-12-07-00:00,second,0.009625710123442226,TA
KRW-AXS,2021-12-07-00:00,2021-12-06-00:00,first,0.00867166780073468,TA
