symbol,start_date,end_date,digit_type,mad,target
AVAXUSDT,2022-01-01-00:00,2022-01-02-00:00,first,0.004515264453738949,TA
AVAXUSDT,2022-01-01-00:00,2022-01-02-00:00,second,0.004857582518356694,TA
AVAXUSDT,2022-01-02-00:00,2022-01-03-00:00,first,0.012916568293976406,TA
AVAXUSDT,2022-01-02-00:00,2022-01-03-00:00,second,0.0057585925603439465,TA
AVAXUSDT,2022-01-03-00:00,2022-01-04-00:00,first,0.018379066511780846,TA
AVAXUSDT,2022-01-03-00:00,2022-01-04-00:00,second,0.005897887977335483,TA
AVAXUSDT,2022-01-04-00:00,2022-01-05-00:00,first,0.017668046496043453,TA
AVAXUSDT,2022-01-04-00:00,2022-01-05-00:00,second,0.008365837415941149,TA
AVAXUSDT,2022-01-05-00:00,2022-01-06-00:00,first,0.013350057445229975,TA
AVAXUSDT,2022-01-05-00:00,2022-01-06-00:00,second,0.005636352794863417,TA
AVAXUSDT,2022-01-06-00:00,2022-01-07-00:00,first,0.019210185442762557,TA
AVAXUSDT,2022-01-06-00:00,2022-01-07-00:00,second,0.0058738908206625445,TA
AVAXUSDT,2022-01-07-00:00,2022-01-08-00:00,first,0.012678815058709708,TA
AVAXUSDT,2022-01-07-00:00,2022-01-08-00:00,second,0.009630822777655668,TA
AVAXUSDT,2022-01-08-00:00,2022-01-09-00:00,first,0.026134362240568504,TA
AVAXUSDT,2022-01-08-00:00,2022-01-09-00:00,second,0.006151794012386906,TA
AVAXUSDT,2022-01-09-00:00,2022-01-10-00:00,first,0.009077825106262575,TA
AVAXUSDT,2022-01-09-00:00,2022-01-10-00:00,second,0.007747440372244808,TA
AVAXUSDT,2022-01-10-00:00,2022-01-11-00:00,first,0.009957351762447957,TA
AVAXUSDT,2022-01-10-00:00,2022-01-11-00:00,second,0.006183899149453789,TA
AVAXUSDT,2022-01-11-00:00,2022-01-12-00:00,first,0.014038810632093921,TA
AVAXUSDT,2022-01-11-00:00,2022-01-12-00:00,second,0.006237856692023762,TA
AVAXUSDT,2022-01-12-00:00,2022-01-13-00:00,first,0.007547011459122534,TA
AVAXUSDT,2022-01-12-00:00,2022-01-13-00:00,second,0.005982739978629213,TA
AVAXUSDT,2022-01-13-00:00,2022-01-14-00:00,first,0.013580292110929126,TA
AVAXUSDT,2022-01-13-00:00,2022-01-14-00:00,second,0.0055294791844334844,TA
AVAXUSDT,2022-01-14-00:00,2022-01-15-00:00,first,0.019122206506477418,TA
AVAXUSDT,2022-01-14-00:00,2022-01-15-00:00,second,0.00791576136339342,TA
AVAXUSDT,2022-01-15-00:00,2022-01-16-00:00,first,0.01682444654882877,TA
AVAXUSDT,2022-01-15-00:00,2022-01-16-00:00,second,0.0062977852559487945,TA
AVAXUSDT,2022-01-16-00:00,2022-01-17-00:00,first,0.01692427363566805,TA
AVAXUSDT,2022-01-16-00:00,2022-01-17-00:00,second,0.006104199491862227,TA
AVAXUSDT,2022-01-17-00:00,2022-01-18-00:00,first,0.02189805661057179,TA
AVAXUSDT,2022-01-17-00:00,2022-01-18-00:00,second,0.005695494546744019,TA
AVAXUSDT,2022-01-18-00:00,2022-01-19-00:00,first,0.020582662032379746,TA
AVAXUSDT,2022-01-18-00:00,2022-01-19-00:00,second,0.005593063857854863,TA
AVAXUSDT,2022-01-19-00:00,2022-01-20-00:00,first,0.016337203455421407,TA
