symbol,start_date,end_date,digit_type,mad,target
KRW-FLOW,2023-01-01-00:00,2022-12-31-00:00,first,0.008355249403642441,TA
KRW-FLOW,2023-01-01-00:00,2022-12-31-00:00,second,0.009056395379144806,TA
KRW-FLOW,2022-12-31-00:00,2022-12-30-00:00,first,0.010090513160855545,TA
KRW-FLOW,2022-12-31-00:00,2022-12-30-00:00,second,0.0077022466178811476,TA
KRW-FLOW,2022-12-30-00:00,2022-12-29-00:00,first,0.006035759041815057,TA
KRW-FLOW,2022-12-30-00:00,2022-12-29-00:00,second,0.006574463986998064,TA
KRW-FLOW,2022-12-29-00:00,2022-12-28-00:00,first,0.007348529904166413,TA
KRW-FLOW,2022-12-29-00:00,2022-12-28-00:00,second,0.011040279459538286,TA
KRW-FLOW,2022-12-28-00:00,2022-12-27-00:00,first,0.0052100795355876405,TA
KRW-FLOW,2022-12-28-00:00,2022-12-27-00:00,second,0.008209582658314094,TA
KRW-FLOW,2022-12-27-00:00,2022-12-26-00:00,first,0.005022821399810536,TA
KRW-FLOW,2022-12-27-00:00,2022-12-26-00:00,second,0.011550665153313093,TA
KRW-FLOW,2022-12-26-00:00,2022-12-25-00:00,first,0.018858800235789373,TA
KRW-FLOW,2022-12-26-00:00,2022-12-25-00:00,second,0.015119988520907424,TA
KRW-FLOW,2022-12-25-00:00,2022-12-24-00:00,first,0.012458058531488897,TA
KRW-FLOW,2022-12-25-00:00,2022-12-24-00:00,second,0.018372644471801806,TA
KRW-FLOW,2022-12-24-00:00,2022-12-23-00:00,first,0.01113833928520002,TA
KRW-FLOW,2022-12-24-00:00,2022-12-23-00:00,second,0.0148980092024187,TA
KRW-FLOW,2022-12-23-00:00,2022-12-22-00:00,first,0.012548889852448617,TA
KRW-FLOW,2022-12-23-00:00,2022-12-22-00:00,second,0.01506467586908537,TA
KRW-FLOW,2022-12-22-00:00,2022-12-21-00:00,first,0.01411984905556269,TA
KRW-FLOW,2022-12-22-00:00,2022-12-21-00:00,second,0.017231342535752037,TA
KRW-FLOW,2022-12-21-00:00,2022-12-20-00:00,first,0.0072003061519131046,TA
KRW-FLOW,2022-12-21-00:00,2022-12-20-00:00,second,0.01696704273465039,TA
KRW-FLOW,2022-12-20-00:00,2022-12-19-00:00,first,0.01087262210880653,TA
KRW-FLOW,2022-12-20-00:00,2022-12-19-00:00,second,0.015717321129855206,TA
KRW-FLOW,2022-12-19-00:00,2022-12-18-00:00,first,0.011323524470385204,TA
KRW-FLOW,2022-12-19-00:00,2022-12-18-00:00,second,0.025395895375287546,TA
KRW-FLOW,2022-12-18-00:00,2022-12-17-00:00,first,0.010538175659999071,TA
