symbol,start_date,end_date,digit_type,mad,target
QTUMUSDT,2023-01-01-00:00,2023-01-02-00:00,first,0.02435198695262813,TA
QTUMUSDT,2023-01-01-00:00,2023-01-02-00:00,second,0.015088372643875886,TA
QTUMUSDT,2023-01-02-00:00,2023-01-03-00:00,first,0.018403478621708384,TA
QTUMUSDT,2023-01-02-00:00,2023-01-03-00:00,second,0.011704346394039635,TA
QTUMUSDT,2023-01-03-00:00,2023-01-04-00:00,first,0.04575822259392734,TA
QTUMUSDT,2023-01-03-00:00,2023-01-04-00:00,second,0.021359322620261623,TA
QTUMUSDT,2023-01-04-00:00,2023-01-05-00:00,first,0.010925288890128374,TA
QTUMUSDT,2023-01-04-00:00,2023-01-05-00:00,second,0.009733616355054271,TA
QTUMUSDT,2023-01-05-00:00,2023-01-06-00:00,first,0.008261235929713185,TA
QTUMUSDT,2023-01-05-00:00,2023-01-06-00:00,second,0.014975178988942694,TA
QTUMUSDT,2023-01-06-00:00,2023-01-07-00:00,first,0.017759657225970046,TA
QTUMUSDT,2023-01-06-00:00,2023-01-07-00:00,second,0.016472282249912484,TA
QTUMUSDT,2023-01-07-00:00,2023-01-08-00:00,first,0.02220049866107878,TA
QTUMUSDT,2023-01-07-00:00,2023-01-08-00:00,second,0.013325999528754101,TA
QTUMUSDT,2023-01-08-00:00,2023-01-09-00:00,first,0.019515980261984464,TA
QTUMUSDT,2023-01-08-00:00,2023-01-09-00:00,second,0.018778348276908743,TA
QTUMUSDT,2023-01-09-00:00,2023-01-10-00:00,first,0.006586939349444588,TA
QTUMUSDT,2023-01-09-00:00,2023-01-10-00:00,second,0.012572215534115212,TA
QTUMUSDT,2023-01-10-00:00,2023-01-11-00:00,first,0.010152797525762588,TA
QTUMUSDT,2023-01-10-00:00,2023-01-11-00:00,second,0.01571587591284985,TA
QTUMUSDT,2023-01-11-00:00,2023-01-12-00:00,first,0.012139256347534612,TA
QTUMUSDT,2023-01-11-00:00,2023-01-12-00:00,second,0.014620639521818824,TA
QTUMUSDT,2023-01-12-00:00,2023-01-13-00:00,first,0.007720808600304589,TA
QTUMUSDT,2023-01-12-00:00,2023-01-13-00:00,second,0.010891614817122924,TA
QTUMUSDT,2023-01-13-00:00,2023-01-14-00:00,first,0.009538168367431737,TA
QTUMUSDT,2023-01-13-00:00,2023-01-14-00:00,second,0.012039759252590338,TA
QTUMUSDT,2023-01-14-00:00,2023-01-15-00:00,first,0.004215806972589286,TA
QTUMUSDT,2023-01-14-00:00,2023-01-15-00:00,second,0.008278987747551467,TA
QTUMUSDT,2023-01-15-00:00,2023-01-16-00:00,first,0.010555832320181735,TA
QTUMUSDT,2023-01-15-00:00,2023-01-16-00:00,second,0.007199359436805372,TA
QTUMUSDT,2023-01-16-00:00,2023-01-17-00:00,first,0.009661536505766602,TA
QTUMUSDT,2023-01-16-00:00,2023-01-17-00:00,second,0.00790920162542416,TA
QTUMUSDT,2023-01-17-00:00,2023-01-18-00:00,first,0.005733880212655012,TA
QTUMUSDT,2023-01-17-00:00,2023-01-18-00:00,second,0.011871038642492875,TA
QTUMUSDT,2023-01-18-00:00,2023-01-19-00:00,first,0.008077809847293069,TA
QTUMUSDT,2023-01-18-00:00,2023-01-19-00:00,second,0.0063031773042806615,TA
QTUMUSDT,2023-01-19-00:00,2023-01-20-00:00,first,0.014216091849346626,TA
QTUMUSDT,2023-01-19-00:00,2023-01-20-00:00,second,0.010508543946114193,TA
QTUMUSDT,2023-01-20-00:00,2023-01-21-00:00,first,0.01027701060737899,TA
QTUMUSDT,2023-01-20-00:00,2023-01-21-00:00,second,0.017219854057920054,TA
QTUMUSDT,2023-01-21-00:00,2023-01-22-00:00,first,0.007728558617022983,TA
QTUMUSDT,2023-01-21-00:00,2023-01-22-00:00,second,0.006432354859735641,TA
QTUMUSDT,2023-01-22-00:00,2023-01-23-00:00,first,0.011372732889343477,TA
QTUMUSDT,2023-01-22-00:00,2023-01-23-00:00,second,0.011219408578048146,TA
QTUMUSDT,2023-01-23-00:00,2023-01-24-00:00,first,0.009418349327360818,TA
QTUMUSDT,2023-01-23-00:00,2023-01-24-00:00,second,0.01081648533398625,TA
QTUMUSDT,2023-01-24-00:00,2023-01-25-00:00,first,0.010354631422218073,TA
QTUMUSDT,2023-01-24-00:00,2023-01-25-00:00,second,0.010243504485471502,TA
QTUMUSDT,2023-01-25-00:00,2023-01-26-00:00,first,0.020165761093818853,TA
QTUMUSDT,2023-01-25-00:00,2023-01-26-00:00,second,0.006542608313393888,TA
QTUMUSDT,2023-01-26-00:00,2023-01-27-00:00,first,0.010036243632225692,TA
QTUMUSDT,2023-01-26-00:00,2023-01-27-00:00,second,0.006084549990635841,TA
QTUMUSDT,2023-01-27-00:00,2023-01-28-00:00,first,0.006719956072172232,TA
QTUMUSDT,2023-01-27-00:00,2023-01-28-00:00,second,0.005792620580871026,TA
QTUMUSDT,2023-01-28-00:00,2023-01-29-00:00,first,0.009896485155870115,TA
QTUMUSDT,2023-01-28-00:00,2023-01-29-00:00,second,0.008993716247144701,TA
QTUMUSDT,2023-01-29-00:00,2023-01-30-00:00,first,0.020618120761382572,TA
QTUMUSDT,2023-01-29-00:00,2023-01-30-00:00,second,0.013589680345417781,TA
QTUMUSDT,2023-01-30-00:00,2023-01-31-00:00,first,0.006140012802595276,TA
QTUMUSDT,2023-01-30-00:00,2023-01-31-00:00,second,0.008411470799966346,TA
QTUMUSDT,2023-01-31-00:00,2023-02-01-00:00,first,0.008366987017089543,TA
QTUMUSDT,2023-01-31-00:00,2023-02-01-00:00,second,0.007679187910399715,TA
QTUMUSDT,2023-02-01-00:00,2023-02-02-00:00,first,0.009986126402166515,TA
QTUMUSDT,2023-02-01-00:00,2023-02-02-00:00,second,0.0057230137035926346,TA
QTUMUSDT,2023-02-02-00:00,2023-02-03-00:00,first,0.007313057062430933,TA
QTUMUSDT,2023-02-02-00:00,2023-02-03-00:00,second,0.007572610343299641,TA
QTUMUSDT,2023-02-03-00:00,2023-02-04-00:00,first,0.01072981184268045,TA
QTUMUSDT,2023-02-03-00:00,2023-02-04-00:00,second,0.008153170673407782,TA
QTUMUSDT,2023-02-04-00:00,2023-02-05-00:00,first,0.011037567360075363,TA
QTUMUSDT,2023-02-04-00:00,2023-02-05-00:00,second,0.008244713120157867,TA
QTUMUSDT,2023-02-05-00:00,2023-02-06-00:00,first,0.009943326830944515,TA
QTUMUSDT,2023-02-05-00:00,2023-02-06-00:00,second,0.010416535134083499,TA
QTUMUSDT,2023-02-06-00:00,2023-02-07-00:00,first,0.009279305739562543,TA
QTUMUSDT,2023-02-06-00:00,2023-02-07-00:00,second,0.006295671401528077,TA
QTUMUSDT,2023-02-07-00:00,2023-02-08-00:00,first,0.012236429324010081,TA
QTUMUSDT,2023-02-07-00:00,2023-02-08-00:00,second,0.007473359551938409,TA
QTUMUSDT,2023-02-08-00:00,2023-02-09-00:00,first,0.010209526772093797,TA
QTUMUSDT,2023-02-08-00:00,2023-02-09-00:00,second,0.0071204551744493624,TA
QTUMUSDT,2023-02-09-00:00,2023-02-10-00:00,first,0.009914882431165383,TA
QTUMUSDT,2023-02-09-00:00,2023-02-10-00:00,second,0.007641621441518314,TA
QTUMUSDT,2023-02-10-00:00,2023-02-11-00:00,first,0.006826744920598115,TA
QTUMUSDT,2023-02-10-00:00,2023-02-11-00:00,second,0.006849073650790967,TA
QTUMUSDT,2023-02-11-00:00,2023-02-12-00:00,first,0.00983189433690597,TA
QTUMUSDT,2023-02-11-00:00,2023-02-12-00:00,second,0.009072758927843459,TA
QTUMUSDT,2023-02-12-00:00,2023-02-13-00:00,first,0.008604706133310106,TA
QTUMUSDT,2023-02-12-00:00,2023-02-13-00:00,second,0.010893994170188796,TA
QTUMUSDT,2023-02-13-00:00,2023-02-14-00:00,first,0.008653802614855264,TA
QTUMUSDT,2023-02-13-00:00,2023-02-14-00:00,second,0.007770444156146051,TA
QTUMUSDT,2023-02-14-00:00,2023-02-15-00:00,first,0.006171168809330895,TA
QTUMUSDT,2023-02-14-00:00,2023-02-15-00:00,second,0.00936867867275591,TA
QTUMUSDT,2023-02-15-00:00,2023-02-16-00:00,first,0.007288306045811837,TA
QTUMUSDT,2023-02-15-00:00,2023-02-16-00:00,second,0.011766644214866727,TA
QTUMUSDT,2023-02-16-00:00,2023-02-17-00:00,first,0.0067086757314570675,TA
QTUMUSDT,2023-02-16-00:00,2023-02-17-00:00,second,0.004573415893790884,TA
QTUMUSDT,2023-02-17-00:00,2023-02-18-00:00,first,0.007345147529997496,TA
QTUMUSDT,2023-02-17-00:00,2023-02-18-00:00,second,0.008316496399546583,TA
QTUMUSDT,2023-02-18-00:00,2023-02-19-00:00,first,0.005659054235884578,TA
QTUMUSDT,2023-02-18-00:00,2023-02-19-00:00,second,0.010129201938425482,TA
QTUMUSDT,2023-02-19-00:00,2023-02-20-00:00,first,0.006358080341844342,TA
QTUMUSDT,2023-02-19-00:00,2023-02-20-00:00,second,0.007405097280386805,TA
QTUMUSDT,2023-02-20-00:00,2023-02-21-00:00,first,0.007651287129706165,TA
