symbol,start_date,end_date,digit_type,mad,target
STRAXUSDT,2023-01-01-00:00,2023-01-02-00:00,first,0.0606340368551214,TA
STRAXUSDT,2023-01-01-00:00,2023-01-02-00:00,second,0.02530489809503316,TA
STRAXUSDT,2023-01-02-00:00,2023-01-03-00:00,first,0.038134913444528226,TA
STRAXUSDT,2023-01-02-00:00,2023-01-03-00:00,second,0.03289197254849327,TA
STRAXUSDT,2023-01-03-00:00,2023-01-04-00:00,first,0.049299071406551744,TA
STRAXUSDT,2023-01-03-00:00,2023-01-04-00:00,second,0.04389396466878873,TA
STRAXUSDT,2023-01-04-00:00,2023-01-05-00:00,first,0.03759830167618369,TA
STRAXUSDT,2023-01-04-00:00,2023-01-05-00:00,second,0.03560800294954114,TA
STRAXUSDT,2023-01-05-00:00,2023-01-06-00:00,first,0.024206715630132443,TA
STRAXUSDT,2023-01-05-00:00,2023-01-06-00:00,second,0.017477075867976036,TA
STRAXUSDT,2023-01-06-00:00,2023-01-07-00:00,first,0.03040272613554122,TA
STRAXUSDT,2023-01-06-00:00,2023-01-07-00:00,second,0.025095175215248965,TA
STRAXUSDT,2023-01-07-00:00,2023-01-08-00:00,first,0.04200100661328987,TA
STRAXUSDT,2023-01-07-00:00,2023-01-08-00:00,second,0.030865183518247952,TA
STRAXUSDT,2023-01-08-00:00,2023-01-09-00:00,first,0.03890389714617126,TA
STRAXUSDT,2023-01-08-00:00,2023-01-09-00:00,second,0.021949491219894028,TA
STRAXUSDT,2023-01-09-00:00,2023-01-10-00:00,first,0.039418012861467996,TA
STRAXUSDT,2023-01-09-00:00,2023-01-10-00:00,second,0.02843297153104566,TA
STRAXUSDT,2023-01-10-00:00,2023-01-11-00:00,first,0.03291871818806302,TA
STRAXUSDT,2023-01-10-00:00,2023-01-11-00:00,second,0.027763451602135836,TA
STRAXUSDT,2023-01-11-00:00,2023-01-12-00:00,first,0.03190028558315469,TA
STRAXUSDT,2023-01-11-00:00,2023-01-12-00:00,second,0.018150040857235244,TA
STRAXUSDT,2023-01-12-00:00,2023-01-13-00:00,first,0.02506465725559989,TA
STRAXUSDT,2023-01-12-00:00,2023-01-13-00:00,second,0.018716493032895964,TA
STRAXUSDT,2023-01-13-00:00,2023-01-14-00:00,first,0.025997929734280233,TA
STRAXUSDT,2023-01-13-00:00,2023-01-14-00:00,second,0.028109010795853706,TA
STRAXUSDT,2023-01-14-00:00,2023-01-15-00:00,first,0.01895150228959953,TA
STRAXUSDT,2023-01-14-00:00,2023-01-15-00:00,second,0.03069885651854063,TA
STRAXUSDT,2023-01-15-00:00,2023-01-16-00:00,first,0.02242520608028054,TA
STRAXUSDT,2023-01-15-00:00,2023-01-16-00:00,second,0.0434577394529004,TA
STRAXUSDT,2023-01-16-00:00,2023-01-17-00:00,first,0.027222286720020753,TA
STRAXUSDT,2023-01-16-00:00,2023-01-17-00:00,second,0.043892288990390986,TA
STRAXUSDT,2023-01-17-00:00,2023-01-18-00:00,first,0.019678614730197018,TA
STRAXUSDT,2023-01-17-00:00,2023-01-18-00:00,second,0.024177811650159125,TA
STRAXUSDT,2023-01-18-00:00,2023-01-19-00:00,first,0.022261707455419437,TA
STRAXUSDT,2023-01-18-00:00,2023-01-19-00:00,second,0.03200649954555074,TA
STRAXUSDT,2023-01-19-00:00,2023-01-20-00:00,first,0.026465301072418616,TA
STRAXUSDT,2023-01-19-00:00,2023-01-20-00:00,second,0.03502621433062383,TA
STRAXUSDT,2023-01-20-00:00,2023-01-21-00:00,first,0.02983293219716041,TA
STRAXUSDT,2023-01-20-00:00,2023-01-21-00:00,second,0.05501350316119624,TA
STRAXUSDT,2023-01-21-00:00,2023-01-22-00:00,first,0.03672127553076746,TA
STRAXUSDT,2023-01-21-00:00,2023-01-22-00:00,second,0.03045088919575663,TA
STRAXUSDT,2023-01-22-00:00,2023-01-23-00:00,first,0.052908410093762376,TA
STRAXUSDT,2023-01-22-00:00,2023-01-23-00:00,second,0.05017854221592134,TA
STRAXUSDT,2023-01-23-00:00,2023-01-24-00:00,first,0.03621936838509281,TA
