symbol,start_date,end_date,digit_type,mad,target
KRW-ETC,2024-01-01-00:00,2023-12-31-00:00,first,0.010715584807996484,TA
KRW-ETC,2024-01-01-00:00,2023-12-31-00:00,second,0.010710018249087995,TA
KRW-ETC,2023-12-31-00:00,2023-12-30-00:00,first,0.00848376406792203,TA
KRW-ETC,2023-12-31-00:00,2023-12-30-00:00,second,0.005039704019082275,TA
KRW-ETC,2023-12-30-00:00,2023-12-29-00:00,first,0.012957775850658305,TA
KRW-ETC,2023-12-30-00:00,2023-12-29-00:00,second,0.0058676410984977775,TA
KRW-ETC,2023-12-29-00:00,2023-12-28-00:00,first,0.007197066289477965,TA
KRW-ETC,2023-12-29-00:00,2023-12-28-00:00,second,0.004448165496998109,TA
KRW-ETC,2023-12-28-00:00,2023-12-27-00:00,first,0.006224844067255741,TA
KRW-ETC,2023-12-28-00:00,2023-12-27-00:00,second,0.0055371359046793,TA
KRW-ETC,2023-12-27-00:00,2023-12-26-00:00,first,0.007472771825911094,TA
KRW-ETC,2023-12-27-00:00,2023-12-26-00:00,second,0.00443396637298149,TA
KRW-ETC,2023-12-26-00:00,2023-12-25-00:00,first,0.006050946335820963,TA
KRW-ETC,2023-12-26-00:00,2023-12-25-00:00,second,0.0068948201389279415,TA
KRW-ETC,2023-12-24-00:00,2023-12-23-00:00,first,0.009250832284519459,TA
KRW-ETC,2023-12-24-00:00,2023-12-23-00:00,second,0.004134864728610193,TA
KRW-ETC,2023-12-23-00:00,2023-12-22-00:00,first,0.006764321380088779,TA
KRW-ETC,2023-12-23-00:00,2023-12-22-00:00,second,0.00616913698341829,TA
KRW-ETC,2023-12-22-00:00,2023-12-21-00:00,first,0.008562221258662487,TA
KRW-ETC,2023-12-22-00:00,2023-12-21-00:00,second,0.005464472726782845,TA
KRW-ETC,2023-12-21-00:00,2023-12-20-00:00,first,0.008935439577134588,TA
KRW-ETC,2023-12-21-00:00,2023-12-20-00:00,second,0.008201170798412054,TA
KRW-ETC,2023-12-20-00:00,2023-12-19-00:00,first,0.00751790050111689,TA
KRW-ETC,2023-12-20-00:00,2023-12-19-00:00,second,0.008654616880137547,TA
KRW-ETC,2023-12-19-00:00,2023-12-18-00:00,first,0.006457226246969444,TA
KRW-ETC,2023-12-19-00:00,2023-12-18-00:00,second,0.0067253452874615465,TA
KRW-ETC,2023-12-18-00:00,2023-12-17-00:00,first,0.008038447214126554,TA
KRW-ETC,2023-12-18-00:00,2023-12-17-00:00,second,0.0073893685385355064,TA
KRW-ETC,2023-12-17-00:00,2023-12-16-00:00,first,0.0061146053654956576,TA
KRW-ETC,2023-12-17-00:00,2023-12-16-00:00,second,0.005229228708620881,TA
KRW-ETC,2023-12-16-00:00,2023-12-15-00:00,first,0.009681113038230585,TA
KRW-ETC,2023-12-16-00:00,2023-12-15-00:00,second,0.005928825371277263,TA
KRW-ETC,2023-12-15-00:00,2023-12-14-00:00,first,0.006604162727173589,TA
KRW-ETC,2023-12-15-00:00,2023-12-14-00:00,second,0.007013581804395784,TA
KRW-ETC,2023-12-14-00:00,2023-12-13-00:00,first,0.00937376792216097,TA
KRW-ETC,2023-12-14-00:00,2023-12-13-00:00,second,0.008575131457607235,TA
KRW-ETC,2023-12-13-00:00,2023-12-12-00:00,first,0.010326667630226403,TA
KRW-ETC,2023-12-13-00:00,2023-12-12-00:00,second,0.0064647618121122154,TA
KRW-ETC,2023-12-12-00:00,2023-12-11-00:00,first,0.007707101255494305,TA
KRW-ETC,2023-12-12-00:00,2023-12-11-00:00,second,0.005720091972094057,TA
KRW-ETC,2023-12-11-00:00,2023-12-10-00:00,first,0.008593735846823842,TA
KRW-ETC,2023-12-11-00:00,2023-12-10-00:00,second,0.0038673095949584,TA
KRW-ETC,2023-12-10-00:00,2023-12-09-00:00,first,0.010866394926009717,TA
KRW-ETC,2023-12-10-00:00,2023-12-09-00:00,second,0.006806455875582247,TA
KRW-ETC,2023-12-09-00:00,2023-12-08-00:00,first,0.013431113038230575,TA
KRW-ETC,2023-12-09-00:00,2023-12-08-00:00,second,0.006250267772492079,TA
KRW-ETC,2023-12-08-00:00,2023-12-07-00:00,first,0.0070126568110498505,TA
KRW-ETC,2023-12-08-00:00,2023-12-07-00:00,second,0.004586334571689268,TA
KRW-ETC,2023-12-07-00:00,2023-12-06-00:00,first,0.006854445408004174,TA
KRW-ETC,2023-12-07-00:00,2023-12-06-00:00,second,0.004622823568275968,TA
KRW-ETC,2023-12-06-00:00,2023-12-05-00:00,first,0.005874175594466701,TA
KRW-ETC,2023-12-06-00:00,2023-12-05-00:00,second,0.007187582771682051,TA
KRW-ETC,2023-12-05-00:00,2023-12-04-00:00,first,0.008548607171618032,TA
KRW-ETC,2023-12-05-00:00,2023-12-04-00:00,second,0.004743390603939952,TA
KRW-ETC,2023-12-04-00:00,2023-12-03-00:00,first,0.00923565033103004,TA
KRW-ETC,2023-12-04-00:00,2023-12-03-00:00,second,0.006209051330039193,TA
KRW-ETC,2023-12-03-00:00,2023-12-02-00:00,first,0.005976508636294658,TA
KRW-ETC,2023-12-03-00:00,2023-12-02-00:00,second,0.007422367921774126,TA
KRW-ETC,2023-12-02-00:00,2023-12-01-00:00,first,0.005189080394171472,TA
KRW-ETC,2023-12-02-00:00,2023-12-01-00:00,second,0.007432838893769148,TA
KRW-ETC,2023-12-01-00:00,2023-11-30-00:00,first,0.010873409637225209,TA
KRW-ETC,2023-12-01-00:00,2023-11-30-00:00,second,0.006282432589714511,TA
