symbol,start_date,end_date,digit_type,mad,target
PENDLEUSDT,2024-07-01-00:00,2024-07-02-00:00,first,0.005241377656178847,TA
PENDLEUSDT,2024-07-01-00:00,2024-07-02-00:00,second,0.006864308309716072,TA
PENDLEUSDT,2024-07-02-00:00,2024-07-03-00:00,first,0.007332469455807071,TA
PENDLEUSDT,2024-07-02-00:00,2024-07-03-00:00,second,0.007054981935126268,TA
PENDLEUSDT,2024-07-03-00:00,2024-07-04-00:00,first,0.009954384316250934,TA
PENDLEUSDT,2024-07-03-00:00,2024-07-04-00:00,second,0.008292505161023369,TA
PENDLEUSDT,2024-07-04-00:00,2024-07-05-00:00,first,0.006235107178102583,TA
PENDLEUSDT,2024-07-04-00:00,2024-07-05-00:00,second,0.006634398049523156,TA
PENDLEUSDT,2024-07-05-00:00,2024-07-06-00:00,first,0.015097829648256587,TA
PENDLEUSDT,2024-07-05-00:00,2024-07-06-00:00,second,0.005396583520263669,TA
PENDLEUSDT,2024-07-06-00:00,2024-07-07-00:00,first,0.004958334512473741,TA
PENDLEUSDT,2024-07-06-00:00,2024-07-07-00:00,second,0.005440581447225856,TA
PENDLEUSDT,2024-07-07-00:00,2024-07-08-00:00,first,0.00809133656395504,TA
PENDLEUSDT,2024-07-07-00:00,2024-07-08-00:00,second,0.004832081202187413,TA
PENDLEUSDT,2024-07-08-00:00,2024-07-09-00:00,first,0.013332557788901982,TA
PENDLEUSDT,2024-07-08-00:00,2024-07-09-00:00,second,0.007959353011868913,TA
PENDLEUSDT,2024-07-09-00:00,2024-07-10-00:00,first,0.01318796047290076,TA
PENDLEUSDT,2024-07-09-00:00,2024-07-10-00:00,second,0.007284387173837825,TA
PENDLEUSDT,2024-07-10-00:00,2024-07-11-00:00,first,0.009941903300017953,TA
PENDLEUSDT,2024-07-10-00:00,2024-07-11-00:00,second,0.00610182493154011,TA
PENDLEUSDT,2024-07-11-00:00,2024-07-12-00:00,first,0.004698630881173015,TA
PENDLEUSDT,2024-07-11-00:00,2024-07-12-00:00,second,0.0043969946382123775,TA
PENDLEUSDT,2024-07-12-00:00,2024-07-13-00:00,first,0.0058285423820354865,TA
PENDLEUSDT,2024-07-12-00:00,2024-07-13-00:00,second,0.006278023832145907,TA
PENDLEUSDT,2024-07-13-00:00,2024-07-14-00:00,first,0.004634021160545315,TA
PENDLEUSDT,2024-07-13-00:00,2024-07-14-00:00,second,0.004285007372611725,TA
PENDLEUSDT,2024-07-14-00:00,2024-07-15-00:00,first,0.008389978540658384,TA
PENDLEUSDT,2024-07-14-00:00,2024-07-15-00:00,second,0.0039579767556454076,TA
PENDLEUSDT,2024-07-15-00:00,2024-07-16-00:00,first,0.005422404155747906,TA
PENDLEUSDT,2024-07-15-00:00,2024-07-16-00:00,second,0.006063767999746013,TA
PENDLEUSDT,2024-07-16-00:00,2024-07-17-00:00,first,0.006229760961152468,TA
PENDLEUSDT,2024-07-16-00:00,2024-07-17-00:00,second,0.004508366061842449,TA
PENDLEUSDT,2024-07-17-00:00,2024-07-18-00:00,first,0.006074934809800449,TA
PENDLEUSDT,2024-07-17-00:00,2024-07-18-00:00,second,0.007577099339129728,TA
PENDLEUSDT,2024-07-18-00:00,2024-07-19-00:00,first,0.004810099700430782,TA
PENDLEUSDT,2024-07-18-00:00,2024-07-19-00:00,second,0.004028885143220802,TA
PENDLEUSDT,2024-07-19-00:00,2024-07-20-00:00,first,0.006781696482050326,TA
PENDLEUSDT,2024-07-19-00:00,2024-07-20-00:00,second,0.008890935384625844,TA
PENDLEUSDT,2024-07-20-00:00,2024-07-21-00:00,first,0.009122442774040746,TA
PENDLEUSDT,2024-07-20-00:00,2024-07-21-00:00,second,0.005897620353076538,TA
PENDLEUSDT,2024-07-21-00:00,2024-07-22-00:00,first,0.00844291976894986,TA
PENDLEUSDT,2024-07-21-00:00,2024-07-22-00:00,second,0.007024061797049464,TA
PENDLEUSDT,2024-07-22-00:00,2024-07-23-00:00,first,0.00784411394888729,TA
PENDLEUSDT,2024-07-22-00:00,2024-07-23-00:00,second,0.005342148635610061,TA
PENDLEUSDT,2024-07-23-00:00,2024-07-24-00:00,first,0.006433922067966653,TA
PENDLEUSDT,2024-07-23-00:00,2024-07-24-00:00,second,0.006960450362644722,TA
PENDLEUSDT,2024-07-24-00:00,2024-07-25-00:00,first,0.005440547821770415,TA
PENDLEUSDT,2024-07-24-00:00,2024-07-25-00:00,second,0.005892672878954221,TA
PENDLEUSDT,2024-07-25-00:00,2024-07-26-00:00,first,0.014925472087562163,TA
PENDLEUSDT,2024-07-25-00:00,2024-07-26-00:00,second,0.0037037056122866856,TA
PENDLEUSDT,2024-07-26-00:00,2024-07-27-00:00,first,0.005225445185661851,TA
PENDLEUSDT,2024-07-26-00:00,2024-07-27-00:00,second,0.008284448083021515,TA
PENDLEUSDT,2024-07-27-00:00,2024-07-28-00:00,first,0.006402657262211947,TA
PENDLEUSDT,2024-07-27-00:00,2024-07-28-00:00,second,0.004434048623199194,TA
PENDLEUSDT,2024-07-28-00:00,2024-07-29-00:00,first,0.007451893035600137,TA
PENDLEUSDT,2024-07-28-00:00,2024-07-29-00:00,second,0.008024080738144248,TA
PENDLEUSDT,2024-07-29-00:00,2024-07-30-00:00,first,0.0075641725004209626,TA
