symbol,start_date,end_date,digit_type,mad,target
AAVEUSDT,2024-07-01-00:00,2024-07-02-00:00,first,0.010326590038986574,TA
AAVEUSDT,2024-07-01-00:00,2024-07-02-00:00,second,0.005548720111531198,TA
AAVEUSDT,2024-07-02-00:00,2024-07-03-00:00,first,0.008201053407463271,TA
AAVEUSDT,2024-07-02-00:00,2024-07-03-00:00,second,0.004156975329343437,TA
AAVEUSDT,2024-07-03-00:00,2024-07-04-00:00,first,0.003909417741790958,TA
AAVEUSDT,2024-07-03-00:00,2024-07-04-00:00,second,0.006003066368508493,TA
AAVEUSDT,2024-07-04-00:00,2024-07-05-00:00,first,0.010177800615506643,TA
AAVEUSDT,2024-07-04-00:00,2024-07-05-00:00,second,0.006980988909902053,TA
AAVEUSDT,2024-07-05-00:00,2024-07-06-00:00,first,0.005715383482661719,TA
AAVEUSDT,2024-07-05-00:00,2024-07-06-00:00,second,0.005715806535122209,TA
AAVEUSDT,2024-07-06-00:00,2024-07-07-00:00,first,0.012995908553588639,TA
AAVEUSDT,2024-07-06-00:00,2024-07-07-00:00,second,0.004098119679960338,TA
AAVEUSDT,2024-07-07-00:00,2024-07-08-00:00,first,0.007547264600858787,TA
AAVEUSDT,2024-07-07-00:00,2024-07-08-00:00,second,0.006164923058638953,TA
AAVEUSDT,2024-07-08-00:00,2024-07-09-00:00,first,0.005551626390632222,TA
AAVEUSDT,2024-07-08-00:00,2024-07-09-00:00,second,0.0036093209226346276,TA
AAVEUSDT,2024-07-09-00:00,2024-07-10-00:00,first,0.0097153613327045,TA
AAVEUSDT,2024-07-09-00:00,2024-07-10-00:00,second,0.00606852824715963,TA
AAVEUSDT,2024-07-10-00:00,2024-07-11-00:00,first,0.007238725220190072,TA
AAVEUSDT,2024-07-10-00:00,2024-07-11-00:00,second,0.005985235993118706,TA
AAVEUSDT,2024-07-11-00:00,2024-07-12-00:00,first,0.01380936058349251,TA
AAVEUSDT,2024-07-11-00:00,2024-07-12-00:00,second,0.006945413296283072,TA
AAVEUSDT,2024-07-12-00:00,2024-07-13-00:00,first,0.007810591543756351,TA
AAVEUSDT,2024-07-12-00:00,2024-07-13-00:00,second,0.0074518575925651715,TA
AAVEUSDT,2024-07-13-00:00,2024-07-14-00:00,first,0.0068774144928885825,TA
AAVEUSDT,2024-07-13-00:00,2024-07-14-00:00,second,0.010896546130749498,TA
AAVEUSDT,2024-07-14-00:00,2024-07-15-00:00,first,0.01014818573140878,TA
AAVEUSDT,2024-07-14-00:00,2024-07-15-00:00,second,0.00645832142669585,TA
AAVEUSDT,2024-07-15-00:00,2024-07-16-00:00,first,0.005242955986005517,TA
AAVEUSDT,2024-07-15-00:00,2024-07-16-00:00,second,0.00455059264187334,TA
AAVEUSDT,2024-07-16-00:00,2024-07-17-00:00,first,0.004302857021222899,TA
AAVEUSDT,2024-07-16-00:00,2024-07-17-00:00,second,0.006169097982784391,TA
AAVEUSDT,2024-07-17-00:00,2024-07-18-00:00,first,0.005824996382141466,TA
AAVEUSDT,2024-07-17-00:00,2024-07-18-00:00,second,0.005345077879029688,TA
AAVEUSDT,2024-07-18-00:00,2024-07-19-00:00,first,0.007396920727301563,TA
