symbol,start_date,end_date,digit_type,mad,target
ADAUSDT,2024-07-01-00:00,2024-07-02-00:00,first,0.00549784256736032,TA
ADAUSDT,2024-07-01-00:00,2024-07-02-00:00,second,0.006509276362052433,TA
ADAUSDT,2024-07-02-00:00,2024-07-03-00:00,first,0.005585292336641264,TA
ADAUSDT,2024-07-02-00:00,2024-07-03-00:00,second,0.005903606014353399,TA
ADAUSDT,2024-07-03-00:00,2024-07-04-00:00,first,0.0099846483754321,TA
ADAUSDT,2024-07-03-00:00,2024-07-04-00:00,second,0.0058071060440998065,TA
ADAUSDT,2024-07-04-00:00,2024-07-05-00:00,first,0.012225716476606762,TA
ADAUSDT,2024-07-04-00:00,2024-07-05-00:00,second,0.005987665247084062,TA
ADAUSDT,2024-07-05-00:00,2024-07-06-00:00,first,0.01052960634594344,TA
ADAUSDT,2024-07-05-00:00,2024-07-06-00:00,second,0.00942156617120052,TA
ADAUSDT,2024-07-06-00:00,2024-07-07-00:00,first,0.013608221589592105,TA
ADAUSDT,2024-07-06-00:00,2024-07-07-00:00,second,0.008630213791340189,TA
ADAUSDT,2024-07-07-00:00,2024-07-08-00:00,first,0.004444589899661822,TA
ADAUSDT,2024-07-07-00:00,2024-07-08-00:00,second,0.005475103912822334,TA
ADAUSDT,2024-07-08-00:00,2024-07-09-00:00,first,0.005072770777928536,TA
ADAUSDT,2024-07-08-00:00,2024-07-09-00:00,second,0.004506691323297845,TA
ADAUSDT,2024-07-09-00:00,2024-07-10-00:00,first,0.011889601919327643,TA
ADAUSDT,2024-07-09-00:00,2024-07-10-00:00,second,0.004542920071377387,TA
ADAUSDT,2024-07-10-00:00,2024-07-11-00:00,first,0.005210313156071263,TA
ADAUSDT,2024-07-10-00:00,2024-07-11-00:00,second,0.010408122819966188,TA
ADAUSDT,2024-07-11-00:00,2024-07-12-00:00,first,0.005101223107566587,TA
ADAUSDT,2024-07-11-00:00,2024-07-12-00:00,second,0.005873889225994483,TA
ADAUSDT,2024-07-12-00:00,2024-07-13-00:00,first,0.009104598868271646,TA
