symbol,start_date,end_date,digit_type,mad,target
JSTUSDT,2024-07-01-00:00,2024-07-04-00:00,first,0.007215488259028246,TA
JSTUSDT,2024-07-01-00:00,2024-07-04-00:00,second,0.016088745324935084,TA
JSTUSDT,2024-07-02-00:00,2024-07-05-00:00,first,0.010440002234944432,TA
JSTUSDT,2024-07-02-00:00,2024-07-05-00:00,second,0.01000907284606332,TA
JSTUSDT,2024-07-03-00:00,2024-07-06-00:00,first,0.007807996008811679,TA
JSTUSDT,2024-07-03-00:00,2024-07-06-00:00,second,0.005759389978768938,TA
JSTUSDT,2024-07-04-00:00,2024-07-07-00:00,first,0.007368659126155746,TA
JSTUSDT,2024-07-04-00:00,2024-07-07-00:00,second,0.005501764772268129,TA
JSTUSDT,2024-07-05-00:00,2024-07-08-00:00,first,0.00741902007036969,TA
JSTUSDT,2024-07-05-00:00,2024-07-08-00:00,second,0.006152038591724976,TA
JSTUSDT,2024-07-06-00:00,2024-07-09-00:00,first,0.0066563330507504485,TA
JSTUSDT,2024-07-06-00:00,2024-07-09-00:00,second,0.006062022122499051,TA
JSTUSDT,2024-07-07-00:00,2024-07-10-00:00,first,0.00873208647188685,TA
JSTUSDT,2024-07-07-00:00,2024-07-10-00:00,second,0.00792280281376551,TA
JSTUSDT,2024-07-08-00:00,2024-07-11-00:00,first,0.008497633957566376,TA
JSTUSDT,2024-07-08-00:00,2024-07-11-00:00,second,0.01028500577828387,TA
JSTUSDT,2024-07-09-00:00,2024-07-12-00:00,first,0.007895180224862202,TA
JSTUSDT,2024-07-09-00:00,2024-07-12-00:00,second,0.01586716104815398,TA
JSTUSDT,2024-07-10-00:00,2024-07-13-00:00,first,0.0086661567037875,TA
JSTUSDT,2024-07-10-00:00,2024-07-13-00:00,second,0.01814261086624445,TA
JSTUSDT,2024-07-11-00:00,2024-07-14-00:00,first,0.016011114666348806,TA
JSTUSDT,2024-07-11-00:00,2024-07-14-00:00,second,0.017148117370485837,TA
JSTUSDT,2024-07-12-00:00,2024-07-15-00:00,first,0.01910712672697765,TA
JSTUSDT,2024-07-12-00:00,2024-07-15-00:00,second,0.01653588550669597,TA
JSTUSDT,2024-07-13-00:00,2024-07-16-00:00,first,0.01816035818122484,TA
JSTUSDT,2024-07-13-00:00,2024-07-16-00:00,second,0.016036819553123065,TA
JSTUSDT,2024-07-14-00:00,2024-07-17-00:00,first,0.012253841579308304,TA
JSTUSDT,2024-07-14-00:00,2024-07-17-00:00,second,0.017307001376459605,TA
JSTUSDT,2024-07-15-00:00,2024-07-18-00:00,first,0.004640289968750847,TA
JSTUSDT,2024-07-15-00:00,2024-07-18-00:00,second,0.020466028051015297,TA
JSTUSDT,2024-07-16-00:00,2024-07-19-00:00,first,0.006118485450012447,TA
JSTUSDT,2024-07-16-00:00,2024-07-19-00:00,second,0.025796959333652298,TA
JSTUSDT,2024-07-17-00:00,2024-07-20-00:00,first,0.00940476485594409,TA
JSTUSDT,2024-07-17-00:00,2024-07-20-00:00,second,0.03126325742936906,TA
JSTUSDT,2024-07-18-00:00,2024-07-21-00:00,first,0.010777148828791768,TA
JSTUSDT,2024-07-18-00:00,2024-07-21-00:00,second,0.029879076428330393,TA
JSTUSDT,2024-07-19-00:00,2024-07-22-00:00,first,0.015955731734008445,TA
JSTUSDT,2024-07-19-00:00,2024-07-22-00:00,second,0.027137812296652176,TA
JSTUSDT,2024-07-20-00:00,2024-07-23-00:00,first,0.016159299201379023,TA
JSTUSDT,2024-07-20-00:00,2024-07-23-00:00,second,0.026945470571072123,TA
JSTUSDT,2024-07-21-00:00,2024-07-24-00:00,first,0.018069555487213427,TA
JSTUSDT,2024-07-21-00:00,2024-07-24-00:00,second,0.023196907274044047,TA
JSTUSDT,2024-07-22-00:00,2024-07-25-00:00,first,0.016285690645022922,TA
JSTUSDT,2024-07-22-00:00,2024-07-25-00:00,second,0.025142609689463635,TA
JSTUSDT,2024-07-23-00:00,2024-07-26-00:00,first,0.01433232904729654,TA
JSTUSDT,2024-07-23-00:00,2024-07-26-00:00,second,0.01936983210217865,TA
JSTUSDT,2024-07-24-00:00,2024-07-27-00:00,first,0.01551274977088045,TA
JSTUSDT,2024-07-24-00:00,2024-07-27-00:00,second,0.021456102505558954,TA
JSTUSDT,2024-07-25-00:00,2024-07-28-00:00,first,0.014402723166560836,TA
JSTUSDT,2024-07-25-00:00,2024-07-28-00:00,second,0.018994533892518616,TA
JSTUSDT,2024-07-26-00:00,2024-07-29-00:00,first,0.015049682638022897,TA
JSTUSDT,2024-07-26-00:00,2024-07-29-00:00,second,0.023811144195229263,TA
JSTUSDT,2024-07-27-00:00,2024-07-30-00:00,first,0.01293531158910714,TA
JSTUSDT,2024-07-27-00:00,2024-07-30-00:00,second,0.022741887723846006,TA
JSTUSDT,2024-07-28-00:00,2024-07-31-00:00,first,0.00954935064091783,TA
