symbol,start_date,end_date,digit_type,mad,target
KAVAUSDT,2021-01-01-00:00,2021-01-04-00:00,first,0.007186704838295943,TA
KAVAUSDT,2021-01-01-00:00,2021-01-04-00:00,second,0.007194397010666416,TA
KAVAUSDT,2021-01-02-00:00,2021-01-05-00:00,first,0.003211755994884895,TA
KAVAUSDT,2021-01-02-00:00,2021-01-05-00:00,second,0.003159465595300598,TA
KAVAUSDT,2021-01-03-00:00,2021-01-06-00:00,first,0.002494588272408205,TA
KAVAUSDT,2021-01-03-00:00,2021-01-06-00:00,second,0.003825286174821238,TA
KAVAUSDT,2021-01-04-00:00,2021-01-07-00:00,first,0.0033764136935169765,TA
KAVAUSDT,2021-01-04-00:00,2021-01-07-00:00,second,0.0040655448814190835,TA
KAVAUSDT,2021-01-05-00:00,2021-01-08-00:00,first,0.002857397573161167,TA
KAVAUSDT,2021-01-05-00:00,2021-01-08-00:00,second,0.003668196817611151,TA
KAVAUSDT,2021-01-06-00:00,2021-01-09-00:00,first,0.002551157374408346,TA
KAVAUSDT,2021-01-06-00:00,2021-01-09-00:00,second,0.00324487570794169,TA
KAVAUSDT,2021-01-07-00:00,2021-01-10-00:00,first,0.003888719354257649,TA
KAVAUSDT,2021-01-07-00:00,2021-01-10-00:00,second,0.004095244525841038,TA
KAVAUSDT,2021-01-08-00:00,2021-01-11-00:00,first,0.005600841315793725,TA
KAVAUSDT,2021-01-08-00:00,2021-01-11-00:00,second,0.002842563850207784,TA
KAVAUSDT,2021-01-09-00:00,2021-01-12-00:00,first,0.006888279565811016,TA
KAVAUSDT,2021-01-09-00:00,2021-01-12-00:00,second,0.003142745658175171,TA
KAVAUSDT,2021-01-10-00:00,2021-01-13-00:00,first,0.006534768254417802,TA
KAVAUSDT,2021-01-10-00:00,2021-01-13-00:00,second,0.002591324799969498,TA
KAVAUSDT,2021-01-11-00:00,2021-01-14-00:00,first,0.005397040495323576,TA
KAVAUSDT,2021-01-11-00:00,2021-01-14-00:00,second,0.0037136989876299666,TA
KAVAUSDT,2021-01-12-00:00,2021-01-15-00:00,first,0.006257634547406903,TA
KAVAUSDT,2021-01-12-00:00,2021-01-15-00:00,second,0.004500268370545703,TA
KAVAUSDT,2021-01-13-00:00,2021-01-16-00:00,first,0.002727812527405084,TA
KAVAUSDT,2021-01-13-00:00,2021-01-16-00:00,second,0.004971965639735766,TA
KAVAUSDT,2021-01-14-00:00,2021-01-17-00:00,first,0.006111597671411501,TA
KAVAUSDT,2021-01-14-00:00,2021-01-17-00:00,second,0.005044814145166429,TA
KAVAUSDT,2021-01-15-00:00,2021-01-18-00:00,first,0.01010893478094917,TA
KAVAUSDT,2021-01-15-00:00,2021-01-18-00:00,second,0.004266835814167537,TA
KAVAUSDT,2021-01-16-00:00,2021-01-19-00:00,first,0.009254445685549926,TA
KAVAUSDT,2021-01-16-00:00,2021-01-19-00:00,second,0.004032226145496658,TA
KAVAUSDT,2021-01-17-00:00,2021-01-20-00:00,first,0.006112359275224046,TA
KAVAUSDT,2021-01-17-00:00,2021-01-20-00:00,second,0.002670682553641722,TA
KAVAUSDT,2021-01-18-00:00,2021-01-21-00:00,first,0.005031361668861599,TA
KAVAUSDT,2021-01-18-00:00,2021-01-21-00:00,second,0.00494535173943589,TA
KAVAUSDT,2021-01-19-00:00,2021-01-22-00:00,first,0.004644098414982472,TA
KAVAUSDT,2021-01-19-00:00,2021-01-22-00:00,second,0.004926559516291539,TA
KAVAUSDT,2021-01-20-00:00,2021-01-23-00:00,first,0.0038253855614890264,TA
KAVAUSDT,2021-01-20-00:00,2021-01-23-00:00,second,0.004147175826435962,TA
KAVAUSDT,2021-01-21-00:00,2021-01-24-00:00,first,0.006111886655542464,TA
KAVAUSDT,2021-01-21-00:00,2021-01-24-00:00,second,0.002926663197550758,TA
KAVAUSDT,2021-01-22-00:00,2021-01-25-00:00,first,0.00508331240167299,TA
KAVAUSDT,2021-01-22-00:00,2021-01-25-00:00,second,0.003222596885268103,TA
