symbol,start_date,end_date,digit_type,mad,target
NEOUSDT,2024-07-01-00:00,2024-07-04-00:00,first,0.015123322489060712,TA
NEOUSDT,2024-07-01-00:00,2024-07-04-00:00,second,0.006131550788771293,TA
NEOUSDT,2024-07-02-00:00,2024-07-05-00:00,first,0.009286480073978228,TA
NEOUSDT,2024-07-02-00:00,2024-07-05-00:00,second,0.007291403677703606,TA
NEOUSDT,2024-07-03-00:00,2024-07-06-00:00,first,0.006623326609745106,TA
NEOUSDT,2024-07-03-00:00,2024-07-06-00:00,second,0.005679102586944912,TA
NEOUSDT,2024-07-04-00:00,2024-07-07-00:00,first,0.003934701733029113,TA
NEOUSDT,2024-07-04-00:00,2024-07-07-00:00,second,0.005670895564967722,TA
NEOUSDT,2024-07-05-00:00,2024-07-08-00:00,first,0.0048034702106811815,TA
NEOUSDT,2024-07-05-00:00,2024-07-08-00:00,second,0.003832276169501582,TA
NEOUSDT,2024-07-06-00:00,2024-07-09-00:00,first,0.003708055548430048,TA
NEOUSDT,2024-07-06-00:00,2024-07-09-00:00,second,0.004886863679044798,TA
NEOUSDT,2024-07-07-00:00,2024-07-10-00:00,first,0.004759390458721157,TA
NEOUSDT,2024-07-07-00:00,2024-07-10-00:00,second,0.005017133214082134,TA
NEOUSDT,2024-07-08-00:00,2024-07-11-00:00,first,0.00622697618053499,TA
NEOUSDT,2024-07-08-00:00,2024-07-11-00:00,second,0.00827717419911701,TA
NEOUSDT,2024-07-09-00:00,2024-07-12-00:00,first,0.006086614224553691,TA
NEOUSDT,2024-07-09-00:00,2024-07-12-00:00,second,0.009747748824722643,TA
NEOUSDT,2024-07-10-00:00,2024-07-13-00:00,first,0.007031675671126632,TA
NEOUSDT,2024-07-10-00:00,2024-07-13-00:00,second,0.008872904844302624,TA
NEOUSDT,2024-07-11-00:00,2024-07-14-00:00,first,0.008378131010471983,TA
NEOUSDT,2024-07-11-00:00,2024-07-14-00:00,second,0.008108525049993657,TA
NEOUSDT,2024-07-12-00:00,2024-07-15-00:00,first,0.0077387351820071525,TA
NEOUSDT,2024-07-12-00:00,2024-07-15-00:00,second,0.006541378944768058,TA
NEOUSDT,2024-07-13-00:00,2024-07-16-00:00,first,0.008452928813901467,TA
NEOUSDT,2024-07-13-00:00,2024-07-16-00:00,second,0.0061014499513516885,TA
NEOUSDT,2024-07-14-00:00,2024-07-17-00:00,first,0.0058314208917505895,TA
NEOUSDT,2024-07-14-00:00,2024-07-17-00:00,second,0.004918932484372382,TA
