symbol,start_date,end_date,digit_type,mad,target
PUNDIXUSDT,2024-07-01-00:00,2024-07-02-00:00,first,0.010955894363774584,TA
PUNDIXUSDT,2024-07-01-00:00,2024-07-02-00:00,second,0.008546369779244868,TA
PUNDIXUSDT,2024-07-02-00:00,2024-07-03-00:00,first,0.008694511449234188,TA
PUNDIXUSDT,2024-07-02-00:00,2024-07-03-00:00,second,0.00787773420446537,TA
PUNDIXUSDT,2024-07-03-00:00,2024-07-04-00:00,first,0.008758298313041918,TA
PUNDIXUSDT,2024-07-03-00:00,2024-07-04-00:00,second,0.008364129433493184,TA
PUNDIXUSDT,2024-07-04-00:00,2024-07-05-00:00,first,0.011048658668645246,TA
PUNDIXUSDT,2024-07-04-00:00,2024-07-05-00:00,second,0.009037648424811374,TA
PUNDIXUSDT,2024-07-05-00:00,2024-07-06-00:00,first,0.007482266723188373,TA
PUNDIXUSDT,2024-07-05-00:00,2024-07-06-00:00,second,0.00795013364929099,TA
PUNDIXUSDT,2024-07-06-00:00,2024-07-07-00:00,first,0.007898295801636684,TA
PUNDIXUSDT,2024-07-06-00:00,2024-07-07-00:00,second,0.006810836911603,TA
PUNDIXUSDT,2024-07-07-00:00,2024-07-08-00:00,first,0.009328609936160118,TA
PUNDIXUSDT,2024-07-07-00:00,2024-07-08-00:00,second,0.004252678915394321,TA
PUNDIXUSDT,2024-07-08-00:00,2024-07-09-00:00,first,0.005150054582168258,TA
PUNDIXUSDT,2024-07-08-00:00,2024-07-09-00:00,second,0.006639103761888492,TA
PUNDIXUSDT,2024-07-09-00:00,2024-07-10-00:00,first,0.008863365750186019,TA
PUNDIXUSDT,2024-07-09-00:00,2024-07-10-00:00,second,0.008458604039166071,TA
PUNDIXUSDT,2024-07-10-00:00,2024-07-11-00:00,first,0.007959974580866157,TA
PUNDIXUSDT,2024-07-10-00:00,2024-07-11-00:00,second,0.012585203959933266,TA
PUNDIXUSDT,2024-07-11-00:00,2024-07-12-00:00,first,0.011737558364981925,TA
PUNDIXUSDT,2024-07-11-00:00,2024-07-12-00:00,second,0.016164759433441818,TA
PUNDIXUSDT,2024-07-12-00:00,2024-07-13-00:00,first,0.014462932508274021,TA
PUNDIXUSDT,2024-07-12-00:00,2024-07-13-00:00,second,0.013928187356395694,TA
PUNDIXUSDT,2024-07-13-00:00,2024-07-14-00:00,first,0.010820474810044332,TA
PUNDIXUSDT,2024-07-13-00:00,2024-07-14-00:00,second,0.019131150381201213,TA
PUNDIXUSDT,2024-07-14-00:00,2024-07-15-00:00,first,0.013413175472155626,TA
PUNDIXUSDT,2024-07-14-00:00,2024-07-15-00:00,second,0.01215556711836238,TA
PUNDIXUSDT,2024-07-15-00:00,2024-07-16-00:00,first,0.01114415710380795,TA
PUNDIXUSDT,2024-07-15-00:00,2024-07-16-00:00,second,0.008090825631817062,TA
PUNDIXUSDT,2024-07-16-00:00,2024-07-17-00:00,first,0.004633656045655346,TA
PUNDIXUSDT,2024-07-16-00:00,2024-07-17-00:00,second,0.0045090233456654295,TA
PUNDIXUSDT,2024-07-17-00:00,2024-07-18-00:00,first,0.006483091151691016,TA
PUNDIXUSDT,2024-07-17-00:00,2024-07-18-00:00,second,0.005528068633426758,TA
PUNDIXUSDT,2024-07-18-00:00,2024-07-19-00:00,first,0.010861146005924591,TA
PUNDIXUSDT,2024-07-18-00:00,2024-07-19-00:00,second,0.012217741077042822,TA
PUNDIXUSDT,2024-07-19-00:00,2024-07-20-00:00,first,0.008254642533163976,TA
PUNDIXUSDT,2024-07-19-00:00,2024-07-20-00:00,second,0.008011362396928656,TA
PUNDIXUSDT,2024-07-20-00:00,2024-07-21-00:00,first,0.00925225316585613,TA
PUNDIXUSDT,2024-07-20-00:00,2024-07-21-00:00,second,0.013893312891945786,TA
PUNDIXUSDT,2024-07-21-00:00,2024-07-22-00:00,first,0.007280490010298978,TA
PUNDIXUSDT,2024-07-21-00:00,2024-07-22-00:00,second,0.011062982900551285,TA
PUNDIXUSDT,2024-07-22-00:00,2024-07-23-00:00,first,0.011031060941838509,TA
PUNDIXUSDT,2024-07-22-00:00,2024-07-23-00:00,second,0.014114057369512096,TA
PUNDIXUSDT,2024-07-23-00:00,2024-07-24-00:00,first,0.007399149933468667,TA
PUNDIXUSDT,2024-07-23-00:00,2024-07-24-00:00,second,0.007173251937719155,TA
PUNDIXUSDT,2024-07-24-00:00,2024-07-25-00:00,first,0.00886680081268992,TA
PUNDIXUSDT,2024-07-24-00:00,2024-07-25-00:00,second,0.011431588355523487,TA
PUNDIXUSDT,2024-07-25-00:00,2024-07-26-00:00,first,0.010011013257307098,TA
PUNDIXUSDT,2024-07-25-00:00,2024-07-26-00:00,second,0.008987339970479546,TA
PUNDIXUSDT,2024-07-26-00:00,2024-07-27-00:00,first,0.00908474497757638,TA
PUNDIXUSDT,2024-07-26-00:00,2024-07-27-00:00,second,0.006843340712711875,TA
PUNDIXUSDT,2024-07-27-00:00,2024-07-28-00:00,first,0.006045674571319507,TA
PUNDIXUSDT,2024-07-27-00:00,2024-07-28-00:00,second,0.005364815108233248,TA
PUNDIXUSDT,2024-07-28-00:00,2024-07-29-00:00,first,0.00774755843647418,TA
PUNDIXUSDT,2024-07-28-00:00,2024-07-29-00:00,second,0.005156030951981432,TA
PUNDIXUSDT,2024-07-29-00:00,2024-07-30-00:00,first,0.009687831813104172,TA
PUNDIXUSDT,2024-07-29-00:00,2024-07-30-00:00,second,0.014035288983888136,TA
PUNDIXUSDT,2024-07-30-00:00,2024-07-31-00:00,first,0.013304224157279918,TA
PUNDIXUSDT,2024-07-30-00:00,2024-07-31-00:00,second,0.016106929390212125,TA
PUNDIXUSDT,2024-07-31-00:00,2024-08-01-00:00,first,0.012981428377647502,TA
PUNDIXUSDT,2024-07-31-00:00,2024-08-01-00:00,second,0.012827347749198598,TA
PUNDIXUSDT,2024-08-01-00:00,2024-08-02-00:00,first,0.018938863320589694,TA
PUNDIXUSDT,2024-08-01-00:00,2024-08-02-00:00,second,0.012386630895674376,TA
PUNDIXUSDT,2024-08-02-00:00,2024-08-03-00:00,first,0.009256662366582145,TA
PUNDIXUSDT,2024-08-02-00:00,2024-08-03-00:00,second,0.007782855819291799,TA
PUNDIXUSDT,2024-08-03-00:00,2024-08-04-00:00,first,0.008136509217793849,TA
PUNDIXUSDT,2024-08-03-00:00,2024-08-04-00:00,second,0.014978078706583816,TA
PUNDIXUSDT,2024-08-04-00:00,2024-08-05-00:00,first,0.014409345941359373,TA
PUNDIXUSDT,2024-08-04-00:00,2024-08-05-00:00,second,0.012947623608081571,TA
PUNDIXUSDT,2024-08-05-00:00,2024-08-06-00:00,first,0.009030173586595695,TA
PUNDIXUSDT,2024-08-05-00:00,2024-08-06-00:00,second,0.007109530623092457,TA
PUNDIXUSDT,2024-08-06-00:00,2024-08-07-00:00,first,0.005688493825004466,TA
PUNDIXUSDT,2024-08-06-00:00,2024-08-07-00:00,second,0.006033944253855521,TA
PUNDIXUSDT,2024-08-07-00:00,2024-08-08-00:00,first,0.00573873295614463,TA
PUNDIXUSDT,2024-08-07-00:00,2024-08-08-00:00,second,0.008355181480939174,TA
