symbol,start_date,end_date,digit_type,mad,target
SEIUSDT,2024-07-01-00:00,2024-07-04-00:00,first,0.0032288780482795116,TA
SEIUSDT,2024-07-01-00:00,2024-07-04-00:00,second,0.002688626958253064,TA
SEIUSDT,2024-07-02-00:00,2024-07-05-00:00,first,0.0029389227376425834,TA
SEIUSDT,2024-07-02-00:00,2024-07-05-00:00,second,0.003324083289220313,TA
SEIUSDT,2024-07-03-00:00,2024-07-06-00:00,first,0.0021512197431861942,TA
SEIUSDT,2024-07-03-00:00,2024-07-06-00:00,second,0.003422105958165929,TA
SEIUSDT,2024-07-04-00:00,2024-07-07-00:00,first,0.0035398701946371077,TA
SEIUSDT,2024-07-04-00:00,2024-07-07-00:00,second,0.004055865790683251,TA
SEIUSDT,2024-07-05-00:00,2024-07-08-00:00,first,0.004193894840755576,TA
SEIUSDT,2024-07-05-00:00,2024-07-08-00:00,second,0.0031611007303539913,TA
SEIUSDT,2024-07-06-00:00,2024-07-09-00:00,first,0.004604452262761188,TA
SEIUSDT,2024-07-06-00:00,2024-07-09-00:00,second,0.004130562802294037,TA
SEIUSDT,2024-07-07-00:00,2024-07-10-00:00,first,0.004038739593368814,TA
SEIUSDT,2024-07-07-00:00,2024-07-10-00:00,second,0.004223133966376423,TA
SEIUSDT,2024-07-08-00:00,2024-07-11-00:00,first,0.007183059021255154,TA
SEIUSDT,2024-07-08-00:00,2024-07-11-00:00,second,0.004762766380454456,TA
SEIUSDT,2024-07-09-00:00,2024-07-12-00:00,first,0.0054271813092138625,TA
SEIUSDT,2024-07-09-00:00,2024-07-12-00:00,second,0.003844657342495196,TA
SEIUSDT,2024-07-10-00:00,2024-07-13-00:00,first,0.004721968887828391,TA
SEIUSDT,2024-07-10-00:00,2024-07-13-00:00,second,0.00245960158091522,TA
SEIUSDT,2024-07-11-00:00,2024-07-14-00:00,first,0.0019593868221085544,TA
SEIUSDT,2024-07-11-00:00,2024-07-14-00:00,second,0.002721354068407851,TA
SEIUSDT,2024-07-12-00:00,2024-07-15-00:00,first,0.0037475113648018504,TA
SEIUSDT,2024-07-12-00:00,2024-07-15-00:00,second,0.0037338445256274153,TA
SEIUSDT,2024-07-13-00:00,2024-07-16-00:00,first,0.0037747395388907598,TA
SEIUSDT,2024-07-13-00:00,2024-07-16-00:00,second,0.0029202015292747255,TA
SEIUSDT,2024-07-14-00:00,2024-07-17-00:00,first,0.0034278965846518353,TA
SEIUSDT,2024-07-14-00:00,2024-07-17-00:00,second,0.004966749847191638,TA
SEIUSDT,2024-07-15-00:00,2024-07-18-00:00,first,0.0049518173093575,TA
SEIUSDT,2024-07-15-00:00,2024-07-18-00:00,second,0.0024649882264266634,TA
SEIUSDT,2024-07-16-00:00,2024-07-19-00:00,first,0.005954169840610676,TA
SEIUSDT,2024-07-16-00:00,2024-07-19-00:00,second,0.0030622566872693297,TA
SEIUSDT,2024-07-17-00:00,2024-07-20-00:00,first,0.004308460256923774,TA
SEIUSDT,2024-07-17-00:00,2024-07-20-00:00,second,0.0018498869380837335,TA
SEIUSDT,2024-07-18-00:00,2024-07-21-00:00,first,0.0024570369752760102,TA
SEIUSDT,2024-07-18-00:00,2024-07-21-00:00,second,0.003464483407744834,TA
SEIUSDT,2024-07-19-00:00,2024-07-22-00:00,first,0.0023317469436800803,TA
SEIUSDT,2024-07-19-00:00,2024-07-22-00:00,second,0.0032702119556643648,TA
SEIUSDT,2024-07-20-00:00,2024-07-23-00:00,first,0.0037924552655011034,TA
SEIUSDT,2024-07-20-00:00,2024-07-23-00:00,second,0.0038002150995892466,TA
SEIUSDT,2024-07-21-00:00,2024-07-24-00:00,first,0.00530473167093517,TA
SEIUSDT,2024-07-21-00:00,2024-07-24-00:00,second,0.0038488599686163664,TA
SEIUSDT,2024-07-22-00:00,2024-07-25-00:00,first,0.0038003117031627917,TA
SEIUSDT,2024-07-22-00:00,2024-07-25-00:00,second,0.00482261698825152,TA
SEIUSDT,2024-07-23-00:00,2024-07-26-00:00,first,0.0024911768642533866,TA
SEIUSDT,2024-07-23-00:00,2024-07-26-00:00,second,0.004175137374294338,TA
SEIUSDT,2024-07-24-00:00,2024-07-27-00:00,first,0.003141678752934896,TA
SEIUSDT,2024-07-24-00:00,2024-07-27-00:00,second,0.004571858326088561,TA
SEIUSDT,2024-07-25-00:00,2024-07-28-00:00,first,0.004607200519368003,TA
SEIUSDT,2024-07-25-00:00,2024-07-28-00:00,second,0.0036857270983329886,TA
SEIUSDT,2024-07-26-00:00,2024-07-29-00:00,first,0.004825790844038113,TA
SEIUSDT,2024-07-26-00:00,2024-07-29-00:00,second,0.0032879804802712813,TA
SEIUSDT,2024-07-27-00:00,2024-07-30-00:00,first,0.005546622890171365,TA
SEIUSDT,2024-07-27-00:00,2024-07-30-00:00,second,0.0031716604551009567,TA
SEIUSDT,2024-07-28-00:00,2024-07-31-00:00,first,0.004251625558164482,TA
SEIUSDT,2024-07-28-00:00,2024-07-31-00:00,second,0.002789347973898358,TA
SEIUSDT,2024-07-29-00:00,2024-08-01-00:00,first,0.005908183671965712,TA
SEIUSDT,2024-07-29-00:00,2024-08-01-00:00,second,0.003871126975829259,TA
SEIUSDT,2024-07-30-00:00,2024-08-02-00:00,first,0.004401756903073099,TA
SEIUSDT,2024-07-30-00:00,2024-08-02-00:00,second,0.0035366012683778676,TA
SEIUSDT,2024-07-31-00:00,2024-08-03-00:00,first,0.005190286138724155,TA
SEIUSDT,2024-07-31-00:00,2024-08-03-00:00,second,0.002918176430486548,TA
SEIUSDT,2024-08-01-00:00,2024-08-04-00:00,first,0.004386676115166894,TA
SEIUSDT,2024-08-01-00:00,2024-08-04-00:00,second,0.0021250256772834875,TA
SEIUSDT,2024-08-02-00:00,2024-08-05-00:00,first,0.003588966221993626,TA
SEIUSDT,2024-08-02-00:00,2024-08-05-00:00,second,0.0030766348833748567,TA
SEIUSDT,2024-08-03-00:00,2024-08-06-00:00,first,0.003102336672854986,TA
SEIUSDT,2024-08-03-00:00,2024-08-06-00:00,second,0.00355233690569825,TA
SEIUSDT,2024-08-04-00:00,2024-08-07-00:00,first,0.0030760784405912947,TA
SEIUSDT,2024-08-04-00:00,2024-08-07-00:00,second,0.004175548011738482,TA
SEIUSDT,2024-08-05-00:00,2024-08-08-00:00,first,0.004622224815773031,TA
SEIUSDT,2024-08-05-00:00,2024-08-08-00:00,second,0.005608823172757685,TA
SEIUSDT,2024-08-06-00:00,2024-08-09-00:00,first,0.004159988100499865,TA
SEIUSDT,2024-08-06-00:00,2024-08-09-00:00,second,0.003879887561563085,TA
SEIUSDT,2024-08-07-00:00,2024-08-10-00:00,first,0.004440179184763421,TA
SEIUSDT,2024-08-07-00:00,2024-08-10-00:00,second,0.003443055247562811,TA
SEIUSDT,2024-08-08-00:00,2024-08-11-00:00,first,0.003228531461592967,TA
SEIUSDT,2024-08-08-00:00,2024-08-11-00:00,second,0.002903323587507607,TA
SEIUSDT,2024-08-09-00:00,2024-08-12-00:00,first,0.003720158395533536,TA
SEIUSDT,2024-08-09-00:00,2024-08-12-00:00,second,0.003917154389267404,TA
SEIUSDT,2024-08-10-00:00,2024-08-13-00:00,first,0.002620602317198299,TA
SEIUSDT,2024-08-10-00:00,2024-08-13-00:00,second,0.005063464670330231,TA
SEIUSDT,2024-08-11-00:00,2024-08-14-00:00,first,0.0045834510345034015,TA
SEIUSDT,2024-08-11-00:00,2024-08-14-00:00,second,0.002770752704395263,TA
SEIUSDT,2024-08-12-00:00,2024-08-15-00:00,first,0.003722293752811986,TA
SEIUSDT,2024-08-12-00:00,2024-08-15-00:00,second,0.003962579320110103,TA
SEIUSDT,2024-08-13-00:00,2024-08-16-00:00,first,0.003670853423593881,TA
SEIUSDT,2024-08-13-00:00,2024-08-16-00:00,second,0.004006431412190285,TA
SEIUSDT,2024-08-14-00:00,2024-08-17-00:00,first,0.003655451116809314,TA
SEIUSDT,2024-08-14-00:00,2024-08-17-00:00,second,0.006287659282401464,TA
SEIUSDT,2024-08-15-00:00,2024-08-18-00:00,first,0.006493826842347325,TA
SEIUSDT,2024-08-15-00:00,2024-08-18-00:00,second,0.005685528666375526,TA
SEIUSDT,2024-08-16-00:00,2024-08-19-00:00,first,0.004280868168063962,TA
SEIUSDT,2024-08-16-00:00,2024-08-19-00:00,second,0.004249678735852134,TA
SEIUSDT,2024-08-17-00:00,2024-08-20-00:00,first,0.0023260466582735013,TA
SEIUSDT,2024-08-17-00:00,2024-08-20-00:00,second,0.003204602305389165,TA
SEIUSDT,2024-08-18-00:00,2024-08-21-00:00,first,0.0017605670258608636,TA
SEIUSDT,2024-08-18-00:00,2024-08-21-00:00,second,0.0038181772744071917,TA
SEIUSDT,2024-08-19-00:00,2024-08-22-00:00,first,0.0030545326050552676,TA
SEIUSDT,2024-08-19-00:00,2024-08-22-00:00,second,0.0025892153966681902,TA
SEIUSDT,2024-08-20-00:00,2024-08-23-00:00,first,0.0030031541376106105,TA
SEIUSDT,2024-08-20-00:00,2024-08-23-00:00,second,0.0043077462310042655,TA
SEIUSDT,2024-08-21-00:00,2024-08-24-00:00,first,0.0031521935045327643,TA
SEIUSDT,2024-08-21-00:00,2024-08-24-00:00,second,0.003958000309553551,TA
SEIUSDT,2024-08-22-00:00,2024-08-25-00:00,first,0.0023011935373779633,TA
SEIUSDT,2024-08-22-00:00,2024-08-25-00:00,second,0.0048096715611743324,TA
SEIUSDT,2024-08-23-00:00,2024-08-26-00:00,first,0.002672364917148562,TA
SEIUSDT,2024-08-23-00:00,2024-08-26-00:00,second,0.0059969525319781124,TA
SEIUSDT,2024-08-24-00:00,2024-08-27-00:00,first,0.002518568785109284,TA
SEIUSDT,2024-08-24-00:00,2024-08-27-00:00,second,0.004161174842385293,TA
SEIUSDT,2024-08-25-00:00,2024-08-28-00:00,first,0.004794245132453639,TA
SEIUSDT,2024-08-25-00:00,2024-08-28-00:00,second,0.0029370064058721933,TA
SEIUSDT,2024-08-26-00:00,2024-08-29-00:00,first,0.003131246629440489,TA
SEIUSDT,2024-08-26-00:00,2024-08-29-00:00,second,0.003748972665581193,TA
SEIUSDT,2024-08-27-00:00,2024-08-30-00:00,first,0.004154300728843897,TA
SEIUSDT,2024-08-27-00:00,2024-08-30-00:00,second,0.0036803687843022835,TA
SEIUSDT,2024-08-28-00:00,2024-08-31-00:00,first,0.005175805067945249,TA
SEIUSDT,2024-08-28-00:00,2024-08-31-00:00,second,0.0035801565660660674,TA
SEIUSDT,2024-08-29-00:00,2024-09-01-00:00,first,0.0045242773402277055,TA
SEIUSDT,2024-08-29-00:00,2024-09-01-00:00,second,0.0034939526858180107,TA
SEIUSDT,2024-08-30-00:00,2024-09-02-00:00,first,0.0028646621055837727,TA
SEIUSDT,2024-08-30-00:00,2024-09-02-00:00,second,0.00422525063791247,TA
SEIUSDT,2024-08-31-00:00,2024-09-03-00:00,first,0.0028890854109537884,TA
SEIUSDT,2024-08-31-00:00,2024-09-03-00:00,second,0.003590387041274698,TA
SEIUSDT,2024-09-01-00:00,2024-09-04-00:00,first,0.0028261853104538984,TA
SEIUSDT,2024-09-01-00:00,2024-09-04-00:00,second,0.004344845365453193,TA
SEIUSDT,2024-09-02-00:00,2024-09-05-00:00,first,0.0023773606721950486,TA
SEIUSDT,2024-09-02-00:00,2024-09-05-00:00,second,0.004202632694407342,TA
SEIUSDT,2024-09-03-00:00,2024-09-06-00:00,first,0.003919961916119975,TA
SEIUSDT,2024-09-03-00:00,2024-09-06-00:00,second,0.004582993592477285,TA
SEIUSDT,2024-09-04-00:00,2024-09-07-00:00,first,0.005210823437701939,TA
SEIUSDT,2024-09-04-00:00,2024-09-07-00:00,second,0.003823101752361885,TA
SEIUSDT,2024-09-05-00:00,2024-09-08-00:00,first,0.004452832586474795,TA
SEIUSDT,2024-09-05-00:00,2024-09-08-00:00,second,0.003589228013606549,TA
SEIUSDT,2024-09-06-00:00,2024-09-09-00:00,first,0.002348275730465643,TA
SEIUSDT,2024-09-06-00:00,2024-09-09-00:00,second,0.00313950938651521,TA
SEIUSDT,2024-09-07-00:00,2024-09-10-00:00,first,0.0036706647020947397,TA
SEIUSDT,2024-09-07-00:00,2024-09-10-00:00,second,0.0030037948528718037,TA
SEIUSDT,2024-09-08-00:00,2024-09-11-00:00,first,0.004903915843165006,TA
SEIUSDT,2024-09-08-00:00,2024-09-11-00:00,second,0.003925619392341433,TA
SEIUSDT,2024-09-09-00:00,2024-09-12-00:00,first,0.0055551081283193,TA
SEIUSDT,2024-09-09-00:00,2024-09-12-00:00,second,0.003125816927638177,TA
SEIUSDT,2024-09-10-00:00,2024-09-13-00:00,first,0.006838112685477639,TA
SEIUSDT,2024-09-10-00:00,2024-09-13-00:00,second,0.004640870470946312,TA
SEIUSDT,2024-09-11-00:00,2024-09-14-00:00,first,0.00483147534658747,TA
SEIUSDT,2024-09-11-00:00,2024-09-14-00:00,second,0.005129362317680767,TA
SEIUSDT,2024-09-12-00:00,2024-09-15-00:00,first,0.002312115320440817,TA
SEIUSDT,2024-09-12-00:00,2024-09-15-00:00,second,0.004601416245419762,TA
SEIUSDT,2024-09-13-00:00,2024-09-16-00:00,first,0.003673411192921195,TA
SEIUSDT,2024-09-13-00:00,2024-09-16-00:00,second,0.004161599828818705,TA
SEIUSDT,2024-09-14-00:00,2024-09-17-00:00,first,0.005134187903450712,TA
SEIUSDT,2024-09-14-00:00,2024-09-17-00:00,second,0.003395050939975082,TA
SEIUSDT,2024-09-15-00:00,2024-09-18-00:00,first,0.0037599803492534022,TA
SEIUSDT,2024-09-15-00:00,2024-09-18-00:00,second,0.004631056953961011,TA
SEIUSDT,2024-09-16-00:00,2024-09-19-00:00,first,0.0040374195373385794,TA
SEIUSDT,2024-09-16-00:00,2024-09-19-00:00,second,0.0038750272693598986,TA
SEIUSDT,2024-09-17-00:00,2024-09-20-00:00,first,0.0044132870222547286,TA
SEIUSDT,2024-09-17-00:00,2024-09-20-00:00,second,0.004245397639730267,TA
SEIUSDT,2024-09-18-00:00,2024-09-21-00:00,first,0.004855277692523644,TA
SEIUSDT,2024-09-18-00:00,2024-09-21-00:00,second,0.0027558550216420464,TA
SEIUSDT,2024-09-19-00:00,2024-09-22-00:00,first,0.0035526516653145088,TA
SEIUSDT,2024-09-19-00:00,2024-09-22-00:00,second,0.003464010380539048,TA
SEIUSDT,2024-09-20-00:00,2024-09-23-00:00,first,0.004368446668565565,TA
SEIUSDT,2024-09-20-00:00,2024-09-23-00:00,second,0.001822467752290373,TA
SEIUSDT,2024-09-21-00:00,2024-09-24-00:00,first,0.004201209979929282,TA
SEIUSDT,2024-09-21-00:00,2024-09-24-00:00,second,0.0021973665952340097,TA
SEIUSDT,2024-09-22-00:00,2024-09-25-00:00,first,0.004272775353568309,TA
SEIUSDT,2024-09-22-00:00,2024-09-25-00:00,second,0.0038110674480899484,TA
SEIUSDT,2024-09-23-00:00,2024-09-26-00:00,first,0.009307120817817769,TA
SEIUSDT,2024-09-23-00:00,2024-09-26-00:00,second,0.0028208500412684246,TA
SEIUSDT,2024-09-24-00:00,2024-09-27-00:00,first,0.010078547185171007,TA
SEIUSDT,2024-09-24-00:00,2024-09-27-00:00,second,0.002550124087058049,TA
SEIUSDT,2024-09-25-00:00,2024-09-28-00:00,first,0.007381587185232846,TA
SEIUSDT,2024-09-25-00:00,2024-09-28-00:00,second,0.002208173913802086,TA
