symbol,start_date,end_date,digit_type,mad,target
XTZUSDT,2024-07-01-00:00,2024-07-02-00:00,first,0.03299595516711842,TA
XTZUSDT,2024-07-01-00:00,2024-07-02-00:00,second,0.014558109241278105,TA
XTZUSDT,2024-07-02-00:00,2024-07-03-00:00,first,0.016544486517641073,TA
XTZUSDT,2024-07-02-00:00,2024-07-03-00:00,second,0.017331497062616046,TA
XTZUSDT,2024-07-03-00:00,2024-07-04-00:00,first,0.026061200837895204,TA
XTZUSDT,2024-07-03-00:00,2024-07-04-00:00,second,0.010978764117785495,TA
XTZUSDT,2024-07-04-00:00,2024-07-05-00:00,first,0.013794943311312455,TA
XTZUSDT,2024-07-04-00:00,2024-07-05-00:00,second,0.011993303443386494,TA
XTZUSDT,2024-07-05-00:00,2024-07-06-00:00,first,0.008147112942021861,TA
XTZUSDT,2024-07-05-00:00,2024-07-06-00:00,second,0.0046818078925800295,TA
XTZUSDT,2024-07-06-00:00,2024-07-07-00:00,first,0.011626499997726532,TA
XTZUSDT,2024-07-06-00:00,2024-07-07-00:00,second,0.01000204148421725,TA
XTZUSDT,2024-07-07-00:00,2024-07-08-00:00,first,0.010328251232055396,TA
XTZUSDT,2024-07-07-00:00,2024-07-08-00:00,second,0.006977715240538034,TA
XTZUSDT,2024-07-08-00:00,2024-07-09-00:00,first,0.009717765937691442,TA
XTZUSDT,2024-07-08-00:00,2024-07-09-00:00,second,0.008412687385757693,TA
XTZUSDT,2024-07-09-00:00,2024-07-10-00:00,first,0.01414543088970237,TA
XTZUSDT,2024-07-09-00:00,2024-07-10-00:00,second,0.009113781513914754,TA
XTZUSDT,2024-07-10-00:00,2024-07-11-00:00,first,0.008518297267416233,TA
XTZUSDT,2024-07-10-00:00,2024-07-11-00:00,second,0.013375004141497693,TA
XTZUSDT,2024-07-11-00:00,2024-07-12-00:00,first,0.013971761230790756,TA
XTZUSDT,2024-07-11-00:00,2024-07-12-00:00,second,0.015346403963520225,TA
XTZUSDT,2024-07-12-00:00,2024-07-13-00:00,first,0.016059577140304267,TA
XTZUSDT,2024-07-12-00:00,2024-07-13-00:00,second,0.008837808677920393,TA
XTZUSDT,2024-07-13-00:00,2024-07-14-00:00,first,0.03906993241983078,TA
XTZUSDT,2024-07-13-00:00,2024-07-14-00:00,second,0.011911268126664423,TA
XTZUSDT,2024-07-14-00:00,2024-07-15-00:00,first,0.012503786859544513,TA
XTZUSDT,2024-07-14-00:00,2024-07-15-00:00,second,0.025944256994113818,TA
XTZUSDT,2024-07-15-00:00,2024-07-16-00:00,first,0.010451476080373064,TA
XTZUSDT,2024-07-15-00:00,2024-07-16-00:00,second,0.015549394709534314,TA
XTZUSDT,2024-07-16-00:00,2024-07-17-00:00,first,0.018919160320301522,TA
XTZUSDT,2024-07-16-00:00,2024-07-17-00:00,second,0.013466439827217586,TA
XTZUSDT,2024-07-17-00:00,2024-07-18-00:00,first,0.02435254237767961,TA
XTZUSDT,2024-07-17-00:00,2024-07-18-00:00,second,0.006928874142885263,TA
XTZUSDT,2024-07-18-00:00,2024-07-19-00:00,first,0.022973253274382308,TA
XTZUSDT,2024-07-18-00:00,2024-07-19-00:00,second,0.016327051557606474,TA
XTZUSDT,2024-07-19-00:00,2024-07-20-00:00,first,0.01642683140669186,TA
XTZUSDT,2024-07-19-00:00,2024-07-20-00:00,second,0.007642997137365879,TA
XTZUSDT,2024-07-20-00:00,2024-07-21-00:00,first,0.00876299165478572,TA
XTZUSDT,2024-07-20-00:00,2024-07-21-00:00,second,0.018422964639138846,TA
XTZUSDT,2024-07-21-00:00,2024-07-22-00:00,first,0.016722285951625296,TA
XTZUSDT,2024-07-21-00:00,2024-07-22-00:00,second,0.016376928833512244,TA
XTZUSDT,2024-07-22-00:00,2024-07-23-00:00,first,0.010475715367024742,TA
XTZUSDT,2024-07-22-00:00,2024-07-23-00:00,second,0.01714638102006228,TA
XTZUSDT,2024-07-23-00:00,2024-07-24-00:00,first,0.00988536634562316,TA
XTZUSDT,2024-07-23-00:00,2024-07-24-00:00,second,0.010819330858557475,TA
XTZUSDT,2024-07-24-00:00,2024-07-25-00:00,first,0.014156740523539388,TA
XTZUSDT,2024-07-24-00:00,2024-07-25-00:00,second,0.00859136033360701,TA
XTZUSDT,2024-07-25-00:00,2024-07-26-00:00,first,0.01656197952146944,TA
XTZUSDT,2024-07-25-00:00,2024-07-26-00:00,second,0.009080753383027225,TA
XTZUSDT,2024-07-26-00:00,2024-07-27-00:00,first,0.01690865501490156,TA
XTZUSDT,2024-07-26-00:00,2024-07-27-00:00,second,0.01106285811020363,TA
XTZUSDT,2024-07-27-00:00,2024-07-28-00:00,first,0.01766251398223908,TA
XTZUSDT,2024-07-27-00:00,2024-07-28-00:00,second,0.012027683313716613,TA
XTZUSDT,2024-07-28-00:00,2024-07-29-00:00,first,0.02787568723806954,TA
XTZUSDT,2024-07-28-00:00,2024-07-29-00:00,second,0.018369064146694758,TA
XTZUSDT,2024-07-29-00:00,2024-07-30-00:00,first,0.03476148651619484,TA
XTZUSDT,2024-07-29-00:00,2024-07-30-00:00,second,0.01337901109629688,TA
XTZUSDT,2024-07-30-00:00,2024-07-31-00:00,first,0.020041430575117754,TA
XTZUSDT,2024-07-30-00:00,2024-07-31-00:00,second,0.01863251919836529,TA
XTZUSDT,2024-07-31-00:00,2024-08-01-00:00,first,0.02697941544481392,TA
XTZUSDT,2024-07-31-00:00,2024-08-01-00:00,second,0.006489341997327131,TA
XTZUSDT,2024-08-01-00:00,2024-08-02-00:00,first,0.02398318136758171,TA
XTZUSDT,2024-08-01-00:00,2024-08-02-00:00,second,0.007206519230828464,TA
XTZUSDT,2024-08-02-00:00,2024-08-03-00:00,first,0.013489232847935267,TA
