symbol,start_date,end_date,digit_type,mad,target
KRW-APT,2025-01-01-00:00,2024-12-29-00:00,first,0.005149752510802175,TA
KRW-APT,2025-01-01-00:00,2024-12-29-00:00,second,0.010028209298678373,TA
KRW-APT,2024-12-31-00:00,2024-12-28-00:00,first,0.005658336394520811,TA
KRW-APT,2024-12-31-00:00,2024-12-28-00:00,second,0.010138735614467844,TA
KRW-APT,2024-12-30-00:00,2024-12-27-00:00,first,0.003545435722895645,TA
KRW-APT,2024-12-30-00:00,2024-12-27-00:00,second,0.009175014734058216,TA
KRW-APT,2024-12-29-00:00,2024-12-26-00:00,first,0.004323317393659772,TA
KRW-APT,2024-12-29-00:00,2024-12-26-00:00,second,0.007121007449771097,TA
KRW-APT,2024-12-28-00:00,2024-12-25-00:00,first,0.003650267704716768,TA
KRW-APT,2024-12-28-00:00,2024-12-25-00:00,second,0.004180252864090088,TA
KRW-APT,2024-12-27-00:00,2024-12-24-00:00,first,0.002929321328259803,TA
KRW-APT,2024-12-27-00:00,2024-12-24-00:00,second,0.0036000962955486963,TA
KRW-APT,2024-12-26-00:00,2024-12-23-00:00,first,0.0034880788809613424,TA
KRW-APT,2024-12-26-00:00,2024-12-23-00:00,second,0.004130561181276089,TA
KRW-APT,2024-12-25-00:00,2024-12-22-00:00,first,0.005033660567347744,TA
KRW-APT,2024-12-25-00:00,2024-12-22-00:00,second,0.0030569174326496667,TA
KRW-APT,2024-12-24-00:00,2024-12-21-00:00,first,0.003352028473851892,TA
KRW-APT,2024-12-24-00:00,2024-12-21-00:00,second,0.002770139350733593,TA
KRW-APT,2024-12-23-00:00,2024-12-20-00:00,first,0.004693739300856843,TA
KRW-APT,2024-12-23-00:00,2024-12-20-00:00,second,0.003251447615564296,TA
KRW-APT,2024-12-22-00:00,2024-12-19-00:00,first,0.0034899295383225767,TA
KRW-APT,2024-12-22-00:00,2024-12-19-00:00,second,0.0047581674172349365,TA
KRW-APT,2024-12-21-00:00,2024-12-18-00:00,first,0.003301523423346832,TA
KRW-APT,2024-12-21-00:00,2024-12-18-00:00,second,0.005964928907519235,TA
KRW-APT,2024-12-20-00:00,2024-12-17-00:00,first,0.005824925291238111,TA
KRW-APT,2024-12-20-00:00,2024-12-17-00:00,second,0.0052127128717803905,TA
KRW-APT,2024-12-19-00:00,2024-12-16-00:00,first,0.004079367245209289,TA
KRW-APT,2024-12-19-00:00,2024-12-16-00:00,second,0.0055103834529737815,TA
KRW-APT,2024-12-18-00:00,2024-12-15-00:00,first,0.0030956318594474335,TA
KRW-APT,2024-12-18-00:00,2024-12-15-00:00,second,0.005717321129855209,TA
KRW-APT,2024-12-17-00:00,2024-12-14-00:00,first,0.0036596071993503917,TA
KRW-APT,2024-12-17-00:00,2024-12-14-00:00,second,0.007383987796521875,TA
