symbol,start_date,end_date,digit_type,mad,target
KRW-BAT,2025-01-01-00:00,2024-12-29-00:00,first,0.0089161170629778,TA
KRW-BAT,2025-01-01-00:00,2024-12-29-00:00,second,0.016662562041954217,TA
KRW-BAT,2024-12-31-00:00,2024-12-28-00:00,first,0.005513339285200023,TA
KRW-BAT,2024-12-31-00:00,2024-12-28-00:00,second,0.01522415518757409,TA
KRW-BAT,2024-12-30-00:00,2024-12-27-00:00,first,0.006411515722229365,TA
KRW-BAT,2024-12-30-00:00,2024-12-27-00:00,second,0.013127175869085373,TA
KRW-BAT,2024-12-29-00:00,2024-12-26-00:00,first,0.005604445408004181,TA
KRW-BAT,2024-12-29-00:00,2024-12-26-00:00,second,0.011661655187574092,TA
KRW-BAT,2024-12-28-00:00,2024-12-25-00:00,first,0.007153147214346884,TA
KRW-BAT,2024-12-28-00:00,2024-12-25-00:00,second,0.007707962314293092,TA
KRW-BAT,2024-12-27-00:00,2024-12-24-00:00,first,0.002900996096249879,TA
KRW-BAT,2024-12-27-00:00,2024-12-24-00:00,second,0.005328088258962265,TA
KRW-BAT,2024-12-26-00:00,2024-12-23-00:00,first,0.005375498056666747,TA
KRW-BAT,2024-12-26-00:00,2024-12-23-00:00,second,0.008705518186162348,TA
KRW-BAT,2024-12-25-00:00,2024-12-22-00:00,first,0.010270837272826409,TA
KRW-BAT,2024-12-25-00:00,2024-12-22-00:00,second,0.01518967586908537,TA
KRW-BAT,2024-12-24-00:00,2024-12-21-00:00,first,0.014308535685524822,TA
KRW-BAT,2024-12-24-00:00,2024-12-21-00:00,second,0.022421818726228223,TA
KRW-BAT,2024-12-23-00:00,2024-12-20-00:00,first,0.01172917060615974,TA
KRW-BAT,2024-12-23-00:00,2024-12-20-00:00,second,0.01660422870862088,TA
KRW-BAT,2024-12-22-00:00,2024-12-19-00:00,first,0.009602261817387207,TA
KRW-BAT,2024-12-22-00:00,2024-12-19-00:00,second,0.01494702881026184,TA
KRW-BAT,2024-12-21-00:00,2024-12-18-00:00,first,0.01162840560823688,TA
KRW-BAT,2024-12-21-00:00,2024-12-18-00:00,second,0.015652911163203016,TA
KRW-BAT,2024-12-20-00:00,2024-12-17-00:00,first,0.010631673582093094,TA
KRW-BAT,2024-12-20-00:00,2024-12-17-00:00,second,0.020064675869085367,TA
KRW-BAT,2024-12-19-00:00,2024-12-16-00:00,first,0.011887252608731158,TA
KRW-BAT,2024-12-19-00:00,2024-12-16-00:00,second,0.02406467586908537,TA
KRW-BAT,2024-12-18-00:00,2024-12-15-00:00,first,0.012531849924732379,TA
KRW-BAT,2024-12-18-00:00,2024-12-15-00:00,second,0.026264675869085367,TA
KRW-BAT,2024-12-17-00:00,2024-12-14-00:00,first,0.01736253775542021,TA
KRW-BAT,2024-12-17-00:00,2024-12-14-00:00,second,0.03156467586908537,TA
KRW-BAT,2024-12-16-00:00,2024-12-13-00:00,first,0.013962049354931807,TA
KRW-BAT,2024-12-16-00:00,2024-12-13-00:00,second,0.029756983561393058,TA
KRW-BAT,2024-12-15-00:00,2024-12-12-00:00,first,0.01183460413816291,TA
KRW-BAT,2024-12-15-00:00,2024-12-12-00:00,second,0.025778961583371084,TA
KRW-BAT,2024-12-14-00:00,2024-12-11-00:00,first,0.010025438613574848,TA
KRW-BAT,2024-12-14-00:00,2024-12-11-00:00,second,0.02326467586908537,TA
KRW-BAT,2024-12-13-00:00,2024-12-10-00:00,first,0.007301585052574401,TA
KRW-BAT,2024-12-13-00:00,2024-12-10-00:00,second,0.018639596364044678,TA
KRW-BAT,2024-12-12-00:00,2024-12-09-00:00,first,0.00626024498646078,TA
KRW-BAT,2024-12-12-00:00,2024-12-09-00:00,second,0.0173977662986852,TA
KRW-BAT,2024-12-11-00:00,2024-12-08-00:00,first,0.00788320891298347,TA
