symbol,start_date,end_date,digit_type,mad,target
KRW-BCH,2023-01-01-00:00,2022-12-31-00:00,first,0.017143498108623485,TA
KRW-BCH,2023-01-01-00:00,2022-12-31-00:00,second,0.019300376067983724,TA
KRW-BCH,2022-12-31-00:00,2022-12-30-00:00,first,0.010687229137648642,TA
KRW-BCH,2022-12-31-00:00,2022-12-30-00:00,second,0.019438735614467847,TA
KRW-BCH,2022-12-30-00:00,2022-12-29-00:00,first,0.010471389937702762,TA
KRW-BCH,2022-12-30-00:00,2022-12-29-00:00,second,0.016964928907519237,TA
KRW-BCH,2022-12-29-00:00,2022-12-28-00:00,first,0.010909451359870866,TA
KRW-BCH,2022-12-29-00:00,2022-12-28-00:00,second,0.01990037606798372,TA
KRW-BCH,2022-12-28-00:00,2022-12-27-00:00,first,0.012296268007415102,TA
KRW-BCH,2022-12-28-00:00,2022-12-27-00:00,second,0.016585295980917725,TA
KRW-BCH,2022-12-27-00:00,2022-12-26-00:00,first,0.01724945039631113,TA
KRW-BCH,2022-12-27-00:00,2022-12-26-00:00,second,0.016137123369377615,TA
KRW-BCH,2022-12-26-00:00,2022-12-25-00:00,first,0.009624567508800112,TA
KRW-BCH,2022-12-26-00:00,2022-12-25-00:00,second,0.01919876382289349,TA
KRW-BCH,2022-12-25-00:00,2022-12-24-00:00,first,0.023118059495048623,TA
KRW-BCH,2022-12-25-00:00,2022-12-24-00:00,second,0.02019876382289349,TA
KRW-BCH,2022-12-24-00:00,2022-12-23-00:00,first,0.010740995132690138,TA
KRW-BCH,2022-12-24-00:00,2022-12-23-00:00,second,0.02619876382289349,TA
KRW-BCH,2022-12-23-00:00,2022-12-22-00:00,first,0.02031654779756649,TA
KRW-BCH,2022-12-23-00:00,2022-12-22-00:00,second,0.02202381666628626,TA
KRW-BCH,2022-12-22-00:00,2022-12-21-00:00,first,0.009725716476606762,TA
KRW-BCH,2022-12-22-00:00,2022-12-21-00:00,second,0.024184464021791845,TA
KRW-BCH,2022-12-21-00:00,2022-12-20-00:00,first,0.01603877001978871,TA
KRW-BCH,2022-12-21-00:00,2022-12-20-00:00,second,0.019499016861327358,TA
KRW-BCH,2022-12-20-00:00,2022-12-19-00:00,first,0.011304723271036092,TA
KRW-BCH,2022-12-20-00:00,2022-12-19-00:00,second,0.024887123369377616,TA
KRW-BCH,2022-12-19-00:00,2022-12-18-00:00,first,0.013360561507422243,TA
KRW-BCH,2022-12-19-00:00,2022-12-18-00:00,second,0.027795032635639493,TA
KRW-BCH,2022-12-18-00:00,2022-12-17-00:00,first,0.008725716476606764,TA
KRW-BCH,2022-12-18-00:00,2022-12-17-00:00,second,0.018137123369377613,TA
KRW-BCH,2022-12-17-00:00,2022-12-16-00:00,first,0.008626107086363891,TA
KRW-BCH,2022-12-17-00:00,2022-12-16-00:00,second,0.01887297708875377,TA
KRW-BCH,2022-12-16-00:00,2022-12-15-00:00,first,0.011752621845033513,TA
