symbol,start_date,end_date,digit_type,mad,target
KRW-BTT,2022-01-01-00:00,2021-12-31-00:00,first,0.003745713585927565,TA
KRW-BTT,2022-01-01-00:00,2021-12-31-00:00,second,0.006952575838141721,TA
KRW-BTT,2021-12-31-00:00,2021-12-30-00:00,first,0.0036009912784512013,TA
KRW-BTT,2021-12-31-00:00,2021-12-30-00:00,second,0.0021841555312591037,TA
KRW-BTT,2021-12-30-00:00,2021-12-29-00:00,first,0.007429448469191666,TA
KRW-BTT,2021-12-30-00:00,2021-12-29-00:00,second,0.004410835763749894,TA
KRW-BTT,2021-12-29-00:00,2021-12-28-00:00,first,0.004654009855616818,TA
KRW-BTT,2021-12-29-00:00,2021-12-28-00:00,second,0.005738825664738999,TA
KRW-BTT,2021-12-28-00:00,2021-12-27-00:00,first,0.004733889059397168,TA
KRW-BTT,2021-12-28-00:00,2021-12-27-00:00,second,0.004947346823207183,TA
KRW-BTT,2021-12-27-00:00,2021-12-26-00:00,first,0.007238302314820678,TA
KRW-BTT,2021-12-27-00:00,2021-12-26-00:00,second,0.007361208990220256,TA
KRW-BTT,2021-12-26-00:00,2021-12-25-00:00,first,0.007363572485395893,TA
KRW-BTT,2021-12-26-00:00,2021-12-25-00:00,second,0.004871348458675905,TA
KRW-BTT,2021-12-25-00:00,2021-12-24-00:00,first,0.006414044821633152,TA
KRW-BTT,2021-12-25-00:00,2021-12-24-00:00,second,0.005227811708934578,TA
KRW-BTT,2021-12-24-00:00,2021-12-23-00:00,first,0.004638056604369427,TA
KRW-BTT,2021-12-24-00:00,2021-12-23-00:00,second,0.004099815698999992,TA
KRW-BTT,2021-12-23-00:00,2021-12-22-00:00,first,0.010164044821633146,TA
KRW-BTT,2021-12-23-00:00,2021-12-22-00:00,second,0.007980748766530911,TA
KRW-BTT,2021-12-22-00:00,2021-12-21-00:00,first,0.007554723271036092,TA
KRW-BTT,2021-12-22-00:00,2021-12-21-00:00,second,0.007631849899192231,TA
KRW-BTT,2021-12-21-00:00,2021-12-20-00:00,first,0.007148176437029339,TA
KRW-BTT,2021-12-21-00:00,2021-12-20-00:00,second,0.007654616880137552,TA
KRW-BTT,2021-12-20-00:00,2021-12-19-00:00,first,0.0065766676302264,TA
