symbol,start_date,end_date,digit_type,mad,target
KRW-FLOW,2025-01-01-00:00,2024-12-29-00:00,first,0.009784726161715298,TA
KRW-FLOW,2025-01-01-00:00,2024-12-29-00:00,second,0.013286898091307592,TA
KRW-FLOW,2024-12-31-00:00,2024-12-28-00:00,first,0.009126360697936677,TA
KRW-FLOW,2024-12-31-00:00,2024-12-28-00:00,second,0.014275202184874842,TA
KRW-FLOW,2024-12-30-00:00,2024-12-27-00:00,first,0.008426701470357274,TA
KRW-FLOW,2024-12-30-00:00,2024-12-27-00:00,second,0.01545356475797426,TA
KRW-FLOW,2024-12-29-00:00,2024-12-26-00:00,first,0.007612399587938178,TA
KRW-FLOW,2024-12-29-00:00,2024-12-26-00:00,second,0.01506467586908537,TA
KRW-FLOW,2024-12-28-00:00,2024-12-25-00:00,first,0.00848959257039432,TA
KRW-FLOW,2024-12-28-00:00,2024-12-25-00:00,second,0.01404086908605139,TA
KRW-FLOW,2024-12-27-00:00,2024-12-24-00:00,first,0.008208890816008353,TA
KRW-FLOW,2024-12-27-00:00,2024-12-24-00:00,second,0.013098763822893489,TA
KRW-FLOW,2024-12-26-00:00,2024-12-23-00:00,first,0.0075422241493416885,TA
KRW-FLOW,2024-12-26-00:00,2024-12-23-00:00,second,0.012236655187574087,TA
KRW-FLOW,2024-12-25-00:00,2024-12-22-00:00,first,0.008542224149341686,TA
KRW-FLOW,2024-12-25-00:00,2024-12-22-00:00,second,0.012586655187574087,TA
KRW-FLOW,2024-12-24-00:00,2024-12-21-00:00,first,0.007618059495048633,TA
KRW-FLOW,2024-12-24-00:00,2024-12-21-00:00,second,0.010489567573593725,TA
KRW-FLOW,2024-12-23-00:00,2024-12-20-00:00,first,0.007108361715479251,TA
KRW-FLOW,2024-12-23-00:00,2024-12-20-00:00,second,0.00812977663882012,TA
KRW-FLOW,2024-12-22-00:00,2024-12-19-00:00,first,0.0055875842681321845,TA
KRW-FLOW,2024-12-22-00:00,2024-12-19-00:00,second,0.007034538543582022,TA
KRW-FLOW,2024-12-21-00:00,2024-12-18-00:00,first,0.004952663633211545,TA
KRW-FLOW,2024-12-21-00:00,2024-12-18-00:00,second,0.006844062353105834,TA
KRW-FLOW,2024-12-20-00:00,2024-12-17-00:00,first,0.007108361715479257,TA
KRW-FLOW,2024-12-20-00:00,2024-12-17-00:00,second,0.007522636598538175,TA
KRW-FLOW,2024-12-19-00:00,2024-12-16-00:00,first,0.008320001927119462,TA
KRW-FLOW,2024-12-19-00:00,2024-12-16-00:00,second,0.006579228708620881,TA
KRW-FLOW,2024-12-18-00:00,2024-12-15-00:00,first,0.011173615050604182,TA
KRW-FLOW,2024-12-18-00:00,2024-12-15-00:00,second,0.008014675869085369,TA
KRW-FLOW,2024-12-17-00:00,2024-12-14-00:00,first,0.008284726161715293,TA
KRW-FLOW,2024-12-17-00:00,2024-12-14-00:00,second,0.009664675869085369,TA
KRW-FLOW,2024-12-16-00:00,2024-12-13-00:00,first,0.0071397211734083406,TA
KRW-FLOW,2024-12-16-00:00,2024-12-13-00:00,second,0.012979228708620883,TA
KRW-FLOW,2024-12-15-00:00,2024-12-12-00:00,first,0.006064293500007133,TA
KRW-FLOW,2024-12-15-00:00,2024-12-12-00:00,second,0.011054281552013653,TA
KRW-FLOW,2024-12-14-00:00,2024-12-11-00:00,first,0.0071415107339224005,TA
KRW-FLOW,2024-12-14-00:00,2024-12-11-00:00,second,0.009904281552013654,TA
KRW-FLOW,2024-12-13-00:00,2024-12-10-00:00,first,0.004591632757474796,TA
KRW-FLOW,2024-12-13-00:00,2024-12-10-00:00,second,0.0058635241494717286,TA
KRW-FLOW,2024-12-12-00:00,2024-12-09-00:00,first,0.0038279384350559786,TA
KRW-FLOW,2024-12-12-00:00,2024-12-09-00:00,second,0.005537875797044491,TA
KRW-FLOW,2024-12-11-00:00,2024-12-08-00:00,first,0.00459837406468689,TA
KRW-FLOW,2024-12-11-00:00,2024-12-08-00:00,second,0.005929503707134323,TA
KRW-FLOW,2024-12-10-00:00,2024-12-07-00:00,first,0.004862924329237151,TA
KRW-FLOW,2024-12-10-00:00,2024-12-07-00:00,second,0.00915780013719231,TA
KRW-FLOW,2024-12-09-00:00,2024-12-06-00:00,first,0.004629235865420287,TA
KRW-FLOW,2024-12-09-00:00,2024-12-06-00:00,second,0.0062530382324304055,TA
KRW-FLOW,2024-12-08-00:00,2024-12-05-00:00,first,0.005082998706009565,TA
KRW-FLOW,2024-12-08-00:00,2024-12-05-00:00,second,0.005365758049784203,TA
KRW-FLOW,2024-12-07-00:00,2024-12-04-00:00,first,0.0035101976026092755,TA
KRW-FLOW,2024-12-07-00:00,2024-12-04-00:00,second,0.0035949925344439778,TA
KRW-FLOW,2024-12-06-00:00,2024-12-03-00:00,first,0.0030013630656494285,TA
KRW-FLOW,2024-12-06-00:00,2024-12-03-00:00,second,0.0036686362830704007,TA
KRW-FLOW,2024-12-05-00:00,2024-12-02-00:00,first,0.004501770737955163,TA
KRW-FLOW,2024-12-05-00:00,2024-12-02-00:00,second,0.003302724236878521,TA
KRW-FLOW,2024-12-04-00:00,2024-12-01-00:00,first,0.002752428660016992,TA
KRW-FLOW,2024-12-04-00:00,2024-12-01-00:00,second,0.0026145646183109396,TA
KRW-FLOW,2024-12-03-00:00,2024-11-30-00:00,first,0.0034715948485839893,TA
KRW-FLOW,2024-12-03-00:00,2024-11-30-00:00,second,0.005725014734058215,TA
KRW-FLOW,2024-12-02-00:00,2024-11-29-00:00,first,0.0039866685937861406,TA
KRW-FLOW,2024-12-02-00:00,2024-11-29-00:00,second,0.005679560188603668,TA
KRW-FLOW,2024-12-01-00:00,2024-11-28-00:00,first,0.006081022458011589,TA
KRW-FLOW,2024-12-01-00:00,2024-11-28-00:00,second,0.007986919495962978,TA
KRW-FLOW,2024-11-30-00:00,2024-11-27-00:00,first,0.006239752616741751,TA
KRW-FLOW,2024-11-30-00:00,2024-11-27-00:00,second,0.007155405097995428,TA
KRW-FLOW,2024-11-29-00:00,2024-11-26-00:00,first,0.006685081292198832,TA
KRW-FLOW,2024-11-29-00:00,2024-11-26-00:00,second,0.0063678718769153595,TA
KRW-FLOW,2024-11-28-00:00,2024-11-25-00:00,first,0.004856183022025059,TA
KRW-FLOW,2024-11-28-00:00,2024-11-25-00:00,second,0.006325505046144113,TA
KRW-FLOW,2024-11-27-00:00,2024-11-24-00:00,first,0.005414424094972007,TA
