symbol,start_date,end_date,digit_type,mad,target
KRW-LINK,2023-01-01-00:00,2022-12-31-00:00,first,0.010048889852448619,TA
KRW-LINK,2023-01-01-00:00,2022-12-31-00:00,second,0.028550376067983725,TA
KRW-LINK,2022-12-31-00:00,2022-12-30-00:00,first,0.011622777948286053,TA
KRW-LINK,2022-12-31-00:00,2022-12-30-00:00,second,0.019900376067983724,TA
KRW-LINK,2022-12-30-00:00,2022-12-29-00:00,first,0.014033611196365252,TA
KRW-LINK,2022-12-30-00:00,2022-12-29-00:00,second,0.018267588255105004,TA
KRW-LINK,2022-12-29-00:00,2022-12-28-00:00,first,0.010675404611118246,TA
KRW-LINK,2022-12-29-00:00,2022-12-28-00:00,second,0.022203035415569495,TA
KRW-LINK,2022-12-28-00:00,2022-12-27-00:00,first,0.013604570399479318,TA
KRW-LINK,2022-12-28-00:00,2022-12-27-00:00,second,0.020389728712478142,TA
KRW-LINK,2022-12-27-00:00,2022-12-26-00:00,first,0.013540559580302773,TA
KRW-LINK,2022-12-27-00:00,2022-12-26-00:00,second,0.024979228708620887,TA
KRW-LINK,2022-12-26-00:00,2022-12-25-00:00,first,0.016269447505631928,TA
KRW-LINK,2022-12-26-00:00,2022-12-25-00:00,second,0.026080267299392425,TA
KRW-LINK,2022-12-25-00:00,2022-12-24-00:00,first,0.011750957275994596,TA
KRW-LINK,2022-12-25-00:00,2022-12-24-00:00,second,0.020994278015164708,TA
KRW-LINK,2022-12-24-00:00,2022-12-23-00:00,first,0.011590956312434866,TA
KRW-LINK,2022-12-24-00:00,2022-12-23-00:00,second,0.016794278015164706,TA
KRW-LINK,2022-12-23-00:00,2022-12-22-00:00,first,0.015368734090212641,TA
KRW-LINK,2022-12-23-00:00,2022-12-22-00:00,second,0.02148026729939243,TA
KRW-LINK,2022-12-22-00:00,2022-12-21-00:00,first,0.012237343188950152,TA
KRW-LINK,2022-12-22-00:00,2022-12-21-00:00,second,0.024929228708620882,TA
KRW-LINK,2022-12-21-00:00,2022-12-20-00:00,first,0.01069540172043904,TA
KRW-LINK,2022-12-21-00:00,2022-12-20-00:00,second,0.01752922870862088,TA
KRW-LINK,2022-12-20-00:00,2022-12-19-00:00,first,0.011702067423545976,TA
