symbol,start_date,end_date,digit_type,mad,target
KRW-TRX,2025-01-01-00:00,2024-12-29-00:00,first,0.0048382094759262,TA
KRW-TRX,2025-01-01-00:00,2024-12-29-00:00,second,0.005875014734058213,TA
KRW-TRX,2024-12-31-00:00,2024-12-28-00:00,first,0.004752555800948844,TA
KRW-TRX,2024-12-31-00:00,2024-12-28-00:00,second,0.008406832915876397,TA
KRW-TRX,2024-12-30-00:00,2024-12-27-00:00,first,0.005614732506427513,TA
KRW-TRX,2024-12-30-00:00,2024-12-27-00:00,second,0.006778896751138389,TA
KRW-TRX,2024-12-29-00:00,2024-12-26-00:00,first,0.003456240572007963,TA
KRW-TRX,2024-12-29-00:00,2024-12-26-00:00,second,0.004403288454003361,TA
KRW-TRX,2024-12-28-00:00,2024-12-25-00:00,first,0.0031448988193907143,TA
KRW-TRX,2024-12-28-00:00,2024-12-25-00:00,second,0.004210437189224876,TA
KRW-TRX,2024-12-27-00:00,2024-12-24-00:00,first,0.002639848314340207,TA
KRW-TRX,2024-12-27-00:00,2024-12-24-00:00,second,0.004701480129137696,TA
KRW-TRX,2024-12-26-00:00,2024-12-23-00:00,first,0.004161460621717427,TA
KRW-TRX,2024-12-26-00:00,2024-12-23-00:00,second,0.003750068737433862,TA
KRW-TRX,2024-12-25-00:00,2024-12-22-00:00,first,0.005614593639630961,TA
KRW-TRX,2024-12-25-00:00,2024-12-22-00:00,second,0.004046442446945792,TA
KRW-TRX,2024-12-24-00:00,2024-12-21-00:00,first,0.004321537205769809,TA
KRW-TRX,2024-12-24-00:00,2024-12-21-00:00,second,0.0038148443907459655,TA
KRW-TRX,2024-12-23-00:00,2024-12-20-00:00,first,0.005370379836692662,TA
KRW-TRX,2024-12-23-00:00,2024-12-20-00:00,second,0.0033578339085488145,TA
KRW-TRX,2024-12-22-00:00,2024-12-19-00:00,first,0.0075420970084098295,TA
KRW-TRX,2024-12-22-00:00,2024-12-19-00:00,second,0.004423270102530234,TA
KRW-TRX,2024-12-21-00:00,2024-12-18-00:00,first,0.006245781779468952,TA
KRW-TRX,2024-12-21-00:00,2024-12-18-00:00,second,0.004372293979814415,TA
KRW-TRX,2024-12-20-00:00,2024-12-17-00:00,first,0.0035117162081574416,TA
KRW-TRX,2024-12-20-00:00,2024-12-17-00:00,second,0.0039251491389414635,TA
KRW-TRX,2024-12-19-00:00,2024-12-16-00:00,first,0.004346664739547201,TA
KRW-TRX,2024-12-19-00:00,2024-12-16-00:00,second,0.0045269507291278805,TA
KRW-TRX,2024-12-18-00:00,2024-12-15-00:00,first,0.004536921511884188,TA
KRW-TRX,2024-12-18-00:00,2024-12-15-00:00,second,0.005158189434374528,TA
KRW-TRX,2024-12-17-00:00,2024-12-14-00:00,first,0.0036615195691079025,TA
KRW-TRX,2024-12-17-00:00,2024-12-14-00:00,second,0.004233341715417377,TA
KRW-TRX,2024-12-16-00:00,2024-12-13-00:00,first,0.00459427620436178,TA
KRW-TRX,2024-12-16-00:00,2024-12-13-00:00,second,0.00297011191069268,TA
KRW-TRX,2024-12-15-00:00,2024-12-12-00:00,first,0.003287909336302385,TA
KRW-TRX,2024-12-15-00:00,2024-12-12-00:00,second,0.0042484224275666045,TA
KRW-TRX,2024-12-14-00:00,2024-12-11-00:00,first,0.004074064607751785,TA
KRW-TRX,2024-12-14-00:00,2024-12-11-00:00,second,0.0026534918625911426,TA
