symbol,start_date,end_date,digit_type,mad,target
BTCUSDT,2024-01-01-00:00,2024-01-02-00:00,first,0.018283672609180717,PCR
BTCUSDT,2024-01-01-00:00,2024-01-02-00:00,second,0.006393010790778408,PCR
BTCUSDT,2024-01-02-00:00,2024-01-03-00:00,first,0.014265015413865644,PCR
BTCUSDT,2024-01-02-00:00,2024-01-03-00:00,second,0.0061568447689432275,PCR
BTCUSDT,2024-01-03-00:00,2024-01-04-00:00,first,0.006520185935803332,PCR
BTCUSDT,2024-01-03-00:00,2024-01-04-00:00,second,0.004799544052761494,PCR
BTCUSDT,2024-01-04-00:00,2024-01-05-00:00,first,0.017027655835172437,PCR
BTCUSDT,2024-01-04-00:00,2024-01-05-00:00,second,0.008396427924186291,PCR
BTCUSDT,2024-01-05-00:00,2024-01-06-00:00,first,0.011914752632803984,PCR
BTCUSDT,2024-01-05-00:00,2024-01-06-00:00,second,0.006924096550358025,PCR
BTCUSDT,2024-01-06-00:00,2024-01-07-00:00,first,0.015638561213338852,PCR
BTCUSDT,2024-01-06-00:00,2024-01-07-00:00,second,0.007768020382735446,PCR
BTCUSDT,2024-01-07-00:00,2024-01-08-00:00,first,0.010650874932646277,PCR
BTCUSDT,2024-01-07-00:00,2024-01-08-00:00,second,0.010548820304959707,PCR
BTCUSDT,2024-01-08-00:00,2024-01-09-00:00,first,0.015074785075594769,PCR
BTCUSDT,2024-01-08-00:00,2024-01-09-00:00,second,0.008734382680588602,PCR
BTCUSDT,2024-01-09-00:00,2024-01-10-00:00,first,0.015182127541965938,PCR
BTCUSDT,2024-01-09-00:00,2024-01-10-00:00,second,0.009419072010643912,PCR
BTCUSDT,2024-01-10-00:00,2024-01-11-00:00,first,0.008527470361628322,PCR
BTCUSDT,2024-01-10-00:00,2024-01-11-00:00,second,0.006402405724550661,PCR
BTCUSDT,2024-01-11-00:00,2024-01-12-00:00,first,0.013375803811214377,PCR
BTCUSDT,2024-01-11-00:00,2024-01-12-00:00,second,0.0040143526028955465,PCR
BTCUSDT,2024-01-12-00:00,2024-01-13-00:00,first,0.01033755892296999,PCR
BTCUSDT,2024-01-12-00:00,2024-01-13-00:00,second,0.0064533425839685896,PCR
BTCUSDT,2024-01-13-00:00,2024-01-14-00:00,first,0.006990841055538568,PCR
BTCUSDT,2024-01-13-00:00,2024-01-14-00:00,second,0.007582166549679787,PCR
BTCUSDT,2024-01-14-00:00,2024-01-15-00:00,first,0.01403423883228061,PCR
BTCUSDT,2024-01-14-00:00,2024-01-15-00:00,second,0.01006582327184129,PCR
BTCUSDT,2024-01-15-00:00,2024-01-16-00:00,first,0.009655429309533512,PCR
BTCUSDT,2024-01-15-00:00,2024-01-16-00:00,second,0.007833371600813804,PCR
BTCUSDT,2024-01-16-00:00,2024-01-17-00:00,first,0.01580254918919744,PCR
BTCUSDT,2024-01-16-00:00,2024-01-17-00:00,second,0.008469623688771185,PCR
BTCUSDT,2024-01-17-00:00,2024-01-18-00:00,first,0.01214747632408619,PCR
BTCUSDT,2024-01-17-00:00,2024-01-18-00:00,second,0.009198145800956344,PCR
BTCUSDT,2024-01-18-00:00,2024-01-19-00:00,first,0.016190518003984154,PCR
BTCUSDT,2024-01-18-00:00,2024-01-19-00:00,second,0.005708042804485304,PCR
BTCUSDT,2024-01-19-00:00,2024-01-20-00:00,first,0.010492289594582795,PCR
BTCUSDT,2024-01-19-00:00,2024-01-20-00:00,second,0.006453299554693921,PCR
BTCUSDT,2024-01-20-00:00,2024-01-21-00:00,first,0.006874719109706829,PCR
BTCUSDT,2024-01-20-00:00,2024-01-21-00:00,second,0.005111913013800257,PCR
BTCUSDT,2024-01-21-00:00,2024-01-22-00:00,first,0.02843977164196708,PCR
BTCUSDT,2024-01-21-00:00,2024-01-22-00:00,second,0.02012565067215361,PCR
BTCUSDT,2024-01-22-00:00,2024-01-23-00:00,first,0.015589290286672407,PCR
BTCUSDT,2024-01-22-00:00,2024-01-23-00:00,second,0.01212877590444417,PCR
BTCUSDT,2024-01-23-00:00,2024-01-24-00:00,first,0.011248438628759565,PCR
BTCUSDT,2024-01-23-00:00,2024-01-24-00:00,second,0.004830549560743892,PCR
BTCUSDT,2024-01-24-00:00,2024-01-25-00:00,first,0.015148357417550143,PCR
BTCUSDT,2024-01-24-00:00,2024-01-25-00:00,second,0.007971917027714904,PCR
BTCUSDT,2024-01-25-00:00,2024-01-26-00:00,first,0.016857429650201206,PCR
BTCUSDT,2024-01-25-00:00,2024-01-26-00:00,second,0.00901367594619509,PCR
BTCUSDT,2024-01-26-00:00,2024-01-27-00:00,first,0.006472986313200288,PCR
BTCUSDT,2024-01-26-00:00,2024-01-27-00:00,second,0.007426635365463336,PCR
BTCUSDT,2024-01-27-00:00,2024-01-28-00:00,first,0.01360819162193691,PCR
BTCUSDT,2024-01-27-00:00,2024-01-28-00:00,second,0.008840732331945097,PCR
BTCUSDT,2024-01-28-00:00,2024-01-29-00:00,first,0.019464046955337527,PCR
BTCUSDT,2024-01-28-00:00,2024-01-29-00:00,second,0.011859638001479324,PCR
BTCUSDT,2024-01-29-00:00,2024-01-30-00:00,first,0.017168283634174206,PCR
BTCUSDT,2024-01-29-00:00,2024-01-30-00:00,second,0.006314561172421356,PCR
BTCUSDT,2024-01-30-00:00,2024-01-31-00:00,first,0.008504192659927084,PCR
BTCUSDT,2024-01-30-00:00,2024-01-31-00:00,second,0.009275322968737131,PCR
BTCUSDT,2024-01-31-00:00,2024-02-01-00:00,first,0.011897891721631098,PCR
BTCUSDT,2024-01-31-00:00,2024-02-01-00:00,second,0.010720905930362705,PCR
BTCUSDT,2024-02-01-00:00,2024-02-02-00:00,first,0.008185736332597067,PCR
BTCUSDT,2024-02-01-00:00,2024-02-02-00:00,second,0.00495836729601218,PCR
BTCUSDT,2024-02-02-00:00,2024-02-03-00:00,first,0.01318049297858707,PCR
BTCUSDT,2024-02-02-00:00,2024-02-03-00:00,second,0.011814468310812901,PCR
BTCUSDT,2024-02-03-00:00,2024-02-04-00:00,first,0.023616234971253876,PCR
BTCUSDT,2024-02-03-00:00,2024-02-04-00:00,second,0.019430263073209286,PCR
BTCUSDT,2024-02-04-00:00,2024-02-05-00:00,first,0.033280465706377646,PCR
BTCUSDT,2024-02-04-00:00,2024-02-05-00:00,second,0.02736587751037171,PCR
BTCUSDT,2024-02-05-00:00,2024-02-06-00:00,first,0.017824046282261766,PCR
BTCUSDT,2024-02-05-00:00,2024-02-06-00:00,second,0.011909621328962755,PCR
BTCUSDT,2024-02-06-00:00,2024-02-07-00:00,first,0.01626342652516679,PCR
BTCUSDT,2024-02-06-00:00,2024-02-07-00:00,second,0.009640670106039464,PCR
BTCUSDT,2024-02-07-00:00,2024-02-08-00:00,first,0.02057990281936888,PCR
BTCUSDT,2024-02-07-00:00,2024-02-08-00:00,second,0.015465310324911972,PCR
BTCUSDT,2024-02-08-00:00,2024-02-09-00:00,first,0.009353366164471077,PCR
BTCUSDT,2024-02-08-00:00,2024-02-09-00:00,second,0.00803438316408349,PCR
BTCUSDT,2024-02-09-00:00,2024-02-10-00:00,first,0.018786450974947147,PCR
BTCUSDT,2024-02-09-00:00,2024-02-10-00:00,second,0.006656091434445015,PCR
BTCUSDT,2024-02-10-00:00,2024-02-11-00:00,first,0.01234438530194835,PCR
BTCUSDT,2024-02-10-00:00,2024-02-11-00:00,second,0.0077692240138751145,PCR
BTCUSDT,2024-02-11-00:00,2024-02-12-00:00,first,0.01736503229239098,PCR
BTCUSDT,2024-02-11-00:00,2024-02-12-00:00,second,0.007875655401179656,PCR
BTCUSDT,2024-02-12-00:00,2024-02-13-00:00,first,0.017610559624161345,PCR
BTCUSDT,2024-02-12-00:00,2024-02-13-00:00,second,0.01053587596439404,PCR
BTCUSDT,2024-02-13-00:00,2024-02-14-00:00,first,0.009123023352530978,PCR
BTCUSDT,2024-02-13-00:00,2024-02-14-00:00,second,0.006277112941504534,PCR
BTCUSDT,2024-02-14-00:00,2024-02-15-00:00,first,0.008555770971271946,PCR
BTCUSDT,2024-02-14-00:00,2024-02-15-00:00,second,0.009678559194761167,PCR
BTCUSDT,2024-02-15-00:00,2024-02-16-00:00,first,0.015982569574748594,PCR
BTCUSDT,2024-02-15-00:00,2024-02-16-00:00,second,0.005243934132076652,PCR
BTCUSDT,2024-02-16-00:00,2024-02-17-00:00,first,0.014272743590909206,PCR
BTCUSDT,2024-02-16-00:00,2024-02-17-00:00,second,0.005106084872883189,PCR
BTCUSDT,2024-02-17-00:00,2024-02-18-00:00,first,0.01002970900069227,PCR
BTCUSDT,2024-02-17-00:00,2024-02-18-00:00,second,0.013402690937787403,PCR
BTCUSDT,2024-02-18-00:00,2024-02-19-00:00,first,0.012206672740359917,PCR
BTCUSDT,2024-02-18-00:00,2024-02-19-00:00,second,0.012464117696371565,PCR
BTCUSDT,2024-02-19-00:00,2024-02-20-00:00,first,0.013549617638484753,PCR
BTCUSDT,2024-02-19-00:00,2024-02-20-00:00,second,0.012304381342696622,PCR
BTCUSDT,2024-02-20-00:00,2024-02-21-00:00,first,0.014162336194916629,PCR
BTCUSDT,2024-02-20-00:00,2024-02-21-00:00,second,0.008560239305404446,PCR
BTCUSDT,2024-02-21-00:00,2024-02-22-00:00,first,0.01183591235485676,PCR
BTCUSDT,2024-02-21-00:00,2024-02-22-00:00,second,0.005491548235656692,PCR
BTCUSDT,2024-02-22-00:00,2024-02-23-00:00,first,0.015705369537484748,PCR
BTCUSDT,2024-02-22-00:00,2024-02-23-00:00,second,0.006910492805364446,PCR
BTCUSDT,2024-02-23-00:00,2024-02-24-00:00,first,0.012862129407657876,PCR
BTCUSDT,2024-02-23-00:00,2024-02-24-00:00,second,0.01040292983125528,PCR
BTCUSDT,2024-02-24-00:00,2024-02-25-00:00,first,0.011666411918192215,PCR
BTCUSDT,2024-02-24-00:00,2024-02-25-00:00,second,0.01820684018675701,PCR
BTCUSDT,2024-02-25-00:00,2024-02-26-00:00,first,0.019588543344886376,PCR
BTCUSDT,2024-02-25-00:00,2024-02-26-00:00,second,0.027467896084994024,PCR
BTCUSDT,2024-02-26-00:00,2024-02-27-00:00,first,0.010108373576655057,PCR
BTCUSDT,2024-02-26-00:00,2024-02-27-00:00,second,0.017869001194595353,PCR
BTCUSDT,2024-02-27-00:00,2024-02-28-00:00,first,0.00986086756832606,PCR
