symbol,start_date,end_date,digit_type,mad,target
KRW-CHZ,2025-01-01-00:00,2024-12-29-00:00,first,0.00917250008525414,TA
KRW-CHZ,2025-01-01-00:00,2024-12-29-00:00,second,0.016252175869085367,TA
KRW-CHZ,2024-12-31-00:00,2024-12-28-00:00,first,0.008739493549306428,TA
KRW-CHZ,2024-12-31-00:00,2024-12-28-00:00,second,0.019123499398497133,TA
KRW-CHZ,2024-12-30-00:00,2024-12-27-00:00,first,0.00942972327103609,TA
KRW-CHZ,2024-12-30-00:00,2024-12-27-00:00,second,0.01818967586908537,TA
KRW-CHZ,2024-12-29-00:00,2024-12-26-00:00,first,0.008608255573480003,TA
KRW-CHZ,2024-12-29-00:00,2024-12-26-00:00,second,0.015535264104379484,TA
KRW-CHZ,2024-12-28-00:00,2024-12-25-00:00,first,0.005485525177229168,TA
KRW-CHZ,2024-12-28-00:00,2024-12-25-00:00,second,0.011865187585826656,TA
KRW-CHZ,2024-12-27-00:00,2024-12-24-00:00,first,0.004777273065468278,TA
KRW-CHZ,2024-12-27-00:00,2024-12-24-00:00,second,0.01138046534276958,TA
KRW-CHZ,2024-12-26-00:00,2024-12-23-00:00,first,0.006568886961769419,TA
KRW-CHZ,2024-12-26-00:00,2024-12-23-00:00,second,0.012336655187574088,TA
KRW-CHZ,2024-12-25-00:00,2024-12-22-00:00,first,0.007582501048813871,TA
KRW-CHZ,2024-12-25-00:00,2024-12-22-00:00,second,0.012636655187574087,TA
KRW-CHZ,2024-12-24-00:00,2024-12-21-00:00,first,0.00776099224201093,TA
KRW-CHZ,2024-12-24-00:00,2024-12-21-00:00,second,0.011286655187574088,TA
KRW-CHZ,2024-12-23-00:00,2024-12-20-00:00,first,0.005983214464233156,TA
KRW-CHZ,2024-12-23-00:00,2024-12-20-00:00,second,0.006698763822893491,TA
KRW-CHZ,2024-12-22-00:00,2024-12-19-00:00,first,0.0036078640582835626,TA
KRW-CHZ,2024-12-22-00:00,2024-12-19-00:00,second,0.005145892558426637,TA
KRW-CHZ,2024-12-21-00:00,2024-12-18-00:00,first,0.004811181188170326,TA
KRW-CHZ,2024-12-21-00:00,2024-12-18-00:00,second,0.006048540636057388,TA
KRW-CHZ,2024-12-20-00:00,2024-12-17-00:00,first,0.004666065116484622,TA
KRW-CHZ,2024-12-20-00:00,2024-12-17-00:00,second,0.007318139002165158,TA
KRW-CHZ,2024-12-19-00:00,2024-12-16-00:00,first,0.005816472193461329,TA
KRW-CHZ,2024-12-19-00:00,2024-12-16-00:00,second,0.007619988520907424,TA
KRW-CHZ,2024-12-18-00:00,2024-12-15-00:00,first,0.007233889059397165,TA
KRW-CHZ,2024-12-18-00:00,2024-12-15-00:00,second,0.0077012080271096055,TA
KRW-CHZ,2024-12-17-00:00,2024-12-14-00:00,first,0.006451392828381961,TA
KRW-CHZ,2024-12-17-00:00,2024-12-14-00:00,second,0.00982235538647244,TA
KRW-CHZ,2024-12-16-00:00,2024-12-13-00:00,first,0.0038047232710360975,TA
KRW-CHZ,2024-12-16-00:00,2024-12-13-00:00,second,0.009229228708620882,TA
KRW-CHZ,2024-12-15-00:00,2024-12-12-00:00,first,0.0031296013407484343,TA
KRW-CHZ,2024-12-15-00:00,2024-12-12-00:00,second,0.008656724552346295,TA
KRW-CHZ,2024-12-14-00:00,2024-12-11-00:00,first,0.0039093764650129734,TA
KRW-CHZ,2024-12-14-00:00,2024-12-11-00:00,second,0.00576807856719091,TA
KRW-CHZ,2024-12-13-00:00,2024-12-10-00:00,first,0.005518304141314998,TA
KRW-CHZ,2024-12-13-00:00,2024-12-10-00:00,second,0.003857493665183442,TA
KRW-CHZ,2024-12-12-00:00,2024-12-09-00:00,first,0.005016844483157305,TA
KRW-CHZ,2024-12-12-00:00,2024-12-09-00:00,second,0.003595999135098865,TA
KRW-CHZ,2024-12-11-00:00,2024-12-08-00:00,first,0.0054917968687860025,TA
KRW-CHZ,2024-12-11-00:00,2024-12-08-00:00,second,0.005389237644814566,TA
KRW-CHZ,2024-12-09-00:00,2024-12-06-00:00,first,0.004717808257551451,TA
KRW-CHZ,2024-12-09-00:00,2024-12-06-00:00,second,0.005377384416484149,TA
KRW-CHZ,2024-12-08-00:00,2024-12-05-00:00,first,0.0034612395566192685,TA
KRW-CHZ,2024-12-08-00:00,2024-12-05-00:00,second,0.005546523115577949,TA
KRW-CHZ,2024-12-07-00:00,2024-12-04-00:00,first,0.0030217699967326744,TA
KRW-CHZ,2024-12-07-00:00,2024-12-04-00:00,second,0.005964451895325899,TA
KRW-CHZ,2024-12-06-00:00,2024-12-03-00:00,first,0.006624112614968608,TA
KRW-CHZ,2024-12-06-00:00,2024-12-03-00:00,second,0.0042371791680531744,TA
KRW-CHZ,2024-12-05-00:00,2024-12-02-00:00,first,0.007934041930953947,TA
KRW-CHZ,2024-12-05-00:00,2024-12-02-00:00,second,0.003298819621569049,TA
KRW-CHZ,2024-12-04-00:00,2024-12-01-00:00,first,0.008336563729446186,TA
KRW-CHZ,2024-12-04-00:00,2024-12-01-00:00,second,0.0037728270569540104,TA
KRW-CHZ,2024-12-03-00:00,2024-11-30-00:00,first,0.006227447089730364,TA
KRW-CHZ,2024-12-03-00:00,2024-11-30-00:00,second,0.0035049637922325476,TA
KRW-CHZ,2024-12-02-00:00,2024-11-29-00:00,first,0.004643234250351793,TA
KRW-CHZ,2024-12-02-00:00,2024-11-29-00:00,second,0.004062100435823108,TA
KRW-CHZ,2024-12-01-00:00,2024-11-28-00:00,first,0.002634934526629541,TA
KRW-CHZ,2024-12-01-00:00,2024-11-28-00:00,second,0.005557106777745846,TA
KRW-CHZ,2024-11-30-00:00,2024-11-27-00:00,first,0.005321725443548857,TA
KRW-CHZ,2024-11-30-00:00,2024-11-27-00:00,second,0.004846288220428233,TA
KRW-CHZ,2024-11-29-00:00,2024-11-26-00:00,first,0.005947860928879617,TA
KRW-CHZ,2024-11-29-00:00,2024-11-26-00:00,second,0.007207749391775545,TA
KRW-CHZ,2024-11-28-00:00,2024-11-25-00:00,first,0.006986541452854279,TA
KRW-CHZ,2024-11-28-00:00,2024-11-25-00:00,second,0.00357356094770096,TA
KRW-CHZ,2024-11-27-00:00,2024-11-24-00:00,first,0.004828438368181563,TA
KRW-CHZ,2024-11-27-00:00,2024-11-24-00:00,second,0.004508344670700165,TA
KRW-CHZ,2024-11-26-00:00,2024-11-23-00:00,first,0.005289444614952724,TA
KRW-CHZ,2024-11-26-00:00,2024-11-23-00:00,second,0.0038535194437196857,TA
KRW-CHZ,2024-11-25-00:00,2024-11-22-00:00,first,0.004139730749816325,TA
KRW-CHZ,2024-11-25-00:00,2024-11-22-00:00,second,0.0031587190228360776,TA
KRW-CHZ,2024-11-24-00:00,2024-11-21-00:00,first,0.004312942459803197,TA
KRW-CHZ,2024-11-24-00:00,2024-11-21-00:00,second,0.004853574892674624,TA
KRW-CHZ,2024-11-23-00:00,2024-11-20-00:00,first,0.0041542123010730354,TA
KRW-CHZ,2024-11-23-00:00,2024-11-20-00:00,second,0.007901193940293672,TA
KRW-CHZ,2024-11-22-00:00,2024-11-19-00:00,first,0.004184433136040092,TA
KRW-CHZ,2024-11-22-00:00,2024-11-19-00:00,second,0.007704551087008067,TA
KRW-CHZ,2024-11-21-00:00,2024-11-18-00:00,first,0.004002749395631852,TA
KRW-CHZ,2024-11-21-00:00,2024-11-18-00:00,second,0.005572369473288376,TA
KRW-CHZ,2024-11-20-00:00,2024-11-17-00:00,first,0.004346664739547193,TA
KRW-CHZ,2024-11-20-00:00,2024-11-17-00:00,second,0.006704173568290622,TA
KRW-CHZ,2024-11-19-00:00,2024-11-16-00:00,first,0.004592729199846739,TA
KRW-CHZ,2024-11-19-00:00,2024-11-16-00:00,second,0.006136280835438176,TA
KRW-CHZ,2024-11-18-00:00,2024-11-15-00:00,first,0.006268280593788698,TA
KRW-CHZ,2024-11-18-00:00,2024-11-15-00:00,second,0.006286655187574088,TA
KRW-CHZ,2024-11-17-00:00,2024-11-14-00:00,first,0.008225952551460657,TA
KRW-CHZ,2024-11-17-00:00,2024-11-14-00:00,second,0.00703979076042983,TA
KRW-CHZ,2024-11-16-00:00,2024-11-13-00:00,first,0.007350863727852864,TA
KRW-CHZ,2024-11-16-00:00,2024-11-13-00:00,second,0.007984805668831823,TA
KRW-CHZ,2024-11-15-00:00,2024-11-12-00:00,first,0.0059519871881716065,TA
KRW-CHZ,2024-11-15-00:00,2024-11-12-00:00,second,0.006236922312823886,TA
KRW-CHZ,2024-11-14-00:00,2024-11-11-00:00,first,0.003499710128777012,TA
KRW-CHZ,2024-11-14-00:00,2024-11-11-00:00,second,0.005800070394311896,TA
KRW-CHZ,2024-11-13-00:00,2024-11-10-00:00,first,0.005567679436018725,TA
KRW-CHZ,2024-11-13-00:00,2024-11-10-00:00,second,0.004211044593501578,TA
KRW-CHZ,2024-11-12-00:00,2024-11-09-00:00,first,0.006602780838965257,TA
KRW-CHZ,2024-11-12-00:00,2024-11-09-00:00,second,0.008197408229865212,TA
KRW-CHZ,2024-11-11-00:00,2024-11-08-00:00,first,0.00788527215386528,TA
KRW-CHZ,2024-11-11-00:00,2024-11-08-00:00,second,0.010931955015352142,TA
KRW-CHZ,2024-11-10-00:00,2024-11-07-00:00,first,0.006760034803690605,TA
KRW-CHZ,2024-11-10-00:00,2024-11-07-00:00,second,0.0153980092024187,TA
KRW-CHZ,2024-11-09-00:00,2024-11-06-00:00,first,0.007301976272201706,TA
KRW-CHZ,2024-11-09-00:00,2024-11-06-00:00,second,0.015120231424640923,TA
