symbol,start_date,end_date,digit_type,mad,target
KRW-ID,2025-01-01-00:00,2024-12-31-00:00,first,0.014218796381550436,TA
KRW-ID,2025-01-01-00:00,2024-12-31-00:00,second,0.02266970208223616,TA
KRW-ID,2024-12-31-00:00,2024-12-30-00:00,first,0.011733058624753628,TA
KRW-ID,2024-12-31-00:00,2024-12-30-00:00,second,0.015921818726228228,TA
KRW-ID,2024-12-30-00:00,2024-12-29-00:00,first,0.012129884021579024,TA
KRW-ID,2024-12-30-00:00,2024-12-29-00:00,second,0.020564675869085367,TA
KRW-ID,2024-12-29-00:00,2024-12-28-00:00,first,0.009542224149341687,TA
KRW-ID,2024-12-29-00:00,2024-12-28-00:00,second,0.016000940901859804,TA
KRW-ID,2024-12-28-00:00,2024-12-27-00:00,first,0.007975277956296644,TA
KRW-ID,2024-12-28-00:00,2024-12-27-00:00,second,0.014715226616145516,TA
KRW-ID,2024-12-27-00:00,2024-12-26-00:00,first,0.010071586260784023,TA
KRW-ID,2024-12-27-00:00,2024-12-26-00:00,second,0.012157800137192315,TA
KRW-ID,2024-12-26-00:00,2024-12-25-00:00,first,0.004739330563651222,TA
KRW-ID,2024-12-26-00:00,2024-12-25-00:00,second,0.008801406785491631,TA
KRW-ID,2024-12-25-00:00,2024-12-24-00:00,first,0.009397108077655989,TA
KRW-ID,2024-12-25-00:00,2024-12-24-00:00,second,0.008754565173824001,TA
KRW-ID,2024-12-24-00:00,2024-12-23-00:00,first,0.009127377891193465,TA
KRW-ID,2024-12-24-00:00,2024-12-23-00:00,second,0.007942627011681847,TA
KRW-ID,2024-12-23-00:00,2024-12-22-00:00,first,0.009343936442404135,TA
KRW-ID,2024-12-23-00:00,2024-12-22-00:00,second,0.007809530952000547,TA
KRW-ID,2024-12-22-00:00,2024-12-21-00:00,first,0.006252214172727784,TA
KRW-ID,2024-12-22-00:00,2024-12-21-00:00,second,0.007835295980917723,TA
KRW-ID,2024-12-21-00:00,2024-12-20-00:00,first,0.00572309926284246,TA
KRW-ID,2024-12-21-00:00,2024-12-20-00:00,second,0.007595095887474655,TA
KRW-ID,2024-12-20-00:00,2024-12-19-00:00,first,0.006208890816008356,TA
KRW-ID,2024-12-20-00:00,2024-12-19-00:00,second,0.011675442998192424,TA
KRW-ID,2024-12-19-00:00,2024-12-18-00:00,first,0.00439944261058971,TA
KRW-ID,2024-12-19-00:00,2024-12-18-00:00,second,0.010294058956414451,TA
KRW-ID,2024-12-18-00:00,2024-12-17-00:00,first,0.011149881130899823,TA
KRW-ID,2024-12-18-00:00,2024-12-17-00:00,second,0.015157800137192312,TA
KRW-ID,2024-12-17-00:00,2024-12-16-00:00,first,0.006873767922160962,TA
KRW-ID,2024-12-17-00:00,2024-12-16-00:00,second,0.011075494704505973,TA
KRW-ID,2024-12-16-00:00,2024-12-15-00:00,first,0.01254448307817025,TA
KRW-ID,2024-12-16-00:00,2024-12-15-00:00,second,0.020367871876915356,TA
KRW-ID,2024-12-15-00:00,2024-12-14-00:00,first,0.010591991042410551,TA
KRW-ID,2024-12-15-00:00,2024-12-14-00:00,second,0.014064675869085368,TA
KRW-ID,2024-12-14-00:00,2024-12-13-00:00,first,0.01166627290245732,TA
KRW-ID,2024-12-14-00:00,2024-12-13-00:00,second,0.010952388094857688,TA
KRW-ID,2024-12-13-00:00,2024-12-12-00:00,first,0.009562579543598236,TA
KRW-ID,2024-12-13-00:00,2024-12-12-00:00,second,0.009994266226520474,TA
KRW-ID,2024-12-12-00:00,2024-12-11-00:00,first,0.005530399622811297,TA
KRW-ID,2024-12-12-00:00,2024-12-11-00:00,second,0.00937977945568103,TA
KRW-ID,2024-12-11-00:00,2024-12-10-00:00,first,0.004849444273936163,TA
KRW-ID,2024-12-11-00:00,2024-12-10-00:00,second,0.006587114589878526,TA
KRW-ID,2024-12-10-00:00,2024-12-09-00:00,first,0.006111504875320461,TA
KRW-ID,2024-12-10-00:00,2024-12-09-00:00,second,0.010051098294958892,TA
KRW-ID,2024-12-09-00:00,2024-12-08-00:00,first,0.007969836452042588,TA
KRW-ID,2024-12-09-00:00,2024-12-08-00:00,second,0.005393500336090665,TA
KRW-ID,2024-12-08-00:00,2024-12-07-00:00,first,0.007378486375398386,TA
KRW-ID,2024-12-08-00:00,2024-12-07-00:00,second,0.005684167319903339,TA
KRW-ID,2024-12-07-00:00,2024-12-06-00:00,first,0.0031963916943139564,TA
KRW-ID,2024-12-07-00:00,2024-12-06-00:00,second,0.006389037985132176,TA
KRW-ID,2024-12-06-00:00,2024-12-05-00:00,first,0.005903884864141673,TA
