symbol,start_date,end_date,digit_type,mad,target
KRW-LSK,2025-01-01-00:00,2024-12-29-00:00,first,0.015097779704897249,TA
KRW-LSK,2025-01-01-00:00,2024-12-29-00:00,second,0.022421818726228226,TA
KRW-LSK,2024-12-31-00:00,2024-12-28-00:00,first,0.013643243716674082,TA
KRW-LSK,2024-12-31-00:00,2024-12-28-00:00,second,0.022198009202418698,TA
KRW-LSK,2024-12-30-00:00,2024-12-27-00:00,first,0.009569169642600005,TA
KRW-LSK,2024-12-30-00:00,2024-12-27-00:00,second,0.01840303541556949,TA
KRW-LSK,2024-12-29-00:00,2024-12-26-00:00,first,0.008160400756879306,TA
KRW-LSK,2024-12-29-00:00,2024-12-26-00:00,second,0.01522415518757409,TA
KRW-LSK,2024-12-28-00:00,2024-12-25-00:00,first,0.007987729806983805,TA
KRW-LSK,2024-12-28-00:00,2024-12-25-00:00,second,0.011874890481691736,TA
KRW-LSK,2024-12-27-00:00,2024-12-24-00:00,first,0.009215426763720771,TA
KRW-LSK,2024-12-27-00:00,2024-12-24-00:00,second,0.013874890481691738,TA
KRW-LSK,2024-12-26-00:00,2024-12-23-00:00,first,0.007712158789864563,TA
KRW-LSK,2024-12-26-00:00,2024-12-23-00:00,second,0.014051361069927031,TA
KRW-LSK,2024-12-25-00:00,2024-12-22-00:00,first,0.010471130426913739,TA
KRW-LSK,2024-12-25-00:00,2024-12-22-00:00,second,0.019299969986732425,TA
KRW-LSK,2024-12-24-00:00,2024-12-21-00:00,first,0.008477536619231634,TA
KRW-LSK,2024-12-24-00:00,2024-12-21-00:00,second,0.020182322927908898,TA
KRW-LSK,2024-12-23-00:00,2024-12-20-00:00,first,0.010699758841453855,TA
KRW-LSK,2024-12-23-00:00,2024-12-20-00:00,second,0.020241146457320662,TA
KRW-LSK,2024-12-22-00:00,2024-12-19-00:00,first,0.010307601978708763,TA
KRW-LSK,2024-12-22-00:00,2024-12-19-00:00,second,0.021182322927908896,TA
KRW-LSK,2024-12-21-00:00,2024-12-18-00:00,first,0.010216824927147393,TA
KRW-LSK,2024-12-21-00:00,2024-12-18-00:00,second,0.019175786980196476,TA
KRW-LSK,2024-12-20-00:00,2024-12-17-00:00,first,0.01006509996633515,TA
KRW-LSK,2024-12-20-00:00,2024-12-17-00:00,second,0.021964522826267943,TA
KRW-LSK,2024-12-19-00:00,2024-12-16-00:00,first,0.011374167715480535,TA
KRW-LSK,2024-12-19-00:00,2024-12-16-00:00,second,0.020354228708620883,TA
KRW-LSK,2024-12-18-00:00,2024-12-15-00:00,first,0.012693612159924983,TA
KRW-LSK,2024-12-18-00:00,2024-12-15-00:00,second,0.023329228708620885,TA
KRW-LSK,2024-12-17-00:00,2024-12-14-00:00,first,0.01403361119636525,TA
KRW-LSK,2024-12-17-00:00,2024-12-14-00:00,second,0.023531342535752037,TA
KRW-LSK,2024-12-16-00:00,2024-12-13-00:00,first,0.011589166751920803,TA
KRW-LSK,2024-12-16-00:00,2024-12-13-00:00,second,0.02533134253575204,TA
KRW-LSK,2024-12-15-00:00,2024-12-12-00:00,first,0.008255833418587469,TA
KRW-LSK,2024-12-15-00:00,2024-12-12-00:00,second,0.024464675869085364,TA
KRW-LSK,2024-12-14-00:00,2024-12-11-00:00,first,0.007979170606159745,TA
KRW-LSK,2024-12-14-00:00,2024-12-11-00:00,second,0.022661655187574088,TA
KRW-LSK,2024-12-13-00:00,2024-12-10-00:00,first,0.008134913444528234,TA
KRW-LSK,2024-12-13-00:00,2024-12-10-00:00,second,0.017231342535752037,TA
KRW-LSK,2024-12-12-00:00,2024-12-09-00:00,first,0.006795763295105606,TA
KRW-LSK,2024-12-12-00:00,2024-12-09-00:00,second,0.013012044290138,TA
KRW-LSK,2024-12-11-00:00,2024-12-08-00:00,first,0.006427718334685879,TA
KRW-LSK,2024-12-11-00:00,2024-12-08-00:00,second,0.009696254816453791,TA
KRW-LSK,2024-12-10-00:00,2024-12-07-00:00,first,0.007944937308045198,TA
KRW-LSK,2024-12-10-00:00,2024-12-07-00:00,second,0.011911244275361329,TA
KRW-LSK,2024-12-09-00:00,2024-12-06-00:00,first,0.008928180061159552,TA
KRW-LSK,2024-12-09-00:00,2024-12-06-00:00,second,0.014508877409796311,TA
KRW-LSK,2024-12-08-00:00,2024-12-05-00:00,first,0.00943384896873284,TA
KRW-LSK,2024-12-08-00:00,2024-12-05-00:00,second,0.0136024446612583,TA
KRW-LSK,2024-12-07-00:00,2024-12-04-00:00,first,0.006821763198752334,TA
KRW-LSK,2024-12-07-00:00,2024-12-04-00:00,second,0.008633709401317056,TA
KRW-LSK,2024-12-06-00:00,2024-12-03-00:00,first,0.005286204752517573,TA
KRW-LSK,2024-12-06-00:00,2024-12-03-00:00,second,0.006539989624175643,TA
KRW-LSK,2024-12-05-00:00,2024-12-02-00:00,first,0.004622827319268545,TA
KRW-LSK,2024-12-05-00:00,2024-12-02-00:00,second,0.005633815807786482,TA
KRW-LSK,2024-12-04-00:00,2024-12-01-00:00,first,0.004849310242192697,TA
KRW-LSK,2024-12-04-00:00,2024-12-01-00:00,second,0.007182347377799778,TA
