symbol,start_date,end_date,digit_type,mad,target
DOTUSDT,2024-01-01-00:00,2024-01-02-00:00,first,0.015647817402878628,TA
DOTUSDT,2024-01-01-00:00,2024-01-02-00:00,second,0.006150323778190703,TA
DOTUSDT,2024-01-02-00:00,2024-01-03-00:00,first,0.014737982497277171,TA
DOTUSDT,2024-01-02-00:00,2024-01-03-00:00,second,0.006269132419235601,TA
DOTUSDT,2024-01-03-00:00,2024-01-04-00:00,first,0.011622807678978962,TA
DOTUSDT,2024-01-03-00:00,2024-01-04-00:00,second,0.005312074177218959,TA
DOTUSDT,2024-01-04-00:00,2024-01-05-00:00,first,0.014677933039655002,TA
DOTUSDT,2024-01-04-00:00,2024-01-05-00:00,second,0.008186325548990667,TA
DOTUSDT,2024-01-05-00:00,2024-01-06-00:00,first,0.009065344090029598,TA
DOTUSDT,2024-01-05-00:00,2024-01-06-00:00,second,0.009549482751756305,TA
DOTUSDT,2024-01-06-00:00,2024-01-07-00:00,first,0.00721747255755918,TA
DOTUSDT,2024-01-06-00:00,2024-01-07-00:00,second,0.005270710227874625,TA
DOTUSDT,2024-01-07-00:00,2024-01-08-00:00,first,0.011335491001854677,TA
DOTUSDT,2024-01-07-00:00,2024-01-08-00:00,second,0.004906040372702777,TA
DOTUSDT,2024-01-08-00:00,2024-01-09-00:00,first,0.0076559914929234495,TA
DOTUSDT,2024-01-08-00:00,2024-01-09-00:00,second,0.00591350543912641,TA
DOTUSDT,2024-01-09-00:00,2024-01-10-00:00,first,0.010453269142076786,TA
DOTUSDT,2024-01-09-00:00,2024-01-10-00:00,second,0.005782336600150195,TA
DOTUSDT,2024-01-10-00:00,2024-01-11-00:00,first,0.012085449362994695,TA
DOTUSDT,2024-01-10-00:00,2024-01-11-00:00,second,0.00731002846388711,TA
DOTUSDT,2024-01-11-00:00,2024-01-12-00:00,first,0.013041629655886157,TA
DOTUSDT,2024-01-11-00:00,2024-01-12-00:00,second,0.0053245564331680555,TA
DOTUSDT,2024-01-12-00:00,2024-01-13-00:00,first,0.016567438121120548,TA
DOTUSDT,2024-01-12-00:00,2024-01-13-00:00,second,0.006653388637602087,TA
DOTUSDT,2024-01-13-00:00,2024-01-14-00:00,first,0.007513419330670022,TA
DOTUSDT,2024-01-13-00:00,2024-01-14-00:00,second,0.005540279905760709,TA
DOTUSDT,2024-01-14-00:00,2024-01-15-00:00,first,0.01033264737585738,TA
DOTUSDT,2024-01-14-00:00,2024-01-15-00:00,second,0.004233622244359987,TA
DOTUSDT,2024-01-15-00:00,2024-01-16-00:00,first,0.00907782510626257,TA
DOTUSDT,2024-01-15-00:00,2024-01-16-00:00,second,0.008882875496910482,TA
DOTUSDT,2024-01-16-00:00,2024-01-17-00:00,first,0.012270560182526606,TA
DOTUSDT,2024-01-16-00:00,2024-01-17-00:00,second,0.005971589699197312,TA
DOTUSDT,2024-01-17-00:00,2024-01-18-00:00,first,0.008155509184428133,TA
DOTUSDT,2024-01-17-00:00,2024-01-18-00:00,second,0.003961865013576945,TA
DOTUSDT,2024-01-18-00:00,2024-01-19-00:00,first,0.007795389790844185,TA
DOTUSDT,2024-01-18-00:00,2024-01-19-00:00,second,0.004458928678752505,TA
DOTUSDT,2024-01-19-00:00,2024-01-20-00:00,first,0.002682524950859123,TA
DOTUSDT,2024-01-19-00:00,2024-01-20-00:00,second,0.005998721802778793,TA
DOTUSDT,2024-01-20-00:00,2024-01-21-00:00,first,0.01026011690200224,TA
DOTUSDT,2024-01-20-00:00,2024-01-21-00:00,second,0.007757677077853085,TA
DOTUSDT,2024-01-21-00:00,2024-01-22-00:00,first,0.010281228014221787,TA
DOTUSDT,2024-01-21-00:00,2024-01-22-00:00,second,0.00480328155959525,TA
DOTUSDT,2024-01-22-00:00,2024-01-23-00:00,first,0.007138123717260596,TA
DOTUSDT,2024-01-22-00:00,2024-01-23-00:00,second,0.00936695921660898,TA
DOTUSDT,2024-01-23-00:00,2024-01-24-00:00,first,0.00531548645986066,TA
DOTUSDT,2024-01-23-00:00,2024-01-24-00:00,second,0.005302670971906298,TA
DOTUSDT,2024-01-24-00:00,2024-01-25-00:00,first,0.013492946040322822,TA
DOTUSDT,2024-01-24-00:00,2024-01-25-00:00,second,0.007414273743667934,TA
DOTUSDT,2024-01-25-00:00,2024-01-26-00:00,first,0.014744800863720613,TA
DOTUSDT,2024-01-25-00:00,2024-01-26-00:00,second,0.006812964798711551,TA
DOTUSDT,2024-01-26-00:00,2024-01-27-00:00,first,0.005824996382141469,TA
DOTUSDT,2024-01-26-00:00,2024-01-27-00:00,second,0.00543045930905611,TA
DOTUSDT,2024-01-27-00:00,2024-01-28-00:00,first,0.008934936511169727,TA
DOTUSDT,2024-01-27-00:00,2024-01-28-00:00,second,0.006035164067300263,TA
DOTUSDT,2024-01-28-00:00,2024-01-29-00:00,first,0.011575511480194292,TA
DOTUSDT,2024-01-28-00:00,2024-01-29-00:00,second,0.008214726159309177,TA
DOTUSDT,2024-01-29-00:00,2024-01-30-00:00,first,0.013483160227682353,TA
DOTUSDT,2024-01-29-00:00,2024-01-30-00:00,second,0.004815289983405567,TA
DOTUSDT,2024-01-30-00:00,2024-01-31-00:00,first,0.008884672866188034,TA
DOTUSDT,2024-01-30-00:00,2024-01-31-00:00,second,0.005059886303787446,TA
DOTUSDT,2024-01-31-00:00,2024-02-01-00:00,first,0.010457075872088297,TA
DOTUSDT,2024-01-31-00:00,2024-02-01-00:00,second,0.007437514871687366,TA
DOTUSDT,2024-02-01-00:00,2024-02-02-00:00,first,0.0168969770226839,TA
DOTUSDT,2024-02-01-00:00,2024-02-02-00:00,second,0.006458776035172277,TA
DOTUSDT,2024-02-02-00:00,2024-02-03-00:00,first,0.010568544691346065,TA
DOTUSDT,2024-02-02-00:00,2024-02-03-00:00,second,0.007050102065039411,TA
DOTUSDT,2024-02-03-00:00,2024-02-04-00:00,first,0.002959532964367867,TA
DOTUSDT,2024-02-03-00:00,2024-02-04-00:00,second,0.003685373500627047,TA
DOTUSDT,2024-02-04-00:00,2024-02-05-00:00,first,0.003253623817700694,TA
DOTUSDT,2024-02-04-00:00,2024-02-05-00:00,second,0.007444215496237928,TA
DOTUSDT,2024-02-05-00:00,2024-02-06-00:00,first,0.008771015372076897,TA
DOTUSDT,2024-02-05-00:00,2024-02-06-00:00,second,0.004265970894982163,TA
DOTUSDT,2024-02-06-00:00,2024-02-07-00:00,first,0.005001396020727296,TA
DOTUSDT,2024-02-06-00:00,2024-02-07-00:00,second,0.004793132904479627,TA
DOTUSDT,2024-02-07-00:00,2024-02-08-00:00,first,0.007705348516645386,TA
