symbol,start_date,end_date,digit_type,mad,target
KRW-ANKR,2024-01-01-00:00,2023-12-31-00:00,first,0.013104445408004182,TA
KRW-ANKR,2024-01-01-00:00,2023-12-31-00:00,second,0.02515066515331309,TA
KRW-ANKR,2023-12-31-00:00,2023-12-30-00:00,first,0.009602780838965257,TA
KRW-ANKR,2023-12-31-00:00,2023-12-30-00:00,second,0.023864675869085365,TA
KRW-ANKR,2023-12-30-00:00,2023-12-29-00:00,first,0.010478055640809695,TA
KRW-ANKR,2023-12-30-00:00,2023-12-29-00:00,second,0.01886467586908537,TA
KRW-ANKR,2023-12-29-00:00,2023-12-28-00:00,first,0.012235836309266676,TA
KRW-ANKR,2023-12-29-00:00,2023-12-28-00:00,second,0.022731342535752035,TA
KRW-ANKR,2023-12-28-00:00,2023-12-27-00:00,first,0.010035400756879306,TA
KRW-ANKR,2023-12-28-00:00,2023-12-27-00:00,second,0.01856467586908537,TA
KRW-ANKR,2023-12-27-00:00,2023-12-26-00:00,first,0.008636785799539852,TA
KRW-ANKR,2023-12-27-00:00,2023-12-26-00:00,second,0.01577896158337108,TA
KRW-ANKR,2023-12-26-00:00,2023-12-25-00:00,first,0.00922423788580449,TA
KRW-ANKR,2023-12-26-00:00,2023-12-25-00:00,second,0.014932637561648832,TA
KRW-ANKR,2023-12-25-00:00,2023-12-24-00:00,first,0.011600915674346039,TA
KRW-ANKR,2023-12-25-00:00,2023-12-24-00:00,second,0.010532585855335282,TA
KRW-ANKR,2023-12-24-00:00,2023-12-23-00:00,first,0.012619820766681505,TA
KRW-ANKR,2023-12-24-00:00,2023-12-23-00:00,second,0.022836368748902828,TA
KRW-ANKR,2023-12-23-00:00,2023-12-22-00:00,first,0.013478055640809691,TA
KRW-ANKR,2023-12-23-00:00,2023-12-22-00:00,second,0.0189512080271096,TA
KRW-ANKR,2023-12-22-00:00,2023-12-21-00:00,first,0.010850194473205328,TA
KRW-ANKR,2023-12-22-00:00,2023-12-21-00:00,second,0.011236922312823888,TA
KRW-ANKR,2023-12-21-00:00,2023-12-20-00:00,first,0.005836827587717878,TA
