symbol,start_date,end_date,digit_type,mad,target
KRW-KAVA,2023-01-01-00:00,2022-12-31-00:00,first,0.00880148340860095,TA
KRW-KAVA,2023-01-01-00:00,2022-12-31-00:00,second,0.01060113068845851,TA
KRW-KAVA,2022-12-31-00:00,2022-12-30-00:00,first,0.013769447505631926,TA
KRW-KAVA,2022-12-31-00:00,2022-12-30-00:00,second,0.016272644471801812,TA
KRW-KAVA,2022-12-30-00:00,2022-12-29-00:00,first,0.011156546834006756,TA
KRW-KAVA,2022-12-30-00:00,2022-12-29-00:00,second,0.014425014734058217,TA
KRW-KAVA,2022-12-29-00:00,2022-12-28-00:00,first,0.013562503939493072,TA
KRW-KAVA,2022-12-29-00:00,2022-12-28-00:00,second,0.016122355386472442,TA
KRW-KAVA,2022-12-28-00:00,2022-12-27-00:00,first,0.010045435722895645,TA
KRW-KAVA,2022-12-28-00:00,2022-12-27-00:00,second,0.02146467586908537,TA
KRW-KAVA,2022-12-27-00:00,2022-12-26-00:00,first,0.01422917060615974,TA
KRW-KAVA,2022-12-27-00:00,2022-12-26-00:00,second,0.02286467586908537,TA
KRW-KAVA,2022-12-26-00:00,2022-12-25-00:00,first,0.01613639203533051,TA
KRW-KAVA,2022-12-26-00:00,2022-12-25-00:00,second,0.02156467586908537,TA
KRW-KAVA,2022-12-25-00:00,2022-12-24-00:00,first,0.010436114172298592,TA
KRW-KAVA,2022-12-25-00:00,2022-12-24-00:00,second,0.02344876382289349,TA
KRW-KAVA,2022-12-24-00:00,2022-12-23-00:00,first,0.014894172703787492,TA
KRW-KAVA,2022-12-24-00:00,2022-12-23-00:00,second,0.019934753107121214,TA
KRW-KAVA,2022-12-23-00:00,2022-12-22-00:00,first,0.015318212366605403,TA
KRW-KAVA,2022-12-23-00:00,2022-12-22-00:00,second,0.015414077543189986,TA
KRW-KAVA,2022-12-22-00:00,2022-12-21-00:00,first,0.012698205621687265,TA
KRW-KAVA,2022-12-22-00:00,2022-12-21-00:00,second,0.01868902469979722,TA
KRW-KAVA,2022-12-21-00:00,2022-12-20-00:00,first,0.010395526303114626,TA
KRW-KAVA,2022-12-21-00:00,2022-12-20-00:00,second,0.01256467586908537,TA
KRW-KAVA,2022-12-20-00:00,2022-12-19-00:00,first,0.008505283814898608,TA
KRW-KAVA,2022-12-20-00:00,2022-12-19-00:00,second,0.007327535120101032,TA
KRW-KAVA,2022-12-19-00:00,2022-12-18-00:00,first,0.01369540172043904,TA
KRW-KAVA,2022-12-19-00:00,2022-12-18-00:00,second,0.014058348067391545,TA
KRW-KAVA,2022-12-18-00:00,2022-12-17-00:00,first,0.010737880261730134,TA
KRW-KAVA,2022-12-18-00:00,2022-12-17-00:00,second,0.004652503053006398,TA
KRW-KAVA,2022-12-17-00:00,2022-12-16-00:00,first,0.006685081292198833,TA
KRW-KAVA,2022-12-17-00:00,2022-12-16-00:00,second,0.005242648971761415,TA
KRW-KAVA,2022-12-16-00:00,2022-12-15-00:00,first,0.004324484305502997,TA
KRW-KAVA,2022-12-16-00:00,2022-12-15-00:00,second,0.007918828177996872,TA
KRW-KAVA,2022-12-15-00:00,2022-12-14-00:00,first,0.010830218462373324,TA
KRW-KAVA,2022-12-15-00:00,2022-12-14-00:00,second,0.01471733181997976,TA
KRW-KAVA,2022-12-14-00:00,2022-12-13-00:00,first,0.00878786932155649,TA
KRW-KAVA,2022-12-14-00:00,2022-12-13-00:00,second,0.011229228708620882,TA
KRW-KAVA,2022-12-13-00:00,2022-12-12-00:00,first,0.009427969878389382,TA
KRW-KAVA,2022-12-13-00:00,2022-12-12-00:00,second,0.013660944681831372,TA
KRW-KAVA,2022-12-12-00:00,2022-12-11-00:00,first,0.0060432878774458335,TA
KRW-KAVA,2022-12-12-00:00,2022-12-11-00:00,second,0.006683744217860825,TA
KRW-KAVA,2022-12-11-00:00,2022-12-10-00:00,first,0.004546630923620055,TA
KRW-KAVA,2022-12-11-00:00,2022-12-10-00:00,second,0.010381873969390724,TA
KRW-KAVA,2022-12-10-00:00,2022-12-09-00:00,first,0.0037305524943680676,TA
KRW-KAVA,2022-12-10-00:00,2022-12-09-00:00,second,0.008500651066497156,TA
KRW-KAVA,2022-12-09-00:00,2022-12-08-00:00,first,0.006179323477716516,TA
KRW-KAVA,2022-12-09-00:00,2022-12-08-00:00,second,0.00615126087050237,TA
KRW-KAVA,2022-12-08-00:00,2022-12-07-00:00,first,0.006269447505631932,TA
KRW-KAVA,2022-12-08-00:00,2022-12-07-00:00,second,0.01145091819174696,TA
KRW-KAVA,2022-12-07-00:00,2022-12-06-00:00,first,0.01143570649999286,TA
KRW-KAVA,2022-12-07-00:00,2022-12-06-00:00,second,0.023023816666286265,TA
KRW-KAVA,2022-12-06-00:00,2022-12-05-00:00,first,0.014451392828381962,TA
KRW-KAVA,2022-12-06-00:00,2022-12-05-00:00,second,0.01801521799284861,TA
KRW-KAVA,2022-12-05-00:00,2022-12-04-00:00,first,0.012409043687565131,TA
KRW-KAVA,2022-12-05-00:00,2022-12-04-00:00,second,0.01328665518757409,TA
KRW-KAVA,2022-12-04-00:00,2022-12-03-00:00,first,0.00798122708953208,TA
KRW-KAVA,2022-12-04-00:00,2022-12-03-00:00,second,0.012686655187574086,TA
KRW-KAVA,2022-12-03-00:00,2022-12-02-00:00,first,0.009848143330349467,TA
KRW-KAVA,2022-12-03-00:00,2022-12-02-00:00,second,0.010216257333653422,TA
KRW-KAVA,2022-12-02-00:00,2022-12-01-00:00,first,0.01186027882659165,TA
KRW-KAVA,2022-12-02-00:00,2022-12-01-00:00,second,0.021786655187574094,TA
KRW-KAVA,2022-12-01-00:00,2022-11-30-00:00,first,0.016936114172298587,TA
KRW-KAVA,2022-12-01-00:00,2022-11-30-00:00,second,0.02726467586908537,TA
KRW-KAVA,2022-11-30-00:00,2022-11-29-00:00,first,0.008211819708731721,TA
KRW-KAVA,2022-11-30-00:00,2022-11-29-00:00,second,0.021786655187574087,TA
KRW-KAVA,2022-11-29-00:00,2022-11-28-00:00,first,0.014915834382147207,TA
KRW-KAVA,2022-11-29-00:00,2022-11-28-00:00,second,0.01799876382289349,TA
KRW-KAVA,2022-11-28-00:00,2022-11-27-00:00,first,0.011800129809273814,TA
KRW-KAVA,2022-11-28-00:00,2022-11-27-00:00,second,0.012864675869085369,TA
KRW-KAVA,2022-11-27-00:00,2022-11-26-00:00,first,0.010485004024747217,TA
KRW-KAVA,2022-11-27-00:00,2022-11-26-00:00,second,0.012355688719805778,TA
KRW-KAVA,2022-11-26-00:00,2022-11-25-00:00,first,0.0065031359694487974,TA
KRW-KAVA,2022-11-26-00:00,2022-11-25-00:00,second,0.0060904705995137014,TA
KRW-KAVA,2022-11-25-00:00,2022-11-24-00:00,first,0.0056533352604528,TA
KRW-KAVA,2022-11-25-00:00,2022-11-24-00:00,second,0.009155691366463884,TA
KRW-KAVA,2022-11-24-00:00,2022-11-23-00:00,first,0.005935001056824467,TA
KRW-KAVA,2022-11-24-00:00,2022-11-23-00:00,second,0.0074621762127703856,TA
KRW-KAVA,2022-11-23-00:00,2022-11-22-00:00,first,0.006191117156242532,TA
KRW-KAVA,2022-11-23-00:00,2022-11-22-00:00,second,0.0056271646430798,TA
KRW-KAVA,2022-11-22-00:00,2022-11-21-00:00,first,0.004784993084573574,TA
KRW-KAVA,2022-11-22-00:00,2022-11-21-00:00,second,0.005244278015164705,TA
KRW-KAVA,2022-11-21-00:00,2022-11-20-00:00,first,0.012446177427196118,TA
KRW-KAVA,2022-11-21-00:00,2022-11-20-00:00,second,0.0061448201389279426,TA
KRW-KAVA,2022-11-20-00:00,2022-11-19-00:00,first,0.01111984905556269,TA
KRW-KAVA,2022-11-20-00:00,2022-11-19-00:00,second,0.01612381666628626,TA
KRW-KAVA,2022-11-19-00:00,2022-11-18-00:00,first,0.008474815778374549,TA
KRW-KAVA,2022-11-19-00:00,2022-11-18-00:00,second,0.01382235803313055,TA
KRW-KAVA,2022-11-18-00:00,2022-11-17-00:00,first,0.012747689124678262,TA
KRW-KAVA,2022-11-18-00:00,2022-11-17-00:00,second,0.010778374697633524,TA
KRW-KAVA,2022-11-17-00:00,2022-11-16-00:00,first,0.0070025416096591514,TA
KRW-KAVA,2022-11-17-00:00,2022-11-16-00:00,second,0.006119719415272615,TA
KRW-KAVA,2022-11-16-00:00,2022-11-15-00:00,first,0.009624567508800112,TA
KRW-KAVA,2022-11-16-00:00,2022-11-15-00:00,second,0.008152111053029579,TA
KRW-KAVA,2022-11-15-00:00,2022-11-14-00:00,first,0.013336827587717882,TA
KRW-KAVA,2022-11-15-00:00,2022-11-14-00:00,second,0.028300376067983725,TA
KRW-KAVA,2022-11-14-00:00,2022-11-13-00:00,first,0.017062192969781294,TA
KRW-KAVA,2022-11-14-00:00,2022-11-13-00:00,second,0.02219876382289349,TA
KRW-KAVA,2022-11-13-00:00,2022-11-12-00:00,first,0.008479845201323754,TA
KRW-KAVA,2022-11-13-00:00,2022-11-12-00:00,second,0.010768337760547184,TA
KRW-KAVA,2022-11-12-00:00,2022-11-11-00:00,first,0.013136549724685956,TA
KRW-KAVA,2022-11-12-00:00,2022-11-11-00:00,second,0.018920453306019568,TA
KRW-KAVA,2022-11-11-00:00,2022-11-10-00:00,first,0.010015120966727924,TA
KRW-KAVA,2022-11-11-00:00,2022-11-10-00:00,second,0.008485295980917726,TA
KRW-KAVA,2022-11-10-00:00,2022-11-09-00:00,first,0.013412566230830867,TA
KRW-KAVA,2022-11-10-00:00,2022-11-09-00:00,second,0.014548551326181939,TA
