symbol,start_date,end_date,digit_type,mad,target
VIDTUSDT,2023-01-01-00:00,2023-01-02-00:00,first,0.019720455517043566,TA
VIDTUSDT,2023-01-01-00:00,2023-01-02-00:00,second,0.010542155537249728,TA
VIDTUSDT,2023-01-02-00:00,2023-01-03-00:00,first,0.015148217325428323,TA
VIDTUSDT,2023-01-02-00:00,2023-01-03-00:00,second,0.017227307987093765,TA
VIDTUSDT,2023-01-03-00:00,2023-01-04-00:00,first,0.011542623942661265,TA
VIDTUSDT,2023-01-03-00:00,2023-01-04-00:00,second,0.0165055542283155,TA
VIDTUSDT,2023-01-04-00:00,2023-01-05-00:00,first,0.010405292358830415,TA
VIDTUSDT,2023-01-04-00:00,2023-01-05-00:00,second,0.01608645991943793,TA
VIDTUSDT,2023-01-05-00:00,2023-01-06-00:00,first,0.013760354823168565,TA
VIDTUSDT,2023-01-05-00:00,2023-01-06-00:00,second,0.009954542524920403,TA
VIDTUSDT,2023-01-06-00:00,2023-01-07-00:00,first,0.00866384577096331,TA
VIDTUSDT,2023-01-06-00:00,2023-01-07-00:00,second,0.006380955576953071,TA
VIDTUSDT,2023-01-07-00:00,2023-01-08-00:00,first,0.008743904574669427,TA
VIDTUSDT,2023-01-07-00:00,2023-01-08-00:00,second,0.0061784948178739306,TA
VIDTUSDT,2023-01-08-00:00,2023-01-09-00:00,first,0.0052145091057888265,TA
VIDTUSDT,2023-01-08-00:00,2023-01-09-00:00,second,0.006933529783889699,TA
VIDTUSDT,2023-01-09-00:00,2023-01-10-00:00,first,0.009235311712715225,TA
VIDTUSDT,2023-01-09-00:00,2023-01-10-00:00,second,0.009309374074631862,TA
VIDTUSDT,2023-01-10-00:00,2023-01-11-00:00,first,0.006146080238491909,TA
VIDTUSDT,2023-01-10-00:00,2023-01-11-00:00,second,0.009966315881950415,TA
VIDTUSDT,2023-01-11-00:00,2023-01-12-00:00,first,0.0071012860641027475,TA
VIDTUSDT,2023-01-11-00:00,2023-01-12-00:00,second,0.004548019664885934,TA
VIDTUSDT,2023-01-12-00:00,2023-01-13-00:00,first,0.00617606716465559,TA
VIDTUSDT,2023-01-12-00:00,2023-01-13-00:00,second,0.007313378598392683,TA
VIDTUSDT,2023-01-13-00:00,2023-01-14-00:00,first,0.007287981132718405,TA
VIDTUSDT,2023-01-13-00:00,2023-01-14-00:00,second,0.006069777558032412,TA
VIDTUSDT,2023-01-14-00:00,2023-01-15-00:00,first,0.004297861210091691,TA
VIDTUSDT,2023-01-14-00:00,2023-01-15-00:00,second,0.006348128219109073,TA
VIDTUSDT,2023-01-15-00:00,2023-01-16-00:00,first,0.005360772288225011,TA
VIDTUSDT,2023-01-15-00:00,2023-01-16-00:00,second,0.00618339322672206,TA
VIDTUSDT,2023-01-16-00:00,2023-01-17-00:00,first,0.012904606139174667,TA
VIDTUSDT,2023-01-16-00:00,2023-01-17-00:00,second,0.007123252427184927,TA
VIDTUSDT,2023-01-17-00:00,2023-01-18-00:00,first,0.006340128791834777,TA
VIDTUSDT,2023-01-17-00:00,2023-01-18-00:00,second,0.006015547459397519,TA
VIDTUSDT,2023-01-18-00:00,2023-01-19-00:00,first,0.007302365242816115,TA
VIDTUSDT,2023-01-18-00:00,2023-01-19-00:00,second,0.00664958486178497,TA
VIDTUSDT,2023-01-19-00:00,2023-01-20-00:00,first,0.008145521603553203,TA
VIDTUSDT,2023-01-19-00:00,2023-01-20-00:00,second,0.008389470516297182,TA
VIDTUSDT,2023-01-20-00:00,2023-01-21-00:00,first,0.009855798845005587,TA
VIDTUSDT,2023-01-20-00:00,2023-01-21-00:00,second,0.01108241874477424,TA
VIDTUSDT,2023-01-21-00:00,2023-01-22-00:00,first,0.0076696418491969025,TA
VIDTUSDT,2023-01-21-00:00,2023-01-22-00:00,second,0.005344169350304975,TA
VIDTUSDT,2023-01-22-00:00,2023-01-23-00:00,first,0.009005578524703161,TA
VIDTUSDT,2023-01-22-00:00,2023-01-23-00:00,second,0.012091668207616316,TA
VIDTUSDT,2023-01-23-00:00,2023-01-24-00:00,first,0.006325516262972714,TA
VIDTUSDT,2023-01-23-00:00,2023-01-24-00:00,second,0.009047290834129116,TA
VIDTUSDT,2023-01-24-00:00,2023-01-25-00:00,first,0.006651636482826406,TA
VIDTUSDT,2023-01-24-00:00,2023-01-25-00:00,second,0.007047397947901292,TA
VIDTUSDT,2023-01-25-00:00,2023-01-26-00:00,first,0.008169466818635333,TA
VIDTUSDT,2023-01-25-00:00,2023-01-26-00:00,second,0.007772563373890713,TA
VIDTUSDT,2023-01-26-00:00,2023-01-27-00:00,first,0.011065677308989276,TA
VIDTUSDT,2023-01-26-00:00,2023-01-27-00:00,second,0.010125034759786837,TA
VIDTUSDT,2023-01-27-00:00,2023-01-28-00:00,first,0.0123284768058215,TA
VIDTUSDT,2023-01-27-00:00,2023-01-28-00:00,second,0.009130353397192766,TA
VIDTUSDT,2023-01-28-00:00,2023-01-29-00:00,first,0.019773123312866507,TA
VIDTUSDT,2023-01-28-00:00,2023-01-29-00:00,second,0.01239044011107918,TA
VIDTUSDT,2023-01-29-00:00,2023-01-30-00:00,first,0.011808080736149936,TA
VIDTUSDT,2023-01-29-00:00,2023-01-30-00:00,second,0.011178425305427394,TA
VIDTUSDT,2023-01-30-00:00,2023-01-31-00:00,first,0.009940341715379029,TA
VIDTUSDT,2023-01-30-00:00,2023-01-31-00:00,second,0.006318847155540838,TA
VIDTUSDT,2023-01-31-00:00,2023-02-01-00:00,first,0.006470725941310381,TA
VIDTUSDT,2023-01-31-00:00,2023-02-01-00:00,second,0.005057109886705482,TA
VIDTUSDT,2023-02-01-00:00,2023-02-02-00:00,first,0.009198155035502238,TA
VIDTUSDT,2023-02-01-00:00,2023-02-02-00:00,second,0.010625986784743177,TA
VIDTUSDT,2023-02-02-00:00,2023-02-03-00:00,first,0.006748781696232932,TA
VIDTUSDT,2023-02-02-00:00,2023-02-03-00:00,second,0.007437830458201729,TA
VIDTUSDT,2023-02-03-00:00,2023-02-04-00:00,first,0.0077658361198438,TA
VIDTUSDT,2023-02-03-00:00,2023-02-04-00:00,second,0.010963090838261856,TA
VIDTUSDT,2023-02-04-00:00,2023-02-05-00:00,first,0.0056496007647508315,TA
