symbol,start_date,end_date,actual_frequencies,digit_type,target
DGBUSDT,2024-01-01-00:00,2024-01-02-00:00,"[0.30842911877394635, 0.17049808429118773, 0.12643678160919541, 0.08908045977011494, 0.10344827586206896, 0.06513409961685823, 0.04310344827586207, 0.04310344827586207, 0.05076628352490421]",first,TA
DGBUSDT,2024-01-01-00:00,2024-01-02-00:00,"[0.16762452107279693, 0.11302681992337164, 0.09099616858237548, 0.09482758620689655, 0.07950191570881227, 0.09003831417624521, 0.08620689655172414, 0.08524904214559387, 0.07567049808429119, 0.11685823754789272]",second,TA
DGBUSDT,2024-01-02-00:00,2024-01-03-00:00,"[0.2814814814814815, 0.17119341563786009, 0.13004115226337448, 0.09794238683127572, 0.08888888888888889, 0.07325102880658436, 0.06995884773662552, 0.037037037037037035, 0.050205761316872426]",first,TA
DGBUSDT,2024-01-02-00:00,2024-01-03-00:00,"[0.13991769547325103, 0.12757201646090535, 0.11440329218106995, 0.09794238683127572, 0.08724279835390947, 0.08724279835390947, 0.08888888888888889, 0.06995884773662552, 0.08559670781893004, 0.10123456790123457]",second,TA
DGBUSDT,2024-01-03-00:00,2024-01-04-00:00,"[0.29454841334418225, 0.17168429617575265, 0.13506916192026036, 0.08462164361269324, 0.07973962571196094, 0.06753458096013018, 0.05451586655817738, 0.05044751830756713, 0.061838893409275834]",first,TA
DGBUSDT,2024-01-03-00:00,2024-01-04-00:00,"[0.16273393002441008, 0.1000813669650122, 0.10170870626525631, 0.0984540276647681, 0.10170870626525631, 0.10496338486574451, 0.08624898291293735, 0.0838079739625712, 0.06834825061025224, 0.0919446704637917]",second,TA
DGBUSDT,2024-01-04-00:00,2024-01-05-00:00,"[0.315343099460293, 0.17501927525057825, 0.1017733230531997, 0.08018504240555127, 0.08172706245181187, 0.06861989205859677, 0.06168080185042406, 0.06245181187355436, 0.05319969159599075]",first,TA
DGBUSDT,2024-01-04-00:00,2024-01-05-00:00,"[0.13030069390902083, 0.09020817270624518, 0.1117964533538936, 0.08712413261372398, 0.1156515034695451, 0.09637625289128758, 0.09714726291441789, 0.09714726291441789, 0.09560524286815729, 0.07864302235929067]",second,TA
DGBUSDT,2024-01-05-00:00,2024-01-06-00:00,"[0.2867528271405493, 0.17447495961227788, 0.11550888529886914, 0.08481421647819062, 0.0912762520193861, 0.07431340872374798, 0.0654281098546042, 0.062197092084006464, 0.045234248788368334]",first,TA
DGBUSDT,2024-01-05-00:00,2024-01-06-00:00,"[0.1332794830371567, 0.11308562197092084, 0.09935379644588045, 0.10016155088852989, 0.09531502423263329, 0.09612277867528271, 0.09450726978998385, 0.09531502423263329, 0.07754442649434572, 0.09531502423263329]",second,TA
DGBUSDT,2024-01-06-00:00,2024-01-07-00:00,"[0.25608732157850544, 0.15533165407220823, 0.1452560873215785, 0.109151973131822, 0.11335012594458438, 0.07136859781696053, 0.05793450881612091, 0.04953820319059614, 0.041981528127623846]",first,TA
DGBUSDT,2024-01-06-00:00,2024-01-07-00:00,"[0.1486146095717884, 0.08816120906801007, 0.09991603694374475, 0.09151973131821999, 0.08984047019311503, 0.10663308144416457, 0.09151973131821999, 0.07724601175482787, 0.07976490344248531, 0.12678421494542402]",second,TA
DGBUSDT,2024-01-07-00:00,2024-01-08-00:00,"[0.28193430656934304, 0.17427007299270073, 0.13412408759124086, 0.09032846715328467, 0.08485401459854014, 0.06569343065693431, 0.04470802919708029, 0.06295620437956205, 0.06113138686131387]",first,TA
DGBUSDT,2024-01-07-00:00,2024-01-08-00:00,"[0.125, 0.10857664233576643, 0.09397810218978102, 0.08759124087591241, 0.10675182481751824, 0.08211678832116788, 0.08667883211678833, 0.07937956204379562, 0.08211678832116788, 0.1478102189781022]",second,TA
