symbol,start_date,end_date,actual_frequencies,digit_type,target
QIUSDT,2024-01-01-00:00,2024-01-02-00:00,"[0.2953405017921147, 0.16917562724014337, 0.12401433691756272, 0.0939068100358423, 0.07813620071684588, 0.06594982078853047, 0.06451612903225806, 0.055197132616487454, 0.053763440860215055]",first,TA
QIUSDT,2024-01-01-00:00,2024-01-02-00:00,"[0.12831541218637993, 0.12114695340501792, 0.10967741935483871, 0.0960573476702509, 0.08458781362007169, 0.0939068100358423, 0.1010752688172043, 0.08888888888888889, 0.08387096774193549, 0.09247311827956989]",second,TA
QIUSDT,2024-01-02-00:00,2024-01-03-00:00,"[0.3138634764250528, 0.1717100633356791, 0.11681914144968332, 0.09429978888106967, 0.08937368050668543, 0.06966924700914849, 0.05629838142153413, 0.045038705137227304, 0.04292751583391977]",first,TA
QIUSDT,2024-01-02-00:00,2024-01-03-00:00,"[0.10415200562983815, 0.11118930330752991, 0.10837438423645321, 0.0992258972554539, 0.09429978888106967, 0.10415200562983815, 0.0964109781843772, 0.0964109781843772, 0.08304011259676285, 0.10274454609429978]",second,TA
QIUSDT,2024-01-03-00:00,2024-01-04-00:00,"[0.2988505747126437, 0.16594827586206898, 0.10847701149425287, 0.11566091954022989, 0.07040229885057471, 0.07040229885057471, 0.05818965517241379, 0.0668103448275862, 0.04525862068965517]",first,TA
QIUSDT,2024-01-03-00:00,2024-01-04-00:00,"[0.12931034482758622, 0.11997126436781609, 0.10129310344827586, 0.09267241379310345, 0.11494252873563218, 0.09195402298850575, 0.09985632183908046, 0.09410919540229885, 0.07112068965517242, 0.08477011494252873]",second,TA
QIUSDT,2024-01-04-00:00,2024-01-05-00:00,"[0.2857142857142857, 0.19142857142857142, 0.10642857142857143, 0.09214285714285714, 0.09357142857142857, 0.07071428571428572, 0.05785714285714286, 0.05, 0.052142857142857144]",first,TA
QIUSDT,2024-01-04-00:00,2024-01-05-00:00,"[0.11214285714285714, 0.11428571428571428, 0.10857142857142857, 0.10357142857142858, 0.09214285714285714, 0.10071428571428571, 0.09714285714285714, 0.085, 0.09357142857142857, 0.09285714285714286]",second,TA
QIUSDT,2024-01-05-00:00,2024-01-06-00:00,"[0.28901734104046245, 0.1813583815028902, 0.12789017341040462, 0.08959537572254335, 0.0773121387283237, 0.07803468208092486, 0.06719653179190752, 0.04407514450867052, 0.04552023121387283]",first,TA
QIUSDT,2024-01-05-00:00,2024-01-06-00:00,"[0.13222543352601157, 0.12427745664739884, 0.11416184971098266, 0.08742774566473989, 0.0968208092485549, 0.09031791907514451, 0.07947976878612717, 0.0888728323699422, 0.10549132947976879, 0.08092485549132948]",second,TA
QIUSDT,2024-01-06-00:00,2024-01-07-00:00,"[0.2983425414364641, 0.1910023677979479, 0.13180741910023677, 0.08997632202052092, 0.07734806629834254, 0.056827150749802685, 0.05130228887134965, 0.055248618784530384, 0.04814522494080505]",first,TA
QIUSDT,2024-01-06-00:00,2024-01-07-00:00,"[0.1254932912391476, 0.122336227308603, 0.10497237569060773, 0.09865824782951854, 0.10102604577742699, 0.09076558800315707, 0.08287292817679558, 0.08839779005524862, 0.07813733228097869, 0.10734017363851618]",second,TA
QIUSDT,2024-01-07-00:00,2024-01-08-00:00,"[0.2761904761904762, 0.16483516483516483, 0.13406593406593406, 0.09743589743589744, 0.08351648351648351, 0.07765567765567766, 0.05714285714285714, 0.05201465201465202, 0.05714285714285714]",first,TA
QIUSDT,2024-01-07-00:00,2024-01-08-00:00,"[0.11794871794871795, 0.11135531135531136, 0.11062271062271062, 0.08205128205128205, 0.09523809523809523, 0.10915750915750916, 0.09963369963369964, 0.07692307692307693, 0.10329670329670329, 0.09377289377289377]",second,TA
QIUSDT,2024-01-08-00:00,2024-01-09-00:00,"[0.2915750915750916, 0.18095238095238095, 0.12380952380952381, 0.10402930402930403, 0.08498168498168499, 0.06886446886446887, 0.05201465201465202, 0.05054945054945055, 0.04322344322344322]",first,TA
QIUSDT,2024-01-08-00:00,2024-01-09-00:00,"[0.11868131868131868, 0.11428571428571428, 0.11355311355311355, 0.10183150183150183, 0.08278388278388278, 0.09084249084249084, 0.0945054945054945, 0.09230769230769231, 0.08205128205128205, 0.10915750915750916]",second,TA
QIUSDT,2024-01-09-00:00,2024-01-10-00:00,"[0.31014904187366926, 0.16891412349183818, 0.11994322214336409, 0.0801987224982257, 0.0794889992902768, 0.07381121362668559, 0.060326472675656495, 0.048970901348474094, 0.05819730305180979]",first,TA
QIUSDT,2024-01-09-00:00,2024-01-10-00:00,"[0.12278211497515969, 0.12845990063875087, 0.10574875798438609, 0.11142654364797729, 0.099361249112846, 0.10432931156848829, 0.0773598296664301, 0.09297374024130589, 0.0766501064584812, 0.08090844570617459]",second,TA
QIUSDT,2024-01-10-00:00,2024-01-11-00:00,"[0.31478658536585363, 0.19283536585365854, 0.11280487804878049, 0.0899390243902439, 0.0899390243902439, 0.06402439024390244, 0.056402439024390245, 0.038109756097560975, 0.041158536585365856]",first,TA
QIUSDT,2024-01-10-00:00,2024-01-11-00:00,"[0.13414634146341464, 0.09908536585365854, 0.10518292682926829, 0.10060975609756098, 0.09375, 0.10746951219512195, 0.08689024390243902, 0.08384146341463415, 0.08536585365853659, 0.10365853658536585]",second,TA
QIUSDT,2024-01-11-00:00,2024-01-12-00:00,"[0.31024531024531027, 0.17027417027417027, 0.11616161616161616, 0.08225108225108226, 0.09740259740259741, 0.08225108225108226, 0.051226551226551224, 0.04256854256854257, 0.047619047619047616]",first,TA
QIUSDT,2024-01-11-00:00,2024-01-12-00:00,"[0.12554112554112554, 0.11255411255411256, 0.11976911976911978, 0.09235209235209235, 0.10966810966810966, 0.10678210678210678, 0.0772005772005772, 0.0873015873015873, 0.0836940836940837, 0.08513708513708514]",second,TA
QIUSDT,2024-01-12-00:00,2024-01-13-00:00,"[0.29092261904761907, 0.18303571428571427, 0.12425595238095238, 0.09523809523809523, 0.07291666666666667, 0.05952380952380952, 0.061755952380952384, 0.0625, 0.04985119047619048]",first,TA
