symbol,start_date,end_date,actual_frequencies,digit_type,target
VITEUSDT,2024-01-01-00:00,2024-01-02-00:00,"[0.3153232949512843, 0.14348981399468555, 0.10186005314437556, 0.08503100088573959, 0.1054030115146147, 0.0912311780336581, 0.07174490699734277, 0.046058458813108945, 0.03985828166519043]",first,TA
VITEUSDT,2024-01-01-00:00,2024-01-02-00:00,"[0.15234720992028344, 0.10186005314437556, 0.08237378210806023, 0.09654561558901682, 0.10717449069973428, 0.09654561558901682, 0.08680248007085917, 0.08148804251550044, 0.07351638618246235, 0.12134632418069087]",second,TA
VITEUSDT,2024-01-02-00:00,2024-01-03-00:00,"[0.2723535457348407, 0.18705035971223022, 0.1366906474820144, 0.09558067831449127, 0.10071942446043165, 0.0750256937307297, 0.04933196300102775, 0.0328879753340185, 0.050359712230215826]",first,TA
VITEUSDT,2024-01-02-00:00,2024-01-03-00:00,"[0.15724563206577596, 0.14182939362795477, 0.09146968139773895, 0.09044193216855087, 0.08530318602261049, 0.09044193216855087, 0.08735868448098665, 0.08941418293936279, 0.07091469681397738, 0.09558067831449127]",second,TA
VITEUSDT,2024-01-03-00:00,2024-01-04-00:00,"[0.2771618625277162, 0.16851441241685144, 0.14966740576496673, 0.09866962305986696, 0.08425720620842572, 0.06097560975609756, 0.04878048780487805, 0.02993348115299335, 0.082039911308204]",first,TA
VITEUSDT,2024-01-03-00:00,2024-01-04-00:00,"[0.1951219512195122, 0.10310421286031042, 0.11419068736141907, 0.07427937915742794, 0.10753880266075388, 0.08425720620842572, 0.06651884700665188, 0.07206208425720621, 0.08758314855875832, 0.09534368070953436]",second,TA
VITEUSDT,2024-01-04-00:00,2024-01-05-00:00,"[0.29296066252587993, 0.17391304347826086, 0.09316770186335403, 0.08695652173913043, 0.09316770186335403, 0.09109730848861283, 0.06314699792960662, 0.053830227743271224, 0.051759834368530024]",first,TA
VITEUSDT,2024-01-04-00:00,2024-01-05-00:00,"[0.12836438923395446, 0.10248447204968944, 0.08281573498964803, 0.09627329192546584, 0.10041407867494824, 0.08592132505175984, 0.07763975155279502, 0.08074534161490683, 0.12525879917184266, 0.12008281573498965]",second,TA
VITEUSDT,2024-01-05-00:00,2024-01-06-00:00,"[0.2802734375, 0.18359375, 0.1103515625, 0.0908203125, 0.0986328125, 0.0703125, 0.0595703125, 0.044921875, 0.0615234375]",first,TA
VITEUSDT,2024-01-05-00:00,2024-01-06-00:00,"[0.138671875, 0.1083984375, 0.1064453125, 0.083984375, 0.0888671875, 0.0830078125, 0.091796875, 0.0791015625, 0.0849609375, 0.134765625]",second,TA
VITEUSDT,2024-01-06-00:00,2024-01-07-00:00,"[0.3127001067235859, 0.192102454642476, 0.09284951974386339, 0.09178228388473852, 0.10672358591248667, 0.05869797225186766, 0.05549626467449306, 0.04055496264674493, 0.04909284951974386]",first,TA
VITEUSDT,2024-01-06-00:00,2024-01-07-00:00,"[0.13127001067235858, 0.096051227321238, 0.10245464247598719, 0.08217716115261472, 0.09925293489861259, 0.08431163287086446, 0.08751334044823907, 0.07470651013874066, 0.1152614727854856, 0.12700106723585913]",second,TA
VITEUSDT,2024-01-07-00:00,2024-01-08-00:00,"[0.296127562642369, 0.19817767653758542, 0.11389521640091116, 0.09453302961275627, 0.09681093394077449, 0.07289293849658314, 0.04328018223234624, 0.03302961275626424, 0.05125284738041002]",first,TA
VITEUSDT,2024-01-07-00:00,2024-01-08-00:00,"[0.13211845102505695, 0.10022779043280182, 0.09681093394077449, 0.07517084282460136, 0.09225512528473805, 0.06605922551252848, 0.08086560364464693, 0.09111617312072894, 0.07403189066059225, 0.19134396355353075]",second,TA
VITEUSDT,2024-01-08-00:00,2024-01-09-00:00,"[0.28557692307692306, 0.19326923076923078, 0.11346153846153846, 0.08557692307692308, 0.0875, 0.07596153846153846, 0.058653846153846154, 0.03942307692307692, 0.06057692307692308]",first,TA
VITEUSDT,2024-01-08-00:00,2024-01-09-00:00,"[0.11442307692307692, 0.09903846153846153, 0.10576923076923077, 0.10096153846153846, 0.08942307692307692, 0.09038461538461538, 0.09230769230769231, 0.1, 0.10288461538461538, 0.10480769230769231]",second,TA
VITEUSDT,2024-01-09-00:00,2024-01-10-00:00,"[0.29116465863453816, 0.20180722891566266, 0.1144578313253012, 0.08835341365461848, 0.08634538152610442, 0.06927710843373494, 0.045180722891566265, 0.04216867469879518, 0.06124497991967871]",first,TA
VITEUSDT,2024-01-09-00:00,2024-01-10-00:00,"[0.11746987951807229, 0.10542168674698796, 0.09337349397590361, 0.09337349397590361, 0.08634538152610442, 0.08734939759036145, 0.07028112449799197, 0.10943775100401607, 0.11546184738955824, 0.1214859437751004]",second,TA
VITEUSDT,2024-01-10-00:00,2024-01-11-00:00,"[0.2808988764044944, 0.21254681647940074, 0.12078651685393259, 0.0749063670411985, 0.09363295880149813, 0.052434456928838954, 0.0599250936329588, 0.04868913857677903, 0.056179775280898875]",first,TA
VITEUSDT,2024-01-10-00:00,2024-01-11-00:00,"[0.11797752808988764, 0.11235955056179775, 0.09644194756554307, 0.09363295880149813, 0.0749063670411985, 0.09269662921348315, 0.13670411985018727, 0.11423220973782772, 0.07209737827715355, 0.08895131086142322]",second,TA
VITEUSDT,2024-01-11-00:00,2024-01-12-00:00,"[0.3107394366197183, 0.1875, 0.12059859154929578, 0.0801056338028169, 0.08538732394366197, 0.07834507042253522, 0.05193661971830986, 0.040492957746478875, 0.0448943661971831]",first,TA
VITEUSDT,2024-01-11-00:00,2024-01-12-00:00,"[0.13556338028169015, 0.10651408450704225, 0.09066901408450705, 0.10123239436619719, 0.08714788732394366, 0.09683098591549295, 0.10123239436619719, 0.0818661971830986, 0.09595070422535211, 0.10299295774647887]",second,TA
VITEUSDT,2024-01-12-00:00,2024-01-13-00:00,"[0.3094302554027505, 0.1581532416502947, 0.10805500982318271, 0.08742632612966601, 0.0893909626719057, 0.07269155206286837, 0.06286836935166994, 0.05009823182711198, 0.0618860510805501]",first,TA
VITEUSDT,2024-01-12-00:00,2024-01-13-00:00,"[0.12278978388998035, 0.12671905697445973, 0.09430255402750491, 0.07465618860510806, 0.07956777996070727, 0.10019646365422397, 0.09528487229862476, 0.09430255402750491, 0.06974459724950884, 0.14243614931237722]",second,TA
VITEUSDT,2024-01-13-00:00,2024-01-14-00:00,"[0.2430493273542601, 0.15515695067264573, 0.15246636771300448, 0.11838565022421525, 0.10852017937219731, 0.06636771300448431, 0.05560538116591928, 0.05022421524663677, 0.05022421524663677]",first,TA
VITEUSDT,2024-01-13-00:00,2024-01-14-00:00,"[0.11569506726457399, 0.11838565022421525, 0.0968609865470852, 0.08071748878923767, 0.10044843049327354, 0.07982062780269059, 0.08968609865470852, 0.10582959641255606, 0.1273542600896861, 0.08520179372197309]",second,TA
VITEUSDT,2024-01-14-00:00,2024-01-15-00:00,"[0.23868312757201646, 0.14917695473251028, 0.1419753086419753, 0.11522633744855967, 0.11728395061728394, 0.07304526748971193, 0.06275720164609054, 0.053497942386831275, 0.04835390946502058]",first,TA
VITEUSDT,2024-01-14-00:00,2024-01-15-00:00,"[0.14917695473251028, 0.11419753086419752, 0.08950617283950617, 0.102880658436214, 0.09362139917695474, 0.07716049382716049, 0.08333333333333333, 0.07304526748971193, 0.1183127572016461, 0.09876543209876543]",second,TA
VITEUSDT,2024-01-15-00:00,2024-01-16-00:00,"[0.300507614213198, 0.18781725888324874, 0.12081218274111676, 0.07918781725888324, 0.11065989847715736, 0.06395939086294417, 0.0416243654822335, 0.03857868020304569, 0.05685279187817259]",first,TA
VITEUSDT,2024-01-15-00:00,2024-01-16-00:00,"[0.17055837563451776, 0.11370558375634518, 0.08426395939086294, 0.08934010152284264, 0.10456852791878173, 0.09137055837563451, 0.08020304568527918, 0.07817258883248732, 0.08629441624365482, 0.10152284263959391]",second,TA
VITEUSDT,2024-01-16-00:00,2024-01-17-00:00,"[0.287596048298573, 0.18111964873765093, 0.1350164654226125, 0.10098792535675083, 0.09110867178924259, 0.07793633369923161, 0.04500548847420417, 0.042810098792535674, 0.038419319429198684]",first,TA
VITEUSDT,2024-01-16-00:00,2024-01-17-00:00,"[0.24259055982436883, 0.09989023051591657, 0.09110867178924259, 0.07574094401756312, 0.08781558726673985, 0.10098792535675083, 0.06805708013172337, 0.06915477497255763, 0.06695938529088913, 0.09769484083424808]",second,TA
VITEUSDT,2024-01-17-00:00,2024-01-18-00:00,"[0.2885572139303483, 0.18407960199004975, 0.13805970149253732, 0.0945273631840796, 0.0708955223880597, 0.07462686567164178, 0.041044776119402986, 0.03731343283582089, 0.0708955223880597]",first,TA
VITEUSDT,2024-01-17-00:00,2024-01-18-00:00,"[0.22761194029850745, 0.12189054726368159, 0.09577114427860696, 0.08208955223880597, 0.08208955223880597, 0.08582089552238806, 0.05845771144278607, 0.06343283582089553, 0.07338308457711443, 0.10945273631840796]",second,TA
VITEUSDT,2024-01-18-00:00,2024-01-19-00:00,"[0.2694235588972431, 0.17418546365914786, 0.13032581453634084, 0.08020050125313283, 0.12030075187969924, 0.08020050125313283, 0.042606516290726815, 0.04887218045112782, 0.05388471177944862]",first,TA
VITEUSDT,2024-01-18-00:00,2024-01-19-00:00,"[0.21177944862155387, 0.14661654135338345, 0.10275689223057644, 0.08395989974937343, 0.08270676691729323, 0.07268170426065163, 0.05137844611528822, 0.08897243107769423, 0.07518796992481203, 0.08395989974937343]",second,TA
VITEUSDT,2024-01-19-00:00,2024-01-20-00:00,"[0.2816032887975334, 0.1932168550873587, 0.1130524152106886, 0.08530318602261049, 0.11202466598150052, 0.0565262076053443, 0.05549845837615622, 0.04933196300102775, 0.05344295991778006]",first,TA
VITEUSDT,2024-01-19-00:00,2024-01-20-00:00,"[0.12846865364850976, 0.10585817060637205, 0.11099691675231244, 0.08324768756423433, 0.09558067831449127, 0.09044193216855087, 0.09249743062692703, 0.08119218910585817, 0.1130524152106886, 0.0986639260020555]",second,TA
VITEUSDT,2024-01-20-00:00,2024-01-21-00:00,"[0.30518018018018017, 0.19369369369369369, 0.10022522522522523, 0.09684684684684684, 0.09797297297297297, 0.05630630630630631, 0.05630630630630631, 0.059684684684684686, 0.033783783783783786]",first,TA
VITEUSDT,2024-01-20-00:00,2024-01-21-00:00,"[0.11824324324324324, 0.0990990990990991, 0.10472972972972973, 0.0945945945945946, 0.08783783783783784, 0.09234234234234234, 0.07657657657657657, 0.07882882882882883, 0.125, 0.12274774774774774]",second,TA
VITEUSDT,2024-01-21-00:00,2024-01-22-00:00,"[0.3039906103286385, 0.1936619718309859, 0.11267605633802817, 0.09741784037558686, 0.107981220657277, 0.057511737089201875, 0.04812206572769953, 0.03403755868544601, 0.04460093896713615]",first,TA
