symbol,start_date,end_date,actual_frequencies,digit_type,target
AVAUSDT,2020-11-24-00:00,2020-11-25-00:00,"[0.42105263157894735, 0.11578947368421053, 0.09473684210526316, 0.12631578947368421, 0.08421052631578947, 0.06315789473684211, 0.021052631578947368, 0.05263157894736842, 0.021052631578947368]",first,TA
AVAUSDT,2020-11-24-00:00,2020-11-25-00:00,"[0.16842105263157894, 0.16842105263157894, 0.12631578947368421, 0.09473684210526316, 0.05263157894736842, 0.10526315789473684, 0.06315789473684211, 0.06315789473684211, 0.06315789473684211, 0.09473684210526316]",second,TA
AVAUSDT,2020-11-25-00:00,2020-11-26-00:00,"[0.30335731414868106, 0.1618705035971223, 0.1091127098321343, 0.09952038369304557, 0.0815347721822542, 0.06474820143884892, 0.07434052757793765, 0.046762589928057555, 0.05875299760191847]",first,TA
AVAUSDT,2020-11-25-00:00,2020-11-26-00:00,"[0.12949640287769784, 0.09832134292565947, 0.11510791366906475, 0.10191846522781775, 0.1079136690647482, 0.09472422062350119, 0.10311750599520383, 0.08992805755395683, 0.08273381294964029, 0.07673860911270983]",second,TA
AVAUSDT,2020-11-26-00:00,2020-11-27-00:00,"[0.2709497206703911, 0.17597765363128492, 0.12988826815642457, 0.11033519553072625, 0.0670391061452514, 0.0824022346368715, 0.06424581005586592, 0.05307262569832402, 0.046089385474860335]",first,TA
AVAUSDT,2020-11-26-00:00,2020-11-27-00:00,"[0.13268156424581007, 0.10614525139664804, 0.10474860335195531, 0.12011173184357542, 0.10474860335195531, 0.09217877094972067, 0.0824022346368715, 0.07402234636871509, 0.09497206703910614, 0.08798882681564246]",second,TA
AVAUSDT,2020-11-27-00:00,2020-11-28-00:00,"[0.28313253012048195, 0.19678714859437751, 0.12449799196787148, 0.09437751004016064, 0.0783132530120482, 0.06827309236947791, 0.05622489959839357, 0.06224899598393574, 0.03614457831325301]",first,TA
AVAUSDT,2020-11-27-00:00,2020-11-28-00:00,"[0.11044176706827309, 0.1285140562248996, 0.11646586345381527, 0.08835341365461848, 0.09839357429718876, 0.09437751004016064, 0.08433734939759036, 0.06827309236947791, 0.12048192771084337, 0.09036144578313253]",second,TA
AVAUSDT,2020-11-28-00:00,2020-11-29-00:00,"[0.3235294117647059, 0.20261437908496732, 0.13071895424836602, 0.08169934640522876, 0.06535947712418301, 0.05228758169934641, 0.058823529411764705, 0.03594771241830065, 0.049019607843137254]",first,TA
AVAUSDT,2020-11-28-00:00,2020-11-29-00:00,"[0.16993464052287582, 0.06862745098039216, 0.12418300653594772, 0.1111111111111111, 0.07516339869281045, 0.09477124183006536, 0.10130718954248366, 0.0915032679738562, 0.058823529411764705, 0.10457516339869281]",second,TA
AVAUSDT,2020-11-29-00:00,2020-11-30-00:00,"[0.30969267139479906, 0.1607565011820331, 0.2198581560283688, 0.07092198581560284, 0.07801418439716312, 0.03309692671394799, 0.05200945626477541, 0.03309692671394799, 0.0425531914893617]",first,TA
AVAUSDT,2020-11-29-00:00,2020-11-30-00:00,"[0.1607565011820331, 0.13002364066193853, 0.08274231678486997, 0.09929078014184398, 0.08037825059101655, 0.13238770685579196, 0.08037825059101655, 0.07328605200945626, 0.08983451536643026, 0.07092198581560284]",second,TA
