symbol,start_date,end_date,actual_frequencies,digit_type,target
BCHUSDT,2020-01-01-00:00,2020-01-02-00:00,"[0.3037037037037037, 0.19185185185185186, 0.12148148148148148, 0.08962962962962963, 0.07555555555555556, 0.06592592592592593, 0.07111111111111111, 0.03851851851851852, 0.042222222222222223]",first,TA
BCHUSDT,2020-01-01-00:00,2020-01-02-00:00,"[0.14444444444444443, 0.1348148148148148, 0.11407407407407408, 0.09925925925925926, 0.08148148148148149, 0.08592592592592592, 0.10222222222222223, 0.08222222222222222, 0.0837037037037037, 0.07185185185185185]",second,TA
BCHUSDT,2020-01-02-00:00,2020-01-03-00:00,"[0.29818181818181816, 0.16945454545454544, 0.14327272727272727, 0.11636363636363636, 0.07854545454545454, 0.06618181818181817, 0.05090909090909091, 0.04072727272727273, 0.03636363636363636]",first,TA
BCHUSDT,2020-01-02-00:00,2020-01-03-00:00,"[0.13745454545454547, 0.11563636363636363, 0.10909090909090909, 0.09090909090909091, 0.09381818181818181, 0.09963636363636363, 0.09963636363636363, 0.08654545454545455, 0.08872727272727272, 0.07854545454545454]",second,TA
BCHUSDT,2020-01-03-00:00,2020-01-04-00:00,"[0.33286516853932585, 0.175561797752809, 0.12991573033707865, 0.08216292134831461, 0.0625, 0.07092696629213484, 0.04845505617977528, 0.05266853932584269, 0.0449438202247191]",first,TA
BCHUSDT,2020-01-03-00:00,2020-01-04-00:00,"[0.1348314606741573, 0.12359550561797752, 0.10674157303370786, 0.11376404494382023, 0.10955056179775281, 0.0898876404494382, 0.0800561797752809, 0.08497191011235955, 0.07935393258426966, 0.07724719101123595]",second,TA
BCHUSDT,2020-01-04-00:00,2020-01-05-00:00,"[0.29198606271777006, 0.1602787456445993, 0.1289198606271777, 0.09895470383275261, 0.08641114982578398, 0.0578397212543554, 0.06829268292682927, 0.05574912891986063, 0.05156794425087108]",first,TA
BCHUSDT,2020-01-04-00:00,2020-01-05-00:00,"[0.13588850174216027, 0.11010452961672473, 0.09965156794425087, 0.09059233449477352, 0.09198606271777003, 0.11010452961672473, 0.09198606271777003, 0.08222996515679443, 0.08780487804878048, 0.09965156794425087]",second,TA
BCHUSDT,2020-01-05-00:00,2020-01-06-00:00,"[0.29234012649332397, 0.1770906535488405, 0.14476458186929023, 0.08573436401967674, 0.08503162333099086, 0.06535488404778636, 0.05340829234012649, 0.044975404075895994, 0.05130007027406887]",first,TA
BCHUSDT,2020-01-05-00:00,2020-01-06-00:00,"[0.12719606465214336, 0.10541110330288124, 0.12016865776528461, 0.12087139845397049, 0.08924806746310611, 0.08713984539704848, 0.09557273366127898, 0.08573436401967674, 0.08362614195361912, 0.08503162333099086]",second,TA
