symbol,start_date,end_date,actual_frequencies,digit_type,target
DUSKUSDT,2020-01-01-00:00,2020-01-02-00:00,"[0.2927927927927928, 0.15315315315315314, 0.16666666666666666, 0.11261261261261261, 0.09009009009009009, 0.07657657657657657, 0.018018018018018018, 0.036036036036036036, 0.05405405405405406]",first,TA
DUSKUSDT,2020-01-01-00:00,2020-01-02-00:00,"[0.12612612612612611, 0.13063063063063063, 0.08558558558558559, 0.08558558558558559, 0.06306306306306306, 0.0945945945945946, 0.08558558558558559, 0.08558558558558559, 0.08108108108108109, 0.16216216216216217]",second,TA
DUSKUSDT,2020-01-02-00:00,2020-01-03-00:00,"[0.3270440251572327, 0.2389937106918239, 0.1509433962264151, 0.08176100628930817, 0.07547169811320754, 0.031446540880503145, 0.0440251572327044, 0.025157232704402517, 0.025157232704402517]",first,TA
DUSKUSDT,2020-01-02-00:00,2020-01-03-00:00,"[0.16352201257861634, 0.1069182389937107, 0.10062893081761007, 0.12578616352201258, 0.12578616352201258, 0.06289308176100629, 0.06918238993710692, 0.06918238993710692, 0.06289308176100629, 0.11320754716981132]",second,TA
DUSKUSDT,2020-01-03-00:00,2020-01-04-00:00,"[0.35240963855421686, 0.17771084337349397, 0.16566265060240964, 0.06325301204819277, 0.05120481927710843, 0.0572289156626506, 0.05421686746987952, 0.02710843373493976, 0.05120481927710843]",first,TA
DUSKUSDT,2020-01-03-00:00,2020-01-04-00:00,"[0.12650602409638553, 0.08433734939759036, 0.13253012048192772, 0.1144578313253012, 0.0572289156626506, 0.11746987951807229, 0.08132530120481928, 0.060240963855421686, 0.09939759036144578, 0.12650602409638553]",second,TA
DUSKUSDT,2020-01-04-00:00,2020-01-05-00:00,"[0.34545454545454546, 0.14545454545454545, 0.14181818181818182, 0.08727272727272728, 0.06909090909090909, 0.06181818181818182, 0.05818181818181818, 0.04, 0.05090909090909091]",first,TA
DUSKUSDT,2020-01-04-00:00,2020-01-05-00:00,"[0.14545454545454545, 0.12727272727272726, 0.08363636363636363, 0.08727272727272728, 0.10909090909090909, 0.10545454545454545, 0.09454545454545454, 0.05818181818181818, 0.09090909090909091, 0.09818181818181818]",second,TA
DUSKUSDT,2020-01-05-00:00,2020-01-06-00:00,"[0.28708133971291866, 0.20095693779904306, 0.1674641148325359, 0.11004784688995216, 0.06220095693779904, 0.03827751196172249, 0.03349282296650718, 0.03827751196172249, 0.06220095693779904]",first,TA
DUSKUSDT,2020-01-05-00:00,2020-01-06-00:00,"[0.16267942583732056, 0.12440191387559808, 0.07655502392344497, 0.10526315789473684, 0.09569377990430622, 0.08133971291866028, 0.05263157894736842, 0.07655502392344497, 0.0861244019138756, 0.13875598086124402]",second,TA
DUSKUSDT,2020-01-06-00:00,2020-01-07-00:00,"[0.2742616033755274, 0.23628691983122363, 0.1729957805907173, 0.0759493670886076, 0.06329113924050633, 0.05485232067510549, 0.03375527426160337, 0.04219409282700422, 0.046413502109704644]",first,TA
DUSKUSDT,2020-01-06-00:00,2020-01-07-00:00,"[0.1350210970464135, 0.08860759493670886, 0.14345991561181434, 0.06751054852320675, 0.11392405063291139, 0.11814345991561181, 0.08438818565400844, 0.06751054852320675, 0.08438818565400844, 0.0970464135021097]",second,TA
DUSKUSDT,2020-01-07-00:00,2020-01-08-00:00,"[0.3492647058823529, 0.15073529411764705, 0.11029411764705882, 0.10294117647058823, 0.0661764705882353, 0.0625, 0.04779411764705882, 0.051470588235294115, 0.058823529411764705]",first,TA
DUSKUSDT,2020-01-07-00:00,2020-01-08-00:00,"[0.14338235294117646, 0.11397058823529412, 0.11029411764705882, 0.09191176470588236, 0.07720588235294118, 0.10294117647058823, 0.07720588235294118, 0.09191176470588236, 0.08088235294117647, 0.11029411764705882]",second,TA
DUSKUSDT,2020-01-08-00:00,2020-01-09-00:00,"[0.3002680965147453, 0.23056300268096513, 0.17158176943699732, 0.04825737265415549, 0.06166219839142091, 0.05093833780160858, 0.04289544235924933, 0.04825737265415549, 0.045576407506702415]",first,TA
DUSKUSDT,2020-01-08-00:00,2020-01-09-00:00,"[0.10991957104557641, 0.13136729222520108, 0.08579088471849866, 0.064343163538874, 0.16621983914209115, 0.1126005361930295, 0.06702412868632708, 0.10187667560321716, 0.06970509383378017, 0.09115281501340483]",second,TA
DUSKUSDT,2020-01-09-00:00,2020-01-10-00:00,"[0.3541666666666667, 0.175, 0.1125, 0.0875, 0.04583333333333333, 0.05, 0.04583333333333333, 0.0625, 0.06666666666666667]",first,TA
DUSKUSDT,2020-01-09-00:00,2020-01-10-00:00,"[0.125, 0.09583333333333334, 0.0875, 0.10416666666666667, 0.07916666666666666, 0.12083333333333333, 0.1, 0.09583333333333334, 0.0875, 0.10416666666666667]",second,TA
DUSKUSDT,2020-01-10-00:00,2020-01-11-00:00,"[0.27624309392265195, 0.2541436464088398, 0.143646408839779, 0.08287292817679558, 0.08287292817679558, 0.06077348066298342, 0.04419889502762431, 0.03314917127071823, 0.022099447513812154]",first,TA
DUSKUSDT,2020-01-10-00:00,2020-01-11-00:00,"[0.18232044198895028, 0.12154696132596685, 0.07734806629834254, 0.06077348066298342, 0.09944751381215469, 0.13259668508287292, 0.0718232044198895, 0.08839779005524862, 0.08839779005524862, 0.07734806629834254]",second,TA
DUSKUSDT,2020-01-11-00:00,2020-01-12-00:00,"[0.21630094043887146, 0.335423197492163, 0.12539184952978055, 0.12852664576802508, 0.05956112852664577, 0.018808777429467086, 0.0438871473354232, 0.025078369905956112, 0.047021943573667714]",first,TA
DUSKUSDT,2020-01-11-00:00,2020-01-12-00:00,"[0.13166144200626959, 0.07523510971786834, 0.05642633228840126, 0.05956112852664577, 0.2006269592476489, 0.12852664576802508, 0.05956112852664577, 0.05329153605015674, 0.07836990595611286, 0.15673981191222572]",second,TA
DUSKUSDT,2020-01-12-00:00,2020-01-13-00:00,"[0.25116279069767444, 0.3116279069767442, 0.10232558139534884, 0.10232558139534884, 0.07441860465116279, 0.05116279069767442, 0.06046511627906977, 0.027906976744186046, 0.018604651162790697]",first,TA
DUSKUSDT,2020-01-12-00:00,2020-01-13-00:00,"[0.14418604651162792, 0.11162790697674418, 0.07906976744186046, 0.07906976744186046, 0.08837209302325581, 0.2186046511627907, 0.07441860465116279, 0.05581395348837209, 0.07441860465116279, 0.07441860465116279]",second,TA
DUSKUSDT,2020-01-13-00:00,2020-01-14-00:00,"[0.23843416370106763, 0.20284697508896798, 0.17437722419928825, 0.11387900355871886, 0.09252669039145907, 0.060498220640569395, 0.05693950177935943, 0.03558718861209965, 0.02491103202846975]",first,TA
DUSKUSDT,2020-01-13-00:00,2020-01-14-00:00,"[0.18505338078291814, 0.09608540925266904, 0.099644128113879, 0.10320284697508897, 0.1103202846975089, 0.1601423487544484, 0.05693950177935943, 0.06405693950177936, 0.0498220640569395, 0.07473309608540925]",second,TA
DUSKUSDT,2020-01-14-00:00,2020-01-15-00:00,"[0.329153605015674, 0.12852664576802508, 0.22884012539184953, 0.09090909090909091, 0.08307210031347963, 0.04075235109717868, 0.04075235109717868, 0.032915360501567396, 0.025078369905956112]",first,TA
DUSKUSDT,2020-01-14-00:00,2020-01-15-00:00,"[0.20376175548589343, 0.1536050156739812, 0.12539184952978055, 0.09561128526645768, 0.07523510971786834, 0.07210031347962383, 0.07053291536050156, 0.06896551724137931, 0.07053291536050156, 0.06426332288401254]",second,TA
DUSKUSDT,2020-01-15-00:00,2020-01-16-00:00,"[0.29213483146067415, 0.1797752808988764, 0.13707865168539327, 0.09213483146067415, 0.10337078651685393, 0.07191011235955057, 0.03146067415730337, 0.04719101123595506, 0.0449438202247191]",first,TA
DUSKUSDT,2020-01-15-00:00,2020-01-16-00:00,"[0.1752808988764045, 0.12808988764044943, 0.0853932584269663, 0.09438202247191012, 0.1146067415730337, 0.08314606741573034, 0.0651685393258427, 0.08764044943820225, 0.04719101123595506, 0.11910112359550562]",second,TA
DUSKUSDT,2020-01-16-00:00,2020-01-17-00:00,"[0.3564356435643564, 0.17326732673267325, 0.1188118811881188, 0.12623762376237624, 0.04455445544554455, 0.06435643564356436, 0.034653465346534656, 0.04207920792079208, 0.039603960396039604]",first,TA
DUSKUSDT,2020-01-16-00:00,2020-01-17-00:00,"[0.2202970297029703, 0.14356435643564355, 0.06435643564356436, 0.10148514851485149, 0.07178217821782178, 0.08415841584158416, 0.04455445544554455, 0.08663366336633663, 0.08663366336633663, 0.09653465346534654]",second,TA
DUSKUSDT,2020-01-17-00:00,2020-01-18-00:00,"[0.3078602620087336, 0.18777292576419213, 0.13755458515283842, 0.09388646288209607, 0.07860262008733625, 0.05021834061135371, 0.05458515283842795, 0.043668122270742356, 0.04585152838427948]",first,TA
DUSKUSDT,2020-01-17-00:00,2020-01-18-00:00,"[0.1572052401746725, 0.0982532751091703, 0.0982532751091703, 0.11135371179039301, 0.11572052401746726, 0.09606986899563319, 0.07205240174672489, 0.0611353711790393, 0.06986899563318777, 0.12008733624454149]",second,TA
DUSKUSDT,2020-01-18-00:00,2020-01-19-00:00,"[0.29178470254957506, 0.22946175637393768, 0.10198300283286119, 0.1048158640226629, 0.0708215297450425, 0.036827195467422094, 0.05099150141643059, 0.053824362606232294, 0.059490084985835696]",first,TA
DUSKUSDT,2020-01-18-00:00,2020-01-19-00:00,"[0.17280453257790368, 0.10198300283286119, 0.12181303116147309, 0.07932011331444759, 0.0764872521246459, 0.09348441926345609, 0.0906515580736544, 0.059490084985835696, 0.09631728045325778, 0.10764872521246459]",second,TA
DUSKUSDT,2020-01-19-00:00,2020-01-20-00:00,"[0.3014354066985646, 0.19617224880382775, 0.14354066985645933, 0.10526315789473684, 0.06220095693779904, 0.05741626794258373, 0.0430622009569378, 0.03827751196172249, 0.05263157894736842]",first,TA
DUSKUSDT,2020-01-19-00:00,2020-01-20-00:00,"[0.0861244019138756, 0.11483253588516747, 0.1339712918660287, 0.08133971291866028, 0.11961722488038277, 0.06698564593301436, 0.08133971291866028, 0.07177033492822966, 0.10526315789473684, 0.13875598086124402]",second,TA
DUSKUSDT,2020-01-20-00:00,2020-01-21-00:00,"[0.3014705882352941, 0.18382352941176472, 0.19117647058823528, 0.09558823529411764, 0.051470588235294115, 0.051470588235294115, 0.0661764705882353, 0.03676470588235294, 0.022058823529411766]",first,TA
DUSKUSDT,2020-01-20-00:00,2020-01-21-00:00,"[0.11764705882352941, 0.10294117647058823, 0.1323529411764706, 0.058823529411764705, 0.13970588235294118, 0.11764705882352941, 0.051470588235294115, 0.11764705882352941, 0.051470588235294115, 0.11029411764705882]",second,TA
DUSKUSDT,2020-01-21-00:00,2020-01-22-00:00,"[0.2781954887218045, 0.21804511278195488, 0.15789473684210525, 0.07518796992481203, 0.06766917293233082, 0.07518796992481203, 0.045112781954887216, 0.03007518796992481, 0.05263157894736842]",first,TA
DUSKUSDT,2020-01-21-00:00,2020-01-22-00:00,"[0.12781954887218044, 0.13533834586466165, 0.06766917293233082, 0.09022556390977443, 0.07518796992481203, 0.11278195488721804, 0.09022556390977443, 0.12030075187969924, 0.07518796992481203, 0.10526315789473684]",second,TA
DUSKUSDT,2020-01-22-00:00,2020-01-23-00:00,"[0.25339366515837103, 0.17194570135746606, 0.167420814479638, 0.14027149321266968, 0.07239819004524888, 0.06334841628959276, 0.03167420814479638, 0.049773755656108594, 0.049773755656108594]",first,TA
DUSKUSDT,2020-01-22-00:00,2020-01-23-00:00,"[0.12217194570135746, 0.11312217194570136, 0.09954751131221719, 0.09502262443438914, 0.09954751131221719, 0.09502262443438914, 0.08144796380090498, 0.07692307692307693, 0.09502262443438914, 0.12217194570135746]",second,TA
