symbol,start_date,end_date,actual_frequencies,digit_type,target
PAXGUSDT,2020-08-28-00:00,2020-08-29-00:00,"[0.25555555555555554, 0.28888888888888886, 0.1, 0.1, 0.05555555555555555, 0.08888888888888889, 0.03333333333333333, 0.044444444444444446, 0.03333333333333333]",first,TA
PAXGUSDT,2020-08-28-00:00,2020-08-29-00:00,"[0.18888888888888888, 0.1111111111111111, 0.13333333333333333, 0.06666666666666667, 0.13333333333333333, 0.06666666666666667, 0.06666666666666667, 0.05555555555555555, 0.06666666666666667, 0.1111111111111111]",second,TA
PAXGUSDT,2020-08-29-00:00,2020-08-30-00:00,"[0.3392857142857143, 0.1989795918367347, 0.13520408163265307, 0.09438775510204081, 0.07142857142857142, 0.04336734693877551, 0.06377551020408163, 0.03316326530612245, 0.02040816326530612]",first,TA
PAXGUSDT,2020-08-29-00:00,2020-08-30-00:00,"[0.10714285714285714, 0.10459183673469388, 0.08928571428571429, 0.11224489795918367, 0.11479591836734694, 0.09948979591836735, 0.05612244897959184, 0.09693877551020408, 0.07397959183673469, 0.14540816326530612]",second,TA
PAXGUSDT,2020-08-30-00:00,2020-08-31-00:00,"[0.36141304347826086, 0.21467391304347827, 0.125, 0.07336956521739131, 0.057065217391304345, 0.05434782608695652, 0.035326086956521736, 0.03804347826086957, 0.04076086956521739]",first,TA
PAXGUSDT,2020-08-30-00:00,2020-08-31-00:00,"[0.12771739130434784, 0.1358695652173913, 0.10054347826086957, 0.08152173913043478, 0.11141304347826086, 0.07608695652173914, 0.06521739130434782, 0.08152173913043478, 0.07065217391304347, 0.14945652173913043]",second,TA
PAXGUSDT,2020-08-31-00:00,2020-09-01-00:00,"[0.33783783783783783, 0.1837837837837838, 0.12162162162162163, 0.0945945945945946, 0.07837837837837838, 0.062162162162162166, 0.043243243243243246, 0.02702702702702703, 0.051351351351351354]",first,TA
PAXGUSDT,2020-08-31-00:00,2020-09-01-00:00,"[0.12162162162162163, 0.1, 0.062162162162162166, 0.11891891891891893, 0.07567567567567568, 0.08378378378378379, 0.12702702702702703, 0.11351351351351352, 0.07297297297297298, 0.12432432432432433]",second,TA
PAXGUSDT,2020-09-01-00:00,2020-09-02-00:00,"[0.3728813559322034, 0.17675544794188863, 0.10653753026634383, 0.0774818401937046, 0.0774818401937046, 0.053268765133171914, 0.043583535108958835, 0.04116222760290557, 0.05084745762711865]",first,TA
PAXGUSDT,2020-09-01-00:00,2020-09-02-00:00,"[0.18159806295399517, 0.10653753026634383, 0.09200968523002422, 0.09200968523002422, 0.1089588377723971, 0.06295399515738499, 0.09443099273607748, 0.05084745762711865, 0.09200968523002422, 0.11864406779661017]",second,TA
PAXGUSDT,2020-09-02-00:00,2020-09-03-00:00,"[0.39814814814814814, 0.14351851851851852, 0.1527777777777778, 0.06481481481481481, 0.07407407407407407, 0.04861111111111111, 0.041666666666666664, 0.037037037037037035, 0.03935185185185185]",first,TA
PAXGUSDT,2020-09-02-00:00,2020-09-03-00:00,"[0.1111111111111111, 0.18055555555555555, 0.09490740740740741, 0.09953703703703703, 0.09259259259259259, 0.08564814814814815, 0.08101851851851852, 0.08564814814814815, 0.08101851851851852, 0.08796296296296297]",second,TA
PAXGUSDT,2020-09-03-00:00,2020-09-04-00:00,"[0.34549878345498786, 0.170316301703163, 0.1654501216545012, 0.10218978102189781, 0.09002433090024331, 0.043795620437956206, 0.0413625304136253, 0.0267639902676399, 0.014598540145985401]",first,TA
