symbol,start_date,end_date,actual_frequencies,digit_type,target
QTUMUSDT,2020-01-01-00:00,2020-01-02-00:00,"[0.3707533234859675, 0.15657311669128507, 0.1329394387001477, 0.05465288035450517, 0.09748892171344166, 0.051698670605613, 0.047267355982274745, 0.04579025110782865, 0.04283604135893648]",first,TA
QTUMUSDT,2020-01-01-00:00,2020-01-02-00:00,"[0.103397341211226, 0.11521418020679468, 0.10635155096011817, 0.0930576070901034, 0.1019202363367799, 0.08714918759231906, 0.06942392909896603, 0.07680945347119646, 0.0827178729689808, 0.16395864106351551]",second,TA
QTUMUSDT,2020-01-02-00:00,2020-01-03-00:00,"[0.305591677503251, 0.19505851755526657, 0.12743823146944083, 0.07932379713914174, 0.08712613784135241, 0.07932379713914174, 0.045513654096228866, 0.04161248374512354, 0.03901170351105332]",first,TA
QTUMUSDT,2020-01-02-00:00,2020-01-03-00:00,"[0.11963589076723016, 0.12743823146944083, 0.10013003901170352, 0.09232769830949285, 0.0858257477243173, 0.08322496749024708, 0.08712613784135241, 0.0858257477243173, 0.07932379713914174, 0.13914174252275682]",second,TA
QTUMUSDT,2020-01-03-00:00,2020-01-04-00:00,"[0.3425925925925926, 0.14814814814814814, 0.13310185185185186, 0.08333333333333333, 0.08333333333333333, 0.06712962962962964, 0.05324074074074074, 0.046296296296296294, 0.04282407407407408]",first,TA
QTUMUSDT,2020-01-03-00:00,2020-01-04-00:00,"[0.125, 0.08564814814814815, 0.10069444444444445, 0.10185185185185185, 0.07175925925925926, 0.09375, 0.08333333333333333, 0.09722222222222222, 0.09027777777777778, 0.15046296296296297]",second,TA
QTUMUSDT,2020-01-04-00:00,2020-01-05-00:00,"[0.2991014120667522, 0.1643132220795892, 0.14762516046213095, 0.08729139922978177, 0.0962772785622593, 0.0693196405648267, 0.04621309370988447, 0.04236200256739409, 0.04749679075738126]",first,TA
QTUMUSDT,2020-01-04-00:00,2020-01-05-00:00,"[0.13478818998716302, 0.110397946084724, 0.09242618741976893, 0.0975609756097561, 0.08472400513478819, 0.07317073170731707, 0.09499358151476252, 0.06161745827984596, 0.0834403080872914, 0.1668806161745828]",second,TA
QTUMUSDT,2020-01-05-00:00,2020-01-06-00:00,"[0.29721362229102166, 0.15376676986584106, 0.11455108359133127, 0.0825593395252838, 0.0804953560371517, 0.07120743034055728, 0.10319917440660474, 0.05159958720330237, 0.04540763673890609]",first,TA
QTUMUSDT,2020-01-05-00:00,2020-01-06-00:00,"[0.13106295149638802, 0.11764705882352941, 0.08771929824561403, 0.09287925696594428, 0.09597523219814241, 0.07533539731682147, 0.0804953560371517, 0.09184726522187822, 0.08771929824561403, 0.1393188854489164]",second,TA
QTUMUSDT,2020-01-06-00:00,2020-01-07-00:00,"[0.3293172690763052, 0.1636546184738956, 0.1214859437751004, 0.09538152610441768, 0.09236947791164658, 0.05120481927710843, 0.04718875502008032, 0.04919678714859438, 0.050200803212851405]",first,TA
QTUMUSDT,2020-01-06-00:00,2020-01-07-00:00,"[0.12449799196787148, 0.13152610441767068, 0.07931726907630522, 0.09036144578313253, 0.0893574297188755, 0.08634538152610442, 0.08433734939759036, 0.07028112449799197, 0.09337349397590361, 0.15060240963855423]",second,TA
QTUMUSDT,2020-01-07-00:00,2020-01-08-00:00,"[0.31225296442687744, 0.1432806324110672, 0.1541501976284585, 0.07213438735177866, 0.10474308300395258, 0.05039525691699605, 0.06324110671936758, 0.04841897233201581, 0.05138339920948617]",first,TA
QTUMUSDT,2020-01-07-00:00,2020-01-08-00:00,"[0.13537549407114624, 0.11264822134387352, 0.08498023715415019, 0.07608695652173914, 0.09189723320158102, 0.0958498023715415, 0.07608695652173914, 0.08794466403162056, 0.07213438735177866, 0.16699604743083005]",second,TA
QTUMUSDT,2020-01-08-00:00,2020-01-09-00:00,"[0.3309287646528404, 0.13345356176735798, 0.13615870153291254, 0.0757439134355275, 0.10820559062218214, 0.06492335437330929, 0.05590622182146077, 0.046889089269612265, 0.047790802524797116]",first,TA
