symbol,start_date,end_date,actual_frequencies,digit_type,target
ZRXUSDT,2020-01-01-00:00,2020-01-02-00:00,"[0.345679012345679, 0.22633744855967078, 0.09465020576131687, 0.08641975308641975, 0.08641975308641975, 0.0411522633744856, 0.024691358024691357, 0.053497942386831275, 0.0411522633744856]",first,TA
ZRXUSDT,2020-01-01-00:00,2020-01-02-00:00,"[0.13580246913580246, 0.07407407407407407, 0.09053497942386832, 0.1522633744855967, 0.08641975308641975, 0.09053497942386832, 0.06995884773662552, 0.13168724279835392, 0.09465020576131687, 0.07407407407407407]",second,TA
ZRXUSDT,2020-01-02-00:00,2020-01-03-00:00,"[0.4444444444444444, 0.21428571428571427, 0.09126984126984126, 0.08333333333333333, 0.06349206349206349, 0.015873015873015872, 0.023809523809523808, 0.04365079365079365, 0.01984126984126984]",first,TA
ZRXUSDT,2020-01-02-00:00,2020-01-03-00:00,"[0.10714285714285714, 0.06746031746031746, 0.07936507936507936, 0.21031746031746032, 0.07142857142857142, 0.09126984126984126, 0.05555555555555555, 0.14285714285714285, 0.07936507936507936, 0.09523809523809523]",second,TA
ZRXUSDT,2020-01-03-00:00,2020-01-04-00:00,"[0.3817663817663818, 0.23646723646723647, 0.11396011396011396, 0.06267806267806268, 0.07122507122507123, 0.05982905982905983, 0.02564102564102564, 0.019943019943019943, 0.02849002849002849]",first,TA
ZRXUSDT,2020-01-03-00:00,2020-01-04-00:00,"[0.12535612535612536, 0.09401709401709402, 0.09971509971509972, 0.15384615384615385, 0.07977207977207977, 0.08547008547008547, 0.10256410256410256, 0.11965811965811966, 0.07407407407407407, 0.06552706552706553]",second,TA
ZRXUSDT,2020-01-04-00:00,2020-01-05-00:00,"[0.36217948717948717, 0.20833333333333334, 0.11217948717948718, 0.11217948717948718, 0.060897435897435896, 0.05128205128205128, 0.03205128205128205, 0.02564102564102564, 0.035256410256410256]",first,TA
ZRXUSDT,2020-01-04-00:00,2020-01-05-00:00,"[0.13141025641025642, 0.11858974358974358, 0.08974358974358974, 0.14423076923076922, 0.08974358974358974, 0.07692307692307693, 0.07371794871794872, 0.14102564102564102, 0.04807692307692308, 0.08653846153846154]",second,TA
ZRXUSDT,2020-01-05-00:00,2020-01-06-00:00,"[0.34810126582278483, 0.1962025316455696, 0.1360759493670886, 0.05379746835443038, 0.07278481012658228, 0.05063291139240506, 0.06329113924050633, 0.02531645569620253, 0.05379746835443038]",first,TA
ZRXUSDT,2020-01-05-00:00,2020-01-06-00:00,"[0.0949367088607595, 0.10759493670886076, 0.06645569620253164, 0.1360759493670886, 0.08227848101265822, 0.06962025316455696, 0.08227848101265822, 0.08860759493670886, 0.16139240506329114, 0.11075949367088607]",second,TA
ZRXUSDT,2020-01-06-00:00,2020-01-07-00:00,"[0.3622881355932203, 0.1716101694915254, 0.11228813559322035, 0.07627118644067797, 0.09957627118644068, 0.038135593220338986, 0.03177966101694915, 0.03389830508474576, 0.07415254237288135]",first,TA
