symbol,start_date,end_date,actual_frequencies,digit_type,target
KRW-DKA,2021-01-01-00:00,2020-12-31-00:00,"[0.3, 0.20666666666666667, 0.11166666666666666, 0.08166666666666667, 0.10166666666666667, 0.035, 0.04833333333333333, 0.03333333333333333, 0.08166666666666667]",first,TA
KRW-DKA,2021-01-01-00:00,2020-12-31-00:00,"[0.16333333333333333, 0.10333333333333333, 0.08166666666666667, 0.09, 0.12666666666666668, 0.08166666666666667, 0.07666666666666666, 0.06666666666666667, 0.07166666666666667, 0.13833333333333334]",second,TA
KRW-DKA,2020-12-31-00:00,2020-12-30-00:00,"[0.305, 0.1725, 0.12375, 0.085, 0.10125, 0.05125, 0.05625, 0.04625, 0.05875]",first,TA
KRW-DKA,2020-12-31-00:00,2020-12-30-00:00,"[0.15125, 0.11, 0.12, 0.0875, 0.0875, 0.095, 0.09625, 0.06, 0.085, 0.1075]",second,TA
KRW-DKA,2020-12-30-00:00,2020-12-29-00:00,"[0.329, 0.157, 0.1, 0.093, 0.095, 0.069, 0.06, 0.037, 0.06]",first,TA
KRW-DKA,2020-12-30-00:00,2020-12-29-00:00,"[0.162, 0.114, 0.093, 0.089, 0.101, 0.103, 0.092, 0.072, 0.072, 0.102]",second,TA
KRW-DKA,2020-12-29-00:00,2020-12-28-00:00,"[0.3275, 0.19125, 0.09, 0.0775, 0.10375, 0.05625, 0.045, 0.0375, 0.07125]",first,TA
KRW-DKA,2020-12-29-00:00,2020-12-28-00:00,"[0.1725, 0.12875, 0.085, 0.0825, 0.11125, 0.10625, 0.0725, 0.07, 0.0475, 0.12375]",second,TA
KRW-DKA,2020-12-28-00:00,2020-12-27-00:00,"[0.335, 0.175, 0.11, 0.075, 0.109, 0.047, 0.056, 0.041, 0.052]",first,TA
KRW-DKA,2020-12-28-00:00,2020-12-27-00:00,"[0.167, 0.133, 0.098, 0.077, 0.109, 0.112, 0.054, 0.067, 0.079, 0.104]",second,TA
KRW-DKA,2020-12-27-00:00,2020-12-26-00:00,"[0.3775, 0.165, 0.07875, 0.085, 0.1175, 0.04875, 0.0375, 0.03125, 0.05875]",first,TA
KRW-DKA,2020-12-27-00:00,2020-12-26-00:00,"[0.1775, 0.15625, 0.07625, 0.07375, 0.09625, 0.10625, 0.05875, 0.0725, 0.06, 0.1225]",second,TA
KRW-DKA,2020-12-26-00:00,2020-12-25-00:00,"[0.35875, 0.15125, 0.10125, 0.08, 0.13125, 0.0475, 0.04125, 0.0325, 0.05625]",first,TA
KRW-DKA,2020-12-26-00:00,2020-12-25-00:00,"[0.17, 0.14375, 0.085, 0.07125, 0.1025, 0.095, 0.07375, 0.0775, 0.065, 0.11625]",second,TA
KRW-DKA,2020-12-25-00:00,2020-12-24-00:00,"[0.322, 0.118, 0.094, 0.107, 0.159, 0.062, 0.056, 0.049, 0.033]",first,TA
KRW-DKA,2020-12-25-00:00,2020-12-24-00:00,"[0.199, 0.131, 0.101, 0.094, 0.084, 0.08, 0.069, 0.068, 0.085, 0.089]",second,TA
KRW-DKA,2020-12-24-00:00,2020-12-23-00:00,"[0.295, 0.167, 0.094, 0.105, 0.111, 0.055, 0.056, 0.059, 0.058]",first,TA
KRW-DKA,2020-12-24-00:00,2020-12-23-00:00,"[0.14, 0.123, 0.097, 0.103, 0.084, 0.08, 0.082, 0.077, 0.092, 0.122]",second,TA
KRW-DKA,2020-12-23-00:00,2020-12-22-00:00,"[0.3375, 0.16625, 0.105, 0.08375, 0.0775, 0.0525, 0.0625, 0.05125, 0.06375]",first,TA
KRW-DKA,2020-12-23-00:00,2020-12-22-00:00,"[0.155, 0.08875, 0.095, 0.09, 0.10125, 0.08875, 0.0675, 0.1, 0.095, 0.11875]",second,TA
KRW-DKA,2020-12-22-00:00,2020-12-21-00:00,"[0.283, 0.173, 0.106, 0.101, 0.087, 0.084, 0.061, 0.051, 0.054]",first,TA
KRW-DKA,2020-12-22-00:00,2020-12-21-00:00,"[0.146, 0.119, 0.099, 0.104, 0.073, 0.091, 0.103, 0.092, 0.076, 0.097]",second,TA
KRW-DKA,2020-12-21-00:00,2020-12-20-00:00,"[0.305, 0.158, 0.124, 0.096, 0.104, 0.064, 0.043, 0.037, 0.069]",first,TA
KRW-DKA,2020-12-21-00:00,2020-12-20-00:00,"[0.19, 0.118, 0.087, 0.08, 0.094, 0.085, 0.08, 0.06, 0.081, 0.125]",second,TA
KRW-DKA,2020-12-20-00:00,2020-12-19-00:00,"[0.28583333333333333, 0.1775, 0.11916666666666667, 0.08416666666666667, 0.11416666666666667, 0.07416666666666667, 0.05333333333333334, 0.035833333333333335, 0.05583333333333333]",first,TA
KRW-DKA,2020-12-20-00:00,2020-12-19-00:00,"[0.16833333333333333, 0.115, 0.11, 0.075, 0.08166666666666667, 0.09583333333333334, 0.08583333333333333, 0.07333333333333333, 0.08333333333333333, 0.11166666666666666]",second,TA
KRW-DKA,2020-12-19-00:00,2020-12-18-00:00,"[0.30375, 0.185, 0.11375, 0.09625, 0.095, 0.05625, 0.04625, 0.04375, 0.06]",first,TA
KRW-DKA,2020-12-19-00:00,2020-12-18-00:00,"[0.15375, 0.095, 0.09625, 0.0775, 0.0975, 0.08, 0.0725, 0.07875, 0.095, 0.15375]",second,TA
KRW-DKA,2020-12-18-00:00,2020-12-17-00:00,"[0.2775, 0.1675, 0.10875, 0.11375, 0.10375, 0.05375, 0.0675, 0.04125, 0.06625]",first,TA
KRW-DKA,2020-12-18-00:00,2020-12-17-00:00,"[0.16875, 0.11, 0.0775, 0.07875, 0.10625, 0.07375, 0.0675, 0.0825, 0.0825, 0.1525]",second,TA
KRW-DKA,2020-12-17-00:00,2020-12-16-00:00,"[0.3225, 0.165, 0.11, 0.1175, 0.07625, 0.06375, 0.03875, 0.0475, 0.05875]",first,TA
