symbol,start_date,end_date,actual_frequencies,digit_type,target
ADXUSDT,2021-10-29-00:00,2021-10-30-00:00,"[0.25249169435215946, 0.16611295681063123, 0.2026578073089701, 0.11295681063122924, 0.08637873754152824, 0.05647840531561462, 0.046511627906976744, 0.03986710963455149, 0.036544850498338874]",first,TA
ADXUSDT,2021-10-29-00:00,2021-10-30-00:00,"[0.09966777408637874, 0.11295681063122924, 0.10299003322259136, 0.10631229235880399, 0.08970099667774087, 0.11295681063122924, 0.08970099667774087, 0.09302325581395349, 0.12292358803986711, 0.06976744186046512]",second,TA
ADXUSDT,2021-10-30-00:00,2021-10-31-00:00,"[0.3164469118667592, 0.13948646773074255, 0.1179736294240111, 0.09507286606523248, 0.0777238029146426, 0.07217210270645386, 0.07147814018043026, 0.05690492713393477, 0.0527411519777932]",first,TA
ADXUSDT,2021-10-30-00:00,2021-10-31-00:00,"[0.11242192921582235, 0.10687022900763359, 0.11450381679389313, 0.10617626648161, 0.10825815405968078, 0.0936849410131853, 0.08119361554476058, 0.09784871616932686, 0.08258154059680778, 0.09646079111727966]",second,TA
ADXUSDT,2021-10-31-00:00,2021-11-01-00:00,"[0.28452463566967384, 0.20263705759888967, 0.14156835530881332, 0.09993060374739764, 0.08466342817487855, 0.061068702290076333, 0.04996530187369882, 0.04302567661346287, 0.03261623872310895]",first,TA
ADXUSDT,2021-10-31-00:00,2021-11-01-00:00,"[0.10270645385149202, 0.11519777931991672, 0.11103400416377515, 0.10131852879944483, 0.11727966689798751, 0.08674531575294935, 0.09299097848716169, 0.10062456627342123, 0.0798056904927134, 0.0922970159611381]",second,TA
ADXUSDT,2021-11-01-00:00,2021-11-02-00:00,"[0.3039555863983345, 0.16793893129770993, 0.12213740458015267, 0.09021512838306732, 0.08605135322692574, 0.06731436502428868, 0.0520471894517696, 0.0659264399722415, 0.04441360166551006]",first,TA
ADXUSDT,2021-11-01-00:00,2021-11-02-00:00,"[0.12352532963219987, 0.11103400416377515, 0.11242192921582235, 0.12005551700208189, 0.10964607911172797, 0.0916030534351145, 0.08674531575294935, 0.08119361554476058, 0.07009021512838307, 0.0936849410131853]",second,TA
ADXUSDT,2021-11-02-00:00,2021-11-03-00:00,"[0.2738012508686588, 0.1744266851980542, 0.1320361362056984, 0.10423905489923559, 0.08200138985406533, 0.07574704656011119, 0.06532314107018763, 0.05281445448227936, 0.03961084086170952]",first,TA
ADXUSDT,2021-11-02-00:00,2021-11-03-00:00,"[0.1063238359972203, 0.11605281445448228, 0.113273106323836, 0.11118832522585129, 0.10771369006254343, 0.10006949270326616, 0.08200138985406533, 0.08408617095205004, 0.0847810979847116, 0.0945100764419736]",second,TA
ADXUSDT,2021-11-03-00:00,2021-11-04-00:00,"[0.311406578026592, 0.18894331700489853, 0.11266620013995801, 0.09167249825052484, 0.072778166550035, 0.07977606717984605, 0.06508047585724283, 0.03988803358992302, 0.03778866340097971]",first,TA
ADXUSDT,2021-11-03-00:00,2021-11-04-00:00,"[0.1350594821553534, 0.10356892932120364, 0.11896431070678797, 0.0986703988803359, 0.10566829951014696, 0.0867739678096571, 0.08467459762071379, 0.10286913925822254, 0.07767669699090272, 0.086074177746676]",second,TA
ADXUSDT,2021-11-04-00:00,2021-11-05-00:00,"[0.2853146853146853, 0.1797202797202797, 0.12937062937062938, 0.0944055944055944, 0.07762237762237763, 0.07342657342657342, 0.06153846153846154, 0.04755244755244755, 0.05104895104895105]",first,TA
ADXUSDT,2021-11-04-00:00,2021-11-05-00:00,"[0.12517482517482517, 0.11748251748251748, 0.1041958041958042, 0.1020979020979021, 0.0937062937062937, 0.0993006993006993, 0.09090909090909091, 0.09300699300699301, 0.08811188811188811, 0.08601398601398601]",second,TA
ADXUSDT,2021-11-05-00:00,2021-11-06-00:00,"[0.3149090909090909, 0.17236363636363636, 0.13236363636363635, 0.08654545454545455, 0.07927272727272727, 0.07127272727272728, 0.05018181818181818, 0.04290909090909091, 0.05018181818181818]",first,TA
ADXUSDT,2021-11-05-00:00,2021-11-06-00:00,"[0.11636363636363636, 0.10981818181818181, 0.11127272727272727, 0.10545454545454545, 0.10545454545454545, 0.11054545454545454, 0.08872727272727272, 0.08145454545454546, 0.08581818181818182, 0.08509090909090909]",second,TA
ADXUSDT,2021-11-06-00:00,2021-11-07-00:00,"[0.29114850036576445, 0.19019751280175567, 0.12948061448427212, 0.08485735186539868, 0.07607900512070227, 0.06949524506217995, 0.0592538405267008, 0.04681784930504755, 0.05267008046817849]",first,TA
ADXUSDT,2021-11-06-00:00,2021-11-07-00:00,"[0.12948061448427212, 0.10534016093635698, 0.12435991221653256, 0.10534016093635698, 0.11046086320409657, 0.07681053401609364, 0.0936356986100951, 0.07388441843452817, 0.0753474762253109, 0.10534016093635698]",second,TA
ADXUSDT,2021-11-07-00:00,2021-11-08-00:00,"[0.32357043235704325, 0.17154811715481172, 0.12343096234309624, 0.07670850767085077, 0.07740585774058577, 0.06485355648535565, 0.05369595536959554, 0.06903765690376569, 0.0397489539748954]",first,TA
ADXUSDT,2021-11-07-00:00,2021-11-08-00:00,"[0.11854951185495119, 0.12133891213389121, 0.11506276150627615, 0.10599721059972106, 0.10948396094839609, 0.08647140864714087, 0.09553695955369595, 0.08577405857740586, 0.08298465829846582, 0.07880055788005579]",second,TA
ADXUSDT,2021-11-08-00:00,2021-11-09-00:00,"[0.2927864214992928, 0.1782178217821782, 0.12446958981612447, 0.10325318246110325, 0.07355021216407355, 0.06294200848656294, 0.06364922206506365, 0.05021216407355021, 0.05091937765205092]",first,TA
ADXUSDT,2021-11-08-00:00,2021-11-09-00:00,"[0.12164073550212164, 0.12376237623762376, 0.11315417256011315, 0.1074964639321075, 0.0884016973125884, 0.11173974540311174, 0.0891089108910891, 0.08274398868458274, 0.08132956152758133, 0.08062234794908062]",second,TA
ADXUSDT,2021-11-09-00:00,2021-11-10-00:00,"[0.3054945054945055, 0.16556776556776556, 0.12527472527472527, 0.10036630036630037, 0.09230769230769231, 0.054945054945054944, 0.060805860805860805, 0.040293040293040296, 0.054945054945054944]",first,TA
ADXUSDT,2021-11-09-00:00,2021-11-10-00:00,"[0.13772893772893774, 0.12161172161172161, 0.10329670329670329, 0.1076923076923077, 0.09597069597069598, 0.08571428571428572, 0.08864468864468865, 0.1010989010989011, 0.07179487179487179, 0.08644688644688645]",second,TA
ADXUSDT,2021-11-10-00:00,2021-11-11-00:00,"[0.2857142857142857, 0.16489361702127658, 0.1276595744680851, 0.0919452887537994, 0.0911854103343465, 0.0797872340425532, 0.06231003039513678, 0.04559270516717325, 0.050911854103343465]",first,TA
ADXUSDT,2021-11-10-00:00,2021-11-11-00:00,"[0.12462006079027356, 0.09954407294832827, 0.11550151975683891, 0.11398176291793313, 0.0919452887537994, 0.09574468085106383, 0.0737082066869301, 0.08890577507598785, 0.0858662613981763, 0.11018237082066869]",second,TA
ADXUSDT,2021-11-11-00:00,2021-11-12-00:00,"[0.2950693374422188, 0.17334360554699538, 0.12480739599383667, 0.09861325115562404, 0.07550077041602465, 0.061633281972265024, 0.06856702619414484, 0.045454545454545456, 0.05701078582434515]",first,TA
ADXUSDT,2021-11-11-00:00,2021-11-12-00:00,"[0.11941448382126348, 0.1271186440677966, 0.09861325115562404, 0.09244992295839753, 0.12249614791987673, 0.10015408320493066, 0.0901386748844376, 0.08859784283513097, 0.07627118644067797, 0.0847457627118644]",second,TA
ADXUSDT,2021-11-12-00:00,2021-11-13-00:00,"[0.3018465909090909, 0.18678977272727273, 0.1171875, 0.10653409090909091, 0.056107954545454544, 0.06392045454545454, 0.0703125, 0.04616477272727273, 0.05113636363636364]",first,TA
ADXUSDT,2021-11-12-00:00,2021-11-13-00:00,"[0.13210227272727273, 0.12073863636363637, 0.11931818181818182, 0.09872159090909091, 0.09517045454545454, 0.09446022727272728, 0.09303977272727272, 0.07528409090909091, 0.08309659090909091, 0.08806818181818182]",second,TA
