symbol,start_date,end_date,actual_frequencies,digit_type,target
AMPUSDT,2021-11-23-00:00,2021-11-24-00:00,"[0.31053604436229204, 0.19038817005545286, 0.10351201478743069, 0.09426987060998152, 0.09796672828096119, 0.059149722735674676, 0.06469500924214418, 0.03512014787430684, 0.04436229205175601]",first,TA
AMPUSDT,2021-11-23-00:00,2021-11-24-00:00,"[0.13123844731977818, 0.11090573012939002, 0.11460258780036968, 0.10166358595194085, 0.11275415896487985, 0.12199630314232902, 0.06099815157116451, 0.09611829944547134, 0.066543438077634, 0.08317929759704251]",second,TA
AMPUSDT,2021-11-24-00:00,2021-11-25-00:00,"[0.3240804996530187, 0.18043025676613464, 0.13462873004857737, 0.08258154059680778, 0.07286606523247745, 0.06037473976405274, 0.054823039555863984, 0.04510756419153366, 0.04510756419153366]",first,TA
AMPUSDT,2021-11-24-00:00,2021-11-25-00:00,"[0.12421929215822346, 0.11103400416377515, 0.11519777931991672, 0.09507286606523248, 0.10062456627342123, 0.0916030534351145, 0.10062456627342123, 0.08258154059680778, 0.0922970159611381, 0.08674531575294935]",second,TA
AMPUSDT,2021-11-25-00:00,2021-11-26-00:00,"[0.3004857737682165, 0.16169326856349758, 0.12144344205412907, 0.09715475364330327, 0.08605135322692574, 0.06870229007633588, 0.06384455239417071, 0.05759888965995836, 0.04302567661346287]",first,TA
AMPUSDT,2021-11-25-00:00,2021-11-26-00:00,"[0.11103400416377515, 0.11658570437196392, 0.10964607911172797, 0.11103400416377515, 0.09923664122137404, 0.1040943789035392, 0.0777238029146426, 0.09854267869535045, 0.0922970159611381, 0.0798056904927134]",second,TA
AMPUSDT,2021-11-26-00:00,2021-11-27-00:00,"[0.32661570535093815, 0.1695621959694232, 0.11883252258512857, 0.08895066018068103, 0.08269631688672689, 0.06393328700486449, 0.061153578874218205, 0.04447533009034051, 0.04378040305767894]",first,TA
AMPUSDT,2021-11-26-00:00,2021-11-27-00:00,"[0.12647671994440585, 0.11535788742182071, 0.11049339819318972, 0.10076441973592773, 0.10006949270326616, 0.09728978457261987, 0.0945100764419736, 0.08617095205003475, 0.07991660875608061, 0.08895066018068103]",second,TA
AMPUSDT,2021-11-27-00:00,2021-11-28-00:00,"[0.29901960784313725, 0.18347338935574228, 0.14285714285714285, 0.09173669467787114, 0.07913165266106442, 0.07142857142857142, 0.05392156862745098, 0.036414565826330535, 0.04201680672268908]",first,TA
AMPUSDT,2021-11-27-00:00,2021-11-28-00:00,"[0.11134453781512606, 0.10714285714285714, 0.12464985994397759, 0.08893557422969188, 0.0938375350140056, 0.10504201680672269, 0.09453781512605042, 0.08823529411764706, 0.08893557422969188, 0.09733893557422969]",second,TA
AMPUSDT,2021-11-28-00:00,2021-11-29-00:00,"[0.2897845726198749, 0.17720639332870047, 0.11674774148714386, 0.10771369006254343, 0.07852675469075747, 0.06532314107018763, 0.057678943710910355, 0.05281445448227936, 0.054204308547602505]",first,TA
AMPUSDT,2021-11-28-00:00,2021-11-29-00:00,"[0.12578179291174427, 0.12786657400972898, 0.10562890896455872, 0.11466296038915914, 0.09589993050729674, 0.1014593467685893, 0.08547602501737317, 0.0945100764419736, 0.08130646282140375, 0.06740792216817235]",second,TA
AMPUSDT,2021-11-29-00:00,2021-11-30-00:00,"[0.31158917418459403, 0.16377515614156835, 0.12838306731436502, 0.09299097848716169, 0.08605135322692574, 0.07356002775850104, 0.06384455239417071, 0.03816793893129771, 0.041637751561415685]",first,TA
AMPUSDT,2021-11-29-00:00,2021-11-30-00:00,"[0.11519777931991672, 0.11103400416377515, 0.10687022900763359, 0.10895211658570438, 0.09299097848716169, 0.0922970159611381, 0.10687022900763359, 0.10201249132546843, 0.07633587786259542, 0.08743927827897294]",second,TA
AMPUSDT,2021-11-30-00:00,2021-12-01-00:00,"[0.2946490618485059, 0.17651146629603892, 0.12230715774843641, 0.0965948575399583, 0.07574704656011119, 0.06671299513551077, 0.06671299513551077, 0.05559416261292564, 0.045170257123002086]",first,TA
AMPUSDT,2021-11-30-00:00,2021-12-01-00:00,"[0.1250868658790827, 0.09937456567060458, 0.10284920083391244, 0.12300208478109799, 0.103544127866574, 0.0965948575399583, 0.08756080611535788, 0.08686587908269632, 0.08339124391938846, 0.0917303683113273]",second,TA
AMPUSDT,2021-12-01-00:00,2021-12-02-00:00,"[0.31567944250871083, 0.19094076655052264, 0.12334494773519164, 0.08641114982578398, 0.06062717770034843, 0.06550522648083623, 0.04808362369337979, 0.0529616724738676, 0.05644599303135889]",first,TA
AMPUSDT,2021-12-01-00:00,2021-12-02-00:00,"[0.1289198606271777, 0.11498257839721254, 0.11289198606271778, 0.10174216027874565, 0.09268292682926829, 0.09198606271777003, 0.09198606271777003, 0.09059233449477352, 0.08641114982578398, 0.08780487804878048]",second,TA
AMPUSDT,2021-12-02-00:00,2021-12-03-00:00,"[0.31560283687943264, 0.1723404255319149, 0.1148936170212766, 0.09078014184397164, 0.08368794326241134, 0.06170212765957447, 0.06099290780141844, 0.05319148936170213, 0.04680851063829787]",first,TA
AMPUSDT,2021-12-02-00:00,2021-12-03-00:00,"[0.11205673758865248, 0.1347517730496454, 0.10141843971631205, 0.11560283687943262, 0.10709219858156029, 0.09007092198581561, 0.09574468085106383, 0.08368794326241134, 0.07943262411347518, 0.08014184397163121]",second,TA
