symbol,start_date,end_date,actual_frequencies,digit_type,target
EGLDUSDT,2021-01-01-00:00,2021-01-02-00:00,"[0.27699180938198065, 0.18540580789277736, 0.12956068503350707, 0.10498883097542815, 0.07967237527922562, 0.06775874906924795, 0.06999255398361877, 0.04616530156366344, 0.039463886820551006]",first,TA
EGLDUSDT,2021-01-01-00:00,2021-01-02-00:00,"[0.13179448994787787, 0.12285927029039465, 0.10871183916604617, 0.09307520476545049, 0.0975428145941921, 0.09977661950856292, 0.09009679821295608, 0.09009679821295608, 0.08786299329858525, 0.0781831720029784]",second,TA
EGLDUSDT,2021-01-02-00:00,2021-01-03-00:00,"[0.30581478822684854, 0.1780330222541278, 0.12060301507537688, 0.09260588657573582, 0.07824838478104809, 0.07394113424264179, 0.05671213208901651, 0.04953338119167265, 0.04450825556353195]",first,TA
EGLDUSDT,2021-01-02-00:00,2021-01-03-00:00,"[0.13280689160086145, 0.10552763819095477, 0.10265613783201723, 0.10768126346015794, 0.11342426417803302, 0.08614501076812635, 0.10050251256281408, 0.08758076094759512, 0.07968413496051686, 0.08399138549892318]",second,TA
EGLDUSDT,2021-01-03-00:00,2021-01-04-00:00,"[0.3170212765957447, 0.1702127659574468, 0.12836879432624113, 0.08156028368794327, 0.08581560283687943, 0.06879432624113475, 0.05531914893617021, 0.04822695035460993, 0.04468085106382979]",first,TA
EGLDUSDT,2021-01-03-00:00,2021-01-04-00:00,"[0.125531914893617, 0.10567375886524823, 0.1226950354609929, 0.10141843971631205, 0.10567375886524823, 0.09432624113475177, 0.08156028368794327, 0.09645390070921986, 0.08723404255319149, 0.07943262411347518]",second,TA
EGLDUSDT,2021-01-04-00:00,2021-01-05-00:00,"[0.32175121612230717, 0.15774843641417652, 0.13829047949965254, 0.08686587908269632, 0.07505211952744961, 0.07435719249478805, 0.05698401667824878, 0.04794996525364837, 0.04100069492703266]",first,TA
EGLDUSDT,2021-01-04-00:00,2021-01-05-00:00,"[0.113273106323836, 0.1063238359972203, 0.10423905489923559, 0.11605281445448228, 0.10076441973592773, 0.09589993050729674, 0.10771369006254343, 0.08964558721334259, 0.08825573314801946, 0.0778318276580959]",second,TA
EGLDUSDT,2021-01-05-00:00,2021-01-06-00:00,"[0.2921582234559334, 0.17626648160999306, 0.11380985426786953, 0.10895211658570438, 0.07494795281054822, 0.07147814018043026, 0.0652324774462179, 0.054823039555863984, 0.04233171408743928]",first,TA
EGLDUSDT,2021-01-05-00:00,2021-01-06-00:00,"[0.11658570437196392, 0.09784871616932686, 0.10964607911172797, 0.09576682859125607, 0.09715475364330327, 0.09923664122137404, 0.10131852879944483, 0.09646079111727966, 0.09021512838306732, 0.09576682859125607]",second,TA
EGLDUSDT,2021-01-06-00:00,2021-01-07-00:00,"[0.3046495489243581, 0.1825121443442054, 0.1297709923664122, 0.09299097848716169, 0.07425399028452463, 0.07009021512838307, 0.05759888965995836, 0.0527411519777932, 0.03539208882720333]",first,TA
EGLDUSDT,2021-01-06-00:00,2021-01-07-00:00,"[0.12213740458015267, 0.11172796668979876, 0.10478834142956281, 0.11172796668979876, 0.10062456627342123, 0.09646079111727966, 0.09576682859125607, 0.08743927827897294, 0.09437890353920889, 0.07494795281054822]",second,TA
EGLDUSDT,2021-01-07-00:00,2021-01-08-00:00,"[0.2824427480916031, 0.17418459403192227, 0.12144344205412907, 0.1040943789035392, 0.0798056904927134, 0.0784177654406662, 0.061068702290076333, 0.05759888965995836, 0.040943789035392086]",first,TA
EGLDUSDT,2021-01-07-00:00,2021-01-08-00:00,"[0.1193615544760583, 0.11450381679389313, 0.10478834142956281, 0.10270645385149202, 0.09923664122137404, 0.12213740458015267, 0.09923664122137404, 0.08813324080499653, 0.07217210270645386, 0.0777238029146426]",second,TA
EGLDUSDT,2021-01-08-00:00,2021-01-09-00:00,"[0.32061068702290074, 0.17279666897987508, 0.12630117973629423, 0.08813324080499653, 0.07633587786259542, 0.0659264399722415, 0.05343511450381679, 0.049271339347675226, 0.04718945176960444]",first,TA
EGLDUSDT,2021-01-08-00:00,2021-01-09-00:00,"[0.11658570437196392, 0.12074947952810548, 0.10825815405968078, 0.08952116585704371, 0.10270645385149202, 0.10340041637751561, 0.07702984038861901, 0.0922970159611381, 0.10340041637751561, 0.08605135322692574]",second,TA
EGLDUSDT,2021-01-09-00:00,2021-01-10-00:00,"[0.31688672689367614, 0.17373175816539263, 0.12439193884642112, 0.09728978457261987, 0.07227241139680333, 0.059763724808895066, 0.048644892286309936, 0.05072967338429465, 0.056289089645587216]",first,TA
EGLDUSDT,2021-01-09-00:00,2021-01-10-00:00,"[0.11257817929117443, 0.11257817929117443, 0.09103544127866574, 0.10771369006254343, 0.11396803335649756, 0.11049339819318972, 0.10562890896455872, 0.09589993050729674, 0.07157748436414177, 0.07852675469075747]",second,TA
