symbol,start_date,end_date,actual_frequencies,digit_type,target
ELFUSDT,2021-09-08-00:00,2021-09-09-00:00,"[0.2850356294536817, 0.16864608076009502, 0.0997624703087886, 0.12351543942992874, 0.07600950118764846, 0.07363420427553444, 0.0498812351543943, 0.07838479809976247, 0.04513064133016627]",first,TA
ELFUSDT,2021-09-08-00:00,2021-09-09-00:00,"[0.13064133016627077, 0.1187648456057007, 0.12826603325415678, 0.08076009501187649, 0.1330166270783848, 0.07838479809976247, 0.09501187648456057, 0.09501187648456057, 0.0665083135391924, 0.07363420427553444]",second,TA
ELFUSDT,2021-09-09-00:00,2021-09-10-00:00,"[0.28076379066478074, 0.1782178217821782, 0.11103253182461104, 0.09193776520509193, 0.09759547383309759, 0.06930693069306931, 0.06506364922206506, 0.05091937765205092, 0.055162659123055166]",first,TA
ELFUSDT,2021-09-09-00:00,2021-09-10-00:00,"[0.12871287128712872, 0.11103253182461104, 0.09971711456859972, 0.09405940594059406, 0.1074964639321075, 0.09476661951909476, 0.09688826025459689, 0.0785007072135785, 0.09547383309759547, 0.09335219236209336]",second,TA
ELFUSDT,2021-09-10-00:00,2021-09-11-00:00,"[0.3142857142857143, 0.1792857142857143, 0.12071428571428572, 0.09285714285714286, 0.07857142857142857, 0.065, 0.052142857142857144, 0.04071428571428572, 0.056428571428571425]",first,TA
ELFUSDT,2021-09-10-00:00,2021-09-11-00:00,"[0.11785714285714285, 0.11142857142857143, 0.11142857142857143, 0.10714285714285714, 0.115, 0.09285714285714286, 0.08571428571428572, 0.09071428571428572, 0.08785714285714286, 0.08]",second,TA
ELFUSDT,2021-09-11-00:00,2021-09-12-00:00,"[0.31158238172920066, 0.18923327895595432, 0.12234910277324633, 0.09706362153344208, 0.07504078303425775, 0.05628058727569331, 0.05791190864600326, 0.049755301794453505, 0.040783034257748776]",first,TA
ELFUSDT,2021-09-11-00:00,2021-09-12-00:00,"[0.1264274061990212, 0.11582381729200653, 0.1166394779771615, 0.09624796084828711, 0.10766721044045677, 0.08319738988580751, 0.09053833605220228, 0.08075040783034258, 0.07504078303425775, 0.10766721044045677]",second,TA
ELFUSDT,2021-09-12-00:00,2021-09-13-00:00,"[0.3003533568904594, 0.1687279151943463, 0.1254416961130742, 0.0989399293286219, 0.07862190812720848, 0.054770318021201414, 0.05918727915194346, 0.060954063604240286, 0.053003533568904596]",first,TA
ELFUSDT,2021-09-12-00:00,2021-09-13-00:00,"[0.13692579505300354, 0.10512367491166077, 0.09452296819787986, 0.08657243816254417, 0.09628975265017668, 0.10954063604240283, 0.09982332155477032, 0.08303886925795052, 0.07685512367491167, 0.11130742049469965]",second,TA
ELFUSDT,2021-09-13-00:00,2021-09-14-00:00,"[0.31983805668016196, 0.16761133603238867, 0.11821862348178137, 0.10931174089068826, 0.08825910931174089, 0.06558704453441296, 0.04291497975708502, 0.045344129554655874, 0.04291497975708502]",first,TA
ELFUSDT,2021-09-13-00:00,2021-09-14-00:00,"[0.12712550607287448, 0.1076923076923077, 0.11336032388663968, 0.09959514170040486, 0.09230769230769231, 0.09068825910931175, 0.0931174089068826, 0.08016194331983806, 0.09473684210526316, 0.10121457489878542]",second,TA
ELFUSDT,2021-09-14-00:00,2021-09-15-00:00,"[0.31031390134529147, 0.15426008968609867, 0.14170403587443947, 0.09237668161434978, 0.06636771300448431, 0.060089686098654706, 0.06547085201793722, 0.05022421524663677, 0.059192825112107626]",first,TA
