symbol,start_date,end_date,actual_frequencies,digit_type,target
FARMUSDT,2021-08-11-00:00,2021-08-12-00:00,"[0.31116389548693585, 0.19002375296912113, 0.10451306413301663, 0.12114014251781473, 0.08076009501187649, 0.04275534441805225, 0.057007125890736345, 0.04513064133016627, 0.047505938242280284]",first,TA
FARMUSDT,2021-08-11-00:00,2021-08-12-00:00,"[0.1187648456057007, 0.1163895486935867, 0.12114014251781473, 0.0855106888361045, 0.12114014251781473, 0.09501187648456057, 0.0831353919239905, 0.09738717339667459, 0.0831353919239905, 0.07838479809976247]",second,TA
FARMUSDT,2021-08-12-00:00,2021-08-13-00:00,"[0.31158917418459403, 0.16308119361554477, 0.12699514226231784, 0.08466342817487855, 0.0798056904927134, 0.05829285218598196, 0.06662040249826509, 0.06176266481609993, 0.04718945176960444]",first,TA
FARMUSDT,2021-08-12-00:00,2021-08-13-00:00,"[0.12005551700208189, 0.12005551700208189, 0.10964607911172797, 0.10201249132546843, 0.1040943789035392, 0.09507286606523248, 0.09507286606523248, 0.09923664122137404, 0.0777238029146426, 0.07702984038861901]",second,TA
FARMUSDT,2021-08-13-00:00,2021-08-14-00:00,"[0.28731665228645387, 0.17860224331320104, 0.13201035375323555, 0.09749784296807593, 0.09836065573770492, 0.057808455565142365, 0.0638481449525453, 0.04400345125107852, 0.04055220017256255]",first,TA
FARMUSDT,2021-08-13-00:00,2021-08-14-00:00,"[0.10871440897325281, 0.09577221742881795, 0.12079378774805867, 0.10353753235547886, 0.11130284728213978, 0.09318377911993098, 0.08541846419327007, 0.10094909404659189, 0.08196721311475409, 0.09836065573770492]",second,TA
FARMUSDT,2021-08-14-00:00,2021-08-15-00:00,"[0.2956834532374101, 0.17410071942446043, 0.1223021582733813, 0.10143884892086331, 0.09280575539568345, 0.05755395683453238, 0.0683453237410072, 0.04388489208633094, 0.04388489208633094]",first,TA
FARMUSDT,2021-08-14-00:00,2021-08-15-00:00,"[0.11726618705035971, 0.11366906474820145, 0.11007194244604317, 0.12086330935251799, 0.09424460431654676, 0.1, 0.08489208633093526, 0.08201438848920864, 0.07985611510791367, 0.09712230215827339]",second,TA
FARMUSDT,2021-08-15-00:00,2021-08-16-00:00,"[0.33110616184112845, 0.18411284335560504, 0.11284335560504825, 0.08537490720118783, 0.0757238307349666, 0.06607275426874536, 0.04899777282850779, 0.04974016332590943, 0.04602821083890126]",first,TA
FARMUSDT,2021-08-15-00:00,2021-08-16-00:00,"[0.11729769858945806, 0.11358574610244988, 0.10541945063103192, 0.10764662212323682, 0.09799554565701558, 0.0935412026726058, 0.08834446919079436, 0.08537490720118783, 0.09057164068299926, 0.10022271714922049]",second,TA
FARMUSDT,2021-08-16-00:00,2021-08-17-00:00,"[0.32277081798084006, 0.18865143699336773, 0.11127487103905674, 0.10095799557848195, 0.06853352984524687, 0.06263817243920412, 0.056742815033161385, 0.047899778924097275, 0.040530582166543844]",first,TA
FARMUSDT,2021-08-16-00:00,2021-08-17-00:00,"[0.1260132645541636, 0.1208548268238762, 0.09211495946941783, 0.09801031687546058, 0.09285187914517318, 0.08179808400884303, 0.10832719233603537, 0.0899042004421518, 0.09727339719970524, 0.09285187914517318]",second,TA
FARMUSDT,2021-08-17-00:00,2021-08-18-00:00,"[0.3023255813953488, 0.17704426106526633, 0.12978244561140284, 0.09377344336084022, 0.08777194298574643, 0.07126781695423856, 0.05026256564141035, 0.04126031507876969, 0.046511627906976744]",first,TA
FARMUSDT,2021-08-17-00:00,2021-08-18-00:00,"[0.1275318829707427, 0.12003000750187547, 0.10802700675168792, 0.08702175543885972, 0.08177044261065267, 0.08852213053263316, 0.0967741935483871, 0.08852213053263316, 0.09452363090772693, 0.1072768192048012]",second,TA
FARMUSDT,2021-08-18-00:00,2021-08-19-00:00,"[0.29152067274001403, 0.18570427470217238, 0.13524877365101612, 0.09600560616678346, 0.0756832515767344, 0.06657323055360898, 0.05255781359495445, 0.051156271899089, 0.04555010511562719]",first,TA
FARMUSDT,2021-08-18-00:00,2021-08-19-00:00,"[0.10861948142957253, 0.11352487736510161, 0.10932025227750526, 0.10091100210231255, 0.09810791871058164, 0.09250175192711983, 0.09600560616678346, 0.08759635599159075, 0.10861948142957253, 0.08479327259985985]",second,TA
FARMUSDT,2021-08-19-00:00,2021-08-20-00:00,"[0.31057764441110275, 0.17704426106526633, 0.12303075768942236, 0.08927231807951988, 0.07651912978244561, 0.06826706676669167, 0.05476369092273068, 0.047261815453863466, 0.05326331582895724]",first,TA
FARMUSDT,2021-08-19-00:00,2021-08-20-00:00,"[0.1350337584396099, 0.1072768192048012, 0.10277569392348088, 0.08177044261065267, 0.10277569392348088, 0.1005251312828207, 0.08702175543885972, 0.08477119279819954, 0.10277569392348088, 0.09527381845461365]",second,TA
FARMUSDT,2021-08-20-00:00,2021-08-21-00:00,"[0.29907866761162294, 0.17434443656980864, 0.13890857547838412, 0.09780297661233169, 0.08362863217576187, 0.058823529411764705, 0.04890148830616584, 0.05102763997165131, 0.04748405386250886]",first,TA
FARMUSDT,2021-08-20-00:00,2021-08-21-00:00,"[0.11339475549255847, 0.13678242381289865, 0.11410347271438696, 0.09425939050318922, 0.1041814316087881, 0.08504606661941885, 0.08788093550673282, 0.09355067328136074, 0.0892983699503898, 0.0815024805102764]",second,TA
FARMUSDT,2021-08-21-00:00,2021-08-22-00:00,"[0.3059593023255814, 0.17950581395348839, 0.12790697674418605, 0.08866279069767442, 0.07776162790697674, 0.06831395348837209, 0.06177325581395349, 0.050872093023255814, 0.03924418604651163]",first,TA
FARMUSDT,2021-08-21-00:00,2021-08-22-00:00,"[0.12281976744186046, 0.1119186046511628, 0.1119186046511628, 0.10610465116279069, 0.10247093023255814, 0.10247093023255814, 0.09302325581395349, 0.08430232558139535, 0.07194767441860465, 0.09302325581395349]",second,TA
FARMUSDT,2021-08-22-00:00,2021-08-23-00:00,"[0.3009427121102248, 0.18274111675126903, 0.13705583756345177, 0.08411892675852067, 0.07831762146482958, 0.07034082668600435, 0.05148658448150834, 0.044960116026105876, 0.05003625815808557]",first,TA
FARMUSDT,2021-08-22-00:00,2021-08-23-00:00,"[0.12545322697606962, 0.1218274111675127, 0.116751269035533, 0.09354604786076867, 0.09282088469905729, 0.10369833212472807, 0.09499637418419145, 0.09282088469905729, 0.08556925308194344, 0.0725163161711385]",second,TA
FARMUSDT,2021-08-23-00:00,2021-08-24-00:00,"[0.3269934162399415, 0.182882223847842, 0.11119239209948793, 0.09509875640087784, 0.07168983174835405, 0.0592538405267008, 0.06291148500365765, 0.03145574250182882, 0.058522311631309436]",first,TA
FARMUSDT,2021-08-23-00:00,2021-08-24-00:00,"[0.1324067300658376, 0.11485003657644477, 0.10095098756400878, 0.10241404535479151, 0.10241404535479151, 0.08997805413313825, 0.0980248719824433, 0.07900512070226774, 0.07607900512070227, 0.10387710314557425]",second,TA
FARMUSDT,2021-08-24-00:00,2021-08-25-00:00,"[0.3009855951478393, 0.20242608036391205, 0.11827141774071266, 0.09173616376042457, 0.07884761182714177, 0.06747536012130402, 0.04473085670962851, 0.056103108415466264, 0.039423805913570885]",first,TA
FARMUSDT,2021-08-24-00:00,2021-08-25-00:00,"[0.12736921910538287, 0.11599696739954511, 0.10083396512509477, 0.08718726307808947, 0.12357846853677028, 0.08642911296436695, 0.0841546626231994, 0.08188021228203184, 0.0887035633055345, 0.10386656557998483]",second,TA
FARMUSDT,2021-08-25-00:00,2021-08-26-00:00,"[0.30564024390243905, 0.18216463414634146, 0.13185975609756098, 0.09908536585365854, 0.07698170731707317, 0.04878048780487805, 0.057164634146341466, 0.053353658536585365, 0.04496951219512195]",first,TA
FARMUSDT,2021-08-25-00:00,2021-08-26-00:00,"[0.12271341463414634, 0.10060975609756098, 0.10213414634146341, 0.09375, 0.1013719512195122, 0.10594512195121951, 0.09146341463414634, 0.09070121951219512, 0.08460365853658537, 0.10670731707317073]",second,TA
FARMUSDT,2021-08-26-00:00,2021-08-27-00:00,"[0.2988252569750367, 0.2143906020558003, 0.11380323054331865, 0.09030837004405286, 0.07782672540381791, 0.06681350954478708, 0.042584434654919234, 0.05066079295154185, 0.044787077826725405]",first,TA
FARMUSDT,2021-08-26-00:00,2021-08-27-00:00,"[0.10719530102790015, 0.11600587371512482, 0.12187958883994127, 0.11747430249632893, 0.08076358296622614, 0.09104258443465492, 0.07929515418502203, 0.08883994126284875, 0.10499265785609398, 0.09251101321585903]",second,TA
FARMUSDT,2021-08-27-00:00,2021-08-28-00:00,"[0.3192526401299756, 0.17303005686433795, 0.11779041429731925, 0.10316815597075549, 0.07636068237205523, 0.06011372867587327, 0.04467912266450041, 0.05523964256701868, 0.050365556458164096]",first,TA
FARMUSDT,2021-08-27-00:00,2021-08-28-00:00,"[0.1397238017871649, 0.10560519902518278, 0.11454102355808286, 0.09991876523151909, 0.09910641754670999, 0.09423233143785541, 0.0966693744922827, 0.08123476848090982, 0.08854589764419171, 0.08042242079610074]",second,TA
FARMUSDT,2021-08-28-00:00,2021-08-29-00:00,"[0.2926470588235294, 0.19705882352941176, 0.13161764705882353, 0.08970588235294118, 0.06985294117647059, 0.075, 0.0625, 0.04411764705882353, 0.0375]",first,TA
