symbol,start_date,end_date,actual_frequencies,digit_type,target
NEARUSDT,2021-01-01-00:00,2021-01-02-00:00,"[0.2976190476190476, 0.19122023809523808, 0.125, 0.09375, 0.09077380952380952, 0.058779761904761904, 0.052083333333333336, 0.04017857142857143, 0.050595238095238096]",first,TA
NEARUSDT,2021-01-01-00:00,2021-01-02-00:00,"[0.12276785714285714, 0.10044642857142858, 0.11235119047619048, 0.09523809523809523, 0.11383928571428571, 0.10193452380952381, 0.0900297619047619, 0.0900297619047619, 0.07589285714285714, 0.0974702380952381]",second,TA
NEARUSDT,2021-01-02-00:00,2021-01-03-00:00,"[0.3282674772036474, 0.19376899696048633, 0.13753799392097266, 0.08738601823708207, 0.06382978723404255, 0.06534954407294832, 0.0547112462006079, 0.03343465045592705, 0.03571428571428571]",first,TA
NEARUSDT,2021-01-02-00:00,2021-01-03-00:00,"[0.12386018237082067, 0.11398176291793313, 0.08814589665653495, 0.09422492401215805, 0.09422492401215805, 0.0911854103343465, 0.12310030395136778, 0.0919452887537994, 0.0858662613981763, 0.09346504559270517]",second,TA
NEARUSDT,2021-01-03-00:00,2021-01-04-00:00,"[0.30977872947894364, 0.16987865810135616, 0.12491077801570306, 0.09564596716630978, 0.08850820842255532, 0.059957173447537475, 0.05139186295503212, 0.049964311206281226, 0.049964311206281226]",first,TA
NEARUSDT,2021-01-03-00:00,2021-01-04-00:00,"[0.13062098501070663, 0.10349750178443969, 0.11848679514632406, 0.0913633119200571, 0.099214846538187, 0.11491791577444682, 0.08922198429693076, 0.07423269093504639, 0.07566024268379729, 0.10278372591006424]",second,TA
NEARUSDT,2021-01-04-00:00,2021-01-05-00:00,"[0.29234012649332397, 0.18833450456781448, 0.1314125087842586, 0.09557273366127898, 0.07378777231201687, 0.05692199578355587, 0.059030217849613494, 0.049894588896697116, 0.05270555165144062]",first,TA
NEARUSDT,2021-01-04-00:00,2021-01-05-00:00,"[0.12157413914265636, 0.11384399156711174, 0.09697821503865074, 0.10822206605762473, 0.10822206605762473, 0.09346451159522136, 0.09416725228390724, 0.09065354884047787, 0.08713984539704848, 0.08573436401967674]",second,TA
NEARUSDT,2021-01-05-00:00,2021-01-06-00:00,"[0.3316363636363636, 0.17163636363636364, 0.1149090909090909, 0.09454545454545454, 0.07636363636363637, 0.05527272727272727, 0.05163636363636363, 0.05672727272727273, 0.04727272727272727]",first,TA
NEARUSDT,2021-01-05-00:00,2021-01-06-00:00,"[0.12727272727272726, 0.11127272727272727, 0.08509090909090909, 0.0989090909090909, 0.0989090909090909, 0.10472727272727272, 0.0989090909090909, 0.10036363636363636, 0.08363636363636363, 0.09090909090909091]",second,TA
NEARUSDT,2021-01-06-00:00,2021-01-07-00:00,"[0.3265454545454545, 0.17672727272727273, 0.128, 0.08145454545454546, 0.08218181818181818, 0.056, 0.06472727272727273, 0.04945454545454545, 0.03490909090909091]",first,TA
NEARUSDT,2021-01-06-00:00,2021-01-07-00:00,"[0.11127272727272727, 0.11127272727272727, 0.11127272727272727, 0.104, 0.10981818181818181, 0.09527272727272727, 0.08436363636363636, 0.09309090909090909, 0.09454545454545454, 0.08509090909090909]",second,TA
NEARUSDT,2021-01-07-00:00,2021-01-08-00:00,"[0.31735657225853303, 0.18373275236020334, 0.1074800290486565, 0.09295570079883805, 0.08424110384894698, 0.07334785766158315, 0.05809731299927379, 0.05010893246187364, 0.032679738562091505]",first,TA
