symbol,start_date,end_date,actual_frequencies,digit_type,target
TFUELUSDT,2021-01-01-00:00,2021-01-02-00:00,"[0.3232180663373324, 0.18489767113620326, 0.1122088920254058, 0.08609738884968243, 0.08045165843330981, 0.0748059280169372, 0.06351446718419196, 0.038108680310515175, 0.03669724770642202]",first,TA
TFUELUSDT,2021-01-01-00:00,2021-01-02-00:00,"[0.1213832039520113, 0.10797459421312633, 0.10162314749470713, 0.10515172900494002, 0.09386026817219478, 0.10232886379675371, 0.10726887791107975, 0.08539167254763586, 0.0839802399435427, 0.09103740296400847]",second,TA
TFUELUSDT,2021-01-02-00:00,2021-01-03-00:00,"[0.2995031937544358, 0.1710432931156849, 0.14194464158977999, 0.09723207948899928, 0.0695528743789922, 0.06742370475514549, 0.0631653655074521, 0.04187366926898509, 0.0482611781405252]",first,TA
TFUELUSDT,2021-01-02-00:00,2021-01-03-00:00,"[0.11994322214336409, 0.11142654364797729, 0.11213626685592619, 0.10929737402413059, 0.1078779276082328, 0.09510290986515259, 0.099361249112846, 0.0880056777856636, 0.0773598296664301, 0.0794889992902768]",second,TA
TFUELUSDT,2021-01-03-00:00,2021-01-04-00:00,"[0.2965034965034965, 0.17412587412587413, 0.10979020979020979, 0.0979020979020979, 0.0937062937062937, 0.06713286713286713, 0.057342657342657345, 0.04965034965034965, 0.05384615384615385]",first,TA
TFUELUSDT,2021-01-03-00:00,2021-01-04-00:00,"[0.11118881118881119, 0.10979020979020979, 0.12377622377622377, 0.106993006993007, 0.11188811188811189, 0.0979020979020979, 0.0972027972027972, 0.08041958041958042, 0.08881118881118881, 0.07202797202797202]",second,TA
TFUELUSDT,2021-01-04-00:00,2021-01-05-00:00,"[0.28890439637124915, 0.16817864619678996, 0.12630844382414516, 0.11165387299371947, 0.08792742498255408, 0.06908583391486392, 0.05861828332170272, 0.05024424284717376, 0.039078855547801813]",first,TA
TFUELUSDT,2021-01-04-00:00,2021-01-05-00:00,"[0.12770411723656663, 0.10537334263782275, 0.10816468946266573, 0.11444521981856245, 0.10188415910676901, 0.0942079553384508, 0.08862526168876483, 0.07955338450802513, 0.08304256803907886, 0.09699930216329379]",second,TA
TFUELUSDT,2021-01-05-00:00,2021-01-06-00:00,"[0.3010057471264368, 0.16738505747126436, 0.12931034482758622, 0.09698275862068965, 0.08189655172413793, 0.06609195402298851, 0.05387931034482758, 0.05459770114942529, 0.04885057471264368]",first,TA
TFUELUSDT,2021-01-05-00:00,2021-01-06-00:00,"[0.12428160919540229, 0.10344827586206896, 0.10847701149425287, 0.11350574712643678, 0.08620689655172414, 0.09698275862068965, 0.09985632183908046, 0.09051724137931035, 0.08692528735632184, 0.08979885057471264]",second,TA
TFUELUSDT,2021-01-06-00:00,2021-01-07-00:00,"[0.3044712562100781, 0.17530163236337828, 0.13413768630234207, 0.09794180269694819, 0.07806955287437899, 0.06742370475514549, 0.0525195173882186, 0.046132008516678494, 0.0440028388928318]",first,TA
TFUELUSDT,2021-01-06-00:00,2021-01-07-00:00,"[0.12987934705464868, 0.09226401703335699, 0.1156848828956707, 0.10432931156848829, 0.0908445706174592, 0.10645848119233499, 0.09297374024130589, 0.08161816891412349, 0.09297374024130589, 0.09297374024130589]",second,TA
TFUELUSDT,2021-01-07-00:00,2021-01-08-00:00,"[0.3145574250182882, 0.18800292611558156, 0.1163130943672275, 0.10607168983174835, 0.07754206291148501, 0.05779078273591807, 0.0570592538405267, 0.03950256035113387, 0.04316020482809071]",first,TA
TFUELUSDT,2021-01-07-00:00,2021-01-08-00:00,"[0.1141185076810534, 0.10314557425018288, 0.10899780541331383, 0.10168251645940014, 0.10899780541331383, 0.10460863204096561, 0.091441111923921, 0.09509875640087784, 0.08119970738844184, 0.09070958302852963]",second,TA
TFUELUSDT,2021-01-08-00:00,2021-01-09-00:00,"[0.29848594087959623, 0.16943042537851477, 0.13482335976928622, 0.10598413842826243, 0.07281903388608507, 0.06056236481614996, 0.06200432588320115, 0.047584715212689255, 0.04830569574621485]",first,TA
TFUELUSDT,2021-01-08-00:00,2021-01-09-00:00,"[0.1095890410958904, 0.09805335255948089, 0.10886806056236481, 0.09300648882480173, 0.11391492429704397, 0.10382119682768565, 0.08940158615717375, 0.09805335255948089, 0.09949531362653208, 0.08579668348954578]",second,TA
TFUELUSDT,2021-01-09-00:00,2021-01-10-00:00,"[0.29836309523809523, 0.16741071428571427, 0.12946428571428573, 0.10416666666666667, 0.09226190476190477, 0.07142857142857142, 0.046875, 0.04538690476190476, 0.044642857142857144]",first,TA
TFUELUSDT,2021-01-09-00:00,2021-01-10-00:00,"[0.11755952380952381, 0.1324404761904762, 0.10193452380952381, 0.11235119047619048, 0.09895833333333333, 0.0900297619047619, 0.09449404761904762, 0.08482142857142858, 0.07514880952380952, 0.09226190476190477]",second,TA
TFUELUSDT,2021-01-10-00:00,2021-01-11-00:00,"[0.31642694928084786, 0.19303557910673733, 0.13020439061317185, 0.09386828160484481, 0.07342922028766086, 0.05147615442846329, 0.050719152157456475, 0.04012112036336109, 0.050719152157456475]",first,TA
TFUELUSDT,2021-01-10-00:00,2021-01-11-00:00,"[0.12414837244511734, 0.11582134746404239, 0.10900832702498107, 0.09008327024981075, 0.0984102952308857, 0.09462528387585163, 0.09992429977289932, 0.08932626797880394, 0.07872823618470856, 0.09992429977289932]",second,TA
TFUELUSDT,2021-01-11-00:00,2021-01-12-00:00,"[0.3013595166163142, 0.1797583081570997, 0.1268882175226586, 0.10800604229607251, 0.06797583081570997, 0.07099697885196375, 0.054380664652567974, 0.05891238670694864, 0.03172205438066465]",first,TA
TFUELUSDT,2021-01-11-00:00,2021-01-12-00:00,"[0.1336858006042296, 0.09667673716012085, 0.09818731117824774, 0.10725075528700906, 0.10045317220543806, 0.1042296072507553, 0.0823262839879154, 0.09743202416918428, 0.08610271903323263, 0.09365558912386707]",second,TA
TFUELUSDT,2021-01-12-00:00,2021-01-13-00:00,"[0.2984441301272984, 0.1958981612446959, 0.11951909476661952, 0.09193776520509193, 0.0586987270155587, 0.07142857142857142, 0.06082036775106082, 0.05091937765205092, 0.05233380480905234]",first,TA
TFUELUSDT,2021-01-12-00:00,2021-01-13-00:00,"[0.1173974540311174, 0.11386138613861387, 0.09900990099009901, 0.10396039603960396, 0.10113154172560113, 0.11315417256011315, 0.09971711456859972, 0.0876944837340877, 0.07142857142857142, 0.09264497878359264]",second,TA
TFUELUSDT,2021-01-13-00:00,2021-01-14-00:00,"[0.3044846577498033, 0.1848937844217152, 0.13453973249409915, 0.1038552321007081, 0.08182533438237609, 0.05664830841856806, 0.04799370574350905, 0.05035405192761605, 0.03540519276160504]",first,TA
TFUELUSDT,2021-01-13-00:00,2021-01-14-00:00,"[0.12352478363493312, 0.11408339889850512, 0.1038552321007081, 0.10621557828481511, 0.08811959087332809, 0.0991345397324941, 0.0889063729346971, 0.09284028324154209, 0.09126671911880409, 0.0920535011801731]",second,TA
TFUELUSDT,2021-01-14-00:00,2021-01-15-00:00,"[0.30739299610894943, 0.16108949416342414, 0.13929961089494164, 0.09416342412451362, 0.07003891050583658, 0.06381322957198443, 0.06848249027237355, 0.047470817120622566, 0.04824902723735409]",first,TA
TFUELUSDT,2021-01-14-00:00,2021-01-15-00:00,"[0.12062256809338522, 0.13073929961089495, 0.1066147859922179, 0.09105058365758754, 0.10739299610894941, 0.0980544747081712, 0.07859922178988327, 0.09416342412451362, 0.08949416342412451, 0.08326848249027237]",second,TA
TFUELUSDT,2021-01-15-00:00,2021-01-16-00:00,"[0.30537974683544306, 0.18275316455696203, 0.13528481012658228, 0.09018987341772151, 0.08702531645569621, 0.06329113924050633, 0.051424050632911396, 0.040348101265822785, 0.04430379746835443]",first,TA
