symbol,start_date,end_date,actual_frequencies,digit_type,target
USDCUSDT,2021-01-01-00:00,2021-01-02-00:00,"[0.2761970853573907, 0.16099930603747398, 0.12630117973629423, 0.09715475364330327, 0.08813324080499653, 0.0784177654406662, 0.06870229007633588, 0.05412907702984039, 0.04996530187369882]",first,TA
USDCUSDT,2021-01-01-00:00,2021-01-02-00:00,"[0.12421929215822346, 0.10825815405968078, 0.11727966689798751, 0.10825815405968078, 0.09646079111727966, 0.08743927827897294, 0.08952116585704371, 0.09299097848716169, 0.08535739070090215, 0.09021512838306732]",second,TA
USDCUSDT,2021-01-02-00:00,2021-01-03-00:00,"[0.2755741127348643, 0.17954070981210857, 0.13082811412665274, 0.11760612386917188, 0.06819763395963814, 0.055671537926235214, 0.07167710508002784, 0.06541405706332637, 0.03549060542797495]",first,TA
USDCUSDT,2021-01-02-00:00,2021-01-03-00:00,"[0.12526096033402923, 0.10438413361169102, 0.10438413361169102, 0.12247738343771747, 0.09672929714683368, 0.1022964509394572, 0.08420320111343076, 0.09116214335421016, 0.07654836464857341, 0.09255393180236604]",second,TA
USDCUSDT,2021-01-03-00:00,2021-01-04-00:00,"[0.3289382373351839, 0.16724496877168632, 0.12213740458015267, 0.09021512838306732, 0.07356002775850104, 0.0659264399722415, 0.05829285218598196, 0.05412907702984039, 0.0395558639833449]",first,TA
USDCUSDT,2021-01-03-00:00,2021-01-04-00:00,"[0.11242192921582235, 0.1179736294240111, 0.1193615544760583, 0.11034004163775156, 0.09993060374739764, 0.08535739070090215, 0.08882720333102012, 0.08743927827897294, 0.09715475364330327, 0.08119361554476058]",second,TA
USDCUSDT,2021-01-04-00:00,2021-01-05-00:00,"[0.30673143650242884, 0.1707147814018043, 0.131852879944483, 0.10895211658570438, 0.0777238029146426, 0.05829285218598196, 0.05690492713393477, 0.04718945176960444, 0.041637751561415685]",first,TA
USDCUSDT,2021-01-04-00:00,2021-01-05-00:00,"[0.12005551700208189, 0.10756419153365718, 0.10964607911172797, 0.11727966689798751, 0.1040943789035392, 0.08882720333102012, 0.09299097848716169, 0.08882720333102012, 0.0916030534351145, 0.0791117279666898]",second,TA
USDCUSDT,2021-01-05-00:00,2021-01-06-00:00,"[0.315058986814712, 0.15336571825121442, 0.11589174184594032, 0.09299097848716169, 0.07425399028452463, 0.0791117279666898, 0.061068702290076333, 0.05759888965995836, 0.05065926439972242]",first,TA
USDCUSDT,2021-01-05-00:00,2021-01-06-00:00,"[0.12768910478834142, 0.11866759195003469, 0.1193615544760583, 0.10340041637751561, 0.0922970159611381, 0.09299097848716169, 0.07286606523247745, 0.08882720333102012, 0.0922970159611381, 0.0916030534351145]",second,TA
USDCUSDT,2021-01-06-00:00,2021-01-07-00:00,"[0.29285218598195695, 0.16655100624566274, 0.12838306731436502, 0.09784871616932686, 0.08396946564885496, 0.06870229007633588, 0.061068702290076333, 0.05343511450381679, 0.04718945176960444]",first,TA
USDCUSDT,2021-01-06-00:00,2021-01-07-00:00,"[0.12421929215822346, 0.10201249132546843, 0.11658570437196392, 0.11519777931991672, 0.0916030534351145, 0.09923664122137404, 0.08882720333102012, 0.0922970159611381, 0.08535739070090215, 0.08466342817487855]",second,TA
USDCUSDT,2021-01-07-00:00,2021-01-08-00:00,"[0.30881332408049966, 0.1554476058292852, 0.12213740458015267, 0.08535739070090215, 0.0784177654406662, 0.07425399028452463, 0.05968077723802915, 0.061068702290076333, 0.054823039555863984]",first,TA
