symbol,start_date,end_date,actual_frequencies,digit_type,target
KRW-CTC,2021-12-31-00:00,2022-01-01-00:00,"[0.285, 0.1625, 0.1275, 0.1, 0.085, 0.075, 0.0575, 0.035, 0.0725]",first,TA
KRW-CTC,2021-12-31-00:00,2022-01-01-00:00,"[0.12, 0.105, 0.11, 0.105, 0.105, 0.1175, 0.0925, 0.0875, 0.09, 0.0675]",second,TA
KRW-CTC,2021-12-30-00:00,2021-12-31-00:00,"[0.3325, 0.21, 0.1275, 0.065, 0.065, 0.065, 0.045, 0.0325, 0.0575]",first,TA
KRW-CTC,2021-12-30-00:00,2021-12-31-00:00,"[0.1475, 0.09, 0.1, 0.1475, 0.0975, 0.08, 0.0825, 0.0925, 0.0925, 0.07]",second,TA
KRW-CTC,2021-12-29-00:00,2021-12-30-00:00,"[0.2875, 0.195, 0.1275, 0.0675, 0.09, 0.08, 0.055, 0.07, 0.0275]",first,TA
KRW-CTC,2021-12-29-00:00,2021-12-30-00:00,"[0.115, 0.105, 0.1025, 0.1075, 0.08, 0.1275, 0.1, 0.075, 0.105, 0.0825]",second,TA
KRW-CTC,2021-12-28-00:00,2021-12-29-00:00,"[0.3075, 0.21, 0.115, 0.085, 0.0925, 0.0375, 0.055, 0.0425, 0.055]",first,TA
KRW-CTC,2021-12-28-00:00,2021-12-29-00:00,"[0.1675, 0.11, 0.1175, 0.0975, 0.095, 0.065, 0.0675, 0.1075, 0.0725, 0.1]",second,TA
KRW-CTC,2021-12-27-00:00,2021-12-28-00:00,"[0.2775, 0.155, 0.13, 0.0825, 0.1175, 0.055, 0.0775, 0.06, 0.045]",first,TA
KRW-CTC,2021-12-27-00:00,2021-12-28-00:00,"[0.1425, 0.13, 0.095, 0.1025, 0.085, 0.0825, 0.1125, 0.0975, 0.06, 0.0925]",second,TA
KRW-CTC,2021-12-26-00:00,2021-12-27-00:00,"[0.2925, 0.1775, 0.135, 0.105, 0.065, 0.05, 0.0725, 0.0575, 0.045]",first,TA
KRW-CTC,2021-12-26-00:00,2021-12-27-00:00,"[0.11, 0.1325, 0.1125, 0.0825, 0.095, 0.115, 0.0875, 0.0925, 0.095, 0.0775]",second,TA
KRW-CTC,2021-12-25-00:00,2021-12-26-00:00,"[0.2975, 0.1475, 0.095, 0.12, 0.095, 0.0675, 0.0675, 0.055, 0.055]",first,TA
KRW-CTC,2021-12-25-00:00,2021-12-26-00:00,"[0.14, 0.11, 0.1175, 0.1075, 0.085, 0.0825, 0.1025, 0.0975, 0.0775, 0.08]",second,TA
KRW-CTC,2021-12-24-00:00,2021-12-25-00:00,"[0.35, 0.1475, 0.14, 0.08, 0.0875, 0.06, 0.0725, 0.0325, 0.03]",first,TA
KRW-CTC,2021-12-24-00:00,2021-12-25-00:00,"[0.1, 0.125, 0.1325, 0.09, 0.0925, 0.1, 0.095, 0.1225, 0.085, 0.0575]",second,TA
