symbol,start_date,end_date,actual_frequencies,digit_type,target
1INCHUSDT,2022-01-01-00:00,2022-01-02-00:00,"[0.30377094972067037, 0.17108938547486033, 0.12290502793296089, 0.09916201117318436, 0.08519553072625698, 0.06843575418994413, 0.06005586592178771, 0.0467877094972067, 0.04259776536312849]",first,TA
1INCHUSDT,2022-01-01-00:00,2022-01-02-00:00,"[0.10963687150837989, 0.10893854748603352, 0.11871508379888268, 0.10684357541899442, 0.08729050279329609, 0.09986033519553073, 0.09497206703910614, 0.1005586592178771, 0.08449720670391062, 0.08868715083798882]",second,TA
1INCHUSDT,2022-01-02-00:00,2022-01-03-00:00,"[0.3159359777313848, 0.1593597773138483, 0.11830201809324982, 0.09324982602644398, 0.08559498956158663, 0.07237299930410578, 0.04314544189283229, 0.06332637439109255, 0.04871259568545581]",first,TA
1INCHUSDT,2022-01-02-00:00,2022-01-03-00:00,"[0.12038970076548365, 0.11551844119693806, 0.11830201809324982, 0.10090466249130133, 0.08977035490605428, 0.10090466249130133, 0.08629088378566457, 0.08211551844119694, 0.0918580375782881, 0.09394572025052192]",second,TA
1INCHUSDT,2022-01-03-00:00,2022-01-04-00:00,"[0.3289382373351839, 0.17418459403192227, 0.10687022900763359, 0.09090909090909091, 0.08049965301873699, 0.07147814018043026, 0.062456627342123525, 0.04233171408743928, 0.04233171408743928]",first,TA
1INCHUSDT,2022-01-03-00:00,2022-01-04-00:00,"[0.12074947952810548, 0.12074947952810548, 0.10825815405968078, 0.10270645385149202, 0.09854267869535045, 0.0936849410131853, 0.09784871616932686, 0.09021512838306732, 0.0936849410131853, 0.07356002775850104]",second,TA
1INCHUSDT,2022-01-04-00:00,2022-01-05-00:00,"[0.32338653712699517, 0.1707147814018043, 0.12630117973629423, 0.08674531575294935, 0.07633587786259542, 0.0652324774462179, 0.06315058986814712, 0.04996530187369882, 0.03816793893129771]",first,TA
1INCHUSDT,2022-01-04-00:00,2022-01-05-00:00,"[0.12907702984038863, 0.1193615544760583, 0.10617626648161, 0.11866759195003469, 0.10478834142956281, 0.09437890353920889, 0.09090909090909091, 0.08188757807078417, 0.07425399028452463, 0.08049965301873699]",second,TA
1INCHUSDT,2022-01-05-00:00,2022-01-06-00:00,"[0.3395963813500348, 0.13917884481558804, 0.12247738343771747, 0.08281141266527488, 0.08002783576896312, 0.08072372999304106, 0.05636743215031315, 0.054975643702157274, 0.04384133611691023]",first,TA
1INCHUSDT,2022-01-05-00:00,2022-01-06-00:00,"[0.12526096033402923, 0.12247738343771747, 0.11551844119693806, 0.10647181628392484, 0.10786360473208072, 0.08768267223382047, 0.09394572025052192, 0.08281141266527488, 0.081419624217119, 0.07654836464857341]",second,TA
1INCHUSDT,2022-01-06-00:00,2022-01-07-00:00,"[0.33171408743927827, 0.21998612074947954, 0.10825815405968078, 0.07494795281054822, 0.06939625260235947, 0.0527411519777932, 0.04996530187369882, 0.049271339347675226, 0.04371963913948647]",first,TA
1INCHUSDT,2022-01-06-00:00,2022-01-07-00:00,"[0.12074947952810548, 0.12074947952810548, 0.11103400416377515, 0.11242192921582235, 0.09299097848716169, 0.09507286606523248, 0.09021512838306732, 0.08535739070090215, 0.0791117279666898, 0.0922970159611381]",second,TA
1INCHUSDT,2022-01-07-00:00,2022-01-08-00:00,"[0.3331020124913255, 0.1714087439278279, 0.11589174184594032, 0.08119361554476058, 0.06870229007633588, 0.06315058986814712, 0.06800832755031229, 0.0527411519777932, 0.04580152671755725]",first,TA
1INCHUSDT,2022-01-07-00:00,2022-01-08-00:00,"[0.11103400416377515, 0.10756419153365718, 0.10478834142956281, 0.10617626648161, 0.10270645385149202, 0.11311589174184594, 0.10617626648161, 0.1040943789035392, 0.07564191533657183, 0.06870229007633588]",second,TA
1INCHUSDT,2022-01-08-00:00,2022-01-09-00:00,"[0.3145833333333333, 0.1326388888888889, 0.10138888888888889, 0.09513888888888888, 0.09444444444444444, 0.07708333333333334, 0.07847222222222222, 0.05694444444444444, 0.049305555555555554]",first,TA
