symbol,start_date,end_date,actual_frequencies,digit_type,target
ACHUSDT,2022-01-10-00:00,2022-01-11-00:00,"[0.2857142857142857, 0.13953488372093023, 0.12292358803986711, 0.10631229235880399, 0.08637873754152824, 0.06976744186046512, 0.04983388704318937, 0.08637873754152824, 0.053156146179401995]",first,TA
ACHUSDT,2022-01-10-00:00,2022-01-11-00:00,"[0.11960132890365449, 0.11295681063122924, 0.08637873754152824, 0.07641196013289037, 0.1362126245847176, 0.09634551495016612, 0.09966777408637874, 0.10631229235880399, 0.09966777408637874, 0.0664451827242525]",second,TA
ACHUSDT,2022-01-11-00:00,2022-01-12-00:00,"[0.3053435114503817, 0.18112421929215822, 0.12421929215822346, 0.0916030534351145, 0.07702984038861901, 0.07009021512838307, 0.05343511450381679, 0.05412907702984039, 0.04302567661346287]",first,TA
ACHUSDT,2022-01-11-00:00,2022-01-12-00:00,"[0.11866759195003469, 0.11589174184594032, 0.10340041637751561, 0.0916030534351145, 0.09854267869535045, 0.08605135322692574, 0.10895211658570438, 0.1054823039555864, 0.09437890353920889, 0.07702984038861901]",second,TA
ACHUSDT,2022-01-12-00:00,2022-01-13-00:00,"[0.30625, 0.17847222222222223, 0.125, 0.09166666666666666, 0.08611111111111111, 0.05486111111111111, 0.059722222222222225, 0.05138888888888889, 0.04652777777777778]",first,TA
ACHUSDT,2022-01-12-00:00,2022-01-13-00:00,"[0.11388888888888889, 0.12430555555555556, 0.10694444444444444, 0.10277777777777777, 0.09930555555555555, 0.09097222222222222, 0.09791666666666667, 0.09444444444444444, 0.08402777777777778, 0.08541666666666667]",second,TA
ACHUSDT,2022-01-13-00:00,2022-01-14-00:00,"[0.30437804030576787, 0.18276580958999306, 0.13064628214037527, 0.09728978457261987, 0.06254343293954134, 0.05489923558026407, 0.06254343293954134, 0.0472550382209868, 0.057678943710910355]",first,TA
ACHUSDT,2022-01-13-00:00,2022-01-14-00:00,"[0.12091730368311328, 0.11674774148714386, 0.113273106323836, 0.12300208478109799, 0.09103544127866574, 0.0917303683113273, 0.09103544127866574, 0.08130646282140375, 0.08617095205003475, 0.0847810979847116]",second,TA
ACHUSDT,2022-01-14-00:00,2022-01-15-00:00,"[0.2929936305732484, 0.1726822363765039, 0.11464968152866242, 0.09412597310686482, 0.08280254777070063, 0.07714083510261854, 0.06440198159943383, 0.04883227176220807, 0.052370842179759375]",first,TA
ACHUSDT,2022-01-14-00:00,2022-01-15-00:00,"[0.12101910828025478, 0.10969568294409059, 0.10120311394196745, 0.11040339702760085, 0.09907997169143666, 0.10332625619249823, 0.08987968860580325, 0.09554140127388536, 0.08634111818825195, 0.0835102618542109]",second,TA
ACHUSDT,2022-01-15-00:00,2022-01-16-00:00,"[0.29621698786581013, 0.19914346895074947, 0.12419700214132762, 0.09850107066381156, 0.08636688079942897, 0.05638829407566024, 0.049964311206281226, 0.04925053533190578, 0.03997144896502498]",first,TA
ACHUSDT,2022-01-15-00:00,2022-01-16-00:00,"[0.12134189864382584, 0.11206281227694503, 0.11634546752319772, 0.099214846538187, 0.09350463954318344, 0.08779443254817987, 0.08137044967880086, 0.08779443254817987, 0.09992862241256245, 0.1006423982869379]",second,TA
ACHUSDT,2022-01-16-00:00,2022-01-17-00:00,"[0.3169642857142857, 0.18675595238095238, 0.12574404761904762, 0.0900297619047619, 0.0625, 0.06696428571428571, 0.052083333333333336, 0.044642857142857144, 0.05431547619047619]",first,TA
ACHUSDT,2022-01-16-00:00,2022-01-17-00:00,"[0.13020833333333334, 0.12351190476190477, 0.11979166666666667, 0.10044642857142858, 0.10788690476190477, 0.07514880952380952, 0.09077380952380952, 0.08482142857142858, 0.07291666666666667, 0.09449404761904762]",second,TA
ACHUSDT,2022-01-17-00:00,2022-01-18-00:00,"[0.31275060144346434, 0.18043303929430635, 0.10986367281475541, 0.09141940657578188, 0.09623095429029671, 0.05854049719326383, 0.05132317562149158, 0.052125100240577385, 0.04731355252606255]",first,TA
ACHUSDT,2022-01-17-00:00,2022-01-18-00:00,"[0.13071371291098638, 0.12991178829190056, 0.10505212510024058, 0.09382518043303929, 0.10184442662389735, 0.08420208500400962, 0.08580593424218123, 0.09141940657578188, 0.0809943865276664, 0.09623095429029671]",second,TA
ACHUSDT,2022-01-18-00:00,2022-01-19-00:00,"[0.29454841334418225, 0.19934906427990237, 0.13181448331977216, 0.08624898291293735, 0.0838079739625712, 0.05451586655817738, 0.061838893409275834, 0.03580146460537022, 0.05207485760781123]",first,TA
ACHUSDT,2022-01-18-00:00,2022-01-19-00:00,"[0.11798209926769732, 0.11960943856794141, 0.10496338486574451, 0.10089503661513426, 0.10740439381611067, 0.09438567941415785, 0.10659072416598861, 0.07241659886086249, 0.0870626525630594, 0.0886899918633035]",second,TA
ACHUSDT,2022-01-19-00:00,2022-01-20-00:00,"[0.33146067415730335, 0.1942215088282504, 0.12439807383627609, 0.08828250401284109, 0.06902086677367576, 0.052969502407704656, 0.0521669341894061, 0.04735152487961477, 0.04012841091492777]",first,TA
ACHUSDT,2022-01-19-00:00,2022-01-20-00:00,"[0.12359550561797752, 0.10995184590690209, 0.10914927768860354, 0.09630818619582665, 0.10192616372391654, 0.10754414125200643, 0.09229534510433386, 0.08667736757624397, 0.08426966292134831, 0.08828250401284109]",second,TA
ACHUSDT,2022-01-20-00:00,2022-01-21-00:00,"[0.3287671232876712, 0.1634703196347032, 0.10136986301369863, 0.0958904109589041, 0.09223744292237443, 0.06757990867579909, 0.05662100456621005, 0.048401826484018265, 0.045662100456621]",first,TA
ACHUSDT,2022-01-20-00:00,2022-01-21-00:00,"[0.12876712328767123, 0.12602739726027398, 0.08949771689497717, 0.0958904109589041, 0.10593607305936073, 0.10593607305936073, 0.07488584474885844, 0.09315068493150686, 0.08584474885844749, 0.09406392694063927]",second,TA
ACHUSDT,2022-01-21-00:00,2022-01-22-00:00,"[0.2942073170731707, 0.18978658536585366, 0.11509146341463415, 0.09222560975609756, 0.0975609756097561, 0.06173780487804878, 0.0625, 0.04573170731707317, 0.041158536585365856]",first,TA
ACHUSDT,2022-01-21-00:00,2022-01-22-00:00,"[0.12728658536585366, 0.10060975609756098, 0.10365853658536585, 0.09298780487804878, 0.10746951219512195, 0.09527439024390244, 0.09146341463414634, 0.08689024390243902, 0.08841463414634146, 0.10594512195121951]",second,TA
ACHUSDT,2022-01-22-00:00,2022-01-23-00:00,"[0.3389335281227173, 0.15412710007304603, 0.10883856829802775, 0.07669831994156319, 0.09715120525931337, 0.07012417823228634, 0.05697589481373265, 0.056245434623813005, 0.04090577063550037]",first,TA
ACHUSDT,2022-01-22-00:00,2022-01-23-00:00,"[0.14024835646457268, 0.1154127100073046, 0.11322132943754565, 0.09642074506939372, 0.09276844411979547, 0.09349890430971512, 0.09422936449963477, 0.07815924032140248, 0.08984660336011688, 0.08619430241051863]",second,TA
ACHUSDT,2022-01-23-00:00,2022-01-24-00:00,"[0.29062768701633707, 0.19174548581255374, 0.14789337919174547, 0.11092003439380911, 0.06534823731728288, 0.07136715391229578, 0.046431642304385214, 0.0412725709372313, 0.034393809114359415]",first,TA
ACHUSDT,2022-01-23-00:00,2022-01-24-00:00,"[0.1289767841788478, 0.11092003439380911, 0.10232158211521926, 0.11006018916595013, 0.09544282029234738, 0.09716251074806535, 0.09028374892519346, 0.08770421324161651, 0.08684436801375753, 0.09028374892519346]",second,TA
ACHUSDT,2022-01-24-00:00,2022-01-25-00:00,"[0.30657557643040134, 0.18360375747224594, 0.12724167378309137, 0.09222886421861656, 0.07771135781383433, 0.05550811272416738, 0.05636208368915457, 0.053800170794193, 0.04696840307429547]",first,TA
ACHUSDT,2022-01-24-00:00,2022-01-25-00:00,"[0.125533731853117, 0.11955593509820667, 0.10503842869342442, 0.10418445772843724, 0.10589239965841162, 0.0888129803586678, 0.08283518360375747, 0.09393680614859094, 0.07771135781383433, 0.09649871904355252]",second,TA
ACHUSDT,2022-01-25-00:00,2022-01-26-00:00,"[0.2709401709401709, 0.15982905982905982, 0.09572649572649573, 0.1658119658119658, 0.09230769230769231, 0.06752136752136752, 0.06153846153846154, 0.04700854700854701, 0.039316239316239315]",first,TA
ACHUSDT,2022-01-25-00:00,2022-01-26-00:00,"[0.1076923076923077, 0.11196581196581197, 0.11452991452991453, 0.13846153846153847, 0.10854700854700855, 0.09914529914529914, 0.08632478632478632, 0.07606837606837606, 0.07435897435897436, 0.0829059829059829]",second,TA
ACHUSDT,2022-01-26-00:00,2022-01-27-00:00,"[0.30123674911660775, 0.21996466431095407, 0.12897526501766785, 0.0892226148409894, 0.07332155477031801, 0.04946996466431095, 0.046819787985865724, 0.04063604240282685, 0.05035335689045936]",first,TA
ACHUSDT,2022-01-26-00:00,2022-01-27-00:00,"[0.11130742049469965, 0.12102473498233215, 0.09363957597173145, 0.10600706713780919, 0.10600706713780919, 0.10424028268551237, 0.09452296819787986, 0.08568904593639576, 0.07508833922261485, 0.10247349823321555]",second,TA
ACHUSDT,2022-01-27-00:00,2022-01-28-00:00,"[0.30358705161854765, 0.1837270341207349, 0.12773403324584426, 0.10148731408573929, 0.0831146106736658, 0.0621172353455818, 0.05336832895888014, 0.03937007874015748, 0.045494313210848646]",first,TA
ACHUSDT,2022-01-27-00:00,2022-01-28-00:00,"[0.13648293963254593, 0.10323709536307961, 0.10061242344706911, 0.10586176727909011, 0.11023622047244094, 0.09536307961504811, 0.09623797025371829, 0.08923884514435695, 0.07174103237095363, 0.09098862642169729]",second,TA
ACHUSDT,2022-01-28-00:00,2022-01-29-00:00,"[0.35173824130879344, 0.19427402862985685, 0.12167689161554192, 0.09202453987730061, 0.065439672801636, 0.05521472392638037, 0.03578732106339468, 0.034764826175869123, 0.049079754601226995]",first,TA
ACHUSDT,2022-01-28-00:00,2022-01-29-00:00,"[0.12372188139059305, 0.1278118609406953, 0.1165644171779141, 0.1114519427402863, 0.0950920245398773, 0.07259713701431493, 0.0705521472392638, 0.081799591002045, 0.10122699386503067, 0.09918200408997956]",second,TA
ACHUSDT,2022-01-29-00:00,2022-01-30-00:00,"[0.31822863027806386, 0.19052523171987643, 0.13182286302780638, 0.09989701338825953, 0.07929969104016478, 0.05149330587023687, 0.03398558187435633, 0.04943357363542739, 0.04531410916580844]",first,TA
