symbol,start_date,end_date,actual_frequencies,digit_type,target
APEUSDT,2022-03-17-00:00,2022-03-18-00:00,"[0.3225806451612903, 0.16129032258064516, 0.06451612903225806, 0.16129032258064516, 0.16129032258064516, 0.0, 0.0967741935483871, 0.03225806451612903, 0.0]",first,TA
APEUSDT,2022-03-17-00:00,2022-03-18-00:00,"[0.0967741935483871, 0.1935483870967742, 0.03225806451612903, 0.16129032258064516, 0.12903225806451613, 0.12903225806451613, 0.06451612903225806, 0.0967741935483871, 0.06451612903225806, 0.03225806451612903]",second,TA
APEUSDT,2022-03-18-00:00,2022-03-19-00:00,"[0.32685634975711314, 0.183206106870229, 0.10756419153365718, 0.08952116585704371, 0.0791117279666898, 0.06315058986814712, 0.05829285218598196, 0.04371963913948647, 0.048577376821651634]",first,TA
APEUSDT,2022-03-18-00:00,2022-03-19-00:00,"[0.10825815405968078, 0.11172796668979876, 0.11589174184594032, 0.11658570437196392, 0.10270645385149202, 0.09646079111727966, 0.0916030534351145, 0.08258154059680778, 0.08327550312283137, 0.09090909090909091]",second,TA
APEUSDT,2022-03-19-00:00,2022-03-20-00:00,"[0.2921582234559334, 0.17210270645385148, 0.14989590562109645, 0.09784871616932686, 0.09784871616932686, 0.07009021512838307, 0.04302567661346287, 0.0395558639833449, 0.03747397640527411]",first,TA
APEUSDT,2022-03-19-00:00,2022-03-20-00:00,"[0.12630117973629423, 0.12491325468424705, 0.10062456627342123, 0.10131852879944483, 0.09854267869535045, 0.08049965301873699, 0.09437890353920889, 0.08674531575294935, 0.09021512838306732, 0.09646079111727966]",second,TA
APEUSDT,2022-03-20-00:00,2022-03-21-00:00,"[0.30326162387231087, 0.21512838306731435, 0.12838306731436502, 0.09923664122137404, 0.06939625260235947, 0.056210964607911175, 0.0395558639833449, 0.04996530187369882, 0.0388619014573213]",first,TA
APEUSDT,2022-03-20-00:00,2022-03-21-00:00,"[0.11519777931991672, 0.09854267869535045, 0.1193615544760583, 0.11034004163775156, 0.1179736294240111, 0.11103400416377515, 0.10201249132546843, 0.0798056904927134, 0.06731436502428868, 0.0784177654406662]",second,TA
APEUSDT,2022-03-21-00:00,2022-03-22-00:00,"[0.3199167244968772, 0.20402498265093685, 0.13462873004857737, 0.09021512838306732, 0.06384455239417071, 0.05968077723802915, 0.0527411519777932, 0.04510756419153366, 0.029840388619014575]",first,TA
APEUSDT,2022-03-21-00:00,2022-03-22-00:00,"[0.11658570437196392, 0.11311589174184594, 0.11519777931991672, 0.09715475364330327, 0.10964607911172797, 0.09299097848716169, 0.0936849410131853, 0.07702984038861901, 0.0922970159611381, 0.0922970159611381]",second,TA
APEUSDT,2022-03-22-00:00,2022-03-23-00:00,"[0.33657182512144346, 0.16516308119361556, 0.10895211658570438, 0.08882720333102012, 0.08535739070090215, 0.06384455239417071, 0.0520471894517696, 0.05759888965995836, 0.041637751561415685]",first,TA
APEUSDT,2022-03-22-00:00,2022-03-23-00:00,"[0.12005551700208189, 0.10340041637751561, 0.11242192921582235, 0.10687022900763359, 0.08188757807078417, 0.09784871616932686, 0.10617626648161, 0.09507286606523248, 0.08188757807078417, 0.09437890353920889]",second,TA
APEUSDT,2022-03-23-00:00,2022-03-24-00:00,"[0.3296321998612075, 0.1852879944482998, 0.1179736294240111, 0.08258154059680778, 0.06870229007633588, 0.07286606523247745, 0.05065926439972242, 0.049271339347675226, 0.04302567661346287]",first,TA
