symbol,start_date,end_date,actual_frequencies,digit_type,target
AXSUSDT,2022-01-01-00:00,2022-01-02-00:00,"[0.34906315058986814, 0.1991672449687717, 0.10756419153365718, 0.06939625260235947, 0.05829285218598196, 0.05690492713393477, 0.05968077723802915, 0.048577376821651634, 0.05135322692574601]",first,TA
AXSUSDT,2022-01-01-00:00,2022-01-02-00:00,"[0.12421929215822346, 0.12144344205412907, 0.10687022900763359, 0.10478834142956281, 0.09646079111727966, 0.08605135322692574, 0.0916030534351145, 0.08605135322692574, 0.09437890353920889, 0.08813324080499653]",second,TA
AXSUSDT,2022-01-02-00:00,2022-01-03-00:00,"[0.4031922276197085, 0.16099930603747398, 0.08813324080499653, 0.07494795281054822, 0.0659264399722415, 0.048577376821651634, 0.055517002081887576, 0.05412907702984039, 0.048577376821651634]",first,TA
AXSUSDT,2022-01-02-00:00,2022-01-03-00:00,"[0.131852879944483, 0.12144344205412907, 0.11172796668979876, 0.10964607911172797, 0.1040943789035392, 0.09646079111727966, 0.10062456627342123, 0.08605135322692574, 0.07356002775850104, 0.06453851492019431]",second,TA
AXSUSDT,2022-01-03-00:00,2022-01-04-00:00,"[0.39139486467730744, 0.20402498265093685, 0.09437890353920889, 0.06662040249826509, 0.0520471894517696, 0.04233171408743928, 0.056210964607911175, 0.05343511450381679, 0.0395558639833449]",first,TA
AXSUSDT,2022-01-03-00:00,2022-01-04-00:00,"[0.11380985426786953, 0.10340041637751561, 0.10201249132546843, 0.11866759195003469, 0.1179736294240111, 0.10825815405968078, 0.09437890353920889, 0.0791117279666898, 0.08466342817487855, 0.0777238029146426]",second,TA
AXSUSDT,2022-01-04-00:00,2022-01-05-00:00,"[0.3393476752255378, 0.1693268563497571, 0.10201249132546843, 0.08049965301873699, 0.06662040249826509, 0.07217210270645386, 0.07078417765440666, 0.05135322692574601, 0.047883414295628035]",first,TA
AXSUSDT,2022-01-04-00:00,2022-01-05-00:00,"[0.12074947952810548, 0.13532269257460097, 0.10756419153365718, 0.09437890353920889, 0.09090909090909091, 0.10270645385149202, 0.08952116585704371, 0.09993060374739764, 0.08882720333102012, 0.07009021512838307]",second,TA
AXSUSDT,2022-01-05-00:00,2022-01-06-00:00,"[0.32616238723108953, 0.1554476058292852, 0.10895211658570438, 0.09715475364330327, 0.08049965301873699, 0.06453851492019431, 0.0520471894517696, 0.0520471894517696, 0.06315058986814712]",first,TA
AXSUSDT,2022-01-05-00:00,2022-01-06-00:00,"[0.11380985426786953, 0.11866759195003469, 0.11103400416377515, 0.09784871616932686, 0.10964607911172797, 0.09507286606523248, 0.10131852879944483, 0.08119361554476058, 0.08535739070090215, 0.08605135322692574]",second,TA
AXSUSDT,2022-01-06-00:00,2022-01-07-00:00,"[0.263705759888966, 0.15128383067314366, 0.13601665510062458, 0.11242192921582235, 0.09784871616932686, 0.06939625260235947, 0.061068702290076333, 0.054823039555863984, 0.05343511450381679]",first,TA
AXSUSDT,2022-01-06-00:00,2022-01-07-00:00,"[0.12213740458015267, 0.12768910478834142, 0.09021512838306732, 0.10340041637751561, 0.10270645385149202, 0.08535739070090215, 0.08882720333102012, 0.09993060374739764, 0.07564191533657183, 0.1040943789035392]",second,TA
AXSUSDT,2022-01-07-00:00,2022-01-08-00:00,"[0.26995142262317834, 0.18945176960444135, 0.15267175572519084, 0.11380985426786953, 0.08327550312283137, 0.06384455239417071, 0.0520471894517696, 0.040249826509368494, 0.03469812630117974]",first,TA
AXSUSDT,2022-01-07-00:00,2022-01-08-00:00,"[0.11658570437196392, 0.11866759195003469, 0.11658570437196392, 0.10895211658570438, 0.10062456627342123, 0.0936849410131853, 0.08327550312283137, 0.08674531575294935, 0.0922970159611381, 0.08258154059680778]",second,TA
AXSUSDT,2022-01-08-00:00,2022-01-09-00:00,"[0.3331020124913255, 0.16446911866759195, 0.12005551700208189, 0.08327550312283137, 0.08327550312283137, 0.06315058986814712, 0.05690492713393477, 0.0527411519777932, 0.04302567661346287]",first,TA
AXSUSDT,2022-01-08-00:00,2022-01-09-00:00,"[0.11589174184594032, 0.10756419153365718, 0.12352532963219987, 0.09784871616932686, 0.10895211658570438, 0.08882720333102012, 0.09715475364330327, 0.09576682859125607, 0.08188757807078417, 0.08258154059680778]",second,TA
AXSUSDT,2022-01-09-00:00,2022-01-10-00:00,"[0.3178348369188064, 0.17002081887578072, 0.12074947952810548, 0.0936849410131853, 0.08327550312283137, 0.047883414295628035, 0.05759888965995836, 0.055517002081887576, 0.05343511450381679]",first,TA
AXSUSDT,2022-01-09-00:00,2022-01-10-00:00,"[0.11866759195003469, 0.12005551700208189, 0.11172796668979876, 0.10964607911172797, 0.0922970159611381, 0.09576682859125607, 0.10270645385149202, 0.08049965301873699, 0.08882720333102012, 0.0798056904927134]",second,TA
AXSUSDT,2022-01-10-00:00,2022-01-11-00:00,"[0.3282442748091603, 0.16238723108952116, 0.11450381679389313, 0.09923664122137404, 0.07564191533657183, 0.0652324774462179, 0.05690492713393477, 0.054823039555863984, 0.04302567661346287]",first,TA
AXSUSDT,2022-01-10-00:00,2022-01-11-00:00,"[0.10825815405968078, 0.11450381679389313, 0.10131852879944483, 0.10478834142956281, 0.11034004163775156, 0.09299097848716169, 0.10062456627342123, 0.09090909090909091, 0.08466342817487855, 0.0916030534351145]",second,TA
AXSUSDT,2022-01-11-00:00,2022-01-12-00:00,"[0.36155447605829283, 0.1852879944482998, 0.10895211658570438, 0.0784177654406662, 0.0652324774462179, 0.054823039555863984, 0.0527411519777932, 0.04580152671755725, 0.04718945176960444]",first,TA
AXSUSDT,2022-01-11-00:00,2022-01-12-00:00,"[0.12421929215822346, 0.1193615544760583, 0.11242192921582235, 0.09715475364330327, 0.09507286606523248, 0.09784871616932686, 0.09923664122137404, 0.08952116585704371, 0.08743927827897294, 0.0777238029146426]",second,TA
AXSUSDT,2022-01-12-00:00,2022-01-13-00:00,"[0.33518390006939625, 0.18598195697432338, 0.11658570437196392, 0.08743927827897294, 0.07217210270645386, 0.05065926439972242, 0.0659264399722415, 0.040943789035392086, 0.04510756419153366]",first,TA
AXSUSDT,2022-01-12-00:00,2022-01-13-00:00,"[0.131852879944483, 0.1179736294240111, 0.10964607911172797, 0.10756419153365718, 0.09507286606523248, 0.09646079111727966, 0.0922970159611381, 0.08743927827897294, 0.08049965301873699, 0.08119361554476058]",second,TA
AXSUSDT,2022-01-13-00:00,2022-01-14-00:00,"[0.36294240111034004, 0.19222761970853575, 0.12213740458015267, 0.06939625260235947, 0.05343511450381679, 0.056210964607911175, 0.05135322692574601, 0.049271339347675226, 0.04302567661346287]",first,TA
AXSUSDT,2022-01-13-00:00,2022-01-14-00:00,"[0.12630117973629423, 0.11103400416377515, 0.10895211658570438, 0.10270645385149202, 0.08952116585704371, 0.09437890353920889, 0.08882720333102012, 0.0936849410131853, 0.0916030534351145, 0.09299097848716169]",second,TA
AXSUSDT,2022-01-14-00:00,2022-01-15-00:00,"[0.32338653712699517, 0.17973629424011103, 0.10756419153365718, 0.08049965301873699, 0.08674531575294935, 0.062456627342123525, 0.05759888965995836, 0.05343511450381679, 0.048577376821651634]",first,TA
AXSUSDT,2022-01-14-00:00,2022-01-15-00:00,"[0.1179736294240111, 0.12213740458015267, 0.11658570437196392, 0.10964607911172797, 0.08813324080499653, 0.09715475364330327, 0.10062456627342123, 0.0922970159611381, 0.08466342817487855, 0.07078417765440666]",second,TA
AXSUSDT,2022-01-15-00:00,2022-01-16-00:00,"[0.2963219986120749, 0.16655100624566274, 0.11589174184594032, 0.0922970159611381, 0.09299097848716169, 0.07494795281054822, 0.05968077723802915, 0.049271339347675226, 0.0520471894517696]",first,TA
AXSUSDT,2022-01-15-00:00,2022-01-16-00:00,"[0.131852879944483, 0.10825815405968078, 0.11380985426786953, 0.1311589174184594, 0.08535739070090215, 0.09437890353920889, 0.09021512838306732, 0.08049965301873699, 0.08396946564885496, 0.08049965301873699]",second,TA
AXSUSDT,2022-01-16-00:00,2022-01-17-00:00,"[0.29562803608605137, 0.1852879944482998, 0.1325468424705066, 0.09507286606523248, 0.07425399028452463, 0.06453851492019431, 0.05759888965995836, 0.05343511450381679, 0.041637751561415685]",first,TA
AXSUSDT,2022-01-16-00:00,2022-01-17-00:00,"[0.12838306731436502, 0.12074947952810548, 0.10825815405968078, 0.09784871616932686, 0.10131852879944483, 0.09021512838306732, 0.0777238029146426, 0.0916030534351145, 0.0916030534351145, 0.0922970159611381]",second,TA
AXSUSDT,2022-01-17-00:00,2022-01-18-00:00,"[0.30950728660652327, 0.19083969465648856, 0.13879250520471895, 0.10756419153365718, 0.08466342817487855, 0.046495489243580844, 0.041637751561415685, 0.0395558639833449, 0.040943789035392086]",first,TA
AXSUSDT,2022-01-17-00:00,2022-01-18-00:00,"[0.10964607911172797, 0.10617626648161, 0.10756419153365718, 0.10825815405968078, 0.09993060374739764, 0.0936849410131853, 0.10756419153365718, 0.09021512838306732, 0.08813324080499653, 0.08882720333102012]",second,TA
AXSUSDT,2022-01-18-00:00,2022-01-19-00:00,"[0.32685634975711314, 0.20610687022900764, 0.1193615544760583, 0.09299097848716169, 0.07217210270645386, 0.05898681471200555, 0.04371963913948647, 0.04441360166551006, 0.03539208882720333]",first,TA
AXSUSDT,2022-01-18-00:00,2022-01-19-00:00,"[0.10756419153365718, 0.12213740458015267, 0.1054823039555864, 0.10825815405968078, 0.09507286606523248, 0.09993060374739764, 0.09854267869535045, 0.08743927827897294, 0.08188757807078417, 0.0936849410131853]",second,TA
AXSUSDT,2022-01-19-00:00,2022-01-20-00:00,"[0.3275503122831367, 0.18875780707841777, 0.10895211658570438, 0.0791117279666898, 0.08188757807078417, 0.07217210270645386, 0.048577376821651634, 0.05065926439972242, 0.04233171408743928]",first,TA
AXSUSDT,2022-01-19-00:00,2022-01-20-00:00,"[0.11242192921582235, 0.11242192921582235, 0.1040943789035392, 0.11450381679389313, 0.08258154059680778, 0.10201249132546843, 0.10825815405968078, 0.08605135322692574, 0.0936849410131853, 0.08396946564885496]",second,TA
AXSUSDT,2022-01-20-00:00,2022-01-21-00:00,"[0.3192227619708536, 0.1714087439278279, 0.10964607911172797, 0.0922970159611381, 0.08466342817487855, 0.06384455239417071, 0.04580152671755725, 0.055517002081887576, 0.05759888965995836]",first,TA
AXSUSDT,2022-01-20-00:00,2022-01-21-00:00,"[0.14156835530881332, 0.10131852879944483, 0.11311589174184594, 0.10201249132546843, 0.10825815405968078, 0.09090909090909091, 0.08327550312283137, 0.09090909090909091, 0.0784177654406662, 0.09021512838306732]",second,TA
AXSUSDT,2022-01-21-00:00,2022-01-22-00:00,"[0.31714087439278277, 0.1873698820263706, 0.12768910478834142, 0.09784871616932686, 0.06731436502428868, 0.05829285218598196, 0.04580152671755725, 0.054823039555863984, 0.04371963913948647]",first,TA
AXSUSDT,2022-01-21-00:00,2022-01-22-00:00,"[0.12491325468424705, 0.11034004163775156, 0.10340041637751561, 0.09576682859125607, 0.09021512838306732, 0.10201249132546843, 0.09090909090909091, 0.09993060374739764, 0.09784871616932686, 0.08466342817487855]",second,TA
AXSUSDT,2022-01-22-00:00,2022-01-23-00:00,"[0.260235947258848, 0.18043025676613464, 0.15058986814712005, 0.11103400416377515, 0.08396946564885496, 0.0652324774462179, 0.05968077723802915, 0.049271339347675226, 0.0395558639833449]",first,TA
AXSUSDT,2022-01-22-00:00,2022-01-23-00:00,"[0.11658570437196392, 0.11103400416377515, 0.10201249132546843, 0.10478834142956281, 0.10062456627342123, 0.09507286606523248, 0.10062456627342123, 0.08743927827897294, 0.08952116585704371, 0.0922970159611381]",second,TA
AXSUSDT,2022-01-23-00:00,2022-01-24-00:00,"[0.34906315058986814, 0.1845940319222762, 0.10964607911172797, 0.07494795281054822, 0.07494795281054822, 0.06037473976405274, 0.05690492713393477, 0.04441360166551006, 0.04510756419153366]",first,TA
AXSUSDT,2022-01-23-00:00,2022-01-24-00:00,"[0.12421929215822346, 0.12283136710617627, 0.09923664122137404, 0.11658570437196392, 0.08882720333102012, 0.09715475364330327, 0.09646079111727966, 0.08882720333102012, 0.09090909090909091, 0.07494795281054822]",second,TA
AXSUSDT,2022-01-24-00:00,2022-01-25-00:00,"[0.3046495489243581, 0.16655100624566274, 0.12491325468424705, 0.08605135322692574, 0.07564191533657183, 0.06315058986814712, 0.055517002081887576, 0.06037473976405274, 0.06315058986814712]",first,TA
AXSUSDT,2022-01-24-00:00,2022-01-25-00:00,"[0.12699514226231784, 0.10617626648161, 0.1054823039555864, 0.10617626648161, 0.11658570437196392, 0.09715475364330327, 0.0784177654406662, 0.08466342817487855, 0.08535739070090215, 0.09299097848716169]",second,TA
AXSUSDT,2022-01-25-00:00,2022-01-26-00:00,"[0.3102012491325468, 0.20471894517696043, 0.12491325468424705, 0.10687022900763359, 0.06800832755031229, 0.05412907702984039, 0.04580152671755725, 0.048577376821651634, 0.03678001387925052]",first,TA
AXSUSDT,2022-01-25-00:00,2022-01-26-00:00,"[0.13879250520471895, 0.11311589174184594, 0.10895211658570438, 0.10131852879944483, 0.10340041637751561, 0.09854267869535045, 0.08327550312283137, 0.08952116585704371, 0.08188757807078417, 0.08119361554476058]",second,TA
AXSUSDT,2022-01-26-00:00,2022-01-27-00:00,"[0.3296321998612075, 0.17765440666204024, 0.10756419153365718, 0.07217210270645386, 0.08119361554476058, 0.07286606523247745, 0.06037473976405274, 0.054823039555863984, 0.04371963913948647]",first,TA
AXSUSDT,2022-01-26-00:00,2022-01-27-00:00,"[0.12213740458015267, 0.11311589174184594, 0.12213740458015267, 0.09993060374739764, 0.10131852879944483, 0.0936849410131853, 0.09646079111727966, 0.08049965301873699, 0.0916030534351145, 0.0791117279666898]",second,TA
AXSUSDT,2022-01-27-00:00,2022-01-28-00:00,"[0.31228313671061764, 0.18945176960444135, 0.1304649548924358, 0.08882720333102012, 0.062456627342123525, 0.06176266481609993, 0.049271339347675226, 0.05759888965995836, 0.047883414295628035]",first,TA
AXSUSDT,2022-01-27-00:00,2022-01-28-00:00,"[0.1297709923664122, 0.09715475364330327, 0.10270645385149202, 0.10062456627342123, 0.10131852879944483, 0.09854267869535045, 0.10756419153365718, 0.08813324080499653, 0.08674531575294935, 0.08743927827897294]",second,TA
AXSUSDT,2022-01-28-00:00,2022-01-29-00:00,"[0.31297709923664124, 0.21721027064538515, 0.14087439278278974, 0.09090909090909091, 0.06800832755031229, 0.054823039555863984, 0.040943789035392086, 0.0388619014573213, 0.03539208882720333]",first,TA
AXSUSDT,2022-01-28-00:00,2022-01-29-00:00,"[0.09715475364330327, 0.10964607911172797, 0.10270645385149202, 0.12768910478834142, 0.10617626648161, 0.10340041637751561, 0.0784177654406662, 0.09646079111727966, 0.08605135322692574, 0.0922970159611381]",second,TA
AXSUSDT,2022-01-29-00:00,2022-01-30-00:00,"[0.28383067314365024, 0.21651630811936157, 0.1443442054129077, 0.0916030534351145, 0.06662040249826509, 0.055517002081887576, 0.05135322692574601, 0.0520471894517696, 0.03816793893129771]",first,TA
AXSUSDT,2022-01-29-00:00,2022-01-30-00:00,"[0.11519777931991672, 0.12213740458015267, 0.09299097848716169, 0.1054823039555864, 0.1179736294240111, 0.10270645385149202, 0.10340041637751561, 0.08188757807078417, 0.08466342817487855, 0.07356002775850104]",second,TA
AXSUSDT,2022-01-30-00:00,2022-01-31-00:00,"[0.23941707147814018, 0.2109646079111728, 0.16238723108952116, 0.11658570437196392, 0.07494795281054822, 0.062456627342123525, 0.046495489243580844, 0.05343511450381679, 0.033310201249132546]",first,TA
AXSUSDT,2022-01-30-00:00,2022-01-31-00:00,"[0.1040943789035392, 0.10478834142956281, 0.11311589174184594, 0.10478834142956281, 0.09299097848716169, 0.08882720333102012, 0.10617626648161, 0.10062456627342123, 0.08743927827897294, 0.09715475364330327]",second,TA
AXSUSDT,2022-01-31-00:00,2022-02-01-00:00,"[0.2782789729354615, 0.19500346981263011, 0.14781401804302569, 0.10617626648161, 0.07702984038861901, 0.07078417765440666, 0.054823039555863984, 0.03747397640527411, 0.03261623872310895]",first,TA
AXSUSDT,2022-01-31-00:00,2022-02-01-00:00,"[0.10617626648161, 0.12144344205412907, 0.10895211658570438, 0.11311589174184594, 0.10825815405968078, 0.11519777931991672, 0.09299097848716169, 0.0777238029146426, 0.07147814018043026, 0.08466342817487855]",second,TA
AXSUSDT,2022-02-01-00:00,2022-02-02-00:00,"[0.33518390006939625, 0.16655100624566274, 0.11727966689798751, 0.08396946564885496, 0.07702984038861901, 0.05829285218598196, 0.04996530187369882, 0.06037473976405274, 0.05135322692574601]",first,TA
AXSUSDT,2022-02-01-00:00,2022-02-02-00:00,"[0.11034004163775156, 0.10964607911172797, 0.11589174184594032, 0.09993060374739764, 0.10478834142956281, 0.09923664122137404, 0.09923664122137404, 0.09021512838306732, 0.08743927827897294, 0.08327550312283137]",second,TA
AXSUSDT,2022-02-02-00:00,2022-02-03-00:00,"[0.3608605135322693, 0.16585704371963914, 0.10895211658570438, 0.07425399028452463, 0.06870229007633588, 0.05412907702984039, 0.05898681471200555, 0.05690492713393477, 0.05135322692574601]",first,TA
AXSUSDT,2022-02-02-00:00,2022-02-03-00:00,"[0.12491325468424705, 0.10617626648161, 0.1179736294240111, 0.10687022900763359, 0.09437890353920889, 0.09784871616932686, 0.09923664122137404, 0.09090909090909091, 0.08119361554476058, 0.08049965301873699]",second,TA
AXSUSDT,2022-02-03-00:00,2022-02-04-00:00,"[0.3886190145732131, 0.1873698820263706, 0.10825815405968078, 0.07078417765440666, 0.05968077723802915, 0.049271339347675226, 0.04718945176960444, 0.04233171408743928, 0.046495489243580844]",first,TA
AXSUSDT,2022-02-03-00:00,2022-02-04-00:00,"[0.12491325468424705, 0.1297709923664122, 0.10340041637751561, 0.09576682859125607, 0.0916030534351145, 0.09507286606523248, 0.09715475364330327, 0.0936849410131853, 0.08882720333102012, 0.0798056904927134]",second,TA
AXSUSDT,2022-02-04-00:00,2022-02-05-00:00,"[0.31158917418459403, 0.24913254684247052, 0.14018043025676613, 0.0916030534351145, 0.048577376821651634, 0.04718945176960444, 0.04441360166551006, 0.0388619014573213, 0.028452463566967384]",first,TA
AXSUSDT,2022-02-04-00:00,2022-02-05-00:00,"[0.11311589174184594, 0.12768910478834142, 0.11103400416377515, 0.10687022900763359, 0.10131852879944483, 0.09507286606523248, 0.11172796668979876, 0.07633587786259542, 0.08258154059680778, 0.07425399028452463]",second,TA
AXSUSDT,2022-02-05-00:00,2022-02-06-00:00,"[0.2768910478834143, 0.1991672449687717, 0.14850798056904926, 0.09993060374739764, 0.0784177654406662, 0.06037473976405274, 0.05065926439972242, 0.04580152671755725, 0.040249826509368494]",first,TA
AXSUSDT,2022-02-05-00:00,2022-02-06-00:00,"[0.12213740458015267, 0.11589174184594032, 0.11589174184594032, 0.09715475364330327, 0.09437890353920889, 0.09507286606523248, 0.09576682859125607, 0.09923664122137404, 0.08466342817487855, 0.0798056904927134]",second,TA
AXSUSDT,2022-02-06-00:00,2022-02-07-00:00,"[0.30742539902845245, 0.183206106870229, 0.14087439278278974, 0.08535739070090215, 0.07702984038861901, 0.05412907702984039, 0.05343511450381679, 0.049271339347675226, 0.049271339347675226]",first,TA
AXSUSDT,2022-02-06-00:00,2022-02-07-00:00,"[0.12491325468424705, 0.09715475364330327, 0.11103400416377515, 0.09090909090909091, 0.11519777931991672, 0.09021512838306732, 0.09299097848716169, 0.0916030534351145, 0.09646079111727966, 0.08952116585704371]",second,TA
AXSUSDT,2022-02-07-00:00,2022-02-08-00:00,"[0.2741151977793199, 0.16655100624566274, 0.13324080499653018, 0.09923664122137404, 0.09715475364330327, 0.0777238029146426, 0.054823039555863984, 0.0520471894517696, 0.04510756419153366]",first,TA
AXSUSDT,2022-02-07-00:00,2022-02-08-00:00,"[0.12699514226231784, 0.11311589174184594, 0.11380985426786953, 0.11589174184594032, 0.09993060374739764, 0.09854267869535045, 0.09299097848716169, 0.08327550312283137, 0.07356002775850104, 0.08188757807078417]",second,TA
AXSUSDT,2022-02-08-00:00,2022-02-09-00:00,"[0.263705759888966, 0.19014573213046496, 0.14850798056904926, 0.10201249132546843, 0.08882720333102012, 0.07356002775850104, 0.05412907702984039, 0.04233171408743928, 0.03678001387925052]",first,TA
AXSUSDT,2022-02-08-00:00,2022-02-09-00:00,"[0.10895211658570438, 0.11242192921582235, 0.11103400416377515, 0.10270645385149202, 0.09784871616932686, 0.09854267869535045, 0.10687022900763359, 0.08049965301873699, 0.08258154059680778, 0.09854267869535045]",second,TA
AXSUSDT,2022-02-09-00:00,2022-02-10-00:00,"[0.315058986814712, 0.20124913254684246, 0.11658570437196392, 0.10131852879944483, 0.07356002775850104, 0.054823039555863984, 0.05759888965995836, 0.03678001387925052, 0.04302567661346287]",first,TA
AXSUSDT,2022-02-09-00:00,2022-02-10-00:00,"[0.11658570437196392, 0.10825815405968078, 0.11727966689798751, 0.10478834142956281, 0.11242192921582235, 0.08535739070090215, 0.09090909090909091, 0.09021512838306732, 0.08466342817487855, 0.08952116585704371]",second,TA
AXSUSDT,2022-02-10-00:00,2022-02-11-00:00,"[0.34489937543372656, 0.18945176960444135, 0.12560721721027066, 0.08466342817487855, 0.07009021512838307, 0.05759888965995836, 0.05065926439972242, 0.0388619014573213, 0.03816793893129771]",first,TA
AXSUSDT,2022-02-10-00:00,2022-02-11-00:00,"[0.12421929215822346, 0.11450381679389313, 0.11519777931991672, 0.09576682859125607, 0.0922970159611381, 0.10270645385149202, 0.09923664122137404, 0.09090909090909091, 0.08952116585704371, 0.07564191533657183]",second,TA
AXSUSDT,2022-02-11-00:00,2022-02-12-00:00,"[0.32616238723108953, 0.17210270645385148, 0.11242192921582235, 0.09923664122137404, 0.07494795281054822, 0.06037473976405274, 0.05968077723802915, 0.047883414295628035, 0.04718945176960444]",first,TA
AXSUSDT,2022-02-11-00:00,2022-02-12-00:00,"[0.1325468424705066, 0.11103400416377515, 0.10756419153365718, 0.10340041637751561, 0.09437890353920889, 0.1040943789035392, 0.09299097848716169, 0.08743927827897294, 0.08605135322692574, 0.08049965301873699]",second,TA
AXSUSDT,2022-02-12-00:00,2022-02-13-00:00,"[0.3199167244968772, 0.20194309507286606, 0.12421929215822346, 0.09715475364330327, 0.05829285218598196, 0.05690492713393477, 0.049271339347675226, 0.05343511450381679, 0.0388619014573213]",first,TA
AXSUSDT,2022-02-12-00:00,2022-02-13-00:00,"[0.12421929215822346, 0.11311589174184594, 0.12421929215822346, 0.09854267869535045, 0.08813324080499653, 0.08952116585704371, 0.09715475364330327, 0.08327550312283137, 0.0922970159611381, 0.08952116585704371]",second,TA
