symbol,start_date,end_date,actual_frequencies,digit_type,target
BNTUSDT,2022-01-01-00:00,2022-01-02-00:00,"[0.3416149068322981, 0.17888198757763976, 0.13788819875776398, 0.08944099378881988, 0.06459627329192547, 0.0484472049689441, 0.04596273291925466, 0.043478260869565216, 0.049689440993788817]",first,TA
BNTUSDT,2022-01-01-00:00,2022-01-02-00:00,"[0.13788819875776398, 0.12049689440993788, 0.09192546583850932, 0.0906832298136646, 0.11055900621118013, 0.10434782608695652, 0.10807453416149068, 0.06832298136645963, 0.08571428571428572, 0.08198757763975155]",second,TA
BNTUSDT,2022-01-02-00:00,2022-01-03-00:00,"[0.34498834498834496, 0.16783216783216784, 0.11888111888111888, 0.09207459207459208, 0.08275058275058275, 0.06177156177156177, 0.054778554778554776, 0.04079254079254079, 0.03613053613053613]",first,TA
BNTUSDT,2022-01-02-00:00,2022-01-03-00:00,"[0.1561771561771562, 0.10023310023310024, 0.08974358974358974, 0.09673659673659674, 0.10606060606060606, 0.08508158508158509, 0.08857808857808858, 0.07226107226107226, 0.09906759906759907, 0.10606060606060606]",second,TA
BNTUSDT,2022-01-03-00:00,2022-01-04-00:00,"[0.35319148936170214, 0.18829787234042553, 0.125531914893617, 0.12340425531914893, 0.059574468085106386, 0.04148936170212766, 0.036170212765957444, 0.036170212765957444, 0.036170212765957444]",first,TA
BNTUSDT,2022-01-03-00:00,2022-01-04-00:00,"[0.15638297872340426, 0.10319148936170212, 0.1074468085106383, 0.08617021276595745, 0.11382978723404255, 0.1, 0.09361702127659574, 0.0797872340425532, 0.07234042553191489, 0.08723404255319149]",second,TA
BNTUSDT,2022-01-04-00:00,2022-01-05-00:00,"[0.32492725509214354, 0.19495635305528614, 0.12221144519883609, 0.09602327837051407, 0.07177497575169738, 0.052376333656644035, 0.05140640155189137, 0.041707080504364696, 0.0446168768186227]",first,TA
BNTUSDT,2022-01-04-00:00,2022-01-05-00:00,"[0.15033947623666344, 0.11833171677982542, 0.11348205625606207, 0.10281280310378274, 0.08826382153249272, 0.08438409311348205, 0.07371483996120272, 0.08826382153249272, 0.0892337536372454, 0.09117361784675072]",second,TA
BNTUSDT,2022-01-05-00:00,2022-01-06-00:00,"[0.32972522897585343, 0.17568692756036636, 0.12073272273105745, 0.09159034138218151, 0.0749375520399667, 0.059117402164862616, 0.054954204829308906, 0.04412989175686927, 0.049125728559533725]",first,TA
BNTUSDT,2022-01-05-00:00,2022-01-06-00:00,"[0.1398834304746045, 0.10741049125728559, 0.10407993338884262, 0.10824313072439634, 0.09575353871773522, 0.093255620316403, 0.08742714404662781, 0.07243963363863447, 0.09492089925062448, 0.09658617818484597]",second,TA
