symbol,start_date,end_date,actual_frequencies,digit_type,target
CHRUSDT,2022-01-01-00:00,2022-01-02-00:00,"[0.3018736988202637, 0.1873698820263706, 0.12074947952810548, 0.09090909090909091, 0.06800832755031229, 0.0916030534351145, 0.055517002081887576, 0.04371963913948647, 0.040249826509368494]",first,TA
CHRUSDT,2022-01-01-00:00,2022-01-02-00:00,"[0.1193615544760583, 0.1304649548924358, 0.11519777931991672, 0.10825815405968078, 0.09090909090909091, 0.08882720333102012, 0.08952116585704371, 0.09437890353920889, 0.08188757807078417, 0.08119361554476058]",second,TA
CHRUSDT,2022-01-02-00:00,2022-01-03-00:00,"[0.3011797362942401, 0.18945176960444135, 0.14781401804302569, 0.09507286606523248, 0.08119361554476058, 0.05829285218598196, 0.05759888965995836, 0.031922276197085354, 0.03747397640527411]",first,TA
CHRUSDT,2022-01-02-00:00,2022-01-03-00:00,"[0.1179736294240111, 0.10756419153365718, 0.09437890353920889, 0.10825815405968078, 0.10131852879944483, 0.1040943789035392, 0.09299097848716169, 0.08743927827897294, 0.09646079111727966, 0.08952116585704371]",second,TA
CHRUSDT,2022-01-03-00:00,2022-01-04-00:00,"[0.31875, 0.18819444444444444, 0.12152777777777778, 0.08194444444444444, 0.08194444444444444, 0.05277777777777778, 0.06736111111111111, 0.04375, 0.04375]",first,TA
CHRUSDT,2022-01-03-00:00,2022-01-04-00:00,"[0.10625, 0.11597222222222223, 0.11319444444444444, 0.10694444444444444, 0.10486111111111111, 0.0875, 0.10138888888888889, 0.09027777777777778, 0.08194444444444444, 0.09166666666666666]",second,TA
CHRUSDT,2022-01-04-00:00,2022-01-05-00:00,"[0.3039555863983345, 0.17557251908396945, 0.1311589174184594, 0.09507286606523248, 0.07217210270645386, 0.06939625260235947, 0.06315058986814712, 0.04996530187369882, 0.0395558639833449]",first,TA
CHRUSDT,2022-01-04-00:00,2022-01-05-00:00,"[0.1179736294240111, 0.10478834142956281, 0.10478834142956281, 0.09854267869535045, 0.09715475364330327, 0.11034004163775156, 0.09923664122137404, 0.0916030534351145, 0.08882720333102012, 0.08674531575294935]",second,TA
CHRUSDT,2022-01-05-00:00,2022-01-06-00:00,"[0.3053435114503817, 0.1991672449687717, 0.1450381679389313, 0.08396946564885496, 0.07494795281054822, 0.055517002081887576, 0.05343511450381679, 0.04510756419153366, 0.03747397640527411]",first,TA
CHRUSDT,2022-01-05-00:00,2022-01-06-00:00,"[0.11380985426786953, 0.10062456627342123, 0.1040943789035392, 0.11380985426786953, 0.10131852879944483, 0.1054823039555864, 0.10270645385149202, 0.08674531575294935, 0.08535739070090215, 0.08605135322692574]",second,TA
CHRUSDT,2022-01-06-00:00,2022-01-07-00:00,"[0.29909784871616935, 0.1970853573907009, 0.14018043025676613, 0.09923664122137404, 0.07147814018043026, 0.05759888965995836, 0.049271339347675226, 0.05065926439972242, 0.03539208882720333]",first,TA
CHRUSDT,2022-01-06-00:00,2022-01-07-00:00,"[0.11311589174184594, 0.12213740458015267, 0.08952116585704371, 0.09784871616932686, 0.10617626648161, 0.1040943789035392, 0.08952116585704371, 0.0922970159611381, 0.09993060374739764, 0.08535739070090215]",second,TA
CHRUSDT,2022-01-07-00:00,2022-01-08-00:00,"[0.3102012491325468, 0.16585704371963914, 0.13879250520471895, 0.08466342817487855, 0.08258154059680778, 0.07286606523247745, 0.04718945176960444, 0.054823039555863984, 0.04302567661346287]",first,TA
CHRUSDT,2022-01-07-00:00,2022-01-08-00:00,"[0.1311589174184594, 0.11519777931991672, 0.10340041637751561, 0.11450381679389313, 0.10201249132546843, 0.10687022900763359, 0.08119361554476058, 0.08674531575294935, 0.08049965301873699, 0.0784177654406662]",second,TA
CHRUSDT,2022-01-08-00:00,2022-01-09-00:00,"[0.28313671061762663, 0.17002081887578072, 0.12421929215822346, 0.09437890353920889, 0.08258154059680778, 0.0777238029146426, 0.05968077723802915, 0.0527411519777932, 0.055517002081887576]",first,TA
CHRUSDT,2022-01-08-00:00,2022-01-09-00:00,"[0.10964607911172797, 0.131852879944483, 0.10270645385149202, 0.10270645385149202, 0.10131852879944483, 0.10617626648161, 0.08605135322692574, 0.0922970159611381, 0.09437890353920889, 0.07286606523247745]",second,TA
CHRUSDT,2022-01-09-00:00,2022-01-10-00:00,"[0.3421235253296322, 0.16585704371963914, 0.11658570437196392, 0.09715475364330327, 0.06870229007633588, 0.07078417765440666, 0.055517002081887576, 0.05135322692574601, 0.031922276197085354]",first,TA
CHRUSDT,2022-01-09-00:00,2022-01-10-00:00,"[0.11658570437196392, 0.1179736294240111, 0.11242192921582235, 0.11380985426786953, 0.10131852879944483, 0.09715475364330327, 0.08605135322692574, 0.08813324080499653, 0.08396946564885496, 0.08258154059680778]",second,TA
CHRUSDT,2022-01-10-00:00,2022-01-11-00:00,"[0.3289382373351839, 0.17002081887578072, 0.12560721721027066, 0.07425399028452463, 0.07633587786259542, 0.056210964607911175, 0.06384455239417071, 0.0527411519777932, 0.0520471894517696]",first,TA
CHRUSDT,2022-01-10-00:00,2022-01-11-00:00,"[0.12283136710617627, 0.1193615544760583, 0.10270645385149202, 0.09576682859125607, 0.09923664122137404, 0.09784871616932686, 0.09993060374739764, 0.0922970159611381, 0.0784177654406662, 0.0916030534351145]",second,TA
CHRUSDT,2022-01-11-00:00,2022-01-12-00:00,"[0.30416666666666664, 0.16805555555555557, 0.14166666666666666, 0.09375, 0.08402777777777778, 0.0625, 0.05486111111111111, 0.049305555555555554, 0.041666666666666664]",first,TA
CHRUSDT,2022-01-11-00:00,2022-01-12-00:00,"[0.11944444444444445, 0.09791666666666667, 0.10833333333333334, 0.10694444444444444, 0.10208333333333333, 0.09861111111111111, 0.08472222222222223, 0.10347222222222222, 0.09513888888888888, 0.08333333333333333]",second,TA
CHRUSDT,2022-01-12-00:00,2022-01-13-00:00,"[0.32685634975711314, 0.16377515614156835, 0.1179736294240111, 0.09021512838306732, 0.08258154059680778, 0.0659264399722415, 0.048577376821651634, 0.055517002081887576, 0.048577376821651634]",first,TA
CHRUSDT,2022-01-12-00:00,2022-01-13-00:00,"[0.10895211658570438, 0.11311589174184594, 0.12699514226231784, 0.10062456627342123, 0.09993060374739764, 0.0916030534351145, 0.09090909090909091, 0.08327550312283137, 0.10270645385149202, 0.08188757807078417]",second,TA
CHRUSDT,2022-01-13-00:00,2022-01-14-00:00,"[0.3039555863983345, 0.16377515614156835, 0.12352532963219987, 0.0922970159611381, 0.08952116585704371, 0.06800832755031229, 0.0659264399722415, 0.04510756419153366, 0.047883414295628035]",first,TA
CHRUSDT,2022-01-13-00:00,2022-01-14-00:00,"[0.11727966689798751, 0.11172796668979876, 0.10964607911172797, 0.1179736294240111, 0.08674531575294935, 0.09090909090909091, 0.09993060374739764, 0.09576682859125607, 0.07633587786259542, 0.0936849410131853]",second,TA
CHRUSDT,2022-01-14-00:00,2022-01-15-00:00,"[0.32616238723108953, 0.17765440666204024, 0.11242192921582235, 0.08119361554476058, 0.07425399028452463, 0.061068702290076333, 0.06315058986814712, 0.05759888965995836, 0.046495489243580844]",first,TA
CHRUSDT,2022-01-14-00:00,2022-01-15-00:00,"[0.12560721721027066, 0.11519777931991672, 0.11519777931991672, 0.1054823039555864, 0.0922970159611381, 0.09646079111727966, 0.0784177654406662, 0.09576682859125607, 0.09090909090909091, 0.08466342817487855]",second,TA
CHRUSDT,2022-01-15-00:00,2022-01-16-00:00,"[0.2851182197496523, 0.20445062586926285, 0.12100139082058414, 0.10222531293463143, 0.0799721835883171, 0.06397774687065369, 0.05702364394993046, 0.04033379694019471, 0.0458970792767733]",first,TA
CHRUSDT,2022-01-15-00:00,2022-01-16-00:00,"[0.12447844228094576, 0.10917941585535466, 0.10222531293463143, 0.11474269819193324, 0.09109874826147427, 0.09874826147426982, 0.0917941585535466, 0.09040333796940195, 0.0890125173852573, 0.08831710709318498]",second,TA
CHRUSDT,2022-01-16-00:00,2022-01-17-00:00,"[0.29562803608605137, 0.1845940319222762, 0.1304649548924358, 0.10756419153365718, 0.07425399028452463, 0.06176266481609993, 0.05135322692574601, 0.054823039555863984, 0.0395558639833449]",first,TA
CHRUSDT,2022-01-16-00:00,2022-01-17-00:00,"[0.12283136710617627, 0.11589174184594032, 0.10756419153365718, 0.10340041637751561, 0.11034004163775156, 0.08396946564885496, 0.09576682859125607, 0.08327550312283137, 0.08952116585704371, 0.08743927827897294]",second,TA
CHRUSDT,2022-01-17-00:00,2022-01-18-00:00,"[0.3303261623872311, 0.157529493407356, 0.13740458015267176, 0.09437890353920889, 0.07702984038861901, 0.05759888965995836, 0.0520471894517696, 0.055517002081887576, 0.03816793893129771]",first,TA
CHRUSDT,2022-01-17-00:00,2022-01-18-00:00,"[0.12768910478834142, 0.11380985426786953, 0.09090909090909091, 0.11034004163775156, 0.09090909090909091, 0.1054823039555864, 0.1040943789035392, 0.08466342817487855, 0.0936849410131853, 0.0784177654406662]",second,TA
CHRUSDT,2022-01-18-00:00,2022-01-19-00:00,"[0.2789729354614851, 0.19986120749479527, 0.13601665510062458, 0.0922970159611381, 0.07564191533657183, 0.07286606523247745, 0.05690492713393477, 0.048577376821651634, 0.0388619014573213]",first,TA
CHRUSDT,2022-01-18-00:00,2022-01-19-00:00,"[0.12213740458015267, 0.11866759195003469, 0.09854267869535045, 0.09993060374739764, 0.08396946564885496, 0.09299097848716169, 0.09576682859125607, 0.10478834142956281, 0.09646079111727966, 0.08674531575294935]",second,TA
CHRUSDT,2022-01-19-00:00,2022-01-20-00:00,"[0.3331020124913255, 0.19153365718251214, 0.12074947952810548, 0.08535739070090215, 0.06939625260235947, 0.06453851492019431, 0.05343511450381679, 0.041637751561415685, 0.040249826509368494]",first,TA
CHRUSDT,2022-01-19-00:00,2022-01-20-00:00,"[0.11380985426786953, 0.12074947952810548, 0.10687022900763359, 0.1179736294240111, 0.08882720333102012, 0.10617626648161, 0.08049965301873699, 0.0936849410131853, 0.0936849410131853, 0.0777238029146426]",second,TA
CHRUSDT,2022-01-20-00:00,2022-01-21-00:00,"[0.2964509394572025, 0.18232428670842032, 0.12317327766179541, 0.10855949895615867, 0.07933194154488518, 0.05358385525400139, 0.06680584551148225, 0.049408489909533754, 0.04036186499652053]",first,TA
CHRUSDT,2022-01-20-00:00,2022-01-21-00:00,"[0.12595685455810718, 0.1266527487821851, 0.11203897007654837, 0.08629088378566457, 0.09464161447459986, 0.07933194154488518, 0.09603340292275574, 0.09394572025052192, 0.09742519137091162, 0.08768267223382047]",second,TA
CHRUSDT,2022-01-21-00:00,2022-01-22-00:00,"[0.3039555863983345, 0.19292158223455932, 0.1297709923664122, 0.0936849410131853, 0.0784177654406662, 0.05968077723802915, 0.05829285218598196, 0.04718945176960444, 0.03608605135322693]",first,TA
CHRUSDT,2022-01-21-00:00,2022-01-22-00:00,"[0.11866759195003469, 0.11034004163775156, 0.11380985426786953, 0.09646079111727966, 0.11589174184594032, 0.0916030534351145, 0.09576682859125607, 0.09507286606523248, 0.08327550312283137, 0.0791117279666898]",second,TA
CHRUSDT,2022-01-22-00:00,2022-01-23-00:00,"[0.27966689798750866, 0.1839000693962526, 0.16238723108952116, 0.10201249132546843, 0.0784177654406662, 0.05759888965995836, 0.055517002081887576, 0.03816793893129771, 0.04233171408743928]",first,TA
CHRUSDT,2022-01-22-00:00,2022-01-23-00:00,"[0.09715475364330327, 0.11103400416377515, 0.12699514226231784, 0.11450381679389313, 0.09784871616932686, 0.09576682859125607, 0.10131852879944483, 0.08535739070090215, 0.09021512838306732, 0.0798056904927134]",second,TA
CHRUSDT,2022-01-23-00:00,2022-01-24-00:00,"[0.3025676613462873, 0.20749479528105483, 0.12768910478834142, 0.09021512838306732, 0.0798056904927134, 0.056210964607911175, 0.04996530187369882, 0.04441360166551006, 0.041637751561415685]",first,TA
