symbol,start_date,end_date,actual_frequencies,digit_type,target
ETCUSDT,2022-01-01-00:00,2022-01-02-00:00,"[0.304654442877292, 0.1777150916784203, 0.12411847672778561, 0.0930888575458392, 0.08321579689703808, 0.06981664315937941, 0.05148095909732017, 0.05007052186177715, 0.045839210155148094]",first,TA
ETCUSDT,2022-01-01-00:00,2022-01-02-00:00,"[0.11706629055007052, 0.12411847672778561, 0.10507757404795487, 0.09590973201692525, 0.10930888575458392, 0.09449929478138223, 0.08744710860366714, 0.09943582510578279, 0.08674188998589563, 0.08039492242595205]",second,TA
ETCUSDT,2022-01-02-00:00,2022-01-03-00:00,"[0.29760225669957685, 0.18124118476727785, 0.13328631875881522, 0.08744710860366714, 0.07334273624823695, 0.05923836389280677, 0.0768688293370945, 0.05077574047954866, 0.04019746121297602]",first,TA
ETCUSDT,2022-01-02-00:00,2022-01-03-00:00,"[0.12693935119887165, 0.11142454160789844, 0.1071932299012694, 0.09379407616361073, 0.10930888575458392, 0.09732016925246827, 0.08392101551480959, 0.09520451339915374, 0.08392101551480959, 0.09097320169252468]",second,TA
ETCUSDT,2022-01-03-00:00,2022-01-04-00:00,"[0.2882065596650384, 0.18213538032100487, 0.10956036287508723, 0.09979064898813678, 0.07536636427076064, 0.07606420097697139, 0.05792044661549198, 0.06769016050244243, 0.04326587578506629]",first,TA
ETCUSDT,2022-01-03-00:00,2022-01-04-00:00,"[0.1479413817166783, 0.10188415910676901, 0.10537334263782275, 0.10327983251919051, 0.10327983251919051, 0.09002093510118632, 0.09002093510118632, 0.08583391486392185, 0.08234473133286811, 0.09002093510118632]",second,TA
ETCUSDT,2022-01-04-00:00,2022-01-05-00:00,"[0.3159359777313848, 0.1524008350730689, 0.12386917188587335, 0.09116214335421016, 0.0848990953375087, 0.06819763395963814, 0.061934585942936674, 0.05358385525400139, 0.04801670146137787]",first,TA
ETCUSDT,2022-01-04-00:00,2022-01-05-00:00,"[0.11760612386917188, 0.11691022964509394, 0.11482254697286012, 0.10855949895615867, 0.11064718162839249, 0.08559498956158663, 0.08559498956158663, 0.09672929714683368, 0.08907446068197634, 0.0744606819763396]",second,TA
ETCUSDT,2022-01-05-00:00,2022-01-06-00:00,"[0.2921034241788959, 0.1642208245981831, 0.12718378756114604, 0.09503843466107617, 0.07547169811320754, 0.07477288609364081, 0.07756813417190776, 0.050314465408805034, 0.04332634521313766]",first,TA
ETCUSDT,2022-01-05-00:00,2022-01-06-00:00,"[0.11740041928721175, 0.12299091544374563, 0.11530398322851153, 0.10831586303284417, 0.0936408106219427, 0.09224318658280922, 0.08315863032844165, 0.08455625436757512, 0.10062893081761007, 0.08176100628930817]",second,TA
