symbol,start_date,end_date,actual_frequencies,digit_type,target
HFTUSDT,2022-11-07-00:00,2022-11-08-00:00,"[0.36363636363636365, 0.15702479338842976, 0.06611570247933884, 0.09917355371900827, 0.0743801652892562, 0.09090909090909091, 0.05785123966942149, 0.049586776859504134, 0.04132231404958678]",first,TA
HFTUSDT,2022-11-07-00:00,2022-11-08-00:00,"[0.15702479338842976, 0.08264462809917356, 0.09090909090909091, 0.1322314049586777, 0.10743801652892562, 0.09090909090909091, 0.05785123966942149, 0.08264462809917356, 0.09090909090909091, 0.10743801652892562]",second,TA
HFTUSDT,2022-11-08-00:00,2022-11-09-00:00,"[0.29285218598195695, 0.18875780707841777, 0.14156835530881332, 0.09784871616932686, 0.08188757807078417, 0.062456627342123525, 0.0520471894517696, 0.04580152671755725, 0.03678001387925052]",first,TA
HFTUSDT,2022-11-08-00:00,2022-11-09-00:00,"[0.12699514226231784, 0.11242192921582235, 0.11034004163775156, 0.10687022900763359, 0.08605135322692574, 0.10340041637751561, 0.08743927827897294, 0.09576682859125607, 0.08535739070090215, 0.08535739070090215]",second,TA
HFTUSDT,2022-11-09-00:00,2022-11-10-00:00,"[0.3060374739764053, 0.18667591950034698, 0.13532269257460097, 0.09507286606523248, 0.07494795281054822, 0.06453851492019431, 0.0520471894517696, 0.04510756419153366, 0.040249826509368494]",first,TA
HFTUSDT,2022-11-09-00:00,2022-11-10-00:00,"[0.12907702984038863, 0.11658570437196392, 0.10062456627342123, 0.11589174184594032, 0.10340041637751561, 0.09090909090909091, 0.09090909090909091, 0.0916030534351145, 0.08258154059680778, 0.0784177654406662]",second,TA
HFTUSDT,2022-11-10-00:00,2022-11-11-00:00,"[0.3011797362942401, 0.19014573213046496, 0.12421929215822346, 0.09090909090909091, 0.08327550312283137, 0.061068702290076333, 0.049271339347675226, 0.04302567661346287, 0.05690492713393477]",first,TA
HFTUSDT,2022-11-10-00:00,2022-11-11-00:00,"[0.11519777931991672, 0.12907702984038863, 0.11311589174184594, 0.11034004163775156, 0.11242192921582235, 0.08674531575294935, 0.08743927827897294, 0.07286606523247745, 0.08952116585704371, 0.08327550312283137]",second,TA
HFTUSDT,2022-11-11-00:00,2022-11-12-00:00,"[0.29770992366412213, 0.1839000693962526, 0.12768910478834142, 0.08535739070090215, 0.0798056904927134, 0.06662040249826509, 0.06384455239417071, 0.04510756419153366, 0.04996530187369882]",first,TA
HFTUSDT,2022-11-11-00:00,2022-11-12-00:00,"[0.11450381679389313, 0.12213740458015267, 0.10895211658570438, 0.09715475364330327, 0.11311589174184594, 0.10825815405968078, 0.0916030534351145, 0.0777238029146426, 0.08327550312283137, 0.08327550312283137]",second,TA
HFTUSDT,2022-11-12-00:00,2022-11-13-00:00,"[0.3111111111111111, 0.1638888888888889, 0.12638888888888888, 0.10972222222222222, 0.06805555555555555, 0.05763888888888889, 0.05694444444444444, 0.052083333333333336, 0.05416666666666667]",first,TA
HFTUSDT,2022-11-12-00:00,2022-11-13-00:00,"[0.11180555555555556, 0.11805555555555555, 0.11666666666666667, 0.09861111111111111, 0.09861111111111111, 0.09513888888888888, 0.09166666666666666, 0.09236111111111112, 0.08472222222222223, 0.09236111111111112]",second,TA
HFTUSDT,2022-11-13-00:00,2022-11-14-00:00,"[0.30437804030576787, 0.17303683113273105, 0.13620569840166782, 0.09242529534398888, 0.07991660875608061, 0.06254343293954134, 0.05003474635163308, 0.05350938151494093, 0.04794996525364837]",first,TA
