symbol,start_date,end_date,actual_frequencies,digit_type,target
OSMOUSDT,2022-10-28-00:00,2022-10-29-00:00,"[0.3023255813953488, 0.132890365448505, 0.14285714285714285, 0.07308970099667775, 0.08970099667774087, 0.10299003322259136, 0.06312292358803986, 0.053156146179401995, 0.03986710963455149]",first,TA
OSMOUSDT,2022-10-28-00:00,2022-10-29-00:00,"[0.09966777408637874, 0.13953488372093023, 0.09634551495016612, 0.08637873754152824, 0.0664451827242525, 0.08305647840531562, 0.10299003322259136, 0.10963455149501661, 0.09966777408637874, 0.11627906976744186]",second,TA
OSMOUSDT,2022-10-29-00:00,2022-10-30-00:00,"[0.2886884108258154, 0.20055517002081888, 0.11311589174184594, 0.09993060374739764, 0.07356002775850104, 0.06453851492019431, 0.06037473976405274, 0.04996530187369882, 0.049271339347675226]",first,TA
OSMOUSDT,2022-10-29-00:00,2022-10-30-00:00,"[0.10340041637751561, 0.10964607911172797, 0.10756419153365718, 0.11311589174184594, 0.10340041637751561, 0.0936849410131853, 0.09784871616932686, 0.09646079111727966, 0.09437890353920889, 0.08049965301873699]",second,TA
OSMOUSDT,2022-10-30-00:00,2022-10-31-00:00,"[0.32660418168709443, 0.18240807498197548, 0.110310021629416, 0.07498197548666186, 0.08074981975486661, 0.0692141312184571, 0.05263157894736842, 0.05695746214852199, 0.046142754145638065]",first,TA
OSMOUSDT,2022-10-30-00:00,2022-10-31-00:00,"[0.13410237923576063, 0.11175198269646719, 0.11824080749819754, 0.10165825522710886, 0.09949531362653208, 0.11535688536409516, 0.08940158615717375, 0.0829127613554434, 0.06993511175198269, 0.07714491708723864]",second,TA
OSMOUSDT,2022-10-31-00:00,2022-11-01-00:00,"[0.32567049808429116, 0.18007662835249041, 0.13026819923371646, 0.09885057471264368, 0.05823754789272031, 0.06206896551724138, 0.05823754789272031, 0.04674329501915709, 0.03984674329501916]",first,TA
OSMOUSDT,2022-10-31-00:00,2022-11-01-00:00,"[0.12873563218390804, 0.11724137931034483, 0.10421455938697317, 0.10268199233716475, 0.10651340996168582, 0.0896551724137931, 0.10191570881226053, 0.08812260536398467, 0.07509578544061303, 0.08582375478927202]",second,TA
OSMOUSDT,2022-11-01-00:00,2022-11-02-00:00,"[0.3063540090771558, 0.18532526475037822, 0.11346444780635401, 0.11422087745839637, 0.0794251134644478, 0.06580937972768533, 0.05068078668683813, 0.04462934947049924, 0.040090771558245086]",first,TA
OSMOUSDT,2022-11-01-00:00,2022-11-02-00:00,"[0.12405446293494705, 0.10968229954614221, 0.10060514372163389, 0.10136157337367625, 0.11043872919818457, 0.08093797276853253, 0.0907715582450832, 0.10514372163388805, 0.0718608169440242, 0.10514372163388805]",second,TA
OSMOUSDT,2022-11-02-00:00,2022-11-03-00:00,"[0.33390705679862304, 0.18244406196213425, 0.12220309810671257, 0.09552495697074011, 0.08003442340791739, 0.06798623063683305, 0.04216867469879518, 0.03356282271944923, 0.04216867469879518]",first,TA
OSMOUSDT,2022-11-02-00:00,2022-11-03-00:00,"[0.11187607573149742, 0.1144578313253012, 0.1153184165232358, 0.09036144578313253, 0.1144578313253012, 0.09294320137693632, 0.08175559380378658, 0.09122203098106713, 0.08519793459552495, 0.10240963855421686]",second,TA
OSMOUSDT,2022-11-03-00:00,2022-11-04-00:00,"[0.32323232323232326, 0.18097643097643099, 0.12121212121212122, 0.10101010101010101, 0.07575757575757576, 0.054713804713804715, 0.05134680134680135, 0.04040404040404041, 0.05134680134680135]",first,TA
OSMOUSDT,2022-11-03-00:00,2022-11-04-00:00,"[0.12626262626262627, 0.11026936026936027, 0.09764309764309764, 0.09175084175084175, 0.09006734006734007, 0.10353535353535354, 0.08333333333333333, 0.07996632996632996, 0.09175084175084175, 0.12542087542087543]",second,TA
OSMOUSDT,2022-11-04-00:00,2022-11-05-00:00,"[0.3494077834179357, 0.19120135363790186, 0.10829103214890017, 0.09813874788494077, 0.08544839255499154, 0.0532994923857868, 0.04314720812182741, 0.03553299492385787, 0.03553299492385787]",first,TA
OSMOUSDT,2022-11-04-00:00,2022-11-05-00:00,"[0.13790186125211507, 0.11505922165820642, 0.09983079526226735, 0.09644670050761421, 0.08967851099830795, 0.08967851099830795, 0.08460236886632826, 0.08629441624365482, 0.0829103214890017, 0.11759729272419628]",second,TA
OSMOUSDT,2022-11-05-00:00,2022-11-06-00:00,"[0.3448275862068966, 0.19047619047619047, 0.10426929392446634, 0.09688013136288999, 0.08620689655172414, 0.05665024630541872, 0.040229885057471264, 0.04187192118226601, 0.03858784893267652]",first,TA
OSMOUSDT,2022-11-05-00:00,2022-11-06-00:00,"[0.1412151067323481, 0.11986863711001643, 0.10098522167487685, 0.09688013136288999, 0.09359605911330049, 0.09195402298850575, 0.07717569786535304, 0.07963875205254516, 0.08866995073891626, 0.11001642036124795]",second,TA
OSMOUSDT,2022-11-06-00:00,2022-11-07-00:00,"[0.33986928104575165, 0.17647058823529413, 0.13071895424836602, 0.09803921568627451, 0.08403361344537816, 0.04948646125116713, 0.051353874883286646, 0.035480859010270774, 0.03454715219421102]",first,TA
