symbol,start_date,end_date,actual_frequencies,digit_type,target
USDPUSDT,2022-01-01-00:00,2022-01-02-00:00,"[0.38636363636363635, 0.18181818181818182, 0.09659090909090909, 0.0625, 0.056818181818181816, 0.045454545454545456, 0.06818181818181818, 0.022727272727272728, 0.07954545454545454]",first,TA
USDPUSDT,2022-01-01-00:00,2022-01-02-00:00,"[0.1875, 0.06818181818181818, 0.09090909090909091, 0.10795454545454546, 0.0625, 0.07386363636363637, 0.03977272727272727, 0.056818181818181816, 0.11931818181818182, 0.19318181818181818]",second,TA
USDPUSDT,2022-01-02-00:00,2022-01-03-00:00,"[0.3684210526315789, 0.18181818181818182, 0.13875598086124402, 0.10526315789473684, 0.06698564593301436, 0.05263157894736842, 0.019138755980861243, 0.014354066985645933, 0.05263157894736842]",first,TA
USDPUSDT,2022-01-02-00:00,2022-01-03-00:00,"[0.1674641148325359, 0.0861244019138756, 0.10047846889952153, 0.07177033492822966, 0.0861244019138756, 0.07655502392344497, 0.0861244019138756, 0.10526315789473684, 0.09569377990430622, 0.12440191387559808]",second,TA
USDPUSDT,2022-01-03-00:00,2022-01-04-00:00,"[0.4, 0.18974358974358974, 0.12307692307692308, 0.06666666666666667, 0.09743589743589744, 0.035897435897435895, 0.020512820512820513, 0.03076923076923077, 0.035897435897435895]",first,TA
USDPUSDT,2022-01-03-00:00,2022-01-04-00:00,"[0.18974358974358974, 0.13846153846153847, 0.09230769230769231, 0.08205128205128205, 0.06666666666666667, 0.08717948717948718, 0.07179487179487179, 0.08205128205128205, 0.06666666666666667, 0.12307692307692308]",second,TA
USDPUSDT,2022-01-04-00:00,2022-01-05-00:00,"[0.41637010676156583, 0.2099644128113879, 0.1103202846975089, 0.05338078291814947, 0.07473309608540925, 0.028469750889679714, 0.03914590747330961, 0.017793594306049824, 0.0498220640569395]",first,TA
USDPUSDT,2022-01-04-00:00,2022-01-05-00:00,"[0.2206405693950178, 0.10320284697508897, 0.099644128113879, 0.08896797153024912, 0.07829181494661921, 0.099644128113879, 0.07829181494661921, 0.06405693950177936, 0.060498220640569395, 0.10676156583629894]",second,TA
USDPUSDT,2022-01-05-00:00,2022-01-06-00:00,"[0.33771929824561403, 0.21052631578947367, 0.09649122807017543, 0.09210526315789473, 0.07017543859649122, 0.04824561403508772, 0.03508771929824561, 0.03508771929824561, 0.07456140350877193]",first,TA
USDPUSDT,2022-01-05-00:00,2022-01-06-00:00,"[0.24561403508771928, 0.10526315789473684, 0.08771929824561403, 0.09210526315789473, 0.08771929824561403, 0.07456140350877193, 0.06578947368421052, 0.07456140350877193, 0.05263157894736842, 0.11403508771929824]",second,TA
USDPUSDT,2022-01-06-00:00,2022-01-07-00:00,"[0.3147502903600465, 0.19396051103368175, 0.14750290360046459, 0.09872241579558652, 0.08362369337979095, 0.04413472706155633, 0.04065040650406504, 0.04065040650406504, 0.036004645760743324]",first,TA
USDPUSDT,2022-01-06-00:00,2022-01-07-00:00,"[0.13008130081300814, 0.1207897793263647, 0.09872241579558652, 0.11498257839721254, 0.10801393728222997, 0.09872241579558652, 0.09059233449477352, 0.07084785133565621, 0.08943089430894309, 0.07781649245063879]",second,TA
USDPUSDT,2022-01-07-00:00,2022-01-08-00:00,"[0.30383480825958703, 0.16224188790560473, 0.17404129793510326, 0.11209439528023599, 0.10619469026548672, 0.032448377581120944, 0.017699115044247787, 0.0471976401179941, 0.04424778761061947]",first,TA
USDPUSDT,2022-01-07-00:00,2022-01-08-00:00,"[0.16519174041297935, 0.10029498525073746, 0.0855457227138643, 0.0855457227138643, 0.06784660766961652, 0.10324483775811209, 0.09734513274336283, 0.07669616519174041, 0.07374631268436578, 0.14454277286135694]",second,TA
USDPUSDT,2022-01-08-00:00,2022-01-09-00:00,"[0.3417305585980285, 0.2968236582694414, 0.10514786418400876, 0.07667031763417305, 0.054764512595837894, 0.03943044906900329, 0.029572836801752465, 0.03176341730558598, 0.024096385542168676]",first,TA
USDPUSDT,2022-01-08-00:00,2022-01-09-00:00,"[0.08433734939759036, 0.27491785323110624, 0.04928806133625411, 0.23767798466593648, 0.05257393209200438, 0.07338444687842278, 0.04928806133625411, 0.05805038335158817, 0.06790799561883899, 0.05257393209200438]",second,TA
USDPUSDT,2022-01-09-00:00,2022-01-10-00:00,"[0.5502283105022832, 0.18493150684931506, 0.0730593607305936, 0.0547945205479452, 0.03424657534246575, 0.0319634703196347, 0.0182648401826484, 0.0182648401826484, 0.03424657534246575]",first,TA
USDPUSDT,2022-01-09-00:00,2022-01-10-00:00,"[0.13013698630136986, 0.4269406392694064, 0.06621004566210045, 0.1050228310502283, 0.05707762557077625, 0.045662100456621, 0.0365296803652968, 0.0410958904109589, 0.03881278538812785, 0.05251141552511415]",second,TA
USDPUSDT,2022-01-10-00:00,2022-01-11-00:00,"[0.4632352941176471, 0.15808823529411764, 0.11029411764705882, 0.05514705882352941, 0.04779411764705882, 0.04044117647058824, 0.03308823529411765, 0.04411764705882353, 0.04779411764705882]",first,TA
USDPUSDT,2022-01-10-00:00,2022-01-11-00:00,"[0.1875, 0.16911764705882354, 0.08455882352941177, 0.09191176470588236, 0.08088235294117647, 0.09558823529411764, 0.04411764705882353, 0.06985294117647059, 0.0625, 0.11397058823529412]",second,TA
USDPUSDT,2022-01-11-00:00,2022-01-12-00:00,"[0.3722397476340694, 0.15141955835962145, 0.0946372239747634, 0.0946372239747634, 0.0473186119873817, 0.04416403785488959, 0.04416403785488959, 0.05993690851735016, 0.0914826498422713]",first,TA
USDPUSDT,2022-01-11-00:00,2022-01-12-00:00,"[0.15141955835962145, 0.11987381703470032, 0.09779179810725552, 0.0694006309148265, 0.10725552050473186, 0.0914826498422713, 0.08201892744479496, 0.06309148264984227, 0.050473186119873815, 0.167192429022082]",second,TA
USDPUSDT,2022-01-12-00:00,2022-01-13-00:00,"[0.3464052287581699, 0.17973856209150327, 0.10457516339869281, 0.13398692810457516, 0.032679738562091505, 0.049019607843137254, 0.0457516339869281, 0.042483660130718956, 0.06535947712418301]",first,TA
USDPUSDT,2022-01-12-00:00,2022-01-13-00:00,"[0.20588235294117646, 0.1111111111111111, 0.05228758169934641, 0.05228758169934641, 0.06535947712418301, 0.10457516339869281, 0.05555555555555555, 0.058823529411764705, 0.049019607843137254, 0.24509803921568626]",second,TA
USDPUSDT,2022-01-13-00:00,2022-01-14-00:00,"[0.3573667711598746, 0.16927899686520376, 0.11912225705329153, 0.09404388714733543, 0.06269592476489028, 0.03761755485893417, 0.025078369905956112, 0.047021943573667714, 0.0877742946708464]",first,TA
USDPUSDT,2022-01-13-00:00,2022-01-14-00:00,"[0.15673981191222572, 0.07836990595611286, 0.109717868338558, 0.08463949843260188, 0.10344827586206896, 0.07836990595611286, 0.05329153605015674, 0.08463949843260188, 0.06583072100313479, 0.18495297805642633]",second,TA
USDPUSDT,2022-01-14-00:00,2022-01-15-00:00,"[0.3880597014925373, 0.14925373134328357, 0.11442786069651742, 0.08955223880597014, 0.07462686567164178, 0.03482587064676617, 0.014925373134328358, 0.04477611940298507, 0.08955223880597014]",first,TA
